,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A000070,»ï¾çÈ¦µù½º,20210812,111000
1,A000070,»ï¾çÈ¦µù½º,20210811,109000
2,A000070,»ï¾çÈ¦µù½º,20210810,112000
3,A000070,»ï¾çÈ¦µù½º,20210809,109500
4,A000070,»ï¾çÈ¦µù½º,20210806,112000
5,A000070,»ï¾çÈ¦µù½º,20210805,112000
6,A000070,»ï¾çÈ¦µù½º,20210804,108500
7,A000070,»ï¾çÈ¦µù½º,20210803,107000
8,A000070,»ï¾çÈ¦µù½º,20210802,110000
9,A000070,»ï¾çÈ¦µù½º,20210730,109000
10,A000070,»ï¾çÈ¦µù½º,20210729,111000
11,A000070,»ï¾çÈ¦µù½º,20210728,115000
12,A000070,»ï¾çÈ¦µù½º,20210727,117000
13,A000070,»ï¾çÈ¦µù½º,20210726,115500
14,A000070,»ï¾çÈ¦µù½º,20210723,109500
15,A000070,»ï¾çÈ¦µù½º,20210722,105000
16,A000070,»ï¾çÈ¦µù½º,20210721,103500
17,A000070,»ï¾çÈ¦µù½º,20210720,106000
18,A000070,»ï¾çÈ¦µù½º,20210719,105500
19,A000070,»ï¾çÈ¦µù½º,20210716,104500
20,A000070,»ï¾çÈ¦µù½º,20210715,103500
21,A000070,»ï¾çÈ¦µù½º,20210714,104000
22,A000070,»ï¾çÈ¦µù½º,20210713,104500
23,A000070,»ï¾çÈ¦µù½º,20210712,102000
24,A000070,»ï¾çÈ¦µù½º,20210709,101500
25,A000070,»ï¾çÈ¦µù½º,20210708,104500
26,A000070,»ï¾çÈ¦µù½º,20210707,107000
27,A000070,»ï¾çÈ¦µù½º,20210706,109000
28,A000070,»ï¾çÈ¦µù½º,20210705,109500
29,A000070,»ï¾çÈ¦µù½º,20210702,113000
30,A000070,»ï¾çÈ¦µù½º,20210701,113500
31,A000070,»ï¾çÈ¦µù½º,20210630,110500
32,A000070,»ï¾çÈ¦µù½º,20210629,110500
33,A000070,»ï¾çÈ¦µù½º,20210628,111500
34,A000070,»ï¾çÈ¦µù½º,20210625,107500
35,A000070,»ï¾çÈ¦µù½º,20210624,107500
36,A000070,»ï¾çÈ¦µù½º,20210623,105000
37,A000070,»ï¾çÈ¦µù½º,20210622,106000
38,A000070,»ï¾çÈ¦µù½º,20210621,104000
39,A000070,»ï¾çÈ¦µù½º,20210618,106500
40,A000070,»ï¾çÈ¦µù½º,20210617,106000
41,A000070,»ï¾çÈ¦µù½º,20210616,108000
42,A000070,»ï¾çÈ¦µù½º,20210615,107000
43,A000070,»ï¾çÈ¦µù½º,20210614,109000
44,A000070,»ï¾çÈ¦µù½º,20210611,109500
45,A000070,»ï¾çÈ¦µù½º,20210610,110500
46,A000070,»ï¾çÈ¦µù½º,20210609,107500
47,A000070,»ï¾çÈ¦µù½º,20210608,113000
48,A000070,»ï¾çÈ¦µù½º,20210607,113000
49,A000070,»ï¾çÈ¦µù½º,20210604,113500
50,A000070,»ï¾çÈ¦µù½º,20210603,114500
51,A000070,»ï¾çÈ¦µù½º,20210602,114500
52,A000070,»ï¾çÈ¦µù½º,20210601,114000
53,A000070,»ï¾çÈ¦µù½º,20210531,113500
54,A000070,»ï¾çÈ¦µù½º,20210528,116000
55,A000070,»ï¾çÈ¦µù½º,20210527,115500
56,A000070,»ï¾çÈ¦µù½º,20210526,121500
57,A000070,»ï¾çÈ¦µù½º,20210525,117000
58,A000070,»ï¾çÈ¦µù½º,20210524,117500
59,A000070,»ï¾çÈ¦µù½º,20210521,114000
60,A000070,»ï¾çÈ¦µù½º,20210520,112500
61,A000070,»ï¾çÈ¦µù½º,20210518,119000
62,A000070,»ï¾çÈ¦µù½º,20210517,115000
63,A000070,»ï¾çÈ¦µù½º,20210514,120000
64,A000070,»ï¾çÈ¦µù½º,20210513,122500
65,A000070,»ï¾çÈ¦µù½º,20210512,125500
66,A000070,»ï¾çÈ¦µù½º,20210511,131500
67,A000070,»ï¾çÈ¦µù½º,20210510,138500
68,A000070,»ï¾çÈ¦µù½º,20210507,134000
69,A000070,»ï¾çÈ¦µù½º,20210506,134000
70,A000070,»ï¾çÈ¦µù½º,20210504,131000
71,A000070,»ï¾çÈ¦µù½º,20210503,138500
72,A000070,»ï¾çÈ¦µù½º,20210430,140000
73,A000070,»ï¾çÈ¦µù½º,20210429,133000
74,A000070,»ï¾çÈ¦µù½º,20210428,133500
75,A000070,»ï¾çÈ¦µù½º,20210427,139500
76,A000070,»ï¾çÈ¦µù½º,20210426,142000
77,A000070,»ï¾çÈ¦µù½º,20210423,144000
78,A000070,»ï¾çÈ¦µù½º,20210422,142000
79,A000070,»ï¾çÈ¦µù½º,20210421,139000
80,A000070,»ï¾çÈ¦µù½º,20210420,125000
81,A000070,»ï¾çÈ¦µù½º,20210419,109000
82,A000070,»ï¾çÈ¦µù½º,20210416,98200
83,A000070,»ï¾çÈ¦µù½º,20210415,97700
84,A000070,»ï¾çÈ¦µù½º,20210414,92700
85,A000070,»ï¾çÈ¦µù½º,20210413,91500
86,A000070,»ï¾çÈ¦µù½º,20210412,91300
87,A000070,»ï¾çÈ¦µù½º,20210409,91700
88,A000070,»ï¾çÈ¦µù½º,20210408,91400
89,A000070,»ï¾çÈ¦µù½º,20210407,91200
90,A000070,»ï¾çÈ¦µù½º,20210406,92100
91,A000070,»ï¾çÈ¦µù½º,20210405,91700
92,A000070,»ï¾çÈ¦µù½º,20210402,91900
93,A000070,»ï¾çÈ¦µù½º,20210401,92500
94,A000070,»ï¾çÈ¦µù½º,20210331,93700
95,A000070,»ï¾çÈ¦µù½º,20210330,93000
96,A000070,»ï¾çÈ¦µù½º,20210329,92500
97,A000070,»ï¾çÈ¦µù½º,20210326,92700
98,A000070,»ï¾çÈ¦µù½º,20210325,91600
99,A000070,»ï¾çÈ¦µù½º,20210324,91500
100,A000070,»ï¾çÈ¦µù½º,20210323,91600
101,A000070,»ï¾çÈ¦µù½º,20210322,92100
102,A000070,»ï¾çÈ¦µù½º,20210319,94500
103,A000070,»ï¾çÈ¦µù½º,20210318,92800
104,A000070,»ï¾çÈ¦µù½º,20210317,91700
105,A000070,»ï¾çÈ¦µù½º,20210316,91100
106,A000070,»ï¾çÈ¦µù½º,20210315,90100
107,A000070,»ï¾çÈ¦µù½º,20210312,90700
108,A000070,»ï¾çÈ¦µù½º,20210311,91100
109,A000070,»ï¾çÈ¦µù½º,20210310,89400
110,A000070,»ï¾çÈ¦µù½º,20210309,91300
111,A000070,»ï¾çÈ¦µù½º,20210308,91400
112,A000070,»ï¾çÈ¦µù½º,20210305,90800
113,A000070,»ï¾çÈ¦µù½º,20210304,90800
114,A000070,»ï¾çÈ¦µù½º,20210303,90500
115,A000070,»ï¾çÈ¦µù½º,20210302,88800
116,A000070,»ï¾çÈ¦µù½º,20210226,85400
117,A000070,»ï¾çÈ¦µù½º,20210225,87000
118,A000070,»ï¾çÈ¦µù½º,20210224,85400
119,A000070,»ï¾çÈ¦µù½º,20210223,88400
120,A000070,»ï¾çÈ¦µù½º,20210222,89500
121,A000070,»ï¾çÈ¦µù½º,20210219,88400
122,A000070,»ï¾çÈ¦µù½º,20210218,89600
123,A000070,»ï¾çÈ¦µù½º,20210217,91800
124,A000070,»ï¾çÈ¦µù½º,20210216,91800
125,A000070,»ï¾çÈ¦µù½º,20210215,92000
126,A000070,»ï¾çÈ¦µù½º,20210210,92300
127,A000070,»ï¾çÈ¦µù½º,20210209,93600
128,A000070,»ï¾çÈ¦µù½º,20210208,93700
129,A000070,»ï¾çÈ¦µù½º,20210205,90100
130,A000070,»ï¾çÈ¦µù½º,20210204,88500
