,辆格内靛,辆格疙,朝楼,辆啊
0,A032280,伙老,20210812,4065
1,A032280,伙老,20210811,3500
2,A032280,伙老,20210810,2915
3,A032280,伙老,20210809,2925
4,A032280,伙老,20210806,2940
5,A032280,伙老,20210805,2935
6,A032280,伙老,20210804,2835
7,A032280,伙老,20210803,2835
8,A032280,伙老,20210802,2830
9,A032280,伙老,20210730,2850
10,A032280,伙老,20210729,2835
11,A032280,伙老,20210728,2780
12,A032280,伙老,20210727,2830
13,A032280,伙老,20210726,2825
14,A032280,伙老,20210723,2960
15,A032280,伙老,20210722,2990
16,A032280,伙老,20210721,2900
17,A032280,伙老,20210720,2925
18,A032280,伙老,20210719,2930
19,A032280,伙老,20210716,2980
20,A032280,伙老,20210715,2920
21,A032280,伙老,20210714,2970
22,A032280,伙老,20210713,2985
23,A032280,伙老,20210712,2970
24,A032280,伙老,20210709,2960
25,A032280,伙老,20210708,2930
26,A032280,伙老,20210707,3030
27,A032280,伙老,20210706,3000
28,A032280,伙老,20210705,3035
29,A032280,伙老,20210702,3125
30,A032280,伙老,20210701,3275
31,A032280,伙老,20210630,3130
32,A032280,伙老,20210629,3095
33,A032280,伙老,20210628,3115
34,A032280,伙老,20210625,3160
35,A032280,伙老,20210624,3355
36,A032280,伙老,20210623,3645
37,A032280,伙老,20210622,3410
38,A032280,伙老,20210621,3560
39,A032280,伙老,20210618,3490
40,A032280,伙老,20210617,3405
41,A032280,伙老,20210616,3410
42,A032280,伙老,20210615,3570
43,A032280,伙老,20210614,3730
44,A032280,伙老,20210611,3825
45,A032280,伙老,20210610,3975
46,A032280,伙老,20210609,3690
47,A032280,伙老,20210608,3715
48,A032280,伙老,20210607,3720
49,A032280,伙老,20210604,3850
50,A032280,伙老,20210603,3860
51,A032280,伙老,20210602,3695
52,A032280,伙老,20210601,3585
53,A032280,伙老,20210531,3580
54,A032280,伙老,20210528,3610
55,A032280,伙老,20210527,3450
56,A032280,伙老,20210526,3460
57,A032280,伙老,20210525,3660
58,A032280,伙老,20210524,3500
59,A032280,伙老,20210521,3720
60,A032280,伙老,20210520,3745
61,A032280,伙老,20210518,3800
62,A032280,伙老,20210517,4045
