,종목코드,종목명,날짜,종가
0,A002290,삼일기업공사,20210812,8560
1,A002290,삼일기업공사,20210811,8430
2,A002290,삼일기업공사,20210810,8200
3,A002290,삼일기업공사,20210809,8050
4,A002290,삼일기업공사,20210806,7600
5,A002290,삼일기업공사,20210805,7500
6,A002290,삼일기업공사,20210804,7360
7,A002290,삼일기업공사,20210803,7190
8,A002290,삼일기업공사,20210802,7350
9,A002290,삼일기업공사,20210730,7960
10,A002290,삼일기업공사,20210729,7800
11,A002290,삼일기업공사,20210728,7840
12,A002290,삼일기업공사,20210727,7920
13,A002290,삼일기업공사,20210726,8050
14,A002290,삼일기업공사,20210723,8600
15,A002290,삼일기업공사,20210722,8500
16,A002290,삼일기업공사,20210721,8490
17,A002290,삼일기업공사,20210720,8710
18,A002290,삼일기업공사,20210719,9000
19,A002290,삼일기업공사,20210716,9420
20,A002290,삼일기업공사,20210715,9840
21,A002290,삼일기업공사,20210714,10250
22,A002290,삼일기업공사,20210713,9930
23,A002290,삼일기업공사,20210712,10100
24,A002290,삼일기업공사,20210709,9750
25,A002290,삼일기업공사,20210708,10000
26,A002290,삼일기업공사,20210707,10200
27,A002290,삼일기업공사,20210706,9940
28,A002290,삼일기업공사,20210705,9920
29,A002290,삼일기업공사,20210702,10800
30,A002290,삼일기업공사,20210701,10300
31,A002290,삼일기업공사,20210630,10050
32,A002290,삼일기업공사,20210629,10450
33,A002290,삼일기업공사,20210628,9890
34,A002290,삼일기업공사,20210625,10000
35,A002290,삼일기업공사,20210624,10550
36,A002290,삼일기업공사,20210623,10550
37,A002290,삼일기업공사,20210622,8150
38,A002290,삼일기업공사,20210621,8040
39,A002290,삼일기업공사,20210618,8240
40,A002290,삼일기업공사,20210617,8040
41,A002290,삼일기업공사,20210616,7800
42,A002290,삼일기업공사,20210615,7910
43,A002290,삼일기업공사,20210614,8010
44,A002290,삼일기업공사,20210611,7790
45,A002290,삼일기업공사,20210610,8190
46,A002290,삼일기업공사,20210609,7850
47,A002290,삼일기업공사,20210608,7350
48,A002290,삼일기업공사,20210607,7700
49,A002290,삼일기업공사,20210604,6670
50,A002290,삼일기업공사,20210603,6470
