,종목코드,종목명,날짜,종가
0,A005500,삼진제약,20210812,27500
1,A005500,삼진제약,20210811,27350
2,A005500,삼진제약,20210810,27300
3,A005500,삼진제약,20210809,27700
4,A005500,삼진제약,20210806,27800
5,A005500,삼진제약,20210805,27650
6,A005500,삼진제약,20210804,27000
7,A005500,삼진제약,20210803,27100
8,A005500,삼진제약,20210802,27050
9,A005500,삼진제약,20210730,26850
10,A005500,삼진제약,20210729,27100
11,A005500,삼진제약,20210728,27000
12,A005500,삼진제약,20210727,27150
13,A005500,삼진제약,20210726,26950
14,A005500,삼진제약,20210723,27250
15,A005500,삼진제약,20210722,26900
16,A005500,삼진제약,20210721,26900
17,A005500,삼진제약,20210720,27100
18,A005500,삼진제약,20210719,27650
19,A005500,삼진제약,20210716,27500
20,A005500,삼진제약,20210715,27350
21,A005500,삼진제약,20210714,27050
22,A005500,삼진제약,20210713,27400
23,A005500,삼진제약,20210712,27200
24,A005500,삼진제약,20210709,27150
25,A005500,삼진제약,20210708,27800
26,A005500,삼진제약,20210707,27600
27,A005500,삼진제약,20210706,27750
28,A005500,삼진제약,20210705,28050
29,A005500,삼진제약,20210702,27300
30,A005500,삼진제약,20210701,27550
31,A005500,삼진제약,20210630,27650
32,A005500,삼진제약,20210629,27500
33,A005500,삼진제약,20210628,26800
34,A005500,삼진제약,20210625,26500
35,A005500,삼진제약,20210624,26350
36,A005500,삼진제약,20210623,26800
37,A005500,삼진제약,20210622,26650
38,A005500,삼진제약,20210621,26550
39,A005500,삼진제약,20210618,27100
40,A005500,삼진제약,20210617,27300
41,A005500,삼진제약,20210616,27300
42,A005500,삼진제약,20210615,27600
43,A005500,삼진제약,20210614,27800
44,A005500,삼진제약,20210611,27700
45,A005500,삼진제약,20210610,26950
46,A005500,삼진제약,20210609,27300
47,A005500,삼진제약,20210608,27350
48,A005500,삼진제약,20210607,27900
49,A005500,삼진제약,20210604,27350
50,A005500,삼진제약,20210603,27850
51,A005500,삼진제약,20210602,27800
52,A005500,삼진제약,20210601,26800
53,A005500,삼진제약,20210531,26050
54,A005500,삼진제약,20210528,25400
55,A005500,삼진제약,20210527,25500
56,A005500,삼진제약,20210526,25100
57,A005500,삼진제약,20210525,25000
58,A005500,삼진제약,20210524,25100
59,A005500,삼진제약,20210521,25450
60,A005500,삼진제약,20210520,26000
61,A005500,삼진제약,20210518,25900
62,A005500,삼진제약,20210517,26250
63,A005500,삼진제약,20210514,26600
64,A005500,삼진제약,20210513,26350
65,A005500,삼진제약,20210512,26450
66,A005500,삼진제약,20210511,26500
67,A005500,삼진제약,20210510,26850
68,A005500,삼진제약,20210507,26600
69,A005500,삼진제약,20210506,26700
70,A005500,삼진제약,20210504,26750
71,A005500,삼진제약,20210503,27050
72,A005500,삼진제약,20210430,27100
73,A005500,삼진제약,20210429,26800
74,A005500,삼진제약,20210428,26850
75,A005500,삼진제약,20210427,26850
76,A005500,삼진제약,20210426,26100
77,A005500,삼진제약,20210423,26100
78,A005500,삼진제약,20210422,26150
79,A005500,삼진제약,20210421,26350
80,A005500,삼진제약,20210420,26650
81,A005500,삼진제약,20210419,26650
82,A005500,삼진제약,20210416,26500
83,A005500,삼진제약,20210415,25750
84,A005500,삼진제약,20210414,25700
85,A005500,삼진제약,20210413,25500
86,A005500,삼진제약,20210412,25500
87,A005500,삼진제약,20210409,25200
88,A005500,삼진제약,20210408,24900
89,A005500,삼진제약,20210407,24700
90,A005500,삼진제약,20210406,24750
91,A005500,삼진제약,20210405,24600
92,A005500,삼진제약,20210402,25200
93,A005500,삼진제약,20210401,25200
94,A005500,삼진제약,20210331,24300
95,A005500,삼진제약,20210330,23950
96,A005500,삼진제약,20210329,24000
97,A005500,삼진제약,20210326,24050
98,A005500,삼진제약,20210325,24150
99,A005500,삼진제약,20210324,24200
100,A005500,삼진제약,20210323,23900
101,A005500,삼진제약,20210322,24350
102,A005500,삼진제약,20210319,24700
103,A005500,삼진제약,20210318,24450
104,A005500,삼진제약,20210317,24700
105,A005500,삼진제약,20210316,24350
106,A005500,삼진제약,20210315,24150
107,A005500,삼진제약,20210312,24200
108,A005500,삼진제약,20210311,23800
109,A005500,삼진제약,20210310,23450
110,A005500,삼진제약,20210309,23500
111,A005500,삼진제약,20210308,24350
112,A005500,삼진제약,20210305,24400
113,A005500,삼진제약,20210304,24350
114,A005500,삼진제약,20210303,24700
115,A005500,삼진제약,20210302,24700
116,A005500,삼진제약,20210226,25500
117,A005500,삼진제약,20210225,25300
118,A005500,삼진제약,20210224,25000
119,A005500,삼진제약,20210223,25450
120,A005500,삼진제약,20210222,25850
121,A005500,삼진제약,20210219,25700
122,A005500,삼진제약,20210218,26200
123,A005500,삼진제약,20210217,26450
124,A005500,삼진제약,20210216,26100
125,A005500,삼진제약,20210215,26100
126,A005500,삼진제약,20210210,25600
127,A005500,삼진제약,20210209,25900
128,A005500,삼진제약,20210208,25950
129,A005500,삼진제약,20210205,26400
130,A005500,삼진제약,20210204,26300
131,A005500,삼진제약,20210203,25500
132,A005500,삼진제약,20210202,25150
133,A005500,삼진제약,20210201,25350
134,A005500,삼진제약,20210129,24450
135,A005500,삼진제약,20210128,25200
136,A005500,삼진제약,20210127,25500
137,A005500,삼진제약,20210126,25850
138,A005500,삼진제약,20210125,26150
139,A005500,삼진제약,20210122,25850
140,A005500,삼진제약,20210121,26000
141,A005500,삼진제약,20210120,25700
142,A005500,삼진제약,20210119,25550
143,A005500,삼진제약,20210118,25550
144,A005500,삼진제약,20210115,25750
145,A005500,삼진제약,20210114,26350
146,A005500,삼진제약,20210113,26500
147,A005500,삼진제약,20210112,26500
148,A005500,삼진제약,20210111,26650
149,A005500,삼진제약,20210108,27700
150,A005500,삼진제약,20210107,27350
151,A005500,삼진제약,20210106,27050
152,A005500,삼진제약,20210105,27000
153,A005500,삼진제약,20210104,27000
154,A005500,삼진제약,20201230,27250
155,A005500,삼진제약,20201229,27400
156,A005500,삼진제약,20201228,27900
157,A005500,삼진제약,20201224,28350
158,A005500,삼진제약,20201223,28650
159,A005500,삼진제약,20201222,28200
160,A005500,삼진제약,20201221,28550
161,A005500,삼진제약,20201218,27700
162,A005500,삼진제약,20201217,27150
163,A005500,삼진제약,20201216,27250
164,A005500,삼진제약,20201215,27250
165,A005500,삼진제약,20201214,27500
166,A005500,삼진제약,20201211,27650
167,A005500,삼진제약,20201210,27050
168,A005500,삼진제약,20201209,27000
169,A005500,삼진제약,20201208,26900
170,A005500,삼진제약,20201207,27000
171,A005500,삼진제약,20201204,26850
172,A005500,삼진제약,20201203,27300
173,A005500,삼진제약,20201202,27850
174,A005500,삼진제약,20201201,27700
175,A005500,삼진제약,20201130,28700
176,A005500,삼진제약,20201127,27050
177,A005500,삼진제약,20201126,26900
178,A005500,삼진제약,20201125,26750
179,A005500,삼진제약,20201124,27100
180,A005500,삼진제약,20201123,27050
181,A005500,삼진제약,20201120,27350
182,A005500,삼진제약,20201119,26950
183,A005500,삼진제약,20201118,26950
184,A005500,삼진제약,20201117,26100
185,A005500,삼진제약,20201116,27000
186,A005500,삼진제약,20201113,27050
187,A005500,삼진제약,20201112,27250
188,A005500,삼진제약,20201111,26950
189,A005500,삼진제약,20201110,27000
190,A005500,삼진제약,20201109,26850
191,A005500,삼진제약,20201106,26700
192,A005500,삼진제약,20201105,27200
193,A005500,삼진제약,20201104,26900
194,A005500,삼진제약,20201103,26150
195,A005500,삼진제약,20201102,26100
196,A005500,삼진제약,20201030,25700
197,A005500,삼진제약,20201029,26250
198,A005500,삼진제약,20201028,26200
199,A005500,삼진제약,20201027,26200
200,A005500,삼진제약,20201026,26400
201,A005500,삼진제약,20201023,26550
202,A005500,삼진제약,20201022,26600
203,A005500,삼진제약,20201021,27250
204,A005500,삼진제약,20201020,27400
205,A005500,삼진제약,20201019,27700
206,A005500,삼진제약,20201016,27200
207,A005500,삼진제약,20201015,27550
208,A005500,삼진제약,20201014,28550
209,A005500,삼진제약,20201013,29250
210,A005500,삼진제약,20201012,29450
211,A005500,삼진제약,20201008,29200
212,A005500,삼진제약,20201007,29200
213,A005500,삼진제약,20201006,29200
214,A005500,삼진제약,20201005,28950
215,A005500,삼진제약,20200929,28850
216,A005500,삼진제약,20200928,28900
217,A005500,삼진제약,20200925,27700
218,A005500,삼진제약,20200924,27600
219,A005500,삼진제약,20200923,28450
220,A005500,삼진제약,20200922,29300
221,A005500,삼진제약,20200921,30700
222,A005500,삼진제약,20200918,29800
223,A005500,삼진제약,20200917,29900
224,A005500,삼진제약,20200916,30300
225,A005500,삼진제약,20200915,30900
226,A005500,삼진제약,20200914,29500
227,A005500,삼진제약,20200911,29350
228,A005500,삼진제약,20200910,29600
229,A005500,삼진제약,20200909,29250
230,A005500,삼진제약,20200908,30300
231,A005500,삼진제약,20200907,31200
232,A005500,삼진제약,20200904,31050
