,종목코드,종목명,날짜,종가
0,A041650,상신브레이크,20210812,4630
1,A041650,상신브레이크,20210811,4565
2,A041650,상신브레이크,20210810,4590
3,A041650,상신브레이크,20210809,4525
4,A041650,상신브레이크,20210806,4530
5,A041650,상신브레이크,20210805,4505
6,A041650,상신브레이크,20210804,4450
7,A041650,상신브레이크,20210803,4460
8,A041650,상신브레이크,20210802,4495
9,A041650,상신브레이크,20210730,4490
10,A041650,상신브레이크,20210729,4480
11,A041650,상신브레이크,20210728,4500
12,A041650,상신브레이크,20210727,4570
13,A041650,상신브레이크,20210726,4585
14,A041650,상신브레이크,20210723,4665
15,A041650,상신브레이크,20210722,4650
16,A041650,상신브레이크,20210721,4685
17,A041650,상신브레이크,20210720,4650
18,A041650,상신브레이크,20210719,4725
19,A041650,상신브레이크,20210716,4765
20,A041650,상신브레이크,20210715,4805
21,A041650,상신브레이크,20210714,4775
22,A041650,상신브레이크,20210713,4815
23,A041650,상신브레이크,20210712,4750
24,A041650,상신브레이크,20210709,4740
25,A041650,상신브레이크,20210708,4905
26,A041650,상신브레이크,20210707,4940
27,A041650,상신브레이크,20210706,4915
28,A041650,상신브레이크,20210705,4880
29,A041650,상신브레이크,20210702,4870
30,A041650,상신브레이크,20210701,4870
31,A041650,상신브레이크,20210630,4870
32,A041650,상신브레이크,20210629,4885
33,A041650,상신브레이크,20210628,4900
34,A041650,상신브레이크,20210625,4940
35,A041650,상신브레이크,20210624,4850
36,A041650,상신브레이크,20210623,4860
37,A041650,상신브레이크,20210622,5010
38,A041650,상신브레이크,20210621,4860
39,A041650,상신브레이크,20210618,5070
40,A041650,상신브레이크,20210617,5060
41,A041650,상신브레이크,20210616,5070
42,A041650,상신브레이크,20210615,5080
43,A041650,상신브레이크,20210614,5200
44,A041650,상신브레이크,20210611,5150
45,A041650,상신브레이크,20210610,5090
46,A041650,상신브레이크,20210609,5040
47,A041650,상신브레이크,20210608,5040
48,A041650,상신브레이크,20210607,5130
49,A041650,상신브레이크,20210604,5100
50,A041650,상신브레이크,20210603,4995
51,A041650,상신브레이크,20210602,5020
52,A041650,상신브레이크,20210601,4900
53,A041650,상신브레이크,20210531,4885
54,A041650,상신브레이크,20210528,4885
55,A041650,상신브레이크,20210527,4685
56,A041650,상신브레이크,20210526,4790
57,A041650,상신브레이크,20210525,4860
58,A041650,상신브레이크,20210524,4685
59,A041650,상신브레이크,20210521,4680
60,A041650,상신브레이크,20210520,4595
61,A041650,상신브레이크,20210518,4565
62,A041650,상신브레이크,20210517,4555
63,A041650,상신브레이크,20210514,4550
64,A041650,상신브레이크,20210513,4480
65,A041650,상신브레이크,20210512,4535
66,A041650,상신브레이크,20210511,4610
67,A041650,상신브레이크,20210510,4750
68,A041650,상신브레이크,20210507,4720
69,A041650,상신브레이크,20210506,4590
70,A041650,상신브레이크,20210504,4625
71,A041650,상신브레이크,20210503,4620
72,A041650,상신브레이크,20210430,4640
73,A041650,상신브레이크,20210429,4800
74,A041650,상신브레이크,20210428,4725
75,A041650,상신브레이크,20210427,4790
76,A041650,상신브레이크,20210426,4890
77,A041650,상신브레이크,20210423,4925
78,A041650,상신브레이크,20210422,5010
79,A041650,상신브레이크,20210421,4890
80,A041650,상신브레이크,20210420,4995
81,A041650,상신브레이크,20210419,5020
82,A041650,상신브레이크,20210416,5220
83,A041650,상신브레이크,20210415,5300
84,A041650,상신브레이크,20210414,4705
85,A041650,상신브레이크,20210413,4850
86,A041650,상신브레이크,20210412,4730
87,A041650,상신브레이크,20210409,4250
88,A041650,상신브레이크,20210408,4280
89,A041650,상신브레이크,20210407,4285
90,A041650,상신브레이크,20210406,4170
91,A041650,상신브레이크,20210405,4240
92,A041650,상신브레이크,20210402,4225
93,A041650,상신브레이크,20210401,4150
94,A041650,상신브레이크,20210331,4185
95,A041650,상신브레이크,20210330,4240
96,A041650,상신브레이크,20210329,4245
97,A041650,상신브레이크,20210326,4275
98,A041650,상신브레이크,20210325,4280
99,A041650,상신브레이크,20210324,4340
100,A041650,상신브레이크,20210323,4400
101,A041650,상신브레이크,20210322,4515
102,A041650,상신브레이크,20210319,4530
103,A041650,상신브레이크,20210318,4395
104,A041650,상신브레이크,20210317,4205
105,A041650,상신브레이크,20210316,4290
106,A041650,상신브레이크,20210315,4330
107,A041650,상신브레이크,20210312,4335
108,A041650,상신브레이크,20210311,4295
109,A041650,상신브레이크,20210310,4210
110,A041650,상신브레이크,20210309,4240
111,A041650,상신브레이크,20210308,4395
112,A041650,상신브레이크,20210305,4540
113,A041650,상신브레이크,20210304,4395
114,A041650,상신브레이크,20210303,4515
115,A041650,상신브레이크,20210302,4570
