,종목코드,종목명,날짜,종가
0,A093920,서원인텍,20210812,7310
1,A093920,서원인텍,20210811,7290
2,A093920,서원인텍,20210810,7360
3,A093920,서원인텍,20210809,7380
4,A093920,서원인텍,20210806,7350
5,A093920,서원인텍,20210805,7350
6,A093920,서원인텍,20210804,7350
7,A093920,서원인텍,20210803,7310
8,A093920,서원인텍,20210802,7340
9,A093920,서원인텍,20210730,7420
10,A093920,서원인텍,20210729,7530
11,A093920,서원인텍,20210728,7510
12,A093920,서원인텍,20210727,7540
13,A093920,서원인텍,20210726,7530
14,A093920,서원인텍,20210723,7570
15,A093920,서원인텍,20210722,7540
16,A093920,서원인텍,20210721,7520
17,A093920,서원인텍,20210720,7540
18,A093920,서원인텍,20210719,7630
19,A093920,서원인텍,20210716,7670
20,A093920,서원인텍,20210715,7720
21,A093920,서원인텍,20210714,7590
22,A093920,서원인텍,20210713,7600
23,A093920,서원인텍,20210712,7480
24,A093920,서원인텍,20210709,7480
25,A093920,서원인텍,20210708,7650
26,A093920,서원인텍,20210707,7780
27,A093920,서원인텍,20210706,7800
28,A093920,서원인텍,20210705,7820
29,A093920,서원인텍,20210702,7670
30,A093920,서원인텍,20210701,7680
31,A093920,서원인텍,20210630,7690
32,A093920,서원인텍,20210629,7660
33,A093920,서원인텍,20210628,7690
34,A093920,서원인텍,20210625,7690
35,A093920,서원인텍,20210624,7670
36,A093920,서원인텍,20210623,7690
37,A093920,서원인텍,20210622,7720
38,A093920,서원인텍,20210621,7610
39,A093920,서원인텍,20210618,7640
40,A093920,서원인텍,20210617,7530
41,A093920,서원인텍,20210616,7560
42,A093920,서원인텍,20210615,7550
43,A093920,서원인텍,20210614,7580
44,A093920,서원인텍,20210611,7620
45,A093920,서원인텍,20210610,7600
46,A093920,서원인텍,20210609,7570
47,A093920,서원인텍,20210608,7660
48,A093920,서원인텍,20210607,7570
49,A093920,서원인텍,20210604,7600
50,A093920,서원인텍,20210603,7560
51,A093920,서원인텍,20210602,7490
52,A093920,서원인텍,20210601,7500
53,A093920,서원인텍,20210531,7420
54,A093920,서원인텍,20210528,7400
55,A093920,서원인텍,20210527,7370
56,A093920,서원인텍,20210526,7350
57,A093920,서원인텍,20210525,7310
58,A093920,서원인텍,20210524,7220
59,A093920,서원인텍,20210521,7430
60,A093920,서원인텍,20210520,7460
61,A093920,서원인텍,20210518,7430
62,A093920,서원인텍,20210517,7500
63,A093920,서원인텍,20210514,7780
64,A093920,서원인텍,20210513,7720
65,A093920,서원인텍,20210512,7730
66,A093920,서원인텍,20210511,7880
67,A093920,서원인텍,20210510,7920
68,A093920,서원인텍,20210507,7860
69,A093920,서원인텍,20210506,7820
70,A093920,서원인텍,20210504,7670
71,A093920,서원인텍,20210503,7670
72,A093920,서원인텍,20210430,7750
73,A093920,서원인텍,20210429,7960
74,A093920,서원인텍,20210428,8060
75,A093920,서원인텍,20210427,8260
76,A093920,서원인텍,20210426,8260
77,A093920,서원인텍,20210423,8160
78,A093920,서원인텍,20210422,8160
79,A093920,서원인텍,20210421,8110
80,A093920,서원인텍,20210420,8170
81,A093920,서원인텍,20210419,8170
82,A093920,서원인텍,20210416,8150
83,A093920,서원인텍,20210415,8170
84,A093920,서원인텍,20210414,8180
85,A093920,서원인텍,20210413,8200
86,A093920,서원인텍,20210412,8160
87,A093920,서원인텍,20210409,8080
88,A093920,서원인텍,20210408,8000
89,A093920,서원인텍,20210407,7970
90,A093920,서원인텍,20210406,8040
91,A093920,서원인텍,20210405,7950
92,A093920,서원인텍,20210402,7990
93,A093920,서원인텍,20210401,7800
94,A093920,서원인텍,20210331,7810
95,A093920,서원인텍,20210330,7860
96,A093920,서원인텍,20210329,7840
97,A093920,서원인텍,20210326,7830
98,A093920,서원인텍,20210325,7870
99,A093920,서원인텍,20210324,7810
100,A093920,서원인텍,20210323,7850
101,A093920,서원인텍,20210322,7920
102,A093920,서원인텍,20210319,7910
103,A093920,서원인텍,20210318,7920
104,A093920,서원인텍,20210317,7930
105,A093920,서원인텍,20210316,8050
106,A093920,서원인텍,20210315,7940
107,A093920,서원인텍,20210312,7560
108,A093920,서원인텍,20210311,7310
109,A093920,서원인텍,20210310,7160
110,A093920,서원인텍,20210309,7250
111,A093920,서원인텍,20210308,7400
112,A093920,서원인텍,20210305,7500
113,A093920,서원인텍,20210304,7630
114,A093920,서원인텍,20210303,7860
115,A093920,서원인텍,20210302,7690
116,A093920,서원인텍,20210226,7800
117,A093920,서원인텍,20210225,8030
118,A093920,서원인텍,20210224,7930
119,A093920,서원인텍,20210223,8380
120,A093920,서원인텍,20210222,8580
121,A093920,서원인텍,20210219,8730
122,A093920,서원인텍,20210218,8870
123,A093920,서원인텍,20210217,9090
124,A093920,서원인텍,20210216,8950
125,A093920,서원인텍,20210215,8750
126,A093920,서원인텍,20210210,8610
127,A093920,서원인텍,20210209,8610
128,A093920,서원인텍,20210208,8820
129,A093920,서원인텍,20210205,9030
130,A093920,서원인텍,20210204,8910
131,A093920,서원인텍,20210203,9060
132,A093920,서원인텍,20210202,8460
133,A093920,서원인텍,20210201,8400
134,A093920,서원인텍,20210129,8420
135,A093920,서원인텍,20210128,9030
136,A093920,서원인텍,20210127,9360
137,A093920,서원인텍,20210126,9300
138,A093920,서원인텍,20210125,9250
139,A093920,서원인텍,20210122,9240
140,A093920,서원인텍,20210121,9220
141,A093920,서원인텍,20210120,9170
142,A093920,서원인텍,20210119,9200
143,A093920,서원인텍,20210118,8560
144,A093920,서원인텍,20210115,8570
145,A093920,서원인텍,20210114,8670
146,A093920,서원인텍,20210113,8700
147,A093920,서원인텍,20210112,8830
148,A093920,서원인텍,20210111,8700
149,A093920,서원인텍,20210108,9060
150,A093920,서원인텍,20210107,9230
151,A093920,서원인텍,20210106,9080
152,A093920,서원인텍,20210105,8130
153,A093920,서원인텍,20210104,8030
154,A093920,서원인텍,20201230,7700
155,A093920,서원인텍,20201229,7470
156,A093920,서원인텍,20201228,7620
157,A093920,서원인텍,20201224,7450
158,A093920,서원인텍,20201223,7280
159,A093920,서원인텍,20201222,7280
160,A093920,서원인텍,20201221,7410
161,A093920,서원인텍,20201218,7380
162,A093920,서원인텍,20201217,7450
163,A093920,서원인텍,20201216,7410
164,A093920,서원인텍,20201215,7330
165,A093920,서원인텍,20201214,7390
166,A093920,서원인텍,20201211,7580
167,A093920,서원인텍,20201210,7700
168,A093920,서원인텍,20201209,7620
169,A093920,서원인텍,20201208,7260
170,A093920,서원인텍,20201207,7310
171,A093920,서원인텍,20201204,7130
172,A093920,서원인텍,20201203,6910
173,A093920,서원인텍,20201202,6840
174,A093920,서원인텍,20201201,6750
175,A093920,서원인텍,20201130,6750
176,A093920,서원인텍,20201127,6750
177,A093920,서원인텍,20201126,6680
