,종목코드,종목명,날짜,종가
0,A178320,서진시스템,20210812,41000
1,A178320,서진시스템,20210811,41250
2,A178320,서진시스템,20210810,41600
3,A178320,서진시스템,20210809,42150
4,A178320,서진시스템,20210806,41950
5,A178320,서진시스템,20210805,41950
6,A178320,서진시스템,20210804,41750
7,A178320,서진시스템,20210803,41550
8,A178320,서진시스템,20210802,41200
9,A178320,서진시스템,20210730,41450
10,A178320,서진시스템,20210729,42050
11,A178320,서진시스템,20210728,41900
12,A178320,서진시스템,20210727,42700
13,A178320,서진시스템,20210726,43400
14,A178320,서진시스템,20210723,44950
15,A178320,서진시스템,20210722,43950
16,A178320,서진시스템,20210721,42900
17,A178320,서진시스템,20210720,43350
18,A178320,서진시스템,20210719,43300
19,A178320,서진시스템,20210716,42000
20,A178320,서진시스템,20210715,42450
21,A178320,서진시스템,20210714,41750
22,A178320,서진시스템,20210713,41900
23,A178320,서진시스템,20210712,41450
24,A178320,서진시스템,20210709,41850
25,A178320,서진시스템,20210708,41000
26,A178320,서진시스템,20210707,42250
27,A178320,서진시스템,20210706,43150
28,A178320,서진시스템,20210705,43100
29,A178320,서진시스템,20210702,42650
30,A178320,서진시스템,20210701,42750
31,A178320,서진시스템,20210630,43200
32,A178320,서진시스템,20210629,42400
33,A178320,서진시스템,20210628,43650
34,A178320,서진시스템,20210625,44150
35,A178320,서진시스템,20210624,44400
36,A178320,서진시스템,20210623,44300
37,A178320,서진시스템,20210622,45400
38,A178320,서진시스템,20210621,46400
39,A178320,서진시스템,20210618,46350
40,A178320,서진시스템,20210617,43500
41,A178320,서진시스템,20210616,42600
42,A178320,서진시스템,20210615,43350
43,A178320,서진시스템,20210614,43500
44,A178320,서진시스템,20210611,43200
45,A178320,서진시스템,20210610,43100
46,A178320,서진시스템,20210609,41950
47,A178320,서진시스템,20210608,43000
48,A178320,서진시스템,20210607,43850
49,A178320,서진시스템,20210604,44650
50,A178320,서진시스템,20210603,44350
51,A178320,서진시스템,20210602,42050
52,A178320,서진시스템,20210601,42350
53,A178320,서진시스템,20210531,43300
54,A178320,서진시스템,20210528,41250
55,A178320,서진시스템,20210527,40200
56,A178320,서진시스템,20210526,40500
57,A178320,서진시스템,20210525,39650
58,A178320,서진시스템,20210524,39900
59,A178320,서진시스템,20210521,40400
60,A178320,서진시스템,20210520,41000
61,A178320,서진시스템,20210518,40600
62,A178320,서진시스템,20210517,40200
63,A178320,서진시스템,20210514,40850
64,A178320,서진시스템,20210513,40050
65,A178320,서진시스템,20210512,40200
66,A178320,서진시스템,20210511,41050
67,A178320,서진시스템,20210510,42800
68,A178320,서진시스템,20210507,42600
69,A178320,서진시스템,20210506,42300
70,A178320,서진시스템,20210504,41850
71,A178320,서진시스템,20210503,42050
72,A178320,서진시스템,20210430,43600
73,A178320,서진시스템,20210429,43600
74,A178320,서진시스템,20210428,44300
75,A178320,서진시스템,20210427,45400
76,A178320,서진시스템,20210426,46600
77,A178320,서진시스템,20210423,47050
78,A178320,서진시스템,20210422,47150
79,A178320,서진시스템,20210421,47100
80,A178320,서진시스템,20210420,46300
81,A178320,서진시스템,20210419,47000
82,A178320,서진시스템,20210416,47750
83,A178320,서진시스템,20210415,47900
84,A178320,서진시스템,20210414,47650
85,A178320,서진시스템,20210413,47450
86,A178320,서진시스템,20210412,45300
87,A178320,서진시스템,20210409,44950
88,A178320,서진시스템,20210408,45300
89,A178320,서진시스템,20210407,43650
90,A178320,서진시스템,20210406,44800
91,A178320,서진시스템,20210405,45650
92,A178320,서진시스템,20210402,46450
93,A178320,서진시스템,20210401,45750
94,A178320,서진시스템,20210331,46600
95,A178320,서진시스템,20210330,46600
96,A178320,서진시스템,20210329,47400
97,A178320,서진시스템,20210326,47150
98,A178320,서진시스템,20210325,46950
99,A178320,서진시스템,20210324,47450
100,A178320,서진시스템,20210323,43750
101,A178320,서진시스템,20210322,43200
102,A178320,서진시스템,20210319,44950
103,A178320,서진시스템,20210318,44600
104,A178320,서진시스템,20210317,45050
105,A178320,서진시스템,20210316,44350
106,A178320,서진시스템,20210315,42850
107,A178320,서진시스템,20210312,43200
108,A178320,서진시스템,20210311,42350
109,A178320,서진시스템,20210310,41100
110,A178320,서진시스템,20210309,41600
111,A178320,서진시스템,20210308,41950
112,A178320,서진시스템,20210305,43900
113,A178320,서진시스템,20210304,39200
114,A178320,서진시스템,20210303,40000
115,A178320,서진시스템,20210302,40200
116,A178320,서진시스템,20210226,40450
117,A178320,서진시스템,20210225,41800
118,A178320,서진시스템,20210224,40900
119,A178320,서진시스템,20210223,43450
120,A178320,서진시스템,20210222,44000
121,A178320,서진시스템,20210219,45700
122,A178320,서진시스템,20210218,46350
123,A178320,서진시스템,20210217,44250
124,A178320,서진시스템,20210216,42750
125,A178320,서진시스템,20210215,41750
126,A178320,서진시스템,20210210,39550
127,A178320,서진시스템,20210209,40050
128,A178320,서진시스템,20210208,40300
129,A178320,서진시스템,20210205,41200
130,A178320,서진시스템,20210204,41000
131,A178320,서진시스템,20210203,42150
132,A178320,서진시스템,20210202,41850
133,A178320,서진시스템,20210201,42300
134,A178320,서진시스템,20210129,41400
135,A178320,서진시스템,20210128,42850
136,A178320,서진시스템,20210127,43850
