,종목코드,종목명,날짜,종가
0,A122690,서진오토모티브,20210812,2875
1,A122690,서진오토모티브,20210811,2800
2,A122690,서진오토모티브,20210810,2800
3,A122690,서진오토모티브,20210809,2835
4,A122690,서진오토모티브,20210806,2830
5,A122690,서진오토모티브,20210805,2830
6,A122690,서진오토모티브,20210804,2830
7,A122690,서진오토모티브,20210803,2820
8,A122690,서진오토모티브,20210802,2770
9,A122690,서진오토모티브,20210730,2790
10,A122690,서진오토모티브,20210729,2800
11,A122690,서진오토모티브,20210728,2785
12,A122690,서진오토모티브,20210727,2780
13,A122690,서진오토모티브,20210726,2790
14,A122690,서진오토모티브,20210723,2825
15,A122690,서진오토모티브,20210722,2865
16,A122690,서진오토모티브,20210721,2870
17,A122690,서진오토모티브,20210720,2905
18,A122690,서진오토모티브,20210719,2935
19,A122690,서진오토모티브,20210716,2950
20,A122690,서진오토모티브,20210715,2955
21,A122690,서진오토모티브,20210714,2995
22,A122690,서진오토모티브,20210713,2960
23,A122690,서진오토모티브,20210712,2825
24,A122690,서진오토모티브,20210709,2835
25,A122690,서진오토모티브,20210708,2875
26,A122690,서진오토모티브,20210707,2860
27,A122690,서진오토모티브,20210706,2890
28,A122690,서진오토모티브,20210705,2860
29,A122690,서진오토모티브,20210702,3010
30,A122690,서진오토모티브,20210701,3020
31,A122690,서진오토모티브,20210630,3045
32,A122690,서진오토모티브,20210629,3060
33,A122690,서진오토모티브,20210628,3045
34,A122690,서진오토모티브,20210625,2920
35,A122690,서진오토모티브,20210624,2880
36,A122690,서진오토모티브,20210623,2860
37,A122690,서진오토모티브,20210622,2910
38,A122690,서진오토모티브,20210621,2840
39,A122690,서진오토모티브,20210618,2875
40,A122690,서진오토모티브,20210617,2885
41,A122690,서진오토모티브,20210616,2875
42,A122690,서진오토모티브,20210615,2845
43,A122690,서진오토모티브,20210614,2865
44,A122690,서진오토모티브,20210611,2900
45,A122690,서진오토모티브,20210610,2870
46,A122690,서진오토모티브,20210609,2900
47,A122690,서진오토모티브,20210608,2800
48,A122690,서진오토모티브,20210607,2850
49,A122690,서진오토모티브,20210604,2745
50,A122690,서진오토모티브,20210603,2720
51,A122690,서진오토모티브,20210602,2740
52,A122690,서진오토모티브,20210601,2710
53,A122690,서진오토모티브,20210531,2715
54,A122690,서진오토모티브,20210528,2670
55,A122690,서진오토모티브,20210527,2660
56,A122690,서진오토모티브,20210526,2670
57,A122690,서진오토모티브,20210525,2660
58,A122690,서진오토모티브,20210524,2590
59,A122690,서진오토모티브,20210521,2670
60,A122690,서진오토모티브,20210520,2700
61,A122690,서진오토모티브,20210518,2725
62,A122690,서진오토모티브,20210517,2625
63,A122690,서진오토모티브,20210514,2820
64,A122690,서진오토모티브,20210513,2830
65,A122690,서진오토모티브,20210512,2845
66,A122690,서진오토모티브,20210511,3095
67,A122690,서진오토모티브,20210510,2945
68,A122690,서진오토모티브,20210507,2775
69,A122690,서진오토모티브,20210506,2780
70,A122690,서진오토모티브,20210504,2695
71,A122690,서진오토모티브,20210503,2710
72,A122690,서진오토모티브,20210430,2700
73,A122690,서진오토모티브,20210429,2715
74,A122690,서진오토모티브,20210428,2765
75,A122690,서진오토모티브,20210427,2815
76,A122690,서진오토모티브,20210426,2850
77,A122690,서진오토모티브,20210423,2760
78,A122690,서진오토모티브,20210422,2800
79,A122690,서진오토모티브,20210421,2855
80,A122690,서진오토모티브,20210420,2890
81,A122690,서진오토모티브,20210419,2855
82,A122690,서진오토모티브,20210416,2815
83,A122690,서진오토모티브,20210415,2760
84,A122690,서진오토모티브,20210414,2770
85,A122690,서진오토모티브,20210413,2725
86,A122690,서진오토모티브,20210412,2805
87,A122690,서진오토모티브,20210409,2850
88,A122690,서진오토모티브,20210408,2985
89,A122690,서진오토모티브,20210407,2965
90,A122690,서진오토모티브,20210406,3025
91,A122690,서진오토모티브,20210405,3100
92,A122690,서진오토모티브,20210402,2930
93,A122690,서진오토모티브,20210401,2850
94,A122690,서진오토모티브,20210331,2875
95,A122690,서진오토모티브,20210330,2675
96,A122690,서진오토모티브,20210329,2520
97,A122690,서진오토모티브,20210326,2760
98,A122690,서진오토모티브,20210325,3300
99,A122690,서진오토모티브,20210324,3370
100,A122690,서진오토모티브,20210323,3330
101,A122690,서진오토모티브,20210322,3630
102,A122690,서진오토모티브,20210319,3490
103,A122690,서진오토모티브,20210318,3180
104,A122690,서진오토모티브,20210317,3150
105,A122690,서진오토모티브,20210316,3020
106,A122690,서진오토모티브,20210315,3045
107,A122690,서진오토모티브,20210312,3070
108,A122690,서진오토모티브,20210311,3005
109,A122690,서진오토모티브,20210310,3100
110,A122690,서진오토모티브,20210309,2920
111,A122690,서진오토모티브,20210308,2910
112,A122690,서진오토모티브,20210305,2955
113,A122690,서진오토모티브,20210304,2950
114,A122690,서진오토모티브,20210303,2910
115,A122690,서진오토모티브,20210302,2875
116,A122690,서진오토모티브,20210226,2740
117,A122690,서진오토모티브,20210225,2680
118,A122690,서진오토모티브,20210224,2625
119,A122690,서진오토모티브,20210223,2650
120,A122690,서진오토모티브,20210222,2630
121,A122690,서진오토모티브,20210219,2565
122,A122690,서진오토모티브,20210218,2650
123,A122690,서진오토모티브,20210217,2650
124,A122690,서진오토모티브,20210216,2655
125,A122690,서진오토모티브,20210215,2650
126,A122690,서진오토모티브,20210210,2670
127,A122690,서진오토모티브,20210209,2630
128,A122690,서진오토모티브,20210208,2660
