,종목코드,종목명,날짜,종가
0,A140070,서플러스글로벌,20210812,5690
1,A140070,서플러스글로벌,20210811,5640
2,A140070,서플러스글로벌,20210810,5860
3,A140070,서플러스글로벌,20210809,5990
4,A140070,서플러스글로벌,20210806,6100
5,A140070,서플러스글로벌,20210805,6180
6,A140070,서플러스글로벌,20210804,6110
7,A140070,서플러스글로벌,20210803,5910
8,A140070,서플러스글로벌,20210802,6030
9,A140070,서플러스글로벌,20210730,5840
10,A140070,서플러스글로벌,20210729,5680
11,A140070,서플러스글로벌,20210728,5600
12,A140070,서플러스글로벌,20210727,5640
13,A140070,서플러스글로벌,20210726,5520
14,A140070,서플러스글로벌,20210723,5700
15,A140070,서플러스글로벌,20210722,5710
16,A140070,서플러스글로벌,20210721,5530
17,A140070,서플러스글로벌,20210720,5580
18,A140070,서플러스글로벌,20210719,5660
19,A140070,서플러스글로벌,20210716,5750
20,A140070,서플러스글로벌,20210715,5730
21,A140070,서플러스글로벌,20210714,5570
22,A140070,서플러스글로벌,20210713,5550
23,A140070,서플러스글로벌,20210712,5310
24,A140070,서플러스글로벌,20210709,5280
25,A140070,서플러스글로벌,20210708,5430
26,A140070,서플러스글로벌,20210707,5530
27,A140070,서플러스글로벌,20210706,5540
28,A140070,서플러스글로벌,20210705,5530
29,A140070,서플러스글로벌,20210702,5580
30,A140070,서플러스글로벌,20210701,5590
31,A140070,서플러스글로벌,20210630,5620
32,A140070,서플러스글로벌,20210629,5530
33,A140070,서플러스글로벌,20210628,5600
34,A140070,서플러스글로벌,20210625,5580
35,A140070,서플러스글로벌,20210624,5540
36,A140070,서플러스글로벌,20210623,5550
37,A140070,서플러스글로벌,20210622,5610
38,A140070,서플러스글로벌,20210621,5690
39,A140070,서플러스글로벌,20210618,5800
40,A140070,서플러스글로벌,20210617,5690
41,A140070,서플러스글로벌,20210616,5730
42,A140070,서플러스글로벌,20210615,5730
43,A140070,서플러스글로벌,20210614,5730
44,A140070,서플러스글로벌,20210611,5760
45,A140070,서플러스글로벌,20210610,5630
46,A140070,서플러스글로벌,20210609,5480
47,A140070,서플러스글로벌,20210608,5660
48,A140070,서플러스글로벌,20210607,5770
49,A140070,서플러스글로벌,20210604,5910
50,A140070,서플러스글로벌,20210603,6030
51,A140070,서플러스글로벌,20210602,5810
52,A140070,서플러스글로벌,20210601,5820
53,A140070,서플러스글로벌,20210531,5690
54,A140070,서플러스글로벌,20210528,5620
55,A140070,서플러스글로벌,20210527,5570
56,A140070,서플러스글로벌,20210526,5570
57,A140070,서플러스글로벌,20210525,5690
58,A140070,서플러스글로벌,20210524,5690
59,A140070,서플러스글로벌,20210521,6010
60,A140070,서플러스글로벌,20210520,6270
61,A140070,서플러스글로벌,20210518,6000
62,A140070,서플러스글로벌,20210517,5600
63,A140070,서플러스글로벌,20210514,5760
64,A140070,서플러스글로벌,20210513,5280
65,A140070,서플러스글로벌,20210512,5580
66,A140070,서플러스글로벌,20210511,5780
67,A140070,서플러스글로벌,20210510,5990
68,A140070,서플러스글로벌,20210507,5830
69,A140070,서플러스글로벌,20210506,5860
70,A140070,서플러스글로벌,20210504,5850
71,A140070,서플러스글로벌,20210503,5700
72,A140070,서플러스글로벌,20210430,5870
73,A140070,서플러스글로벌,20210429,6050
74,A140070,서플러스글로벌,20210428,6130
75,A140070,서플러스글로벌,20210427,6360
76,A140070,서플러스글로벌,20210426,6510
77,A140070,서플러스글로벌,20210423,6330
78,A140070,서플러스글로벌,20210422,6250
79,A140070,서플러스글로벌,20210421,6330
80,A140070,서플러스글로벌,20210420,6410
81,A140070,서플러스글로벌,20210419,6620
82,A140070,서플러스글로벌,20210416,6250
83,A140070,서플러스글로벌,20210415,6210
84,A140070,서플러스글로벌,20210414,6420
85,A140070,서플러스글로벌,20210413,6910
86,A140070,서플러스글로벌,20210412,6120
87,A140070,서플러스글로벌,20210409,5920
88,A140070,서플러스글로벌,20210408,5430
89,A140070,서플러스글로벌,20210407,5390
90,A140070,서플러스글로벌,20210406,5500
91,A140070,서플러스글로벌,20210405,5710
92,A140070,서플러스글로벌,20210402,5630
93,A140070,서플러스글로벌,20210401,5410
94,A140070,서플러스글로벌,20210331,5190
95,A140070,서플러스글로벌,20210330,5130
96,A140070,서플러스글로벌,20210329,4915
97,A140070,서플러스글로벌,20210326,4880
98,A140070,서플러스글로벌,20210325,4965
99,A140070,서플러스글로벌,20210324,5070
100,A140070,서플러스글로벌,20210323,5020
101,A140070,서플러스글로벌,20210322,5080
102,A140070,서플러스글로벌,20210319,4830
103,A140070,서플러스글로벌,20210318,4630
104,A140070,서플러스글로벌,20210317,4545
105,A140070,서플러스글로벌,20210316,4585
106,A140070,서플러스글로벌,20210315,4585
107,A140070,서플러스글로벌,20210312,4600
108,A140070,서플러스글로벌,20210311,4530
109,A140070,서플러스글로벌,20210310,4415
110,A140070,서플러스글로벌,20210309,4315
111,A140070,서플러스글로벌,20210308,4390
112,A140070,서플러스글로벌,20210305,4515
113,A140070,서플러스글로벌,20210304,4495
114,A140070,서플러스글로벌,20210303,4685
115,A140070,서플러스글로벌,20210302,4630
116,A140070,서플러스글로벌,20210226,4595
117,A140070,서플러스글로벌,20210225,4805
118,A140070,서플러스글로벌,20210224,4750
119,A140070,서플러스글로벌,20210223,4880
120,A140070,서플러스글로벌,20210222,5010
121,A140070,서플러스글로벌,20210219,5110
122,A140070,서플러스글로벌,20210218,5210
123,A140070,서플러스글로벌,20210217,5640
124,A140070,서플러스글로벌,20210216,5340
125,A140070,서플러스글로벌,20210215,5410
126,A140070,서플러스글로벌,20210210,5110
127,A140070,서플러스글로벌,20210209,4895
128,A140070,서플러스글로벌,20210208,5040
129,A140070,서플러스글로벌,20210205,5020
130,A140070,서플러스글로벌,20210204,5120
131,A140070,서플러스글로벌,20210203,4960
132,A140070,서플러스글로벌,20210202,4860
133,A140070,서플러스글로벌,20210201,4570
134,A140070,서플러스글로벌,20210129,4310
135,A140070,서플러스글로벌,20210128,4500
136,A140070,서플러스글로벌,20210127,4900
137,A140070,서플러스글로벌,20210126,5610
138,A140070,서플러스글로벌,20210125,4320
139,A140070,서플러스글로벌,20210122,4060
140,A140070,서플러스글로벌,20210121,4085
141,A140070,서플러스글로벌,20210120,3700
142,A140070,서플러스글로벌,20210119,3400
143,A140070,서플러스글로벌,20210118,3285
144,A140070,서플러스글로벌,20210115,3310
145,A140070,서플러스글로벌,20210114,3360
146,A140070,서플러스글로벌,20210113,3355
147,A140070,서플러스글로벌,20210112,3305
148,A140070,서플러스글로벌,20210111,3210
149,A140070,서플러스글로벌,20210108,3325
150,A140070,서플러스글로벌,20210107,3380
151,A140070,서플러스글로벌,20210106,3245
152,A140070,서플러스글로벌,20210105,3105
153,A140070,서플러스글로벌,20210104,3105
154,A140070,서플러스글로벌,20201230,3150
155,A140070,서플러스글로벌,20201229,3085
156,A140070,서플러스글로벌,20201228,2945
157,A140070,서플러스글로벌,20201224,2920
158,A140070,서플러스글로벌,20201223,2780
159,A140070,서플러스글로벌,20201222,2770
160,A140070,서플러스글로벌,20201221,2860
161,A140070,서플러스글로벌,20201218,2925
162,A140070,서플러스글로벌,20201217,2890
163,A140070,서플러스글로벌,20201216,2850
164,A140070,서플러스글로벌,20201215,2770
165,A140070,서플러스글로벌,20201214,2840
166,A140070,서플러스글로벌,20201211,2885
167,A140070,서플러스글로벌,20201210,2875
168,A140070,서플러스글로벌,20201209,2845
169,A140070,서플러스글로벌,20201208,2800
170,A140070,서플러스글로벌,20201207,2820
171,A140070,서플러스글로벌,20201204,2890
172,A140070,서플러스글로벌,20201203,2900
173,A140070,서플러스글로벌,20201202,2935
174,A140070,서플러스글로벌,20201201,2970
175,A140070,서플러스글로벌,20201130,2995
176,A140070,서플러스글로벌,20201127,3020
177,A140070,서플러스글로벌,20201126,2900
178,A140070,서플러스글로벌,20201125,2950
179,A140070,서플러스글로벌,20201124,3060
180,A140070,서플러스글로벌,20201123,3035
181,A140070,서플러스글로벌,20201120,3015
182,A140070,서플러스글로벌,20201119,3005
183,A140070,서플러스글로벌,20201118,3045
184,A140070,서플러스글로벌,20201117,3060
185,A140070,서플러스글로벌,20201116,3120
186,A140070,서플러스글로벌,20201113,3030
187,A140070,서플러스글로벌,20201112,3030
188,A140070,서플러스글로벌,20201111,3055
189,A140070,서플러스글로벌,20201110,3070
190,A140070,서플러스글로벌,20201109,3075
191,A140070,서플러스글로벌,20201106,2975
192,A140070,서플러스글로벌,20201105,3030
193,A140070,서플러스글로벌,20201104,3045
194,A140070,서플러스글로벌,20201103,3000
195,A140070,서플러스글로벌,20201102,2960
196,A140070,서플러스글로벌,20201030,2925
197,A140070,서플러스글로벌,20201029,2935
198,A140070,서플러스글로벌,20201028,2975
199,A140070,서플러스글로벌,20201027,2850
200,A140070,서플러스글로벌,20201026,2795
201,A140070,서플러스글로벌,20201023,2960
202,A140070,서플러스글로벌,20201022,3020
203,A140070,서플러스글로벌,20201021,3170
204,A140070,서플러스글로벌,20201020,3050
205,A140070,서플러스글로벌,20201019,3045
206,A140070,서플러스글로벌,20201016,3135
207,A140070,서플러스글로벌,20201015,3185
208,A140070,서플러스글로벌,20201014,3310
209,A140070,서플러스글로벌,20201013,3385
210,A140070,서플러스글로벌,20201012,3395
211,A140070,서플러스글로벌,20201008,3390
212,A140070,서플러스글로벌,20201007,3430
213,A140070,서플러스글로벌,20201006,3420
214,A140070,서플러스글로벌,20201005,3455
215,A140070,서플러스글로벌,20200929,3380
216,A140070,서플러스글로벌,20200928,3380
217,A140070,서플러스글로벌,20200925,3160
218,A140070,서플러스글로벌,20200924,3275
219,A140070,서플러스글로벌,20200923,3300
220,A140070,서플러스글로벌,20200922,3185
221,A140070,서플러스글로벌,20200921,3290
222,A140070,서플러스글로벌,20200918,3380
223,A140070,서플러스글로벌,20200917,3360
224,A140070,서플러스글로벌,20200916,3465
225,A140070,서플러스글로벌,20200915,3560
226,A140070,서플러스글로벌,20200914,3500
227,A140070,서플러스글로벌,20200911,3530
228,A140070,서플러스글로벌,20200910,3460
229,A140070,서플러스글로벌,20200909,2885
230,A140070,서플러스글로벌,20200908,2895
231,A140070,서플러스글로벌,20200907,2920
232,A140070,서플러스글로벌,20200904,2840
233,A140070,서플러스글로벌,20200903,2935
234,A140070,서플러스글로벌,20200902,2825
235,A140070,서플러스글로벌,20200901,2830
236,A140070,서플러스글로벌,20200831,2830
237,A140070,서플러스글로벌,20200828,2795
238,A140070,서플러스글로벌,20200827,2710
239,A140070,서플러스글로벌,20200826,2835
240,A140070,서플러스글로벌,20200825,2935
241,A140070,서플러스글로벌,20200824,2835
242,A140070,서플러스글로벌,20200821,2800
243,A140070,서플러스글로벌,20200820,2810
244,A140070,서플러스글로벌,20200819,3070
245,A140070,서플러스글로벌,20200818,2990
246,A140070,서플러스글로벌,20200814,3295
247,A140070,서플러스글로벌,20200813,3595
248,A140070,서플러스글로벌,20200812,3475
249,A140070,서플러스글로벌,20200811,3665
250,A140070,서플러스글로벌,20200810,3625
251,A140070,서플러스글로벌,20200807,3355
252,A140070,서플러스글로벌,20200806,3070
253,A140070,서플러스글로벌,20200805,2975
254,A140070,서플러스글로벌,20200804,2970
255,A140070,서플러스글로벌,20200803,2835
256,A140070,서플러스글로벌,20200731,2830
257,A140070,서플러스글로벌,20200730,2870
258,A140070,서플러스글로벌,20200729,2750
259,A140070,서플러스글로벌,20200728,2740
260,A140070,서플러스글로벌,20200727,2810
261,A140070,서플러스글로벌,20200724,2620
262,A140070,서플러스글로벌,20200723,2710
263,A140070,서플러스글로벌,20200722,2715
264,A140070,서플러스글로벌,20200721,2700
265,A140070,서플러스글로벌,20200720,2770
266,A140070,서플러스글로벌,20200717,2865
267,A140070,서플러스글로벌,20200716,2625
268,A140070,서플러스글로벌,20200715,2530
269,A140070,서플러스글로벌,20200714,2575
270,A140070,서플러스글로벌,20200713,2470
271,A140070,서플러스글로벌,20200710,2195
272,A140070,서플러스글로벌,20200709,2135
273,A140070,서플러스글로벌,20200708,2165
274,A140070,서플러스글로벌,20200707,2165
275,A140070,서플러스글로벌,20200706,2175
276,A140070,서플러스글로벌,20200703,2070
277,A140070,서플러스글로벌,20200702,2070
278,A140070,서플러스글로벌,20200701,2055
279,A140070,서플러스글로벌,20200630,1955
280,A140070,서플러스글로벌,20200629,1930
281,A140070,서플러스글로벌,20200626,1960
282,A140070,서플러스글로벌,20200625,1955
283,A140070,서플러스글로벌,20200624,2015
284,A140070,서플러스글로벌,20200623,1975
285,A140070,서플러스글로벌,20200622,2015
286,A140070,서플러스글로벌,20200619,2060
287,A140070,서플러스글로벌,20200618,2010
288,A140070,서플러스글로벌,20200617,2010
289,A140070,서플러스글로벌,20200616,2005
290,A140070,서플러스글로벌,20200615,1925
291,A140070,서플러스글로벌,20200612,2140
292,A140070,서플러스글로벌,20200611,2245
293,A140070,서플러스글로벌,20200610,2285
294,A140070,서플러스글로벌,20200609,2220
295,A140070,서플러스글로벌,20200608,2245
296,A140070,서플러스글로벌,20200605,2200
297,A140070,서플러스글로벌,20200604,2200
298,A140070,서플러스글로벌,20200603,2260
299,A140070,서플러스글로벌,20200602,2235
300,A140070,서플러스글로벌,20200601,2255
301,A140070,서플러스글로벌,20200529,2200
302,A140070,서플러스글로벌,20200528,2160
303,A140070,서플러스글로벌,20200527,2285
304,A140070,서플러스글로벌,20200526,2320
305,A140070,서플러스글로벌,20200525,2325
306,A140070,서플러스글로벌,20200522,2325
307,A140070,서플러스글로벌,20200521,2265
