,종목코드,종목명,날짜,종가
0,A011370,서한,20210812,2025
1,A011370,서한,20210811,1985
2,A011370,서한,20210810,2015
3,A011370,서한,20210809,2035
4,A011370,서한,20210806,2080
5,A011370,서한,20210805,2100
6,A011370,서한,20210804,2095
7,A011370,서한,20210803,2040
8,A011370,서한,20210802,2080
9,A011370,서한,20210730,2105
10,A011370,서한,20210729,2130
11,A011370,서한,20210728,2155
12,A011370,서한,20210727,2200
13,A011370,서한,20210726,2195
14,A011370,서한,20210723,2275
15,A011370,서한,20210722,2275
16,A011370,서한,20210721,2345
17,A011370,서한,20210720,2340
18,A011370,서한,20210719,2475
19,A011370,서한,20210716,2555
20,A011370,서한,20210715,2595
21,A011370,서한,20210714,2700
22,A011370,서한,20210713,2625
23,A011370,서한,20210712,2620
24,A011370,서한,20210709,2505
25,A011370,서한,20210708,2515
26,A011370,서한,20210707,2630
27,A011370,서한,20210706,2620
28,A011370,서한,20210705,2470
29,A011370,서한,20210702,2635
30,A011370,서한,20210701,2420
31,A011370,서한,20210630,2210
32,A011370,서한,20210629,2295
33,A011370,서한,20210628,2305
34,A011370,서한,20210625,2395
35,A011370,서한,20210624,2490
36,A011370,서한,20210623,2350
37,A011370,서한,20210622,2305
38,A011370,서한,20210621,2380
39,A011370,서한,20210618,2015
40,A011370,서한,20210617,1965
41,A011370,서한,20210616,1940
42,A011370,서한,20210615,1945
43,A011370,서한,20210614,1935
44,A011370,서한,20210611,1940
45,A011370,서한,20210610,1935
46,A011370,서한,20210609,1920
47,A011370,서한,20210608,1930
48,A011370,서한,20210607,1970
49,A011370,서한,20210604,1895
50,A011370,서한,20210603,1895
51,A011370,서한,20210602,1910
52,A011370,서한,20210601,1880
53,A011370,서한,20210531,1895
54,A011370,서한,20210528,1810
55,A011370,서한,20210527,1820
56,A011370,서한,20210526,1810
57,A011370,서한,20210525,1850
58,A011370,서한,20210524,1745
59,A011370,서한,20210521,1790
60,A011370,서한,20210520,1810
61,A011370,서한,20210518,1765
62,A011370,서한,20210517,1775
63,A011370,서한,20210514,1765
64,A011370,서한,20210513,1780
65,A011370,서한,20210512,1875
66,A011370,서한,20210511,1990
67,A011370,서한,20210510,1910
68,A011370,서한,20210507,1850
69,A011370,서한,20210506,1820
70,A011370,서한,20210504,1730
71,A011370,서한,20210503,1715
72,A011370,서한,20210430,1730
73,A011370,서한,20210429,1775
74,A011370,서한,20210428,1765
75,A011370,서한,20210427,1805
76,A011370,서한,20210426,1790
77,A011370,서한,20210423,1775
78,A011370,서한,20210422,1785
79,A011370,서한,20210421,1735
80,A011370,서한,20210420,1745
81,A011370,서한,20210419,1705
82,A011370,서한,20210416,1735
83,A011370,서한,20210415,1725
84,A011370,서한,20210414,1725
85,A011370,서한,20210413,1780
86,A011370,서한,20210412,1800
87,A011370,서한,20210409,1775
88,A011370,서한,20210408,1720
89,A011370,서한,20210407,1780
90,A011370,서한,20210406,1730
91,A011370,서한,20210405,1610
92,A011370,서한,20210402,1600
93,A011370,서한,20210401,1605
94,A011370,서한,20210331,1595
95,A011370,서한,20210330,1550
96,A011370,서한,20210329,1565
97,A011370,서한,20210326,1585
98,A011370,서한,20210325,1590
99,A011370,서한,20210324,1540
100,A011370,서한,20210323,1560
101,A011370,서한,20210322,1545
102,A011370,서한,20210319,1540
103,A011370,서한,20210318,1490
104,A011370,서한,20210317,1495
105,A011370,서한,20210316,1495
106,A011370,서한,20210315,1455
107,A011370,서한,20210312,1445
108,A011370,서한,20210311,1440
109,A011370,서한,20210310,1445
110,A011370,서한,20210309,1460
111,A011370,서한,20210308,1460
112,A011370,서한,20210305,1485
113,A011370,서한,20210304,1495
114,A011370,서한,20210303,1505
115,A011370,서한,20210302,1485
116,A011370,서한,20210226,1500
117,A011370,서한,20210225,1490
118,A011370,서한,20210224,1445
119,A011370,서한,20210223,1495
120,A011370,서한,20210222,1525
121,A011370,서한,20210219,1510
122,A011370,서한,20210218,1520
123,A011370,서한,20210217,1515
124,A011370,서한,20210216,1540
125,A011370,서한,20210215,1545
126,A011370,서한,20210210,1495
127,A011370,서한,20210209,1505
128,A011370,서한,20210208,1505
129,A011370,서한,20210205,1535
130,A011370,서한,20210204,1555
131,A011370,서한,20210203,1600
132,A011370,서한,20210202,1540
133,A011370,서한,20210201,1475
134,A011370,서한,20210129,1455
135,A011370,서한,20210128,1500
136,A011370,서한,20210127,1550
137,A011370,서한,20210126,1570
138,A011370,서한,20210125,1565
139,A011370,서한,20210122,1565
140,A011370,서한,20210121,1560
141,A011370,서한,20210120,1545
142,A011370,서한,20210119,1550
143,A011370,서한,20210118,1480
144,A011370,서한,20210115,1530
145,A011370,서한,20210114,1565
146,A011370,서한,20210113,1565
147,A011370,서한,20210112,1525
148,A011370,서한,20210111,1515
149,A011370,서한,20210108,1590
150,A011370,서한,20210107,1585
151,A011370,서한,20210106,1610
152,A011370,서한,20210105,1565
153,A011370,서한,20210104,1540
154,A011370,서한,20201230,1500
155,A011370,서한,20201229,1480
156,A011370,서한,20201228,1460
157,A011370,서한,20201224,1485
158,A011370,서한,20201223,1490
159,A011370,서한,20201222,1535
160,A011370,서한,20201221,1540
161,A011370,서한,20201218,1540
162,A011370,서한,20201217,1555
163,A011370,서한,20201216,1505
164,A011370,서한,20201215,1505
165,A011370,서한,20201214,1515
166,A011370,서한,20201211,1565
167,A011370,서한,20201210,1580
168,A011370,서한,20201209,1575
169,A011370,서한,20201208,1630
170,A011370,서한,20201207,1535
171,A011370,서한,20201204,1540
172,A011370,서한,20201203,1565
173,A011370,서한,20201202,1600
174,A011370,서한,20201201,1600
175,A011370,서한,20201130,1615
176,A011370,서한,20201127,1610
177,A011370,서한,20201126,1600
178,A011370,서한,20201125,1580
179,A011370,서한,20201124,1610
180,A011370,서한,20201123,1610
181,A011370,서한,20201120,1630
182,A011370,서한,20201119,1625
183,A011370,서한,20201118,1650
184,A011370,서한,20201117,1610
185,A011370,서한,20201116,1570
186,A011370,서한,20201113,1600
187,A011370,서한,20201112,1595
188,A011370,서한,20201111,1565
189,A011370,서한,20201110,1570
190,A011370,서한,20201109,1610
191,A011370,서한,20201106,1580
192,A011370,서한,20201105,1705
193,A011370,서한,20201104,1430
194,A011370,서한,20201103,1445
195,A011370,서한,20201102,1400
196,A011370,서한,20201030,1370
197,A011370,서한,20201029,1375
198,A011370,서한,20201028,1400
199,A011370,서한,20201027,1350
200,A011370,서한,20201026,1355
201,A011370,서한,20201023,1440
202,A011370,서한,20201022,1485
203,A011370,서한,20201021,1565
204,A011370,서한,20201020,1670
205,A011370,서한,20201019,1680
206,A011370,서한,20201016,1530
207,A011370,서한,20201015,1180
208,A011370,서한,20201014,1215
209,A011370,서한,20201013,1230
210,A011370,서한,20201012,1205
211,A011370,서한,20201008,1165
212,A011370,서한,20201007,1180
213,A011370,서한,20201006,1190
214,A011370,서한,20201005,1155
215,A011370,서한,20200929,1165
216,A011370,서한,20200928,1175
217,A011370,서한,20200925,1130
218,A011370,서한,20200924,1160
219,A011370,서한,20200923,1100
220,A011370,서한,20200922,1105
221,A011370,서한,20200921,1145
222,A011370,서한,20200918,1070
223,A011370,서한,20200917,1090
224,A011370,서한,20200916,1045
225,A011370,서한,20200915,1045
226,A011370,서한,20200914,1050
227,A011370,서한,20200911,1035
228,A011370,서한,20200910,1035
229,A011370,서한,20200909,1025
230,A011370,서한,20200908,1035
231,A011370,서한,20200907,1040
232,A011370,서한,20200904,1020
233,A011370,서한,20200903,1045
234,A011370,서한,20200902,1030
235,A011370,서한,20200901,1020
236,A011370,서한,20200831,1020
237,A011370,서한,20200828,1010
238,A011370,서한,20200827,1005
239,A011370,서한,20200826,1015
240,A011370,서한,20200825,1015
241,A011370,서한,20200824,979
242,A011370,서한,20200821,988
243,A011370,서한,20200820,968
244,A011370,서한,20200819,1015
245,A011370,서한,20200818,1015
246,A011370,서한,20200814,1100
247,A011370,서한,20200813,1125
248,A011370,서한,20200812,1105
249,A011370,서한,20200811,1130
250,A011370,서한,20200810,1160
251,A011370,서한,20200807,1120
252,A011370,서한,20200806,1135
253,A011370,서한,20200805,1165
254,A011370,서한,20200804,1200
255,A011370,서한,20200803,1190
256,A011370,서한,20200731,1125
257,A011370,서한,20200730,1050
258,A011370,서한,20200729,1065
259,A011370,서한,20200728,1075
260,A011370,서한,20200727,1060
261,A011370,서한,20200724,1015
262,A011370,서한,20200723,993
263,A011370,서한,20200722,1015
264,A011370,서한,20200721,979
265,A011370,서한,20200720,978
266,A011370,서한,20200717,975
267,A011370,서한,20200716,968
268,A011370,서한,20200715,972
269,A011370,서한,20200714,970
270,A011370,서한,20200713,969
271,A011370,서한,20200710,973
272,A011370,서한,20200709,968
273,A011370,서한,20200708,974
274,A011370,서한,20200707,946
275,A011370,서한,20200706,951
276,A011370,서한,20200703,950
277,A011370,서한,20200702,952
278,A011370,서한,20200701,949
279,A011370,서한,20200630,939
280,A011370,서한,20200629,945
281,A011370,서한,20200626,958
282,A011370,서한,20200625,957
283,A011370,서한,20200624,967
284,A011370,서한,20200623,966
285,A011370,서한,20200622,982
286,A011370,서한,20200619,979
287,A011370,서한,20200618,978
288,A011370,서한,20200617,970
289,A011370,서한,20200616,978
290,A011370,서한,20200615,947
291,A011370,서한,20200612,985
292,A011370,서한,20200611,1020
293,A011370,서한,20200610,1050
294,A011370,서한,20200609,1055
295,A011370,서한,20200608,1065
296,A011370,서한,20200605,1075
297,A011370,서한,20200604,1070
298,A011370,서한,20200603,1050
299,A011370,서한,20200602,1050
300,A011370,서한,20200601,1050
301,A011370,서한,20200529,1020
302,A011370,서한,20200528,1010
303,A011370,서한,20200527,1040
304,A011370,서한,20200526,1005
305,A011370,서한,20200525,988
306,A011370,서한,20200522,981
307,A011370,서한,20200521,1000
308,A011370,서한,20200520,1005
309,A011370,서한,20200519,1010
310,A011370,서한,20200518,975
311,A011370,서한,20200515,974
312,A011370,서한,20200514,973
313,A011370,서한,20200513,992
314,A011370,서한,20200512,992
315,A011370,서한,20200511,1010
316,A011370,서한,20200508,1030
317,A011370,서한,20200507,1015
318,A011370,서한,20200506,1020
319,A011370,서한,20200504,1000
320,A011370,서한,20200429,1020
321,A011370,서한,20200428,1000
322,A011370,서한,20200427,1000
323,A011370,서한,20200424,989
324,A011370,서한,20200423,1010
325,A011370,서한,20200422,1000
326,A011370,서한,20200421,981
327,A011370,서한,20200420,1005
328,A011370,서한,20200417,975
329,A011370,서한,20200416,915
330,A011370,서한,20200414,906
331,A011370,서한,20200413,881
332,A011370,서한,20200410,908
333,A011370,서한,20200409,901
334,A011370,서한,20200408,890
335,A011370,서한,20200407,886
336,A011370,서한,20200406,850
337,A011370,서한,20200403,840
338,A011370,서한,20200402,824
339,A011370,서한,20200401,800
340,A011370,서한,20200331,800
341,A011370,서한,20200330,741
342,A011370,서한,20200327,734
343,A011370,서한,20200326,723
344,A011370,서한,20200325,723
345,A011370,서한,20200324,692
346,A011370,서한,20200323,613
347,A011370,서한,20200320,626
348,A011370,서한,20200319,596
349,A011370,서한,20200318,736
350,A011370,서한,20200317,767
351,A011370,서한,20200316,770
352,A011370,서한,20200313,804
353,A011370,서한,20200312,869
354,A011370,서한,20200311,922
355,A011370,서한,20200310,940
356,A011370,서한,20200309,958
357,A011370,서한,20200306,1015
358,A011370,서한,20200305,1035
359,A011370,서한,20200304,1025
360,A011370,서한,20200303,1000
361,A011370,서한,20200302,978
362,A011370,서한,20200228,975
363,A011370,서한,20200227,1015
364,A011370,서한,20200226,1025
