,종목코드,종목명,날짜,종가
0,A014915,성문전자우,20210812,9670
1,A014915,성문전자우,20210811,9690
2,A014915,성문전자우,20210810,9700
3,A014915,성문전자우,20210809,10000
4,A014915,성문전자우,20210806,10150
5,A014915,성문전자우,20210805,10150
6,A014915,성문전자우,20210804,10250
7,A014915,성문전자우,20210803,10100
8,A014915,성문전자우,20210802,10150
9,A014915,성문전자우,20210730,10250
10,A014915,성문전자우,20210729,10400
11,A014915,성문전자우,20210728,10250
12,A014915,성문전자우,20210727,10400
13,A014915,성문전자우,20210726,10300
14,A014915,성문전자우,20210723,10050
15,A014915,성문전자우,20210722,10150
16,A014915,성문전자우,20210721,10200
17,A014915,성문전자우,20210720,10150
18,A014915,성문전자우,20210719,10150
19,A014915,성문전자우,20210716,10300
20,A014915,성문전자우,20210715,10300
21,A014915,성문전자우,20210714,10300
22,A014915,성문전자우,20210713,10550
23,A014915,성문전자우,20210712,10250
24,A014915,성문전자우,20210709,9990
25,A014915,성문전자우,20210708,10050
26,A014915,성문전자우,20210707,10300
27,A014915,성문전자우,20210706,10650
28,A014915,성문전자우,20210705,10500
29,A014915,성문전자우,20210702,10600
30,A014915,성문전자우,20210701,10900
31,A014915,성문전자우,20210630,11050
32,A014915,성문전자우,20210629,11400
33,A014915,성문전자우,20210628,11400
34,A014915,성문전자우,20210625,11450
35,A014915,성문전자우,20210624,11500
36,A014915,성문전자우,20210623,11450
37,A014915,성문전자우,20210622,11750
38,A014915,성문전자우,20210621,11500
39,A014915,성문전자우,20210618,12000
40,A014915,성문전자우,20210617,11950
41,A014915,성문전자우,20210616,12000
42,A014915,성문전자우,20210615,11200
43,A014915,성문전자우,20210614,11850
44,A014915,성문전자우,20210611,10500
45,A014915,성문전자우,20210610,10500
46,A014915,성문전자우,20210609,10450
47,A014915,성문전자우,20210608,10250
48,A014915,성문전자우,20210607,10450
49,A014915,성문전자우,20210604,10200
50,A014915,성문전자우,20210603,10450
51,A014915,성문전자우,20210602,10250
52,A014915,성문전자우,20210601,10450
53,A014915,성문전자우,20210531,10100
54,A014915,성문전자우,20210528,10250
55,A014915,성문전자우,20210527,10300
56,A014915,성문전자우,20210526,9790
57,A014915,성문전자우,20210525,9900
58,A014915,성문전자우,20210524,10100
59,A014915,성문전자우,20210521,10650
60,A014915,성문전자우,20210520,10850
61,A014915,성문전자우,20210518,11150
62,A014915,성문전자우,20210517,10900
63,A014915,성문전자우,20210514,11950
64,A014915,성문전자우,20210513,12250
65,A014915,성문전자우,20210512,14000
66,A014915,성문전자우,20210511,13050
