,종목코드,종목명,날짜,종가
0,A004985,성신양회우,20210812,16600
1,A004985,성신양회우,20210811,16750
2,A004985,성신양회우,20210810,17000
3,A004985,성신양회우,20210809,17350
4,A004985,성신양회우,20210806,17400
5,A004985,성신양회우,20210805,17100
6,A004985,성신양회우,20210804,16950
7,A004985,성신양회우,20210803,16750
8,A004985,성신양회우,20210802,17150
9,A004985,성신양회우,20210730,17700
10,A004985,성신양회우,20210729,17800
11,A004985,성신양회우,20210728,17900
12,A004985,성신양회우,20210727,17500
13,A004985,성신양회우,20210726,17050
14,A004985,성신양회우,20210723,17000
15,A004985,성신양회우,20210722,16850
16,A004985,성신양회우,20210721,16700
17,A004985,성신양회우,20210720,17050
18,A004985,성신양회우,20210719,17500
19,A004985,성신양회우,20210716,18000
20,A004985,성신양회우,20210715,18150
21,A004985,성신양회우,20210714,18250
22,A004985,성신양회우,20210713,18650
23,A004985,성신양회우,20210712,18050
24,A004985,성신양회우,20210709,18000
25,A004985,성신양회우,20210708,18300
26,A004985,성신양회우,20210707,19100
27,A004985,성신양회우,20210706,19350
28,A004985,성신양회우,20210705,18650
29,A004985,성신양회우,20210702,18500
30,A004985,성신양회우,20210701,18150
31,A004985,성신양회우,20210630,18600
32,A004985,성신양회우,20210629,18600
33,A004985,성신양회우,20210628,19000
34,A004985,성신양회우,20210625,19150
35,A004985,성신양회우,20210624,19100
36,A004985,성신양회우,20210623,19300
37,A004985,성신양회우,20210622,20400
38,A004985,성신양회우,20210621,20150
39,A004985,성신양회우,20210618,20550
40,A004985,성신양회우,20210617,21250
41,A004985,성신양회우,20210616,22000
42,A004985,성신양회우,20210615,23450
43,A004985,성신양회우,20210614,18050
44,A004985,성신양회우,20210611,18300
45,A004985,성신양회우,20210610,18800
46,A004985,성신양회우,20210609,17500
47,A004985,성신양회우,20210608,17700
48,A004985,성신양회우,20210607,16900
49,A004985,성신양회우,20210604,17050
50,A004985,성신양회우,20210603,17100
51,A004985,성신양회우,20210602,17050
52,A004985,성신양회우,20210601,16850
53,A004985,성신양회우,20210531,16750
54,A004985,성신양회우,20210528,16900
55,A004985,성신양회우,20210527,17150
56,A004985,성신양회우,20210526,16850
57,A004985,성신양회우,20210525,17000
58,A004985,성신양회우,20210524,16900
59,A004985,성신양회우,20210521,17500
60,A004985,성신양회우,20210520,18650
61,A004985,성신양회우,20210518,18900
62,A004985,성신양회우,20210517,17800
63,A004985,성신양회우,20210514,17800
64,A004985,성신양회우,20210513,17000
65,A004985,성신양회우,20210512,17450
66,A004985,성신양회우,20210511,18000
67,A004985,성신양회우,20210510,17500
68,A004985,성신양회우,20210507,17900
69,A004985,성신양회우,20210506,17200
70,A004985,성신양회우,20210504,15800
71,A004985,성신양회우,20210503,16400
72,A004985,성신양회우,20210430,16250
73,A004985,성신양회우,20210429,16650
74,A004985,성신양회우,20210428,16600
75,A004985,성신양회우,20210427,17600
76,A004985,성신양회우,20210426,16950
77,A004985,성신양회우,20210423,16550
78,A004985,성신양회우,20210422,16500
79,A004985,성신양회우,20210421,18750
80,A004985,성신양회우,20210420,17100
81,A004985,성신양회우,20210419,19000
82,A004985,성신양회우,20210416,15150
83,A004985,성신양회우,20210415,14250
84,A004985,성신양회우,20210414,14400
85,A004985,성신양회우,20210413,14500
86,A004985,성신양회우,20210412,14850
87,A004985,성신양회우,20210409,15450
88,A004985,성신양회우,20210408,15300
89,A004985,성신양회우,20210407,15300
90,A004985,성신양회우,20210406,15300
91,A004985,성신양회우,20210405,14600
92,A004985,성신양회우,20210402,14700
93,A004985,성신양회우,20210401,14400
94,A004985,성신양회우,20210331,14900
95,A004985,성신양회우,20210330,13450
96,A004985,성신양회우,20210329,13800
97,A004985,성신양회우,20210326,13400
98,A004985,성신양회우,20210325,12900
99,A004985,성신양회우,20210324,12400
100,A004985,성신양회우,20210323,12350
101,A004985,성신양회우,20210322,12000
102,A004985,성신양회우,20210319,12000
103,A004985,성신양회우,20210318,12050
104,A004985,성신양회우,20210317,12100
105,A004985,성신양회우,20210316,12350
106,A004985,성신양회우,20210315,12650
107,A004985,성신양회우,20210312,12150
108,A004985,성신양회우,20210311,11700
109,A004985,성신양회우,20210310,11250
110,A004985,성신양회우,20210309,11350
111,A004985,성신양회우,20210308,11900
112,A004985,성신양회우,20210305,12400
113,A004985,성신양회우,20210304,12700
114,A004985,성신양회우,20210303,12050
115,A004985,성신양회우,20210302,12150
116,A004985,성신양회우,20210226,12150
117,A004985,성신양회우,20210225,12150
118,A004985,성신양회우,20210224,11950
119,A004985,성신양회우,20210223,12350
120,A004985,성신양회우,20210222,12300
121,A004985,성신양회우,20210219,12350
122,A004985,성신양회우,20210218,12300
123,A004985,성신양회우,20210217,12750
124,A004985,성신양회우,20210216,12650
125,A004985,성신양회우,20210215,12400
126,A004985,성신양회우,20210210,12550
127,A004985,성신양회우,20210209,12450
128,A004985,성신양회우,20210208,12850
129,A004985,성신양회우,20210205,12950
130,A004985,성신양회우,20210204,13050
131,A004985,성신양회우,20210203,13200
132,A004985,성신양회우,20210202,12950
133,A004985,성신양회우,20210201,12150
134,A004985,성신양회우,20210129,11950
135,A004985,성신양회우,20210128,12800
136,A004985,성신양회우,20210127,13300
137,A004985,성신양회우,20210126,12900
138,A004985,성신양회우,20210125,13250
139,A004985,성신양회우,20210122,13050
140,A004985,성신양회우,20210121,13200
141,A004985,성신양회우,20210120,13450
142,A004985,성신양회우,20210119,13850
143,A004985,성신양회우,20210118,13400
144,A004985,성신양회우,20210115,14800
145,A004985,성신양회우,20210114,14250
146,A004985,성신양회우,20210113,14600
147,A004985,성신양회우,20210112,11250
148,A004985,성신양회우,20210111,11100
149,A004985,성신양회우,20210108,11650
150,A004985,성신양회우,20210107,12300
151,A004985,성신양회우,20210106,12200
152,A004985,성신양회우,20210105,12100
153,A004985,성신양회우,20210104,12400
154,A004985,성신양회우,20201230,12300
155,A004985,성신양회우,20201229,11800
156,A004985,성신양회우,20201228,11250
157,A004985,성신양회우,20201224,11600
158,A004985,성신양회우,20201223,11100
159,A004985,성신양회우,20201222,11800
160,A004985,성신양회우,20201221,12450
161,A004985,성신양회우,20201218,13000
162,A004985,성신양회우,20201217,12450
163,A004985,성신양회우,20201216,12550
164,A004985,성신양회우,20201215,12750
165,A004985,성신양회우,20201214,14050
166,A004985,성신양회우,20201211,14900
167,A004985,성신양회우,20201210,15500
168,A004985,성신양회우,20201209,16000
169,A004985,성신양회우,20201208,15950
170,A004985,성신양회우,20201207,16150
171,A004985,성신양회우,20201204,16550
172,A004985,성신양회우,20201203,16850
173,A004985,성신양회우,20201202,16950
174,A004985,성신양회우,20201201,16700
175,A004985,성신양회우,20201130,17050
176,A004985,성신양회우,20201127,17400
177,A004985,성신양회우,20201126,17300
178,A004985,성신양회우,20201125,17550
179,A004985,성신양회우,20201124,18100
180,A004985,성신양회우,20201123,18500
181,A004985,성신양회우,20201120,17850
182,A004985,성신양회우,20201119,18350
183,A004985,성신양회우,20201118,18850
184,A004985,성신양회우,20201117,18750
185,A004985,성신양회우,20201116,18700
186,A004985,성신양회우,20201113,18800
187,A004985,성신양회우,20201112,18600
188,A004985,성신양회우,20201111,19500
189,A004985,성신양회우,20201110,17750
190,A004985,성신양회우,20201109,18250
191,A004985,성신양회우,20201106,16750
192,A004985,성신양회우,20201105,16950
193,A004985,성신양회우,20201104,16900
194,A004985,성신양회우,20201103,17150
195,A004985,성신양회우,20201102,17250
196,A004985,성신양회우,20201030,17200
197,A004985,성신양회우,20201029,18100
198,A004985,성신양회우,20201028,17700
199,A004985,성신양회우,20201027,16900
200,A004985,성신양회우,20201026,17000
201,A004985,성신양회우,20201023,18800
202,A004985,성신양회우,20201022,17550
203,A004985,성신양회우,20201021,18650
204,A004985,성신양회우,20201020,17700
205,A004985,성신양회우,20201019,17500
206,A004985,성신양회우,20201016,19000
207,A004985,성신양회우,20201015,21050
208,A004985,성신양회우,20201014,20250
209,A004985,성신양회우,20201013,19100
210,A004985,성신양회우,20201012,16850
211,A004985,성신양회우,20201008,16450
212,A004985,성신양회우,20201007,15150
213,A004985,성신양회우,20201006,15500
214,A004985,성신양회우,20201005,15600
215,A004985,성신양회우,20200929,15900
216,A004985,성신양회우,20200928,16150
217,A004985,성신양회우,20200925,16000
218,A004985,성신양회우,20200924,15150
219,A004985,성신양회우,20200923,16400
220,A004985,성신양회우,20200922,15800
221,A004985,성신양회우,20200921,16800
222,A004985,성신양회우,20200918,19050
223,A004985,성신양회우,20200917,18950
224,A004985,성신양회우,20200916,19250
225,A004985,성신양회우,20200915,22350
226,A004985,성신양회우,20200914,17200
227,A004985,성신양회우,20200911,17300
228,A004985,성신양회우,20200910,16550
229,A004985,성신양회우,20200909,16300
230,A004985,성신양회우,20200908,15650
231,A004985,성신양회우,20200907,17250
232,A004985,성신양회우,20200904,15050
233,A004985,성신양회우,20200903,15750
234,A004985,성신양회우,20200902,15600
235,A004985,성신양회우,20200901,15450
236,A004985,성신양회우,20200831,14650
237,A004985,성신양회우,20200828,14850
238,A004985,성신양회우,20200827,14400
239,A004985,성신양회우,20200826,14350
240,A004985,성신양회우,20200825,15050
241,A004985,성신양회우,20200824,14750
242,A004985,성신양회우,20200821,15050
243,A004985,성신양회우,20200820,15000
244,A004985,성신양회우,20200819,16350
245,A004985,성신양회우,20200818,15800
246,A004985,성신양회우,20200814,19900
247,A004985,성신양회우,20200813,20300
248,A004985,성신양회우,20200812,20300
249,A004985,성신양회우,20200811,19850
250,A004985,성신양회우,20200810,20500
251,A004985,성신양회우,20200807,19600
