,종목코드,종목명,날짜,종가
0,A094840,슈프리마에이치큐,20210812,9110
1,A094840,슈프리마에이치큐,20210811,9090
2,A094840,슈프리마에이치큐,20210810,9090
3,A094840,슈프리마에이치큐,20210809,9360
4,A094840,슈프리마에이치큐,20210806,9430
5,A094840,슈프리마에이치큐,20210805,9350
6,A094840,슈프리마에이치큐,20210804,9310
7,A094840,슈프리마에이치큐,20210803,9220
8,A094840,슈프리마에이치큐,20210802,9430
9,A094840,슈프리마에이치큐,20210730,9460
10,A094840,슈프리마에이치큐,20210729,9500
11,A094840,슈프리마에이치큐,20210728,9510
12,A094840,슈프리마에이치큐,20210727,9700
13,A094840,슈프리마에이치큐,20210726,9600
14,A094840,슈프리마에이치큐,20210723,9740
15,A094840,슈프리마에이치큐,20210722,9660
16,A094840,슈프리마에이치큐,20210721,9440
17,A094840,슈프리마에이치큐,20210720,9720
18,A094840,슈프리마에이치큐,20210719,9720
19,A094840,슈프리마에이치큐,20210716,9930
20,A094840,슈프리마에이치큐,20210715,10100
21,A094840,슈프리마에이치큐,20210714,10050
22,A094840,슈프리마에이치큐,20210713,9880
23,A094840,슈프리마에이치큐,20210712,9830
24,A094840,슈프리마에이치큐,20210709,9840
25,A094840,슈프리마에이치큐,20210708,9700
26,A094840,슈프리마에이치큐,20210707,9960
27,A094840,슈프리마에이치큐,20210706,10150
28,A094840,슈프리마에이치큐,20210705,10100
29,A094840,슈프리마에이치큐,20210702,10500
30,A094840,슈프리마에이치큐,20210701,10600
31,A094840,슈프리마에이치큐,20210630,10800
32,A094840,슈프리마에이치큐,20210629,11100
33,A094840,슈프리마에이치큐,20210628,11000
34,A094840,슈프리마에이치큐,20210625,10950
35,A094840,슈프리마에이치큐,20210624,10800
36,A094840,슈프리마에이치큐,20210623,11000
37,A094840,슈프리마에이치큐,20210622,10600
38,A094840,슈프리마에이치큐,20210621,10700
39,A094840,슈프리마에이치큐,20210618,10850
40,A094840,슈프리마에이치큐,20210617,10850
41,A094840,슈프리마에이치큐,20210616,10550
42,A094840,슈프리마에이치큐,20210615,10600
43,A094840,슈프리마에이치큐,20210614,10400
44,A094840,슈프리마에이치큐,20210611,10450
45,A094840,슈프리마에이치큐,20210610,10650
46,A094840,슈프리마에이치큐,20210609,10600
47,A094840,슈프리마에이치큐,20210608,10900
48,A094840,슈프리마에이치큐,20210607,10550
49,A094840,슈프리마에이치큐,20210604,11200
50,A094840,슈프리마에이치큐,20210603,11300
51,A094840,슈프리마에이치큐,20210602,11550
52,A094840,슈프리마에이치큐,20210601,11550
53,A094840,슈프리마에이치큐,20210531,11350
54,A094840,슈프리마에이치큐,20210528,11450
55,A094840,슈프리마에이치큐,20210527,11500
56,A094840,슈프리마에이치큐,20210526,10950
57,A094840,슈프리마에이치큐,20210525,10950
58,A094840,슈프리마에이치큐,20210524,10650
59,A094840,슈프리마에이치큐,20210521,11000
60,A094840,슈프리마에이치큐,20210520,10850
61,A094840,슈프리마에이치큐,20210518,10800
62,A094840,슈프리마에이치큐,20210517,10550
63,A094840,슈프리마에이치큐,20210514,10750
64,A094840,슈프리마에이치큐,20210513,10000
65,A094840,슈프리마에이치큐,20210512,10350
66,A094840,슈프리마에이치큐,20210511,10450
67,A094840,슈프리마에이치큐,20210510,10300
68,A094840,슈프리마에이치큐,20210507,10500
69,A094840,슈프리마에이치큐,20210506,9980
70,A094840,슈프리마에이치큐,20210504,9960
71,A094840,슈프리마에이치큐,20210503,9880
72,A094840,슈프리마에이치큐,20210430,9930
73,A094840,슈프리마에이치큐,20210429,10550
74,A094840,슈프리마에이치큐,20210428,10400
75,A094840,슈프리마에이치큐,20210427,10300
76,A094840,슈프리마에이치큐,20210426,10350
77,A094840,슈프리마에이치큐,20210423,10750
78,A094840,슈프리마에이치큐,20210422,11250
79,A094840,슈프리마에이치큐,20210421,11400
80,A094840,슈프리마에이치큐,20210420,11300
81,A094840,슈프리마에이치큐,20210419,11150
82,A094840,슈프리마에이치큐,20210416,11600
83,A094840,슈프리마에이치큐,20210415,11400
84,A094840,슈프리마에이치큐,20210414,11850
85,A094840,슈프리마에이치큐,20210413,11900
86,A094840,슈프리마에이치큐,20210412,13000
87,A094840,슈프리마에이치큐,20210409,12500
88,A094840,슈프리마에이치큐,20210408,12900
89,A094840,슈프리마에이치큐,20210407,10350
90,A094840,슈프리마에이치큐,20210406,10350
91,A094840,슈프리마에이치큐,20210405,10800
92,A094840,슈프리마에이치큐,20210402,10500
93,A094840,슈프리마에이치큐,20210401,9100
94,A094840,슈프리마에이치큐,20210331,9030
95,A094840,슈프리마에이치큐,20210330,8880
96,A094840,슈프리마에이치큐,20210329,8950
97,A094840,슈프리마에이치큐,20210326,8310
98,A094840,슈프리마에이치큐,20210325,8240
99,A094840,슈프리마에이치큐,20210324,8060
