,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A099440,½º¸Æ,20210812,2070
1,A099440,½º¸Æ,20210811,2095
2,A099440,½º¸Æ,20210810,2125
3,A099440,½º¸Æ,20210809,2180
4,A099440,½º¸Æ,20210806,2305
5,A099440,½º¸Æ,20210805,2230
6,A099440,½º¸Æ,20210804,2055
7,A099440,½º¸Æ,20210803,2010
8,A099440,½º¸Æ,20210802,2055
9,A099440,½º¸Æ,20210730,2090
10,A099440,½º¸Æ,20210729,2145
11,A099440,½º¸Æ,20210728,2155
12,A099440,½º¸Æ,20210727,2085
13,A099440,½º¸Æ,20210726,2090
14,A099440,½º¸Æ,20210723,2130
15,A099440,½º¸Æ,20210722,2140
16,A099440,½º¸Æ,20210721,2130
17,A099440,½º¸Æ,20210720,2170
18,A099440,½º¸Æ,20210719,2240
19,A099440,½º¸Æ,20210716,2155
20,A099440,½º¸Æ,20210715,2065
21,A099440,½º¸Æ,20210714,2055
22,A099440,½º¸Æ,20210713,2075
23,A099440,½º¸Æ,20210712,2060
24,A099440,½º¸Æ,20210709,2010
25,A099440,½º¸Æ,20210708,2050
26,A099440,½º¸Æ,20210707,2105
27,A099440,½º¸Æ,20210706,2100
28,A099440,½º¸Æ,20210705,1970
29,A099440,½º¸Æ,20210702,1970
30,A099440,½º¸Æ,20210701,1950
31,A099440,½º¸Æ,20210630,1900
32,A099440,½º¸Æ,20210629,1920
33,A099440,½º¸Æ,20210628,1955
34,A099440,½º¸Æ,20210625,1945
35,A099440,½º¸Æ,20210624,1940
36,A099440,½º¸Æ,20210623,1950
37,A099440,½º¸Æ,20210622,1950
38,A099440,½º¸Æ,20210621,1955
39,A099440,½º¸Æ,20210618,1975
40,A099440,½º¸Æ,20210617,1985
41,A099440,½º¸Æ,20210616,1990
42,A099440,½º¸Æ,20210615,1945
43,A099440,½º¸Æ,20210614,1930
44,A099440,½º¸Æ,20210611,1905
45,A099440,½º¸Æ,20210610,1910
46,A099440,½º¸Æ,20210609,1865
47,A099440,½º¸Æ,20210608,1880
48,A099440,½º¸Æ,20210607,1895
49,A099440,½º¸Æ,20210604,1900
50,A099440,½º¸Æ,20210603,1860
51,A099440,½º¸Æ,20210602,1825
52,A099440,½º¸Æ,20210601,1830
53,A099440,½º¸Æ,20210531,1775
54,A099440,½º¸Æ,20210528,1760
55,A099440,½º¸Æ,20210527,1750
56,A099440,½º¸Æ,20210526,1750
57,A099440,½º¸Æ,20210525,1740
58,A099440,½º¸Æ,20210524,1730
59,A099440,½º¸Æ,20210521,1770
60,A099440,½º¸Æ,20210520,1775
61,A099440,½º¸Æ,20210518,1770
62,A099440,½º¸Æ,20210517,1775
63,A099440,½º¸Æ,20210514,1760
64,A099440,½º¸Æ,20210513,1770
65,A099440,½º¸Æ,20210512,1785
66,A099440,½º¸Æ,20210511,1795
67,A099440,½º¸Æ,20210510,1810
68,A099440,½º¸Æ,20210507,1790
69,A099440,½º¸Æ,20210506,1770
70,A099440,½º¸Æ,20210504,1765
71,A099440,½º¸Æ,20210503,1805
72,A099440,½º¸Æ,20210430,1820
73,A099440,½º¸Æ,20210429,1805
74,A099440,½º¸Æ,20210428,1810
75,A099440,½º¸Æ,20210427,1845
76,A099440,½º¸Æ,20210426,1850
77,A099440,½º¸Æ,20210423,1840
78,A099440,½º¸Æ,20210422,1875
79,A099440,½º¸Æ,20210421,1815
80,A099440,½º¸Æ,20210420,1820
81,A099440,½º¸Æ,20210419,1830
82,A099440,½º¸Æ,20210416,1855
83,A099440,½º¸Æ,20210415,1850
84,A099440,½º¸Æ,20210414,1855
85,A099440,½º¸Æ,20210413,1820
86,A099440,½º¸Æ,20210412,1815
87,A099440,½º¸Æ,20210409,1780
88,A099440,½º¸Æ,20210408,1800
89,A099440,½º¸Æ,20210407,1770
90,A099440,½º¸Æ,20210406,1785
91,A099440,½º¸Æ,20210405,1775
92,A099440,½º¸Æ,20210402,1770
93,A099440,½º¸Æ,20210401,1755
94,A099440,½º¸Æ,20210331,1730
95,A099440,½º¸Æ,20210330,1725
96,A099440,½º¸Æ,20210329,1730
97,A099440,½º¸Æ,20210326,1715
98,A099440,½º¸Æ,20210325,1705
99,A099440,½º¸Æ,20210324,1705
100,A099440,½º¸Æ,20210323,1745
101,A099440,½º¸Æ,20210322,1760
102,A099440,½º¸Æ,20210319,1790
103,A099440,½º¸Æ,20210318,1760
104,A099440,½º¸Æ,20210317,1750
105,A099440,½º¸Æ,20210316,1750
106,A099440,½º¸Æ,20210315,1725
107,A099440,½º¸Æ,20210312,1705
108,A099440,½º¸Æ,20210311,1680
109,A099440,½º¸Æ,20210310,1675
110,A099440,½º¸Æ,20210309,1695
111,A099440,½º¸Æ,20210308,1705
112,A099440,½º¸Æ,20210305,1730
113,A099440,½º¸Æ,20210304,1775
114,A099440,½º¸Æ,20210303,1790
115,A099440,½º¸Æ,20210302,1775
116,A099440,½º¸Æ,20210226,1760
117,A099440,½º¸Æ,20210225,1825
118,A099440,½º¸Æ,20210224,1805
119,A099440,½º¸Æ,20210223,1860
120,A099440,½º¸Æ,20210222,1870
121,A099440,½º¸Æ,20210219,1850
122,A099440,½º¸Æ,20210218,1890
123,A099440,½º¸Æ,20210217,1910
124,A099440,½º¸Æ,20210216,1880
125,A099440,½º¸Æ,20210215,1885
126,A099440,½º¸Æ,20210210,1825
127,A099440,½º¸Æ,20210209,1830
128,A099440,½º¸Æ,20210208,1825
129,A099440,½º¸Æ,20210205,1855
130,A099440,½º¸Æ,20210204,1850
131,A099440,½º¸Æ,20210203,1890
132,A099440,½º¸Æ,20210202,1900
133,A099440,½º¸Æ,20210201,1855
134,A099440,½º¸Æ,20210129,1815
135,A099440,½º¸Æ,20210128,1905
136,A099440,½º¸Æ,20210127,1975
137,A099440,½º¸Æ,20210126,1975
138,A099440,½º¸Æ,20210125,2000
139,A099440,½º¸Æ,20210122,1995
140,A099440,½º¸Æ,20210121,1985
141,A099440,½º¸Æ,20210120,1925
142,A099440,½º¸Æ,20210119,1850
143,A099440,½º¸Æ,20210118,1815
144,A099440,½º¸Æ,20210115,1865
145,A099440,½º¸Æ,20210114,1890
146,A099440,½º¸Æ,20210113,1905
147,A099440,½º¸Æ,20210112,1865
148,A099440,½º¸Æ,20210111,1840
149,A099440,½º¸Æ,20210108,1920
150,A099440,½º¸Æ,20210107,1935
151,A099440,½º¸Æ,20210106,1895
152,A099440,½º¸Æ,20210105,1940
153,A099440,½º¸Æ,20210104,1935
154,A099440,½º¸Æ,20201230,1965
155,A099440,½º¸Æ,20201229,1925
156,A099440,½º¸Æ,20201228,1850
157,A099440,½º¸Æ,20201224,1925
158,A099440,½º¸Æ,20201223,1880
159,A099440,½º¸Æ,20201222,1870
160,A099440,½º¸Æ,20201221,1950
161,A099440,½º¸Æ,20201218,2015
162,A099440,½º¸Æ,20201217,2010
163,A099440,½º¸Æ,20201216,2015
164,A099440,½º¸Æ,20201215,2020
165,A099440,½º¸Æ,20201214,2030
166,A099440,½º¸Æ,20201211,1970
167,A099440,½º¸Æ,20201210,1970
168,A099440,½º¸Æ,20201209,1960
169,A099440,½º¸Æ,20201208,1930
170,A099440,½º¸Æ,20201207,1935
171,A099440,½º¸Æ,20201204,2000
172,A099440,½º¸Æ,20201203,2040
173,A099440,½º¸Æ,20201202,2065
174,A099440,½º¸Æ,20201201,2060
175,A099440,½º¸Æ,20201130,2105
176,A099440,½º¸Æ,20201127,2105
177,A099440,½º¸Æ,20201126,2110
178,A099440,½º¸Æ,20201125,2130
179,A099440,½º¸Æ,20201124,2170
180,A099440,½º¸Æ,20201123,2105
181,A099440,½º¸Æ,20201120,2135
182,A099440,½º¸Æ,20201119,2145
183,A099440,½º¸Æ,20201118,2190
184,A099440,½º¸Æ,20201117,2105
185,A099440,½º¸Æ,20201116,2085
186,A099440,½º¸Æ,20201113,2105
187,A099440,½º¸Æ,20201112,2190
188,A099440,½º¸Æ,20201111,2225
189,A099440,½º¸Æ,20201110,2225
190,A099440,½º¸Æ,20201109,2190
191,A099440,½º¸Æ,20201106,2145
192,A099440,½º¸Æ,20201105,2195
193,A099440,½º¸Æ,20201104,2020
194,A099440,½º¸Æ,20201103,2070
195,A099440,½º¸Æ,20201102,2060
196,A099440,½º¸Æ,20201030,2055
197,A099440,½º¸Æ,20201029,2295
198,A099440,½º¸Æ,20201028,2280
199,A099440,½º¸Æ,20201027,2345
200,A099440,½º¸Æ,20201026,2235
201,A099440,½º¸Æ,20201023,2010
202,A099440,½º¸Æ,20201022,2055
203,A099440,½º¸Æ,20201021,1925
204,A099440,½º¸Æ,20201020,1970
205,A099440,½º¸Æ,20201019,1985
206,A099440,½º¸Æ,20201016,1905
207,A099440,½º¸Æ,20201015,1950
208,A099440,½º¸Æ,20201014,1990
209,A099440,½º¸Æ,20201013,2020
210,A099440,½º¸Æ,20201012,1935
211,A099440,½º¸Æ,20201008,1950
212,A099440,½º¸Æ,20201007,1945
213,A099440,½º¸Æ,20201006,1945
214,A099440,½º¸Æ,20201005,1945
215,A099440,½º¸Æ,20200929,1885
216,A099440,½º¸Æ,20200928,1850
217,A099440,½º¸Æ,20200925,1740
218,A099440,½º¸Æ,20200924,1760
219,A099440,½º¸Æ,20200923,1840
220,A099440,½º¸Æ,20200922,1850
221,A099440,½º¸Æ,20200921,1980
222,A099440,½º¸Æ,20200918,2140
223,A099440,½º¸Æ,20200917,2125
224,A099440,½º¸Æ,20200916,2095
225,A099440,½º¸Æ,20200915,1950
226,A099440,½º¸Æ,20200914,1945
227,A099440,½º¸Æ,20200911,1955
228,A099440,½º¸Æ,20200910,1950
229,A099440,½º¸Æ,20200909,1890
230,A099440,½º¸Æ,20200908,1800
231,A099440,½º¸Æ,20200907,1815
232,A099440,½º¸Æ,20200904,1705
233,A099440,½º¸Æ,20200903,1760
234,A099440,½º¸Æ,20200902,1745
235,A099440,½º¸Æ,20200901,1715
236,A099440,½º¸Æ,20200831,1685
237,A099440,½º¸Æ,20200828,1675
238,A099440,½º¸Æ,20200827,1675
239,A099440,½º¸Æ,20200826,1680
240,A099440,½º¸Æ,20200825,1685
241,A099440,½º¸Æ,20200824,1615
242,A099440,½º¸Æ,20200821,1590
243,A099440,½º¸Æ,20200820,1570
244,A099440,½º¸Æ,20200819,1695
245,A099440,½º¸Æ,20200818,1675
246,A099440,½º¸Æ,20200814,1785
247,A099440,½º¸Æ,20200813,1830
248,A099440,½º¸Æ,20200812,1815
249,A099440,½º¸Æ,20200811,1820
250,A099440,½º¸Æ,20200810,1820
251,A099440,½º¸Æ,20200807,1825
252,A099440,½º¸Æ,20200806,1860
253,A099440,½º¸Æ,20200805,1905
