,종목코드,종목명,날짜,종가
0,A033790,스카이문스테크놀로지,20210812,829
1,A033790,스카이문스테크놀로지,20210811,829
2,A033790,스카이문스테크놀로지,20210810,829
3,A033790,스카이문스테크놀로지,20210809,829
4,A033790,스카이문스테크놀로지,20210806,829
5,A033790,스카이문스테크놀로지,20210805,829
6,A033790,스카이문스테크놀로지,20210804,829
7,A033790,스카이문스테크놀로지,20210803,829
8,A033790,스카이문스테크놀로지,20210802,829
9,A033790,스카이문스테크놀로지,20210730,829
10,A033790,스카이문스테크놀로지,20210729,829
11,A033790,스카이문스테크놀로지,20210728,829
12,A033790,스카이문스테크놀로지,20210727,829
13,A033790,스카이문스테크놀로지,20210726,829
14,A033790,스카이문스테크놀로지,20210723,829
15,A033790,스카이문스테크놀로지,20210722,829
16,A033790,스카이문스테크놀로지,20210721,829
17,A033790,스카이문스테크놀로지,20210720,829
18,A033790,스카이문스테크놀로지,20210719,829
19,A033790,스카이문스테크놀로지,20210716,829
20,A033790,스카이문스테크놀로지,20210715,829
21,A033790,스카이문스테크놀로지,20210714,829
22,A033790,스카이문스테크놀로지,20210713,829
23,A033790,스카이문스테크놀로지,20210712,829
24,A033790,스카이문스테크놀로지,20210709,829
25,A033790,스카이문스테크놀로지,20210708,829
26,A033790,스카이문스테크놀로지,20210707,829
27,A033790,스카이문스테크놀로지,20210706,829
28,A033790,스카이문스테크놀로지,20210705,829
29,A033790,스카이문스테크놀로지,20210702,829
30,A033790,스카이문스테크놀로지,20210701,829
31,A033790,스카이문스테크놀로지,20210630,829
32,A033790,스카이문스테크놀로지,20210629,829
33,A033790,스카이문스테크놀로지,20210628,829
34,A033790,스카이문스테크놀로지,20210625,829
35,A033790,스카이문스테크놀로지,20210624,829
36,A033790,스카이문스테크놀로지,20210623,829
37,A033790,스카이문스테크놀로지,20210622,829
38,A033790,스카이문스테크놀로지,20210621,829
39,A033790,스카이문스테크놀로지,20210618,829
40,A033790,스카이문스테크놀로지,20210617,829
41,A033790,스카이문스테크놀로지,20210616,829
42,A033790,스카이문스테크놀로지,20210615,829
43,A033790,스카이문스테크놀로지,20210614,829
44,A033790,스카이문스테크놀로지,20210611,829
45,A033790,스카이문스테크놀로지,20210610,829
46,A033790,스카이문스테크놀로지,20210609,829
47,A033790,스카이문스테크놀로지,20210608,829
48,A033790,스카이문스테크놀로지,20210607,829
49,A033790,스카이문스테크놀로지,20210604,829
50,A033790,스카이문스테크놀로지,20210603,829
51,A033790,스카이문스테크놀로지,20210602,829
52,A033790,스카이문스테크놀로지,20210601,829
53,A033790,스카이문스테크놀로지,20210531,829
54,A033790,스카이문스테크놀로지,20210528,829
55,A033790,스카이문스테크놀로지,20210527,829
56,A033790,스카이문스테크놀로지,20210526,829
57,A033790,스카이문스테크놀로지,20210525,829
58,A033790,스카이문스테크놀로지,20210524,829
59,A033790,스카이문스테크놀로지,20210521,829
60,A033790,스카이문스테크놀로지,20210520,829
61,A033790,스카이문스테크놀로지,20210518,829
62,A033790,스카이문스테크놀로지,20210517,829
