,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A253450,½ºÆ©µð¿Àµå·¡°ï,20210812,90200
1,A253450,½ºÆ©µð¿Àµå·¡°ï,20210811,90700
2,A253450,½ºÆ©µð¿Àµå·¡°ï,20210810,91100
3,A253450,½ºÆ©µð¿Àµå·¡°ï,20210809,91700
4,A253450,½ºÆ©µð¿Àµå·¡°ï,20210806,91700
5,A253450,½ºÆ©µð¿Àµå·¡°ï,20210805,92600
6,A253450,½ºÆ©µð¿Àµå·¡°ï,20210804,92400
7,A253450,½ºÆ©µð¿Àµå·¡°ï,20210803,91100
8,A253450,½ºÆ©µð¿Àµå·¡°ï,20210802,92100
9,A253450,½ºÆ©µð¿Àµå·¡°ï,20210730,92200
10,A253450,½ºÆ©µð¿Àµå·¡°ï,20210729,93000
11,A253450,½ºÆ©µð¿Àµå·¡°ï,20210728,92700
12,A253450,½ºÆ©µð¿Àµå·¡°ï,20210727,93700
13,A253450,½ºÆ©µð¿Àµå·¡°ï,20210726,94200
14,A253450,½ºÆ©µð¿Àµå·¡°ï,20210723,95200
15,A253450,½ºÆ©µð¿Àµå·¡°ï,20210722,94600
16,A253450,½ºÆ©µð¿Àµå·¡°ï,20210721,93900
17,A253450,½ºÆ©µð¿Àµå·¡°ï,20210720,93800
18,A253450,½ºÆ©µð¿Àµå·¡°ï,20210719,94500
19,A253450,½ºÆ©µð¿Àµå·¡°ï,20210716,95200
20,A253450,½ºÆ©µð¿Àµå·¡°ï,20210715,94600
21,A253450,½ºÆ©µð¿Àµå·¡°ï,20210714,95700
22,A253450,½ºÆ©µð¿Àµå·¡°ï,20210713,94600
23,A253450,½ºÆ©µð¿Àµå·¡°ï,20210712,93600
24,A253450,½ºÆ©µð¿Àµå·¡°ï,20210709,92900
25,A253450,½ºÆ©µð¿Àµå·¡°ï,20210708,94600
26,A253450,½ºÆ©µð¿Àµå·¡°ï,20210707,94700
27,A253450,½ºÆ©µð¿Àµå·¡°ï,20210706,95500
28,A253450,½ºÆ©µð¿Àµå·¡°ï,20210705,95400
29,A253450,½ºÆ©µð¿Àµå·¡°ï,20210702,95500
30,A253450,½ºÆ©µð¿Àµå·¡°ï,20210701,96500
31,A253450,½ºÆ©µð¿Àµå·¡°ï,20210630,95800
32,A253450,½ºÆ©µð¿Àµå·¡°ï,20210629,95500
33,A253450,½ºÆ©µð¿Àµå·¡°ï,20210628,96300
34,A253450,½ºÆ©µð¿Àµå·¡°ï,20210625,96300
