,종목코드,종목명,날짜,종가
0,A227580,스포라이브,20210812,2800
1,A227580,스포라이브,20210811,2760
2,A227580,스포라이브,20210810,2695
3,A227580,스포라이브,20210809,2710
4,A227580,스포라이브,20210806,2750
5,A227580,스포라이브,20210805,2680
6,A227580,스포라이브,20210804,2700
7,A227580,스포라이브,20210803,2650
8,A227580,스포라이브,20210802,2700
9,A227580,스포라이브,20210730,2700
10,A227580,스포라이브,20210729,2485
11,A227580,스포라이브,20210728,2805
12,A227580,스포라이브,20210727,2985
13,A227580,스포라이브,20210726,3000
14,A227580,스포라이브,20210723,3150
15,A227580,스포라이브,20210722,3280
16,A227580,스포라이브,20210721,3290
17,A227580,스포라이브,20210720,3400
18,A227580,스포라이브,20210719,3700
19,A227580,스포라이브,20210716,3650
20,A227580,스포라이브,20210715,3615
21,A227580,스포라이브,20210714,3835
22,A227580,스포라이브,20210713,3950
23,A227580,스포라이브,20210712,3960
24,A227580,스포라이브,20210709,3940
25,A227580,스포라이브,20210708,4120
26,A227580,스포라이브,20210707,4240
27,A227580,스포라이브,20210706,4560
28,A227580,스포라이브,20210705,4650
29,A227580,스포라이브,20210702,4760
30,A227580,스포라이브,20210701,4750
31,A227580,스포라이브,20210630,4550
32,A227580,스포라이브,20210629,4300
33,A227580,스포라이브,20210628,4360
34,A227580,스포라이브,20210625,4955
35,A227580,스포라이브,20210624,5070
36,A227580,스포라이브,20210623,4990
37,A227580,스포라이브,20210622,5010
38,A227580,스포라이브,20210621,5000
39,A227580,스포라이브,20210618,5150
40,A227580,스포라이브,20210617,5120
41,A227580,스포라이브,20210616,5190
42,A227580,스포라이브,20210615,5140
43,A227580,스포라이브,20210614,5250
44,A227580,스포라이브,20210611,5420
45,A227580,스포라이브,20210610,5470
46,A227580,스포라이브,20210609,5340
47,A227580,스포라이브,20210608,5190
48,A227580,스포라이브,20210607,5030
49,A227580,스포라이브,20210604,4935
50,A227580,스포라이브,20210603,4740
51,A227580,스포라이브,20210602,4660
52,A227580,스포라이브,20210601,4600
53,A227580,스포라이브,20210531,4655
54,A227580,스포라이브,20210528,4495
55,A227580,스포라이브,20210527,4345
56,A227580,스포라이브,20210526,4290
57,A227580,스포라이브,20210525,4195
58,A227580,스포라이브,20210524,4050
59,A227580,스포라이브,20210521,3910
60,A227580,스포라이브,20210520,3980
61,A227580,스포라이브,20210518,4000
62,A227580,스포라이브,20210517,3995
63,A227580,스포라이브,20210514,3900
64,A227580,스포라이브,20210513,3970
65,A227580,스포라이브,20210512,3940
66,A227580,스포라이브,20210511,3975
67,A227580,스포라이브,20210510,4040
68,A227580,스포라이브,20210507,4020
69,A227580,스포라이브,20210506,3990
70,A227580,스포라이브,20210504,4030
71,A227580,스포라이브,20210503,4050
72,A227580,스포라이브,20210430,4070
73,A227580,스포라이브,20210429,3905
74,A227580,스포라이브,20210428,3575
75,A227580,스포라이브,20210427,3530
76,A227580,스포라이브,20210426,3470
77,A227580,스포라이브,20210423,3445
78,A227580,스포라이브,20210422,3460
79,A227580,스포라이브,20210421,3445
80,A227580,스포라이브,20210420,3440
81,A227580,스포라이브,20210419,3400
82,A227580,스포라이브,20210416,3425
83,A227580,스포라이브,20210415,3430
84,A227580,스포라이브,20210414,3460
85,A227580,스포라이브,20210413,3400
86,A227580,스포라이브,20210412,3450
87,A227580,스포라이브,20210409,3480
88,A227580,스포라이브,20210408,3440
89,A227580,스포라이브,20210407,3430
90,A227580,스포라이브,20210406,3460
91,A227580,스포라이브,20210405,3490
92,A227580,스포라이브,20210402,3490
93,A227580,스포라이브,20210401,3480
94,A227580,스포라이브,20210331,3495
95,A227580,스포라이브,20210330,3485
96,A227580,스포라이브,20210329,3400
97,A227580,스포라이브,20210326,3425
98,A227580,스포라이브,20210325,3480
99,A227580,스포라이브,20210324,3450
100,A227580,스포라이브,20210323,3450
101,A227580,스포라이브,20210322,3345
102,A227580,스포라이브,20210319,3280
103,A227580,스포라이브,20210318,3150
104,A227580,스포라이브,20210317,3045
105,A227580,스포라이브,20210316,3005
106,A227580,스포라이브,20210315,2855
107,A227580,스포라이브,20210312,2975
108,A227580,스포라이브,20210311,2960
109,A227580,스포라이브,20210310,2990
110,A227580,스포라이브,20210309,2900
111,A227580,스포라이브,20210308,2985
112,A227580,스포라이브,20210305,2900
113,A227580,스포라이브,20210304,2800
114,A227580,스포라이브,20210303,2990
115,A227580,스포라이브,20210302,2950
116,A227580,스포라이브,20210226,2925
117,A227580,스포라이브,20210225,2960
118,A227580,스포라이브,20210224,2900
119,A227580,스포라이브,20210223,2925
120,A227580,스포라이브,20210222,2900
121,A227580,스포라이브,20210219,3000
122,A227580,스포라이브,20210218,3000
123,A227580,스포라이브,20210217,3000
124,A227580,스포라이브,20210216,3000
125,A227580,스포라이브,20210215,3100
126,A227580,스포라이브,20210210,3010
127,A227580,스포라이브,20210209,3000
128,A227580,스포라이브,20210208,3090
129,A227580,스포라이브,20210205,3080
130,A227580,스포라이브,20210204,3145
131,A227580,스포라이브,20210203,3090
132,A227580,스포라이브,20210202,3090
133,A227580,스포라이브,20210201,3040
134,A227580,스포라이브,20210129,2935
135,A227580,스포라이브,20210128,2900
136,A227580,스포라이브,20210127,3000
137,A227580,스포라이브,20210126,3000
138,A227580,스포라이브,20210125,2815
139,A227580,스포라이브,20210122,2910
140,A227580,스포라이브,20210121,3060
141,A227580,스포라이브,20210120,3055
142,A227580,스포라이브,20210119,3050
143,A227580,스포라이브,20210118,3090
144,A227580,스포라이브,20210115,3120
145,A227580,스포라이브,20210114,3150
146,A227580,스포라이브,20210113,3150
147,A227580,스포라이브,20210112,3235
148,A227580,스포라이브,20210111,3155
149,A227580,스포라이브,20210108,3280
150,A227580,스포라이브,20210107,3230
151,A227580,스포라이브,20210106,3230
152,A227580,스포라이브,20210105,3200
153,A227580,스포라이브,20210104,3200
154,A227580,스포라이브,20201230,3200
155,A227580,스포라이브,20201229,3300
156,A227580,스포라이브,20201228,3500
157,A227580,스포라이브,20201224,3250
158,A227580,스포라이브,20201223,3185
159,A227580,스포라이브,20201222,3260
160,A227580,스포라이브,20201221,3305
161,A227580,스포라이브,20201218,3270
162,A227580,스포라이브,20201217,3200
163,A227580,스포라이브,20201216,3230
164,A227580,스포라이브,20201215,3240
165,A227580,스포라이브,20201214,3200
166,A227580,스포라이브,20201211,3020
167,A227580,스포라이브,20201210,3005
168,A227580,스포라이브,20201209,3000
169,A227580,스포라이브,20201208,2900
170,A227580,스포라이브,20201207,2750
171,A227580,스포라이브,20201204,2975
172,A227580,스포라이브,20201203,3000
173,A227580,스포라이브,20201202,3095
174,A227580,스포라이브,20201201,2810
175,A227580,스포라이브,20201130,2780
176,A227580,스포라이브,20201127,2755
177,A227580,스포라이브,20201126,2740
178,A227580,스포라이브,20201125,2610
179,A227580,스포라이브,20201124,2570
180,A227580,스포라이브,20201123,2560
181,A227580,스포라이브,20201120,2735
182,A227580,스포라이브,20201119,2780
183,A227580,스포라이브,20201118,2785
184,A227580,스포라이브,20201117,2800
185,A227580,스포라이브,20201116,2540
186,A227580,스포라이브,20201113,2380
187,A227580,스포라이브,20201112,2390
188,A227580,스포라이브,20201111,2380
189,A227580,스포라이브,20201110,2445
190,A227580,스포라이브,20201109,2410
191,A227580,스포라이브,20201106,2315
192,A227580,스포라이브,20201105,2365
193,A227580,스포라이브,20201104,2400
194,A227580,스포라이브,20201103,2380
195,A227580,스포라이브,20201102,2350
196,A227580,스포라이브,20201030,2300
197,A227580,스포라이브,20201029,2280
198,A227580,스포라이브,20201028,2295
199,A227580,스포라이브,20201027,2350
200,A227580,스포라이브,20201026,2400
201,A227580,스포라이브,20201023,2370
202,A227580,스포라이브,20201022,2265
203,A227580,스포라이브,20201021,2400
204,A227580,스포라이브,20201020,2330
205,A227580,스포라이브,20201019,2225
206,A227580,스포라이브,20201016,2300
207,A227580,스포라이브,20201015,2315
208,A227580,스포라이브,20201014,2300
209,A227580,스포라이브,20201013,2270
210,A227580,스포라이브,20201012,2380
211,A227580,스포라이브,20201008,2340
212,A227580,스포라이브,20201007,2400
213,A227580,스포라이브,20201006,2435
214,A227580,스포라이브,20201005,2400
215,A227580,스포라이브,20200929,2320
216,A227580,스포라이브,20200928,2360
