,종목코드,종목명,날짜,종가
0,A269620,시스웍,20210812,2515
1,A269620,시스웍,20210811,2620
2,A269620,시스웍,20210810,2490
3,A269620,시스웍,20210809,2460
4,A269620,시스웍,20210806,2470
5,A269620,시스웍,20210805,2325
6,A269620,시스웍,20210804,2320
7,A269620,시스웍,20210803,2390
8,A269620,시스웍,20210802,2490
9,A269620,시스웍,20210730,2325
10,A269620,시스웍,20210729,2285
11,A269620,시스웍,20210728,2375
12,A269620,시스웍,20210727,2165
13,A269620,시스웍,20210726,2145
14,A269620,시스웍,20210723,2155
15,A269620,시스웍,20210722,2175
16,A269620,시스웍,20210721,2310
17,A269620,시스웍,20210720,2455
18,A269620,시스웍,20210719,2390
19,A269620,시스웍,20210716,2480
20,A269620,시스웍,20210715,2555
21,A269620,시스웍,20210714,2685
22,A269620,시스웍,20210713,2390
23,A269620,시스웍,20210712,2570
24,A269620,시스웍,20210709,2510
25,A269620,시스웍,20210708,2430
26,A269620,시스웍,20210707,2380
27,A269620,시스웍,20210706,2035
28,A269620,시스웍,20210705,2020
29,A269620,시스웍,20210702,2000
30,A269620,시스웍,20210701,2030
31,A269620,시스웍,20210630,2055
32,A269620,시스웍,20210629,2060
33,A269620,시스웍,20210628,2055
34,A269620,시스웍,20210625,1995
35,A269620,시스웍,20210624,2035
36,A269620,시스웍,20210623,2060
37,A269620,시스웍,20210622,1965
38,A269620,시스웍,20210621,1990
39,A269620,시스웍,20210618,1930
40,A269620,시스웍,20210617,1915
41,A269620,시스웍,20210616,1920
42,A269620,시스웍,20210615,1915
43,A269620,시스웍,20210614,1935
44,A269620,시스웍,20210611,1925
45,A269620,시스웍,20210610,1910
46,A269620,시스웍,20210609,1900
47,A269620,시스웍,20210608,1905
48,A269620,시스웍,20210607,1895
49,A269620,시스웍,20210604,1910
50,A269620,시스웍,20210603,1910
51,A269620,시스웍,20210602,1920
52,A269620,시스웍,20210601,1945
53,A269620,시스웍,20210531,1940
54,A269620,시스웍,20210528,1945
55,A269620,시스웍,20210527,1915
56,A269620,시스웍,20210526,1955
57,A269620,시스웍,20210525,1895
58,A269620,시스웍,20210524,1885
59,A269620,시스웍,20210521,1960
60,A269620,시스웍,20210520,2005
61,A269620,시스웍,20210518,2040
62,A269620,시스웍,20210517,2040
63,A269620,시스웍,20210514,1985
64,A269620,시스웍,20210513,2000
65,A269620,시스웍,20210512,2005
66,A269620,시스웍,20210511,2050
67,A269620,시스웍,20210510,2145
