,종목코드,종목명,날짜,종가
0,A290520,신도기연,20210812,16900
1,A290520,신도기연,20210811,16950
2,A290520,신도기연,20210810,17450
3,A290520,신도기연,20210809,17800
4,A290520,신도기연,20210806,18150
5,A290520,신도기연,20210805,17900
6,A290520,신도기연,20210804,17450
7,A290520,신도기연,20210803,17100
8,A290520,신도기연,20210802,17150
9,A290520,신도기연,20210730,17450
10,A290520,신도기연,20210729,16750
11,A290520,신도기연,20210728,16600
12,A290520,신도기연,20210727,16850
13,A290520,신도기연,20210726,16900
14,A290520,신도기연,20210723,17500
15,A290520,신도기연,20210722,17600
16,A290520,신도기연,20210721,17250
17,A290520,신도기연,20210720,17400
18,A290520,신도기연,20210719,17600
19,A290520,신도기연,20210716,17650
20,A290520,신도기연,20210715,18100
21,A290520,신도기연,20210714,18350
22,A290520,신도기연,20210713,18350
23,A290520,신도기연,20210712,17550
24,A290520,신도기연,20210709,17000
25,A290520,신도기연,20210708,17700
26,A290520,신도기연,20210707,18150
27,A290520,신도기연,20210706,18350
28,A290520,신도기연,20210705,18200
29,A290520,신도기연,20210702,18150
30,A290520,신도기연,20210701,18500
31,A290520,신도기연,20210630,19000
32,A290520,신도기연,20210629,18800
33,A290520,신도기연,20210628,18900
34,A290520,신도기연,20210625,17900
35,A290520,신도기연,20210624,17750
36,A290520,신도기연,20210623,18100
37,A290520,신도기연,20210622,16200
38,A290520,신도기연,20210621,16300
39,A290520,신도기연,20210618,16350
40,A290520,신도기연,20210617,16350
41,A290520,신도기연,20210616,16400
42,A290520,신도기연,20210615,16400
43,A290520,신도기연,20210614,16450
44,A290520,신도기연,20210611,16500
45,A290520,신도기연,20210610,16100
46,A290520,신도기연,20210609,16200
47,A290520,신도기연,20210608,16350
48,A290520,신도기연,20210607,16300
49,A290520,신도기연,20210604,16300
50,A290520,신도기연,20210603,16150
51,A290520,신도기연,20210602,16200
52,A290520,신도기연,20210601,16300
53,A290520,신도기연,20210531,16300
54,A290520,신도기연,20210528,16150
55,A290520,신도기연,20210527,16150
56,A290520,신도기연,20210526,15950
57,A290520,신도기연,20210525,15700
58,A290520,신도기연,20210524,15550
59,A290520,신도기연,20210521,16100
60,A290520,신도기연,20210520,16100
61,A290520,신도기연,20210518,16450
62,A290520,신도기연,20210517,16600
63,A290520,신도기연,20210514,16850
64,A290520,신도기연,20210513,16750
65,A290520,신도기연,20210512,17000
66,A290520,신도기연,20210511,17250
67,A290520,신도기연,20210510,17350
68,A290520,신도기연,20210507,17300
69,A290520,신도기연,20210506,17500
70,A290520,신도기연,20210504,17550
71,A290520,신도기연,20210503,17550
72,A290520,신도기연,20210430,16700
73,A290520,신도기연,20210429,16850
74,A290520,신도기연,20210428,17050
75,A290520,신도기연,20210427,17250
76,A290520,신도기연,20210426,17600
77,A290520,신도기연,20210423,17500
78,A290520,신도기연,20210422,17450
79,A290520,신도기연,20210421,17500
80,A290520,신도기연,20210420,17950
81,A290520,신도기연,20210419,17800
82,A290520,신도기연,20210416,17500
83,A290520,신도기연,20210415,17250
84,A290520,신도기연,20210414,17650
85,A290520,신도기연,20210413,17250
86,A290520,신도기연,20210412,17150
87,A290520,신도기연,20210409,17150
88,A290520,신도기연,20210408,16900
89,A290520,신도기연,20210407,16500
90,A290520,신도기연,20210406,16800
91,A290520,신도기연,20210405,16900
92,A290520,신도기연,20210402,17300
93,A290520,신도기연,20210401,17200
94,A290520,신도기연,20210331,17300
95,A290520,신도기연,20210330,17500
96,A290520,신도기연,20210329,17450
97,A290520,신도기연,20210326,17350
98,A290520,신도기연,20210325,17450
99,A290520,신도기연,20210324,17500
100,A290520,신도기연,20210323,17600
101,A290520,신도기연,20210322,17600
102,A290520,신도기연,20210319,17600
103,A290520,신도기연,20210318,17600
104,A290520,신도기연,20210317,17200
105,A290520,신도기연,20210316,17300
106,A290520,신도기연,20210315,17300
107,A290520,신도기연,20210312,17400
108,A290520,신도기연,20210311,16950
109,A290520,신도기연,20210310,16250
110,A290520,신도기연,20210309,16200
111,A290520,신도기연,20210308,16950
112,A290520,신도기연,20210305,17750
113,A290520,신도기연,20210304,18200
114,A290520,신도기연,20210303,18400
115,A290520,신도기연,20210302,18400
116,A290520,신도기연,20210226,18550
117,A290520,신도기연,20210225,19200
118,A290520,신도기연,20210224,18850
119,A290520,신도기연,20210223,19350
120,A290520,신도기연,20210222,19750
121,A290520,신도기연,20210219,19850
122,A290520,신도기연,20210218,20200
123,A290520,신도기연,20210217,20500
124,A290520,신도기연,20210216,19750
125,A290520,신도기연,20210215,19950
126,A290520,신도기연,20210210,19550
127,A290520,신도기연,20210209,19650
128,A290520,신도기연,20210208,19900
129,A290520,신도기연,20210205,20300
130,A290520,신도기연,20210204,20400
131,A290520,신도기연,20210203,20550
132,A290520,신도기연,20210202,20500
133,A290520,신도기연,20210201,20100
134,A290520,신도기연,20210129,20050
135,A290520,신도기연,20210128,21150
136,A290520,신도기연,20210127,22000
137,A290520,신도기연,20210126,22800
138,A290520,신도기연,20210125,22900
139,A290520,신도기연,20210122,23000
140,A290520,신도기연,20210121,23200
141,A290520,신도기연,20210120,22300
142,A290520,신도기연,20210119,21800
143,A290520,신도기연,20210118,21100
144,A290520,신도기연,20210115,22000
145,A290520,신도기연,20210114,22450
146,A290520,신도기연,20210113,21950
147,A290520,신도기연,20210112,20900
148,A290520,신도기연,20210111,21100
149,A290520,신도기연,20210108,21900
150,A290520,신도기연,20210107,21950
151,A290520,신도기연,20210106,21750
152,A290520,신도기연,20210105,21650
153,A290520,신도기연,20210104,21550
154,A290520,신도기연,20201230,20800
155,A290520,신도기연,20201229,19650
156,A290520,신도기연,20201228,19150
157,A290520,신도기연,20201224,19350
158,A290520,신도기연,20201223,19400
159,A290520,신도기연,20201222,19450
160,A290520,신도기연,20201221,19400
161,A290520,신도기연,20201218,19800
162,A290520,신도기연,20201217,19750
163,A290520,신도기연,20201216,19050
164,A290520,신도기연,20201215,18850
165,A290520,신도기연,20201214,18900
166,A290520,신도기연,20201211,19000
167,A290520,신도기연,20201210,18950
168,A290520,신도기연,20201209,19000
169,A290520,신도기연,20201208,18800
170,A290520,신도기연,20201207,18950
171,A290520,신도기연,20201204,19350
172,A290520,신도기연,20201203,19700
173,A290520,신도기연,20201202,19500
174,A290520,신도기연,20201201,19850
175,A290520,신도기연,20201130,19900
176,A290520,신도기연,20201127,20100
177,A290520,신도기연,20201126,20250
178,A290520,신도기연,20201125,20150
179,A290520,신도기연,20201124,20150
180,A290520,신도기연,20201123,20150
181,A290520,신도기연,20201120,20200
182,A290520,신도기연,20201119,20050
183,A290520,신도기연,20201118,20150
184,A290520,신도기연,20201117,19950
185,A290520,신도기연,20201116,20450
186,A290520,신도기연,20201113,20500
187,A290520,신도기연,20201112,20850
188,A290520,신도기연,20201111,20800
189,A290520,신도기연,20201110,21450
190,A290520,신도기연,20201109,21750
191,A290520,신도기연,20201106,21850
192,A290520,신도기연,20201105,20750
193,A290520,신도기연,20201104,19700
194,A290520,신도기연,20201103,19400
195,A290520,신도기연,20201102,19400
196,A290520,신도기연,20201030,19650
197,A290520,신도기연,20201029,20200
198,A290520,신도기연,20201028,19800
199,A290520,신도기연,20201027,18750
200,A290520,신도기연,20201026,19500
201,A290520,신도기연,20201023,20650
202,A290520,신도기연,20201022,20550
203,A290520,신도기연,20201021,21100
204,A290520,신도기연,20201020,20950
205,A290520,신도기연,20201019,21350
206,A290520,신도기연,20201016,22100
207,A290520,신도기연,20201015,22150
208,A290520,신도기연,20201014,22550
209,A290520,신도기연,20201013,22950
210,A290520,신도기연,20201012,23000
211,A290520,신도기연,20201008,23150
212,A290520,신도기연,20201007,22900
213,A290520,신도기연,20201006,23050
214,A290520,신도기연,20201005,23300
215,A290520,신도기연,20200929,22500
216,A290520,신도기연,20200928,22250
217,A290520,신도기연,20200925,21850
218,A290520,신도기연,20200924,22150
219,A290520,신도기연,20200923,22800
220,A290520,신도기연,20200922,22350
221,A290520,신도기연,20200921,23050
222,A290520,신도기연,20200918,24150
223,A290520,신도기연,20200917,25050
224,A290520,신도기연,20200916,25650
225,A290520,신도기연,20200915,25750
226,A290520,신도기연,20200914,26100
227,A290520,신도기연,20200911,24900
228,A290520,신도기연,20200910,23850
229,A290520,신도기연,20200909,23450
230,A290520,신도기연,20200908,23700
231,A290520,신도기연,20200907,23600
232,A290520,신도기연,20200904,22350
233,A290520,신도기연,20200903,22650
234,A290520,신도기연,20200902,21850
235,A290520,신도기연,20200901,21800
236,A290520,신도기연,20200831,21400
237,A290520,신도기연,20200828,21100
238,A290520,신도기연,20200827,21800
239,A290520,신도기연,20200826,23600
240,A290520,신도기연,20200825,22650
241,A290520,신도기연,20200824,21850
242,A290520,신도기연,20200821,22350
243,A290520,신도기연,20200820,22700
244,A290520,신도기연,20200819,22350
245,A290520,신도기연,20200818,21800
246,A290520,신도기연,20200814,25300
247,A290520,신도기연,20200813,26950
248,A290520,신도기연,20200812,22300
249,A290520,신도기연,20200811,23300
250,A290520,신도기연,20200810,22300
251,A290520,신도기연,20200807,20650
252,A290520,신도기연,20200806,20500
253,A290520,신도기연,20200805,20350
254,A290520,신도기연,20200804,20350
255,A290520,신도기연,20200803,20450
256,A290520,신도기연,20200731,20650
257,A290520,신도기연,20200730,21000
258,A290520,신도기연,20200729,20700
259,A290520,신도기연,20200728,20500
260,A290520,신도기연,20200727,20650
261,A290520,신도기연,20200724,20550
262,A290520,신도기연,20200723,20550
263,A290520,신도기연,20200722,21100
264,A290520,신도기연,20200721,21350
265,A290520,신도기연,20200720,21050
266,A290520,신도기연,20200717,21250
267,A290520,신도기연,20200716,21950
268,A290520,신도기연,20200715,23000
269,A290520,신도기연,20200714,21900
270,A290520,신도기연,20200713,22700
271,A290520,신도기연,20200710,20200
272,A290520,신도기연,20200709,21750
273,A290520,신도기연,20200708,21300
274,A290520,신도기연,20200707,21400
275,A290520,신도기연,20200706,22400
