,종목코드,종목명,날짜,종가
0,A025870,신라에스지,20210812,16500
1,A025870,신라에스지,20210811,16300
2,A025870,신라에스지,20210810,16750
3,A025870,신라에스지,20210809,17400
4,A025870,신라에스지,20210806,17550
5,A025870,신라에스지,20210805,16500
6,A025870,신라에스지,20210804,15900
7,A025870,신라에스지,20210803,15850
8,A025870,신라에스지,20210802,16150
9,A025870,신라에스지,20210730,16400
10,A025870,신라에스지,20210729,16150
11,A025870,신라에스지,20210728,16700
12,A025870,신라에스지,20210727,16500
13,A025870,신라에스지,20210726,15900
14,A025870,신라에스지,20210723,16950
15,A025870,신라에스지,20210722,17400
16,A025870,신라에스지,20210721,17700
17,A025870,신라에스지,20210720,18100
18,A025870,신라에스지,20210719,17850
19,A025870,신라에스지,20210716,18900
20,A025870,신라에스지,20210715,18600
21,A025870,신라에스지,20210714,18500
22,A025870,신라에스지,20210713,18150
23,A025870,신라에스지,20210712,18700
24,A025870,신라에스지,20210709,19200
25,A025870,신라에스지,20210708,18800
26,A025870,신라에스지,20210707,20000
27,A025870,신라에스지,20210706,20150
28,A025870,신라에스지,20210705,20200
29,A025870,신라에스지,20210702,21350
30,A025870,신라에스지,20210701,21350
31,A025870,신라에스지,20210630,19750
32,A025870,신라에스지,20210629,21000
33,A025870,신라에스지,20210628,20550
34,A025870,신라에스지,20210625,19100
35,A025870,신라에스지,20210624,19500
36,A025870,신라에스지,20210623,19150
37,A025870,신라에스지,20210622,20150
38,A025870,신라에스지,20210621,20300
39,A025870,신라에스지,20210618,20950
40,A025870,신라에스지,20210617,20850
41,A025870,신라에스지,20210616,19400
42,A025870,신라에스지,20210615,18800
43,A025870,신라에스지,20210614,18600
44,A025870,신라에스지,20210611,18500
45,A025870,신라에스지,20210610,19250
46,A025870,신라에스지,20210609,19000
47,A025870,신라에스지,20210608,19250
48,A025870,신라에스지,20210607,19350
49,A025870,신라에스지,20210604,20000
50,A025870,신라에스지,20210603,19700
51,A025870,신라에스지,20210602,19450
52,A025870,신라에스지,20210601,19250
53,A025870,신라에스지,20210531,18500
54,A025870,신라에스지,20210528,18550
55,A025870,신라에스지,20210527,18800
56,A025870,신라에스지,20210526,18300
57,A025870,신라에스지,20210525,18200
58,A025870,신라에스지,20210524,18150
59,A025870,신라에스지,20210521,18900
60,A025870,신라에스지,20210520,18900
61,A025870,신라에스지,20210518,18400
62,A025870,신라에스지,20210517,18900
63,A025870,신라에스지,20210514,19000
64,A025870,신라에스지,20210513,18300
65,A025870,신라에스지,20210512,18300
66,A025870,신라에스지,20210511,18600
67,A025870,신라에스지,20210510,18450
68,A025870,신라에스지,20210507,18450
69,A025870,신라에스지,20210506,17700
70,A025870,신라에스지,20210504,17550
71,A025870,신라에스지,20210503,17850
72,A025870,신라에스지,20210430,17500
73,A025870,신라에스지,20210429,17550
74,A025870,신라에스지,20210428,18050
75,A025870,신라에스지,20210427,18050
76,A025870,신라에스지,20210426,19300
77,A025870,신라에스지,20210423,20000
78,A025870,신라에스지,20210422,20200
79,A025870,신라에스지,20210421,19750
80,A025870,신라에스지,20210420,19350
81,A025870,신라에스지,20210419,19700
82,A025870,신라에스지,20210416,19700
83,A025870,신라에스지,20210415,19800
84,A025870,신라에스지,20210414,19800
85,A025870,신라에스지,20210413,20950
86,A025870,신라에스지,20210412,24650
87,A025870,신라에스지,20210409,20550
88,A025870,신라에스지,20210408,20400
89,A025870,신라에스지,20210407,17950
90,A025870,신라에스지,20210406,17150
91,A025870,신라에스지,20210405,17300
92,A025870,신라에스지,20210402,17600
93,A025870,신라에스지,20210401,16850
94,A025870,신라에스지,20210331,17550
95,A025870,신라에스지,20210330,17000
96,A025870,신라에스지,20210329,17000
97,A025870,신라에스지,20210326,16200
98,A025870,신라에스지,20210325,15950
99,A025870,신라에스지,20210324,15900
100,A025870,신라에스지,20210323,15000
101,A025870,신라에스지,20210322,15850
102,A025870,신라에스지,20210319,16800
103,A025870,신라에스지,20210318,16400
104,A025870,신라에스지,20210317,15950
105,A025870,신라에스지,20210316,15050
106,A025870,신라에스지,20210315,14950
107,A025870,신라에스지,20210312,16000
108,A025870,신라에스지,20210311,15150
109,A025870,신라에스지,20210310,14500
110,A025870,신라에스지,20210309,15200
111,A025870,신라에스지,20210308,14350
112,A025870,신라에스지,20210305,14900
113,A025870,신라에스지,20210304,15700
114,A025870,신라에스지,20210303,15200
115,A025870,신라에스지,20210302,14700
116,A025870,신라에스지,20210226,15600
117,A025870,신라에스지,20210225,17150
118,A025870,신라에스지,20210224,13200
119,A025870,신라에스지,20210223,13900
120,A025870,신라에스지,20210222,14450
121,A025870,신라에스지,20210219,14700
122,A025870,신라에스지,20210218,14350
123,A025870,신라에스지,20210217,18000
124,A025870,신라에스지,20210216,17500
125,A025870,신라에스지,20210215,17450
126,A025870,신라에스지,20210210,18900
127,A025870,신라에스지,20210209,18300
128,A025870,신라에스지,20210208,18250
129,A025870,신라에스지,20210205,18000
130,A025870,신라에스지,20210204,17500
131,A025870,신라에스지,20210203,17200
132,A025870,신라에스지,20210202,17600
133,A025870,신라에스지,20210201,19050
134,A025870,신라에스지,20210129,20850
135,A025870,신라에스지,20210128,20200
136,A025870,신라에스지,20210127,22100
137,A025870,신라에스지,20210126,17000
138,A025870,신라에스지,20210125,17000
139,A025870,신라에스지,20210122,13100
140,A025870,신라에스지,20210121,10100
141,A025870,신라에스지,20210120,9710
142,A025870,신라에스지,20210119,9200
143,A025870,신라에스지,20210118,8950
144,A025870,신라에스지,20210115,8900
145,A025870,신라에스지,20210114,8860
146,A025870,신라에스지,20210113,8790
147,A025870,신라에스지,20210112,9010
148,A025870,신라에스지,20210111,8580
149,A025870,신라에스지,20210108,8750
150,A025870,신라에스지,20210107,8660
151,A025870,신라에스지,20210106,8630
152,A025870,신라에스지,20210105,8670
153,A025870,신라에스지,20210104,8450
154,A025870,신라에스지,20201230,8510
155,A025870,신라에스지,20201229,8460
156,A025870,신라에스지,20201228,8300
157,A025870,신라에스지,20201224,8400
158,A025870,신라에스지,20201223,8400
159,A025870,신라에스지,20201222,8550
160,A025870,신라에스지,20201221,8820
161,A025870,신라에스지,20201218,9060
