,종목코드,종목명,날짜,종가
0,A005390,신성통상,20210812,3990
1,A005390,신성통상,20210811,4070
2,A005390,신성통상,20210810,4150
3,A005390,신성통상,20210809,4180
4,A005390,신성통상,20210806,4080
5,A005390,신성통상,20210805,4150
6,A005390,신성통상,20210804,4140
7,A005390,신성통상,20210803,4010
8,A005390,신성통상,20210802,4135
9,A005390,신성통상,20210730,3990
10,A005390,신성통상,20210729,3940
11,A005390,신성통상,20210728,3865
12,A005390,신성통상,20210727,4070
13,A005390,신성통상,20210726,4030
14,A005390,신성통상,20210723,3620
15,A005390,신성통상,20210722,3245
16,A005390,신성통상,20210721,3090
17,A005390,신성통상,20210720,3150
18,A005390,신성통상,20210719,3300
19,A005390,신성통상,20210716,3210
20,A005390,신성통상,20210715,3110
21,A005390,신성통상,20210714,3155
22,A005390,신성통상,20210713,3290
23,A005390,신성통상,20210712,3215
24,A005390,신성통상,20210709,3290
25,A005390,신성통상,20210708,3360
26,A005390,신성통상,20210707,3400
27,A005390,신성통상,20210706,3575
28,A005390,신성통상,20210705,3575
29,A005390,신성통상,20210702,3590
30,A005390,신성통상,20210701,3705
31,A005390,신성통상,20210630,3690
32,A005390,신성통상,20210629,3480
33,A005390,신성통상,20210628,3540
34,A005390,신성통상,20210625,3600
35,A005390,신성통상,20210624,3285
36,A005390,신성통상,20210623,3245
37,A005390,신성통상,20210622,3365
38,A005390,신성통상,20210621,3155
39,A005390,신성통상,20210618,3235
40,A005390,신성통상,20210617,3165
41,A005390,신성통상,20210616,3350
42,A005390,신성통상,20210615,3150
43,A005390,신성통상,20210614,3325
44,A005390,신성통상,20210611,3230
45,A005390,신성통상,20210610,3280
46,A005390,신성통상,20210609,3250
47,A005390,신성통상,20210608,2740
48,A005390,신성통상,20210607,2645
49,A005390,신성통상,20210604,2605
50,A005390,신성통상,20210603,2670
51,A005390,신성통상,20210602,2660
52,A005390,신성통상,20210601,2400
53,A005390,신성통상,20210531,2000
54,A005390,신성통상,20210528,2035
55,A005390,신성통상,20210527,2010
56,A005390,신성통상,20210526,1910
57,A005390,신성통상,20210525,1920
58,A005390,신성통상,20210524,1900
59,A005390,신성통상,20210521,1970
60,A005390,신성통상,20210520,1910
61,A005390,신성통상,20210518,1840
62,A005390,신성통상,20210517,1900
63,A005390,신성통상,20210514,1885
64,A005390,신성통상,20210513,1875
65,A005390,신성통상,20210512,1935
66,A005390,신성통상,20210511,1960
67,A005390,신성통상,20210510,1945
68,A005390,신성통상,20210507,1865
69,A005390,신성통상,20210506,1835
70,A005390,신성통상,20210504,1825
71,A005390,신성통상,20210503,1770
72,A005390,신성통상,20210430,1755
73,A005390,신성통상,20210429,1815
74,A005390,신성통상,20210428,1825
75,A005390,신성통상,20210427,1880
76,A005390,신성통상,20210426,1840
77,A005390,신성통상,20210423,1805
78,A005390,신성통상,20210422,1845
79,A005390,신성통상,20210421,1840
80,A005390,신성통상,20210420,1840
81,A005390,신성통상,20210419,1810
82,A005390,신성통상,20210416,1820
83,A005390,신성통상,20210415,1830
84,A005390,신성통상,20210414,1910
85,A005390,신성통상,20210413,1760
86,A005390,신성통상,20210412,1805
87,A005390,신성통상,20210409,1745
88,A005390,신성통상,20210408,1670
89,A005390,신성통상,20210407,1660
90,A005390,신성통상,20210406,1680
91,A005390,신성통상,20210405,1645
92,A005390,신성통상,20210402,1640
93,A005390,신성통상,20210401,1665
94,A005390,신성통상,20210331,1690
95,A005390,신성통상,20210330,1680
96,A005390,신성통상,20210329,1695
97,A005390,신성통상,20210326,1660
98,A005390,신성통상,20210325,1680
99,A005390,신성통상,20210324,1635
100,A005390,신성통상,20210323,1585
101,A005390,신성통상,20210322,1635
102,A005390,신성통상,20210319,1635
103,A005390,신성통상,20210318,1620
104,A005390,신성통상,20210317,1635
105,A005390,신성통상,20210316,1610
106,A005390,신성통상,20210315,1540
107,A005390,신성통상,20210312,1520
108,A005390,신성통상,20210311,1515
109,A005390,신성통상,20210310,1490
110,A005390,신성통상,20210309,1495
111,A005390,신성통상,20210308,1525
112,A005390,신성통상,20210305,1540
113,A005390,신성통상,20210304,1570
114,A005390,신성통상,20210303,1570
115,A005390,신성통상,20210302,1590
116,A005390,신성통상,20210226,1605
117,A005390,신성통상,20210225,1610
118,A005390,신성통상,20210224,1565
119,A005390,신성통상,20210223,1625
120,A005390,신성통상,20210222,1640
121,A005390,신성통상,20210219,1595
122,A005390,신성통상,20210218,1605
123,A005390,신성통상,20210217,1605
124,A005390,신성통상,20210216,1610
125,A005390,신성통상,20210215,1545
126,A005390,신성통상,20210210,1515
127,A005390,신성통상,20210209,1495
128,A005390,신성통상,20210208,1485
129,A005390,신성통상,20210205,1505
130,A005390,신성통상,20210204,1485
131,A005390,신성통상,20210203,1520
132,A005390,신성통상,20210202,1525
133,A005390,신성통상,20210201,1480
134,A005390,신성통상,20210129,1460
135,A005390,신성통상,20210128,1560
136,A005390,신성통상,20210127,1595
137,A005390,신성통상,20210126,1600
138,A005390,신성통상,20210125,1620
139,A005390,신성통상,20210122,1615
140,A005390,신성통상,20210121,1645
141,A005390,신성통상,20210120,1635
142,A005390,신성통상,20210119,1620
143,A005390,신성통상,20210118,1600
144,A005390,신성통상,20210115,1650
145,A005390,신성통상,20210114,1680
146,A005390,신성통상,20210113,1705
147,A005390,신성통상,20210112,1645
148,A005390,신성통상,20210111,1675
149,A005390,신성통상,20210108,1755
150,A005390,신성통상,20210107,1740
151,A005390,신성통상,20210106,1740
152,A005390,신성통상,20210105,1735
153,A005390,신성통상,20210104,1740
154,A005390,신성통상,20201230,1715
155,A005390,신성통상,20201229,1710
156,A005390,신성통상,20201228,1620
157,A005390,신성통상,20201224,1670
158,A005390,신성통상,20201223,1640
159,A005390,신성통상,20201222,1655
160,A005390,신성통상,20201221,1710
161,A005390,신성통상,20201218,1740
162,A005390,신성통상,20201217,1715
