,종목코드,종목명,날짜,종가
0,A017000,신원종합개발,20210812,6210
1,A017000,신원종합개발,20210811,6190
2,A017000,신원종합개발,20210810,6350
3,A017000,신원종합개발,20210809,6470
4,A017000,신원종합개발,20210806,6730
5,A017000,신원종합개발,20210805,6890
6,A017000,신원종합개발,20210804,6940
7,A017000,신원종합개발,20210803,6860
8,A017000,신원종합개발,20210802,7050
9,A017000,신원종합개발,20210730,7060
10,A017000,신원종합개발,20210729,7000
11,A017000,신원종합개발,20210728,6990
12,A017000,신원종합개발,20210727,7030
13,A017000,신원종합개발,20210726,6780
14,A017000,신원종합개발,20210723,6800
15,A017000,신원종합개발,20210722,6690
16,A017000,신원종합개발,20210721,6790
17,A017000,신원종합개발,20210720,7000
18,A017000,신원종합개발,20210719,7150
19,A017000,신원종합개발,20210716,7510
20,A017000,신원종합개발,20210715,7670
21,A017000,신원종합개발,20210714,7570
22,A017000,신원종합개발,20210713,7670
23,A017000,신원종합개발,20210712,7910
24,A017000,신원종합개발,20210709,7870
25,A017000,신원종합개발,20210708,7640
26,A017000,신원종합개발,20210707,7800
27,A017000,신원종합개발,20210706,8040
28,A017000,신원종합개발,20210705,7610
29,A017000,신원종합개발,20210702,7600
30,A017000,신원종합개발,20210701,7460
31,A017000,신원종합개발,20210630,7630
32,A017000,신원종합개발,20210629,7560
33,A017000,신원종합개발,20210628,7850
34,A017000,신원종합개발,20210625,7680
35,A017000,신원종합개발,20210624,7870
36,A017000,신원종합개발,20210623,7570
37,A017000,신원종합개발,20210622,7830
38,A017000,신원종합개발,20210621,7770
39,A017000,신원종합개발,20210618,8330
40,A017000,신원종합개발,20210617,8290
41,A017000,신원종합개발,20210616,7330
42,A017000,신원종합개발,20210615,7090
43,A017000,신원종합개발,20210614,7150
44,A017000,신원종합개발,20210611,7210
45,A017000,신원종합개발,20210610,7280
46,A017000,신원종합개발,20210609,7630
47,A017000,신원종합개발,20210608,7810
48,A017000,신원종합개발,20210607,7910
49,A017000,신원종합개발,20210604,7740
50,A017000,신원종합개발,20210603,8000
51,A017000,신원종합개발,20210602,8020
52,A017000,신원종합개발,20210601,7500
53,A017000,신원종합개발,20210531,7320
54,A017000,신원종합개발,20210528,7320
55,A017000,신원종합개발,20210527,7210
56,A017000,신원종합개발,20210526,7270
57,A017000,신원종합개발,20210525,6820
58,A017000,신원종합개발,20210524,6710
59,A017000,신원종합개발,20210521,6960
60,A017000,신원종합개발,20210520,7190
61,A017000,신원종합개발,20210518,7070
62,A017000,신원종합개발,20210517,6870
63,A017000,신원종합개발,20210514,6710
64,A017000,신원종합개발,20210513,6640
65,A017000,신원종합개발,20210512,6810
66,A017000,신원종합개발,20210511,7100
