,종목코드,종목명,날짜,종가
0,A002700,신일전자,20210812,1985
1,A002700,신일전자,20210811,1985
2,A002700,신일전자,20210810,2010
3,A002700,신일전자,20210809,2045
4,A002700,신일전자,20210806,2115
5,A002700,신일전자,20210805,2165
6,A002700,신일전자,20210804,2125
7,A002700,신일전자,20210803,2120
8,A002700,신일전자,20210802,2180
9,A002700,신일전자,20210730,2255
10,A002700,신일전자,20210729,2330
11,A002700,신일전자,20210728,2435
12,A002700,신일전자,20210727,2360
13,A002700,신일전자,20210726,2415
14,A002700,신일전자,20210723,2555
15,A002700,신일전자,20210722,2625
16,A002700,신일전자,20210721,2865
17,A002700,신일전자,20210720,2770
18,A002700,신일전자,20210719,2875
19,A002700,신일전자,20210716,2215
20,A002700,신일전자,20210715,2195
21,A002700,신일전자,20210714,2210
22,A002700,신일전자,20210713,2080
23,A002700,신일전자,20210712,2070
24,A002700,신일전자,20210709,1960
25,A002700,신일전자,20210708,1960
26,A002700,신일전자,20210707,1995
27,A002700,신일전자,20210706,2005
28,A002700,신일전자,20210705,1990
29,A002700,신일전자,20210702,2010
30,A002700,신일전자,20210701,2025
31,A002700,신일전자,20210630,2025
32,A002700,신일전자,20210629,2050
33,A002700,신일전자,20210628,2025
34,A002700,신일전자,20210625,2015
35,A002700,신일전자,20210624,1980
36,A002700,신일전자,20210623,2005
37,A002700,신일전자,20210622,2020
38,A002700,신일전자,20210621,1995
39,A002700,신일전자,20210618,2025
40,A002700,신일전자,20210617,2035
41,A002700,신일전자,20210616,2060
42,A002700,신일전자,20210615,2015
43,A002700,신일전자,20210614,2030
44,A002700,신일전자,20210611,2020
45,A002700,신일전자,20210610,2025
46,A002700,신일전자,20210609,2015
47,A002700,신일전자,20210608,2055
48,A002700,신일전자,20210607,2090
49,A002700,신일전자,20210604,2060
50,A002700,신일전자,20210603,2055
51,A002700,신일전자,20210602,2055
52,A002700,신일전자,20210601,2020
53,A002700,신일전자,20210531,2030
54,A002700,신일전자,20210528,2025
55,A002700,신일전자,20210527,2000
56,A002700,신일전자,20210526,1925
57,A002700,신일전자,20210525,1925
58,A002700,신일전자,20210524,1915
59,A002700,신일전자,20210521,1945
60,A002700,신일전자,20210520,1940
61,A002700,신일전자,20210518,1965
62,A002700,신일전자,20210517,1980
63,A002700,신일전자,20210514,2130
64,A002700,신일전자,20210513,2155
65,A002700,신일전자,20210512,2195
66,A002700,신일전자,20210511,2260
67,A002700,신일전자,20210510,2275
68,A002700,신일전자,20210507,2270
69,A002700,신일전자,20210506,2280
70,A002700,신일전자,20210504,2245
71,A002700,신일전자,20210503,2270
72,A002700,신일전자,20210430,2220
73,A002700,신일전자,20210429,2225
74,A002700,신일전자,20210428,2275
75,A002700,신일전자,20210427,2295
76,A002700,신일전자,20210426,2285
