,종목코드,종목명,날짜,종가
0,J50G013,신한G013카카오콜,20210812,95
1,J50G013,신한G013카카오콜,20210811,90
2,J50G013,신한G013카카오콜,20210810,100
3,J50G013,신한G013카카오콜,20210809,105
4,J50G013,신한G013카카오콜,20210806,120
5,J50G013,신한G013카카오콜,20210805,120
6,J50G013,신한G013카카오콜,20210804,105
7,J50G013,신한G013카카오콜,20210803,105
8,J50G013,신한G013카카오콜,20210802,100
9,J50G013,신한G013카카오콜,20210730,120
10,J50G013,신한G013카카오콜,20210729,120
11,J50G013,신한G013카카오콜,20210728,120
12,J50G013,신한G013카카오콜,20210727,120
13,J50G013,신한G013카카오콜,20210726,120
14,J50G013,신한G013카카오콜,20210723,115
15,J50G013,신한G013카카오콜,20210722,95
16,J50G013,신한G013카카오콜,20210721,95
17,J50G013,신한G013카카오콜,20210720,140
18,J50G013,신한G013카카오콜,20210719,140
19,J50G013,신한G013카카오콜,20210716,175
20,J50G013,신한G013카카오콜,20210715,175
21,J50G013,신한G013카카오콜,20210714,175
22,J50G013,신한G013카카오콜,20210713,175
23,J50G013,신한G013카카오콜,20210712,175
24,J50G013,신한G013카카오콜,20210709,175
25,J50G013,신한G013카카오콜,20210708,175
26,J50G013,신한G013카카오콜,20210707,175
27,J50G013,신한G013카카오콜,20210706,175
28,J50G013,신한G013카카오콜,20210705,185
29,J50G013,신한G013카카오콜,20210702,185
30,J50G013,신한G013카카오콜,20210701,175
31,J50G013,신한G013카카오콜,20210630,195
32,J50G013,신한G013카카오콜,20210629,165
33,J50G013,신한G013카카오콜,20210628,160
34,J50G013,신한G013카카오콜,20210625,160
35,J50G013,신한G013카카오콜,20210624,165
36,J50G013,신한G013카카오콜,20210623,230
37,J50G013,신한G013카카오콜,20210622,170
38,J50G013,신한G013카카오콜,20210621,160
39,J50G013,신한G013카카오콜,20210618,160
40,J50G013,신한G013카카오콜,20210617,130
41,J50G013,신한G013카카오콜,20210616,110
42,J50G013,신한G013카카오콜,20210615,100
43,J50G013,신한G013카카오콜,20210614,100
44,J50G013,신한G013카카오콜,20210611,85
45,J50G013,신한G013카카오콜,20210610,80
46,J50G013,신한G013카카오콜,20210609,65
