,종목코드,종목명,날짜,종가
0,A333050,신한제6호스팩,20210812,2300
1,A333050,신한제6호스팩,20210811,2280
2,A333050,신한제6호스팩,20210810,2295
3,A333050,신한제6호스팩,20210809,2290
4,A333050,신한제6호스팩,20210806,2320
5,A333050,신한제6호스팩,20210805,2340
6,A333050,신한제6호스팩,20210804,2340
7,A333050,신한제6호스팩,20210803,2325
8,A333050,신한제6호스팩,20210802,2275
9,A333050,신한제6호스팩,20210730,2255
10,A333050,신한제6호스팩,20210729,2240
11,A333050,신한제6호스팩,20210728,2240
12,A333050,신한제6호스팩,20210727,2205
13,A333050,신한제6호스팩,20210726,2205
14,A333050,신한제6호스팩,20210723,2200
15,A333050,신한제6호스팩,20210722,2200
16,A333050,신한제6호스팩,20210721,2230
17,A333050,신한제6호스팩,20210720,2210
18,A333050,신한제6호스팩,20210719,2225
19,A333050,신한제6호스팩,20210716,2260
20,A333050,신한제6호스팩,20210715,2200
21,A333050,신한제6호스팩,20210714,2190
22,A333050,신한제6호스팩,20210713,2175
23,A333050,신한제6호스팩,20210712,2165
24,A333050,신한제6호스팩,20210709,2175
25,A333050,신한제6호스팩,20210708,2170
26,A333050,신한제6호스팩,20210707,2170
27,A333050,신한제6호스팩,20210706,2160
28,A333050,신한제6호스팩,20210705,2170
29,A333050,신한제6호스팩,20210702,2145
30,A333050,신한제6호스팩,20210701,2145
31,A333050,신한제6호스팩,20210630,2135
32,A333050,신한제6호스팩,20210629,2135
33,A333050,신한제6호스팩,20210628,2130
34,A333050,신한제6호스팩,20210625,2140
35,A333050,신한제6호스팩,20210624,2130
36,A333050,신한제6호스팩,20210623,2130
37,A333050,신한제6호스팩,20210622,2150
38,A333050,신한제6호스팩,20210621,2170
39,A333050,신한제6호스팩,20210618,2235
40,A333050,신한제6호스팩,20210617,2150
41,A333050,신한제6호스팩,20210616,2130
42,A333050,신한제6호스팩,20210615,2115
43,A333050,신한제6호스팩,20210614,2140
44,A333050,신한제6호스팩,20210611,2125
45,A333050,신한제6호스팩,20210610,2110
46,A333050,신한제6호스팩,20210609,2160
47,A333050,신한제6호스팩,20210608,2105
48,A333050,신한제6호스팩,20210607,2150
49,A333050,신한제6호스팩,20210604,2205
50,A333050,신한제6호스팩,20210603,2240
51,A333050,신한제6호스팩,20210602,2170
52,A333050,신한제6호스팩,20210601,2500
53,A333050,신한제6호스팩,20210531,2555
54,A333050,신한제6호스팩,20210528,2200
55,A333050,신한제6호스팩,20210527,2195
56,A333050,신한제6호스팩,20210526,2185
57,A333050,신한제6호스팩,20210525,2180
58,A333050,신한제6호스팩,20210524,2170
59,A333050,신한제6호스팩,20210521,2175
60,A333050,신한제6호스팩,20210520,2165
61,A333050,신한제6호스팩,20210518,2160
62,A333050,신한제6호스팩,20210517,2160
63,A333050,신한제6호스팩,20210514,2165
64,A333050,신한제6호스팩,20210513,2135
65,A333050,신한제6호스팩,20210512,2130
66,A333050,신한제6호스팩,20210511,2115
67,A333050,신한제6호스팩,20210510,2135
68,A333050,신한제6호스팩,20210507,2140
69,A333050,신한제6호스팩,20210506,2150
70,A333050,신한제6호스팩,20210504,2175
71,A333050,신한제6호스팩,20210503,2165
72,A333050,신한제6호스팩,20210430,2150
73,A333050,신한제6호스팩,20210429,2165
74,A333050,신한제6호스팩,20210428,2160
75,A333050,신한제6호스팩,20210427,2155
76,A333050,신한제6호스팩,20210426,2150
77,A333050,신한제6호스팩,20210423,2150
78,A333050,신한제6호스팩,20210422,2150
79,A333050,신한제6호스팩,20210421,2120
80,A333050,신한제6호스팩,20210420,2125
81,A333050,신한제6호스팩,20210419,2125
82,A333050,신한제6호스팩,20210416,2125
83,A333050,신한제6호스팩,20210415,2125
84,A333050,신한제6호스팩,20210414,2110
