,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,¡æ∞°
0,A004080,Ω≈»Ô,20210812,16400
1,A004080,Ω≈»Ô,20210811,15950
2,A004080,Ω≈»Ô,20210810,15500
3,A004080,Ω≈»Ô,20210809,15650
4,A004080,Ω≈»Ô,20210806,15500
5,A004080,Ω≈»Ô,20210805,15900
6,A004080,Ω≈»Ô,20210804,16400
7,A004080,Ω≈»Ô,20210803,16700
8,A004080,Ω≈»Ô,20210802,16100
9,A004080,Ω≈»Ô,20210730,16000
10,A004080,Ω≈»Ô,20210729,15400
11,A004080,Ω≈»Ô,20210728,15500
12,A004080,Ω≈»Ô,20210727,15400
13,A004080,Ω≈»Ô,20210726,15400
14,A004080,Ω≈»Ô,20210723,15300
15,A004080,Ω≈»Ô,20210722,15250
16,A004080,Ω≈»Ô,20210721,15400
17,A004080,Ω≈»Ô,20210720,15350
18,A004080,Ω≈»Ô,20210719,15300
19,A004080,Ω≈»Ô,20210716,15300
20,A004080,Ω≈»Ô,20210715,15050
21,A004080,Ω≈»Ô,20210714,15150
22,A004080,Ω≈»Ô,20210713,14900
23,A004080,Ω≈»Ô,20210712,15050
24,A004080,Ω≈»Ô,20210709,15400
25,A004080,Ω≈»Ô,20210708,15550
26,A004080,Ω≈»Ô,20210707,15500
27,A004080,Ω≈»Ô,20210706,15450
28,A004080,Ω≈»Ô,20210705,15300
29,A004080,Ω≈»Ô,20210702,15300
30,A004080,Ω≈»Ô,20210701,15450
31,A004080,Ω≈»Ô,20210630,15950
32,A004080,Ω≈»Ô,20210629,15850
33,A004080,Ω≈»Ô,20210628,16000
34,A004080,Ω≈»Ô,20210625,15600
35,A004080,Ω≈»Ô,20210624,15350
36,A004080,Ω≈»Ô,20210623,15800
37,A004080,Ω≈»Ô,20210622,15300
38,A004080,Ω≈»Ô,20210621,15050
39,A004080,Ω≈»Ô,20210618,15350
40,A004080,Ω≈»Ô,20210617,15450
41,A004080,Ω≈»Ô,20210616,15200
42,A004080,Ω≈»Ô,20210615,15000
43,A004080,Ω≈»Ô,20210614,14700
44,A004080,Ω≈»Ô,20210611,14650
45,A004080,Ω≈»Ô,20210610,14500
46,A004080,Ω≈»Ô,20210609,14600
47,A004080,Ω≈»Ô,20210608,15000
48,A004080,Ω≈»Ô,20210607,15150
49,A004080,Ω≈»Ô,20210604,14750
50,A004080,Ω≈»Ô,20210603,14600
51,A004080,Ω≈»Ô,20210602,14450
52,A004080,Ω≈»Ô,20210601,14450
53,A004080,Ω≈»Ô,20210531,14500
54,A004080,Ω≈»Ô,20210528,14850
55,A004080,Ω≈»Ô,20210527,14400
56,A004080,Ω≈»Ô,20210526,14350
57,A004080,Ω≈»Ô,20210525,14300
58,A004080,Ω≈»Ô,20210524,14600
59,A004080,Ω≈»Ô,20210521,14950
60,A004080,Ω≈»Ô,20210520,14850
61,A004080,Ω≈»Ô,20210518,15100
62,A004080,Ω≈»Ô,20210517,15650
63,A004080,Ω≈»Ô,20210514,15900
64,A004080,Ω≈»Ô,20210513,14800
65,A004080,Ω≈»Ô,20210512,15500
66,A004080,Ω≈»Ô,20210511,15400
67,A004080,Ω≈»Ô,20210510,14500
68,A004080,Ω≈»Ô,20210507,14250
69,A004080,Ω≈»Ô,20210506,14200
70,A004080,Ω≈»Ô,20210504,14150
71,A004080,Ω≈»Ô,20210503,13900
72,A004080,Ω≈»Ô,20210430,14300
73,A004080,Ω≈»Ô,20210429,14500
74,A004080,Ω≈»Ô,20210428,14050
75,A004080,Ω≈»Ô,20210427,14300
76,A004080,Ω≈»Ô,20210426,14100
77,A004080,Ω≈»Ô,20210423,14700
78,A004080,Ω≈»Ô,20210422,14950
79,A004080,Ω≈»Ô,20210421,15550
80,A004080,Ω≈»Ô,20210420,15450
81,A004080,Ω≈»Ô,20210419,15400
82,A004080,Ω≈»Ô,20210416,15150
83,A004080,Ω≈»Ô,20210415,15350
84,A004080,Ω≈»Ô,20210414,16150
85,A004080,Ω≈»Ô,20210413,14600
86,A004080,Ω≈»Ô,20210412,13200
87,A004080,Ω≈»Ô,20210409,13150
88,A004080,Ω≈»Ô,20210408,13300
89,A004080,Ω≈»Ô,20210407,13500
90,A004080,Ω≈»Ô,20210406,12200
91,A004080,Ω≈»Ô,20210405,12000
92,A004080,Ω≈»Ô,20210402,11950
93,A004080,Ω≈»Ô,20210401,11900
94,A004080,Ω≈»Ô,20210331,12000
95,A004080,Ω≈»Ô,20210330,11900
96,A004080,Ω≈»Ô,20210329,11900
97,A004080,Ω≈»Ô,20210326,12200
98,A004080,Ω≈»Ô,20210325,11900
99,A004080,Ω≈»Ô,20210324,11650
100,A004080,Ω≈»Ô,20210323,11750
101,A004080,Ω≈»Ô,20210322,11850
102,A004080,Ω≈»Ô,20210319,12050
103,A004080,Ω≈»Ô,20210318,12100
104,A004080,Ω≈»Ô,20210317,12450
105,A004080,Ω≈»Ô,20210316,12500
106,A004080,Ω≈»Ô,20210315,12300
107,A004080,Ω≈»Ô,20210312,12400
108,A004080,Ω≈»Ô,20210311,12250
109,A004080,Ω≈»Ô,20210310,11950
110,A004080,Ω≈»Ô,20210309,12050
111,A004080,Ω≈»Ô,20210308,12150
112,A004080,Ω≈»Ô,20210305,12400
113,A004080,Ω≈»Ô,20210304,12500
114,A004080,Ω≈»Ô,20210303,12600
115,A004080,Ω≈»Ô,20210302,12450
116,A004080,Ω≈»Ô,20210226,12550
117,A004080,Ω≈»Ô,20210225,12850
118,A004080,Ω≈»Ô,20210224,12250
119,A004080,Ω≈»Ô,20210223,12950
120,A004080,Ω≈»Ô,20210222,13200
121,A004080,Ω≈»Ô,20210219,13000
122,A004080,Ω≈»Ô,20210218,12850
123,A004080,Ω≈»Ô,20210217,12500
124,A004080,Ω≈»Ô,20210216,12100
125,A004080,Ω≈»Ô,20210215,12000
126,A004080,Ω≈»Ô,20210210,11850
127,A004080,Ω≈»Ô,20210209,11900
128,A004080,Ω≈»Ô,20210208,12000
129,A004080,Ω≈»Ô,20210205,11650
130,A004080,Ω≈»Ô,20210204,11700
131,A004080,Ω≈»Ô,20210203,11450
132,A004080,Ω≈»Ô,20210202,11400
133,A004080,Ω≈»Ô,20210201,11100
134,A004080,Ω≈»Ô,20210129,10800
135,A004080,Ω≈»Ô,20210128,11350
136,A004080,Ω≈»Ô,20210127,11800
137,A004080,Ω≈»Ô,20210126,11450
138,A004080,Ω≈»Ô,20210125,11050
139,A004080,Ω≈»Ô,20210122,11000
140,A004080,Ω≈»Ô,20210121,11350
141,A004080,Ω≈»Ô,20210120,11250
142,A004080,Ω≈»Ô,20210119,10700
143,A004080,Ω≈»Ô,20210118,11000
144,A004080,Ω≈»Ô,20210115,11350
145,A004080,Ω≈»Ô,20210114,10600
146,A004080,Ω≈»Ô,20210113,10700
147,A004080,Ω≈»Ô,20210112,10550
148,A004080,Ω≈»Ô,20210111,10700
149,A004080,Ω≈»Ô,20210108,10900
150,A004080,Ω≈»Ô,20210107,11050
151,A004080,Ω≈»Ô,20210106,11200
152,A004080,Ω≈»Ô,20210105,11450
153,A004080,Ω≈»Ô,20210104,10850
154,A004080,Ω≈»Ô,20201230,11000
155,A004080,Ω≈»Ô,20201229,10600
156,A004080,Ω≈»Ô,20201228,10500
157,A004080,Ω≈»Ô,20201224,10550
158,A004080,Ω≈»Ô,20201223,10700
159,A004080,Ω≈»Ô,20201222,10000
160,A004080,Ω≈»Ô,20201221,11000
161,A004080,Ω≈»Ô,20201218,11350
162,A004080,Ω≈»Ô,20201217,11500
163,A004080,Ω≈»Ô,20201216,11900
164,A004080,Ω≈»Ô,20201215,11950
165,A004080,Ω≈»Ô,20201214,11750
166,A004080,Ω≈»Ô,20201211,11900
167,A004080,Ω≈»Ô,20201210,11800
168,A004080,Ω≈»Ô,20201209,11750
169,A004080,Ω≈»Ô,20201208,11850
170,A004080,Ω≈»Ô,20201207,11500
171,A004080,Ω≈»Ô,20201204,12050
172,A004080,Ω≈»Ô,20201203,12950
173,A004080,Ω≈»Ô,20201202,12950
174,A004080,Ω≈»Ô,20201201,12700
175,A004080,Ω≈»Ô,20201130,11800
176,A004080,Ω≈»Ô,20201127,11600
177,A004080,Ω≈»Ô,20201126,11500
178,A004080,Ω≈»Ô,20201125,11400
179,A004080,Ω≈»Ô,20201124,11750
180,A004080,Ω≈»Ô,20201123,11650
181,A004080,Ω≈»Ô,20201120,11950
182,A004080,Ω≈»Ô,20201119,11800
183,A004080,Ω≈»Ô,20201118,12300
184,A004080,Ω≈»Ô,20201117,12400
185,A004080,Ω≈»Ô,20201116,12350
186,A004080,Ω≈»Ô,20201113,12250
187,A004080,Ω≈»Ô,20201112,12150
188,A004080,Ω≈»Ô,20201111,12400
189,A004080,Ω≈»Ô,20201110,12300
190,A004080,Ω≈»Ô,20201109,12300
191,A004080,Ω≈»Ô,20201106,12000
192,A004080,Ω≈»Ô,20201105,12000
193,A004080,Ω≈»Ô,20201104,12000
194,A004080,Ω≈»Ô,20201103,12650
195,A004080,Ω≈»Ô,20201102,14000
196,A004080,Ω≈»Ô,20201030,14000
197,A004080,Ω≈»Ô,20201029,15300
198,A004080,Ω≈»Ô,20201028,11800
199,A004080,Ω≈»Ô,20201027,9420
200,A004080,Ω≈»Ô,20201026,9510
201,A004080,Ω≈»Ô,20201023,9500
202,A004080,Ω≈»Ô,20201022,9300
203,A004080,Ω≈»Ô,20201021,9160
204,A004080,Ω≈»Ô,20201020,9140
205,A004080,Ω≈»Ô,20201019,9140
206,A004080,Ω≈»Ô,20201016,9100
207,A004080,Ω≈»Ô,20201015,9100
208,A004080,Ω≈»Ô,20201014,9190
209,A004080,Ω≈»Ô,20201013,9150
210,A004080,Ω≈»Ô,20201012,9200
211,A004080,Ω≈»Ô,20201008,9150
212,A004080,Ω≈»Ô,20201007,9210
213,A004080,Ω≈»Ô,20201006,9190
214,A004080,Ω≈»Ô,20201005,9140
215,A004080,Ω≈»Ô,20200929,9120
216,A004080,Ω≈»Ô,20200928,9100
217,A004080,Ω≈»Ô,20200925,9080
218,A004080,Ω≈»Ô,20200924,9080
219,A004080,Ω≈»Ô,20200923,9100
220,A004080,Ω≈»Ô,20200922,9090
221,A004080,Ω≈»Ô,20200921,9070
222,A004080,Ω≈»Ô,20200918,9160
223,A004080,Ω≈»Ô,20200917,9100
224,A004080,Ω≈»Ô,20200916,9100
225,A004080,Ω≈»Ô,20200915,9160
226,A004080,Ω≈»Ô,20200914,9140
227,A004080,Ω≈»Ô,20200911,9140
228,A004080,Ω≈»Ô,20200910,9100
229,A004080,Ω≈»Ô,20200909,9090
230,A004080,Ω≈»Ô,20200908,9100
231,A004080,Ω≈»Ô,20200907,9130
232,A004080,Ω≈»Ô,20200904,9100
233,A004080,Ω≈»Ô,20200903,9130
234,A004080,Ω≈»Ô,20200902,9120
235,A004080,Ω≈»Ô,20200901,9150
236,A004080,Ω≈»Ô,20200831,9150
237,A004080,Ω≈»Ô,20200828,9180
238,A004080,Ω≈»Ô,20200827,9130
239,A004080,Ω≈»Ô,20200826,9130
240,A004080,Ω≈»Ô,20200825,9110
241,A004080,Ω≈»Ô,20200824,9100
242,A004080,Ω≈»Ô,20200821,9100
243,A004080,Ω≈»Ô,20200820,9100
244,A004080,Ω≈»Ô,20200819,9120
245,A004080,Ω≈»Ô,20200818,9110
246,A004080,Ω≈»Ô,20200814,9140
247,A004080,Ω≈»Ô,20200813,9150
248,A004080,Ω≈»Ô,20200812,9170
249,A004080,Ω≈»Ô,20200811,9170
250,A004080,Ω≈»Ô,20200810,9130
251,A004080,Ω≈»Ô,20200807,9130
252,A004080,Ω≈»Ô,20200806,9140
253,A004080,Ω≈»Ô,20200805,9080
254,A004080,Ω≈»Ô,20200804,9050
255,A004080,Ω≈»Ô,20200803,9070
256,A004080,Ω≈»Ô,20200731,9080
257,A004080,Ω≈»Ô,20200730,9100
258,A004080,Ω≈»Ô,20200729,9140
259,A004080,Ω≈»Ô,20200728,9170
260,A004080,Ω≈»Ô,20200727,9160
261,A004080,Ω≈»Ô,20200724,9170
262,A004080,Ω≈»Ô,20200723,9150
263,A004080,Ω≈»Ô,20200722,9130
264,A004080,Ω≈»Ô,20200721,9110
265,A004080,Ω≈»Ô,20200720,9170
266,A004080,Ω≈»Ô,20200717,9150
267,A004080,Ω≈»Ô,20200716,9110
268,A004080,Ω≈»Ô,20200715,9110
269,A004080,Ω≈»Ô,20200714,9100
270,A004080,Ω≈»Ô,20200713,9100
271,A004080,Ω≈»Ô,20200710,9020
272,A004080,Ω≈»Ô,20200709,9030
273,A004080,Ω≈»Ô,20200708,9020
274,A004080,Ω≈»Ô,20200707,9100
275,A004080,Ω≈»Ô,20200706,9100
276,A004080,Ω≈»Ô,20200703,9020
277,A004080,Ω≈»Ô,20200702,9010
278,A004080,Ω≈»Ô,20200701,9060
279,A004080,Ω≈»Ô,20200630,9170
280,A004080,Ω≈»Ô,20200629,9050
281,A004080,Ω≈»Ô,20200626,9130
282,A004080,Ω≈»Ô,20200625,9100
283,A004080,Ω≈»Ô,20200624,9150
284,A004080,Ω≈»Ô,20200623,9070
285,A004080,Ω≈»Ô,20200622,9040
286,A004080,Ω≈»Ô,20200619,9040
287,A004080,Ω≈»Ô,20200618,9090
288,A004080,Ω≈»Ô,20200617,9100
289,A004080,Ω≈»Ô,20200616,9110
290,A004080,Ω≈»Ô,20200615,9100
291,A004080,Ω≈»Ô,20200612,9100
292,A004080,Ω≈»Ô,20200611,9150
293,A004080,Ω≈»Ô,20200610,9100
294,A004080,Ω≈»Ô,20200609,9210
295,A004080,Ω≈»Ô,20200608,9210
296,A004080,Ω≈»Ô,20200605,9230
297,A004080,Ω≈»Ô,20200604,9170
298,A004080,Ω≈»Ô,20200603,9260
299,A004080,Ω≈»Ô,20200602,9340
300,A004080,Ω≈»Ô,20200601,9330
301,A004080,Ω≈»Ô,20200529,9300
302,A004080,Ω≈»Ô,20200528,9210
303,A004080,Ω≈»Ô,20200527,9300
304,A004080,Ω≈»Ô,20200526,9340
305,A004080,Ω≈»Ô,20200525,9290
306,A004080,Ω≈»Ô,20200522,9250
307,A004080,Ω≈»Ô,20200521,9260
308,A004080,Ω≈»Ô,20200520,9270
309,A004080,Ω≈»Ô,20200519,9290
310,A004080,Ω≈»Ô,20200518,9270
311,A004080,Ω≈»Ô,20200515,9250
312,A004080,Ω≈»Ô,20200514,9200
313,A004080,Ω≈»Ô,20200513,9200
314,A004080,Ω≈»Ô,20200512,9300
315,A004080,Ω≈»Ô,20200511,9490
316,A004080,Ω≈»Ô,20200508,9530
317,A004080,Ω≈»Ô,20200507,9590
318,A004080,Ω≈»Ô,20200506,9550
319,A004080,Ω≈»Ô,20200504,9580
320,A004080,Ω≈»Ô,20200429,9410
321,A004080,Ω≈»Ô,20200428,9410
322,A004080,Ω≈»Ô,20200427,9410
323,A004080,Ω≈»Ô,20200424,9390
324,A004080,Ω≈»Ô,20200423,9310
325,A004080,Ω≈»Ô,20200422,9260
326,A004080,Ω≈»Ô,20200421,9380
327,A004080,Ω≈»Ô,20200420,9400
328,A004080,Ω≈»Ô,20200417,9480
329,A004080,Ω≈»Ô,20200416,9470
330,A004080,Ω≈»Ô,20200414,9400
331,A004080,Ω≈»Ô,20200413,9370
332,A004080,Ω≈»Ô,20200410,9370
333,A004080,Ω≈»Ô,20200409,9350
334,A004080,Ω≈»Ô,20200408,9340
335,A004080,Ω≈»Ô,20200407,9300
336,A004080,Ω≈»Ô,20200406,9270
337,A004080,Ω≈»Ô,20200403,9250
338,A004080,Ω≈»Ô,20200402,9240
339,A004080,Ω≈»Ô,20200401,9200
340,A004080,Ω≈»Ô,20200331,9200
341,A004080,Ω≈»Ô,20200330,9160
342,A004080,Ω≈»Ô,20200327,9140
343,A004080,Ω≈»Ô,20200326,9090
344,A004080,Ω≈»Ô,20200325,9100
345,A004080,Ω≈»Ô,20200324,8970
346,A004080,Ω≈»Ô,20200323,8900
347,A004080,Ω≈»Ô,20200320,8910
348,A004080,Ω≈»Ô,20200319,8500
349,A004080,Ω≈»Ô,20200318,8950
350,A004080,Ω≈»Ô,20200317,9000
351,A004080,Ω≈»Ô,20200316,9030
352,A004080,Ω≈»Ô,20200313,8800
353,A004080,Ω≈»Ô,20200312,9200
354,A004080,Ω≈»Ô,20200311,9190
355,A004080,Ω≈»Ô,20200310,9200
356,A004080,Ω≈»Ô,20200309,9100
357,A004080,Ω≈»Ô,20200306,9260
358,A004080,Ω≈»Ô,20200305,9200
359,A004080,Ω≈»Ô,20200304,9150
360,A004080,Ω≈»Ô,20200303,9100
361,A004080,Ω≈»Ô,20200302,9100
362,A004080,Ω≈»Ô,20200228,9150
363,A004080,Ω≈»Ô,20200227,9300
364,A004080,Ω≈»Ô,20200226,9290
