,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A003410,½Ö¿ëC&E,20210812,8070
1,A003410,½Ö¿ëC&E,20210811,7990
2,A003410,½Ö¿ëC&E,20210810,8040
3,A003410,½Ö¿ëC&E,20210809,8050
4,A003410,½Ö¿ëC&E,20210806,8190
5,A003410,½Ö¿ëC&E,20210805,8150
6,A003410,½Ö¿ëC&E,20210804,8000
7,A003410,½Ö¿ëC&E,20210803,7860
8,A003410,½Ö¿ëC&E,20210802,7920
9,A003410,½Ö¿ëC&E,20210730,7960
10,A003410,½Ö¿ëC&E,20210729,8030
11,A003410,½Ö¿ëC&E,20210728,8030
12,A003410,½Ö¿ëC&E,20210727,7990
13,A003410,½Ö¿ëC&E,20210726,8010
14,A003410,½Ö¿ëC&E,20210723,8010
15,A003410,½Ö¿ëC&E,20210722,8010
16,A003410,½Ö¿ëC&E,20210721,8000
17,A003410,½Ö¿ëC&E,20210720,8030
18,A003410,½Ö¿ëC&E,20210719,8020
19,A003410,½Ö¿ëC&E,20210716,8050
20,A003410,½Ö¿ëC&E,20210715,8040
21,A003410,½Ö¿ëC&E,20210714,8050
22,A003410,½Ö¿ëC&E,20210713,8180
23,A003410,½Ö¿ëC&E,20210712,8100
24,A003410,½Ö¿ëC&E,20210709,8060
25,A003410,½Ö¿ëC&E,20210708,8110
26,A003410,½Ö¿ëC&E,20210707,8210
27,A003410,½Ö¿ëC&E,20210706,8250
28,A003410,½Ö¿ëC&E,20210705,8200
29,A003410,½Ö¿ëC&E,20210702,8190
30,A003410,½Ö¿ëC&E,20210701,8220
31,A003410,½Ö¿ëC&E,20210630,8350
32,A003410,½Ö¿ëC&E,20210629,8350
33,A003410,½Ö¿ëC&E,20210628,8570
34,A003410,½Ö¿ëC&E,20210625,8560
35,A003410,½Ö¿ëC&E,20210624,8400
36,A003410,½Ö¿ëC&E,20210623,8450
37,A003410,½Ö¿ëC&E,20210622,8320
38,A003410,½Ö¿ëC&E,20210621,8190
39,A003410,½Ö¿ëC&E,20210618,8490
40,A003410,½Ö¿ëC&E,20210617,8450
41,A003410,½Ö¿ëC&E,20210616,8520
42,A003410,½Ö¿ëC&E,20210615,8360
43,A003410,½Ö¿ëC&E,20210614,8240
44,A003410,½Ö¿ëC&E,20210611,8250
45,A003410,½Ö¿ëC&E,20210610,8200
46,A003410,½Ö¿ëC&E,20210609,8170
47,A003410,½Ö¿ëC&E,20210608,8170
48,A003410,½Ö¿ëC&E,20210607,8000
49,A003410,½Ö¿ëC&E,20210604,7830
50,A003410,½Ö¿ëC&E,20210603,7790
51,A003410,½Ö¿ëC&E,20210602,7790
52,A003410,½Ö¿ëC&E,20210601,7690
53,A003410,½Ö¿ëC&E,20210531,7640
54,A003410,½Ö¿ëC&E,20210528,7650
55,A003410,½Ö¿ëC&E,20210527,7660
56,A003410,½Ö¿ëC&E,20210526,7710
57,A003410,½Ö¿ëC&E,20210525,7690
58,A003410,½Ö¿ëC&E,20210524,7670
59,A003410,½Ö¿ëC&E,20210521,7670
60,A003410,½Ö¿ëC&E,20210520,7770
61,A003410,½Ö¿ëC&E,20210518,7670
62,A003410,½Ö¿ëC&E,20210517,7590
63,A003410,½Ö¿ëC&E,20210514,7610
64,A003410,½Ö¿ëC&E,20210513,7610
