,종목코드,종목명,날짜,종가
0,A003620,쌍용차,20210812,2770
1,A003620,쌍용차,20210811,2770
2,A003620,쌍용차,20210810,2770
3,A003620,쌍용차,20210809,2770
4,A003620,쌍용차,20210806,2770
5,A003620,쌍용차,20210805,2770
6,A003620,쌍용차,20210804,2770
7,A003620,쌍용차,20210803,2770
8,A003620,쌍용차,20210802,2770
9,A003620,쌍용차,20210730,2770
10,A003620,쌍용차,20210729,2770
11,A003620,쌍용차,20210728,2770
12,A003620,쌍용차,20210727,2770
13,A003620,쌍용차,20210726,2770
14,A003620,쌍용차,20210723,2770
15,A003620,쌍용차,20210722,2770
16,A003620,쌍용차,20210721,2770
17,A003620,쌍용차,20210720,2770
18,A003620,쌍용차,20210719,2770
19,A003620,쌍용차,20210716,2770
20,A003620,쌍용차,20210715,2770
21,A003620,쌍용차,20210714,2770
22,A003620,쌍용차,20210713,2770
23,A003620,쌍용차,20210712,2770
24,A003620,쌍용차,20210709,2770
25,A003620,쌍용차,20210708,2770
26,A003620,쌍용차,20210707,2770
27,A003620,쌍용차,20210706,2770
28,A003620,쌍용차,20210705,2770
29,A003620,쌍용차,20210702,2770
30,A003620,쌍용차,20210701,2770
31,A003620,쌍용차,20210630,2770
32,A003620,쌍용차,20210629,2770
33,A003620,쌍용차,20210628,2770
34,A003620,쌍용차,20210625,2770
35,A003620,쌍용차,20210624,2770
36,A003620,쌍용차,20210623,2770
37,A003620,쌍용차,20210622,2770
38,A003620,쌍용차,20210621,2770
39,A003620,쌍용차,20210618,2770
40,A003620,쌍용차,20210617,2770
41,A003620,쌍용차,20210616,2770
42,A003620,쌍용차,20210615,2770
43,A003620,쌍용차,20210614,2770
44,A003620,쌍용차,20210611,2770
45,A003620,쌍용차,20210610,2770
46,A003620,쌍용차,20210609,2770
47,A003620,쌍용차,20210608,2770
48,A003620,쌍용차,20210607,2770
49,A003620,쌍용차,20210604,2770
50,A003620,쌍용차,20210603,2770
51,A003620,쌍용차,20210602,2770
52,A003620,쌍용차,20210601,2770
53,A003620,쌍용차,20210531,2770
54,A003620,쌍용차,20210528,2770
55,A003620,쌍용차,20210527,2770
56,A003620,쌍용차,20210526,2770
57,A003620,쌍용차,20210525,2770
58,A003620,쌍용차,20210524,2770
59,A003620,쌍용차,20210521,2770
60,A003620,쌍용차,20210520,2770
61,A003620,쌍용차,20210518,2770
62,A003620,쌍용차,20210517,2770
63,A003620,쌍용차,20210514,2770
64,A003620,쌍용차,20210513,2770
65,A003620,쌍용차,20210512,2770
66,A003620,쌍용차,20210511,2770
67,A003620,쌍용차,20210510,2770
68,A003620,쌍용차,20210507,2770
69,A003620,쌍용차,20210506,2770
70,A003620,쌍용차,20210504,2770
71,A003620,쌍용차,20210503,2770
72,A003620,쌍용차,20210430,2770
73,A003620,쌍용차,20210429,2770
74,A003620,쌍용차,20210428,2770
75,A003620,쌍용차,20210427,2770
76,A003620,쌍용차,20210426,2770
77,A003620,쌍용차,20210423,2770
78,A003620,쌍용차,20210422,2770
79,A003620,쌍용차,20210421,2770
80,A003620,쌍용차,20210420,2770
81,A003620,쌍용차,20210419,2770
82,A003620,쌍용차,20210416,2770
83,A003620,쌍용차,20210415,2770
84,A003620,쌍용차,20210414,2770
85,A003620,쌍용차,20210413,2770
86,A003620,쌍용차,20210412,2770
87,A003620,쌍용차,20210409,2770
88,A003620,쌍용차,20210408,2770
89,A003620,쌍용차,20210407,2770
90,A003620,쌍용차,20210406,2770
91,A003620,쌍용차,20210405,2770
92,A003620,쌍용차,20210402,2770
93,A003620,쌍용차,20210401,2770
94,A003620,쌍용차,20210331,2770
95,A003620,쌍용차,20210330,2770
96,A003620,쌍용차,20210329,2770
97,A003620,쌍용차,20210326,2770
98,A003620,쌍용차,20210325,2770
99,A003620,쌍용차,20210324,2770
100,A003620,쌍용차,20210323,2770
101,A003620,쌍용차,20210322,2770
102,A003620,쌍용차,20210319,2770
103,A003620,쌍용차,20210318,2770
104,A003620,쌍용차,20210317,2770
105,A003620,쌍용차,20210316,2770
106,A003620,쌍용차,20210315,2770
107,A003620,쌍용차,20210312,2770
108,A003620,쌍용차,20210311,2770
109,A003620,쌍용차,20210310,2770
110,A003620,쌍용차,20210309,2770
111,A003620,쌍용차,20210308,2770
112,A003620,쌍용차,20210305,2770
113,A003620,쌍용차,20210304,2770
114,A003620,쌍용차,20210303,2770
115,A003620,쌍용차,20210302,2770
116,A003620,쌍용차,20210226,2770
117,A003620,쌍용차,20210225,2770
118,A003620,쌍용차,20210224,2770
119,A003620,쌍용차,20210223,2770
120,A003620,쌍용차,20210222,2770
121,A003620,쌍용차,20210219,2770
122,A003620,쌍용차,20210218,2770
