,종목코드,종목명,날짜,종가
0,A049960,쎌바이오텍,20210812,19850
1,A049960,쎌바이오텍,20210811,19700
2,A049960,쎌바이오텍,20210810,19850
3,A049960,쎌바이오텍,20210809,19900
4,A049960,쎌바이오텍,20210806,20100
5,A049960,쎌바이오텍,20210805,20200
6,A049960,쎌바이오텍,20210804,19950
7,A049960,쎌바이오텍,20210803,19850
8,A049960,쎌바이오텍,20210802,19750
9,A049960,쎌바이오텍,20210730,19550
10,A049960,쎌바이오텍,20210729,20000
11,A049960,쎌바이오텍,20210728,19700
12,A049960,쎌바이오텍,20210727,20400
13,A049960,쎌바이오텍,20210726,20200
14,A049960,쎌바이오텍,20210723,19950
15,A049960,쎌바이오텍,20210722,19950
16,A049960,쎌바이오텍,20210721,19400
17,A049960,쎌바이오텍,20210720,19450
18,A049960,쎌바이오텍,20210719,19450
19,A049960,쎌바이오텍,20210716,19700
20,A049960,쎌바이오텍,20210715,19800
21,A049960,쎌바이오텍,20210714,20050
22,A049960,쎌바이오텍,20210713,20250
23,A049960,쎌바이오텍,20210712,20150
24,A049960,쎌바이오텍,20210709,19750
25,A049960,쎌바이오텍,20210708,20300
26,A049960,쎌바이오텍,20210707,20700
27,A049960,쎌바이오텍,20210706,21000
28,A049960,쎌바이오텍,20210705,20500
29,A049960,쎌바이오텍,20210702,20250
30,A049960,쎌바이오텍,20210701,20400
31,A049960,쎌바이오텍,20210630,20300
32,A049960,쎌바이오텍,20210629,20400
33,A049960,쎌바이오텍,20210628,20150
34,A049960,쎌바이오텍,20210625,20350
35,A049960,쎌바이오텍,20210624,20500
36,A049960,쎌바이오텍,20210623,20450
37,A049960,쎌바이오텍,20210622,20400
38,A049960,쎌바이오텍,20210621,20600
39,A049960,쎌바이오텍,20210618,20300
40,A049960,쎌바이오텍,20210617,20700
41,A049960,쎌바이오텍,20210616,20800
42,A049960,쎌바이오텍,20210615,21100
43,A049960,쎌바이오텍,20210614,20000
44,A049960,쎌바이오텍,20210611,19900
45,A049960,쎌바이오텍,20210610,19800
46,A049960,쎌바이오텍,20210609,19900
47,A049960,쎌바이오텍,20210608,19700
48,A049960,쎌바이오텍,20210607,19750
49,A049960,쎌바이오텍,20210604,20000
50,A049960,쎌바이오텍,20210603,19900
51,A049960,쎌바이오텍,20210602,19750
52,A049960,쎌바이오텍,20210601,19900
53,A049960,쎌바이오텍,20210531,19950
54,A049960,쎌바이오텍,20210528,19600
55,A049960,쎌바이오텍,20210527,19400
56,A049960,쎌바이오텍,20210526,19400
57,A049960,쎌바이오텍,20210525,19500
58,A049960,쎌바이오텍,20210524,19550
59,A049960,쎌바이오텍,20210521,19350
60,A049960,쎌바이오텍,20210520,19050
61,A049960,쎌바이오텍,20210518,19450
62,A049960,쎌바이오텍,20210517,19500
63,A049960,쎌바이오텍,20210514,19000
64,A049960,쎌바이오텍,20210513,18850
65,A049960,쎌바이오텍,20210512,18850
66,A049960,쎌바이오텍,20210511,19150
67,A049960,쎌바이오텍,20210510,19200
68,A049960,쎌바이오텍,20210507,19150
69,A049960,쎌바이오텍,20210506,18800
70,A049960,쎌바이오텍,20210504,18700
71,A049960,쎌바이오텍,20210503,18800
72,A049960,쎌바이오텍,20210430,18850
73,A049960,쎌바이오텍,20210429,18950
74,A049960,쎌바이오텍,20210428,19300
75,A049960,쎌바이오텍,20210427,19700
76,A049960,쎌바이오텍,20210426,19900
77,A049960,쎌바이오텍,20210423,19650
78,A049960,쎌바이오텍,20210422,19750
79,A049960,쎌바이오텍,20210421,19800
80,A049960,쎌바이오텍,20210420,19900
81,A049960,쎌바이오텍,20210419,20150
82,A049960,쎌바이오텍,20210416,20400
83,A049960,쎌바이오텍,20210415,20000
84,A049960,쎌바이오텍,20210414,20350
85,A049960,쎌바이오텍,20210413,19750
86,A049960,쎌바이오텍,20210412,20000
87,A049960,쎌바이오텍,20210409,19900
88,A049960,쎌바이오텍,20210408,19900
89,A049960,쎌바이오텍,20210407,19950
90,A049960,쎌바이오텍,20210406,19500
91,A049960,쎌바이오텍,20210405,19600
92,A049960,쎌바이오텍,20210402,19600
93,A049960,쎌바이오텍,20210401,20000
94,A049960,쎌바이오텍,20210331,18450
95,A049960,쎌바이오텍,20210330,18650
96,A049960,쎌바이오텍,20210329,18700
97,A049960,쎌바이오텍,20210326,18900
98,A049960,쎌바이오텍,20210325,18900
99,A049960,쎌바이오텍,20210324,18700
100,A049960,쎌바이오텍,20210323,18450
101,A049960,쎌바이오텍,20210322,18450
102,A049960,쎌바이오텍,20210319,18150
103,A049960,쎌바이오텍,20210318,18800
104,A049960,쎌바이오텍,20210317,18550
105,A049960,쎌바이오텍,20210316,18200
106,A049960,쎌바이오텍,20210315,18100
107,A049960,쎌바이오텍,20210312,18300
108,A049960,쎌바이오텍,20210311,18200
109,A049960,쎌바이오텍,20210310,18350
110,A049960,쎌바이오텍,20210309,18350
111,A049960,쎌바이오텍,20210308,18600
112,A049960,쎌바이오텍,20210305,19400
113,A049960,쎌바이오텍,20210304,20100
114,A049960,쎌바이오텍,20210303,19400
115,A049960,쎌바이오텍,20210302,18800
116,A049960,쎌바이오텍,20210226,18600
117,A049960,쎌바이오텍,20210225,18850
118,A049960,쎌바이오텍,20210224,18300
119,A049960,쎌바이오텍,20210223,18600
120,A049960,쎌바이오텍,20210222,18800
121,A049960,쎌바이오텍,20210219,19200
122,A049960,쎌바이오텍,20210218,19800
123,A049960,쎌바이오텍,20210217,19750
124,A049960,쎌바이오텍,20210216,19650
125,A049960,쎌바이오텍,20210215,20000
126,A049960,쎌바이오텍,20210210,20000
127,A049960,쎌바이오텍,20210209,20150
128,A049960,쎌바이오텍,20210208,19450
129,A049960,쎌바이오텍,20210205,18850
130,A049960,쎌바이오텍,20210204,18900
131,A049960,쎌바이오텍,20210203,19500
132,A049960,쎌바이오텍,20210202,19500
133,A049960,쎌바이오텍,20210201,19400
134,A049960,쎌바이오텍,20210129,19500
135,A049960,쎌바이오텍,20210128,19900
136,A049960,쎌바이오텍,20210127,20450
137,A049960,쎌바이오텍,20210126,20200
138,A049960,쎌바이오텍,20210125,20550
139,A049960,쎌바이오텍,20210122,20300
140,A049960,쎌바이오텍,20210121,20600
141,A049960,쎌바이오텍,20210120,19750
142,A049960,쎌바이오텍,20210119,20000
143,A049960,쎌바이오텍,20210118,19700
144,A049960,쎌바이오텍,20210115,20700
145,A049960,쎌바이오텍,20210114,21050
146,A049960,쎌바이오텍,20210113,20850
147,A049960,쎌바이오텍,20210112,20950
148,A049960,쎌바이오텍,20210111,20950
149,A049960,쎌바이오텍,20210108,22000
150,A049960,쎌바이오텍,20210107,22300
151,A049960,쎌바이오텍,20210106,22950
152,A049960,쎌바이오텍,20210105,23350
153,A049960,쎌바이오텍,20210104,23450
154,A049960,쎌바이오텍,20201230,23500
155,A049960,쎌바이오텍,20201229,22700
156,A049960,쎌바이오텍,20201228,22300
157,A049960,쎌바이오텍,20201224,22150
158,A049960,쎌바이오텍,20201223,21850
159,A049960,쎌바이오텍,20201222,20650
160,A049960,쎌바이오텍,20201221,20750
161,A049960,쎌바이오텍,20201218,20200
162,A049960,쎌바이오텍,20201217,20300
163,A049960,쎌바이오텍,20201216,20600
164,A049960,쎌바이오텍,20201215,20600
165,A049960,쎌바이오텍,20201214,20900
166,A049960,쎌바이오텍,20201211,21300
167,A049960,쎌바이오텍,20201210,21000
168,A049960,쎌바이오텍,20201209,21000
169,A049960,쎌바이오텍,20201208,19900
170,A049960,쎌바이오텍,20201207,20500
171,A049960,쎌바이오텍,20201204,18900
172,A049960,쎌바이오텍,20201203,19050
173,A049960,쎌바이오텍,20201202,18850
174,A049960,쎌바이오텍,20201201,19600
175,A049960,쎌바이오텍,20201130,19700
176,A049960,쎌바이오텍,20201127,18850
177,A049960,쎌바이오텍,20201126,19000
178,A049960,쎌바이오텍,20201125,17350
179,A049960,쎌바이오텍,20201124,17800
180,A049960,쎌바이오텍,20201123,17250
181,A049960,쎌바이오텍,20201120,17200
182,A049960,쎌바이오텍,20201119,17200
183,A049960,쎌바이오텍,20201118,17350
184,A049960,쎌바이오텍,20201117,17650
185,A049960,쎌바이오텍,20201116,17800
186,A049960,쎌바이오텍,20201113,17300
187,A049960,쎌바이오텍,20201112,17200
188,A049960,쎌바이오텍,20201111,17600
189,A049960,쎌바이오텍,20201110,16800
190,A049960,쎌바이오텍,20201109,16700
191,A049960,쎌바이오텍,20201106,16400
192,A049960,쎌바이오텍,20201105,16300
193,A049960,쎌바이오텍,20201104,16150
194,A049960,쎌바이오텍,20201103,16200
195,A049960,쎌바이오텍,20201102,16100
196,A049960,쎌바이오텍,20201030,15800
197,A049960,쎌바이오텍,20201029,15950
198,A049960,쎌바이오텍,20201028,16100
199,A049960,쎌바이오텍,20201027,15900
200,A049960,쎌바이오텍,20201026,15850
201,A049960,쎌바이오텍,20201023,16500
202,A049960,쎌바이오텍,20201022,16800
203,A049960,쎌바이오텍,20201021,16500
204,A049960,쎌바이오텍,20201020,16200
205,A049960,쎌바이오텍,20201019,16350
206,A049960,쎌바이오텍,20201016,16550
207,A049960,쎌바이오텍,20201015,16600
208,A049960,쎌바이오텍,20201014,17100
209,A049960,쎌바이오텍,20201013,17450
210,A049960,쎌바이오텍,20201012,17250
211,A049960,쎌바이오텍,20201008,17000
212,A049960,쎌바이오텍,20201007,17100
213,A049960,쎌바이오텍,20201006,16500
214,A049960,쎌바이오텍,20201005,16650
215,A049960,쎌바이오텍,20200929,15300
216,A049960,쎌바이오텍,20200928,15250
217,A049960,쎌바이오텍,20200925,14950
218,A049960,쎌바이오텍,20200924,14750
219,A049960,쎌바이오텍,20200923,15400
220,A049960,쎌바이오텍,20200922,15500
221,A049960,쎌바이오텍,20200921,16500
222,A049960,쎌바이오텍,20200918,16200
223,A049960,쎌바이오텍,20200917,16250
224,A049960,쎌바이오텍,20200916,16350
225,A049960,쎌바이오텍,20200915,16600
226,A049960,쎌바이오텍,20200914,16050
227,A049960,쎌바이오텍,20200911,16000
228,A049960,쎌바이오텍,20200910,16000
229,A049960,쎌바이오텍,20200909,16050
230,A049960,쎌바이오텍,20200908,16400
231,A049960,쎌바이오텍,20200907,15800
232,A049960,쎌바이오텍,20200904,15800
233,A049960,쎌바이오텍,20200903,15850
234,A049960,쎌바이오텍,20200902,15650
