,종목코드,종목명,날짜,종가
0,A036010,아비코전자,20210812,9960
1,A036010,아비코전자,20210811,9550
2,A036010,아비코전자,20210810,10300
3,A036010,아비코전자,20210809,10400
4,A036010,아비코전자,20210806,9990
5,A036010,아비코전자,20210805,9910
6,A036010,아비코전자,20210804,8550
7,A036010,아비코전자,20210803,8540
8,A036010,아비코전자,20210802,8230
9,A036010,아비코전자,20210730,8190
10,A036010,아비코전자,20210729,8270
11,A036010,아비코전자,20210728,8430
12,A036010,아비코전자,20210727,8450
13,A036010,아비코전자,20210726,8420
14,A036010,아비코전자,20210723,8570
15,A036010,아비코전자,20210722,8610
16,A036010,아비코전자,20210721,7970
17,A036010,아비코전자,20210720,8180
18,A036010,아비코전자,20210719,8230
19,A036010,아비코전자,20210716,8170
20,A036010,아비코전자,20210715,8010
21,A036010,아비코전자,20210714,7780
22,A036010,아비코전자,20210713,7720
23,A036010,아비코전자,20210712,7640
24,A036010,아비코전자,20210709,7610
25,A036010,아비코전자,20210708,7750
26,A036010,아비코전자,20210707,7860
27,A036010,아비코전자,20210706,8030
28,A036010,아비코전자,20210705,8100
29,A036010,아비코전자,20210702,7990
30,A036010,아비코전자,20210701,8100
31,A036010,아비코전자,20210630,8130
32,A036010,아비코전자,20210629,8020
33,A036010,아비코전자,20210628,8030
34,A036010,아비코전자,20210625,8040
35,A036010,아비코전자,20210624,8090
36,A036010,아비코전자,20210623,8060
37,A036010,아비코전자,20210622,8120
38,A036010,아비코전자,20210621,8260
39,A036010,아비코전자,20210618,8260
40,A036010,아비코전자,20210617,8220
41,A036010,아비코전자,20210616,7980
42,A036010,아비코전자,20210615,7900
43,A036010,아비코전자,20210614,7840
44,A036010,아비코전자,20210611,7830
45,A036010,아비코전자,20210610,7780
46,A036010,아비코전자,20210609,7780
47,A036010,아비코전자,20210608,7780
48,A036010,아비코전자,20210607,7880
49,A036010,아비코전자,20210604,7410
50,A036010,아비코전자,20210603,7320
51,A036010,아비코전자,20210602,7260
52,A036010,아비코전자,20210601,7240
53,A036010,아비코전자,20210531,7120
54,A036010,아비코전자,20210528,7150
55,A036010,아비코전자,20210527,7210
56,A036010,아비코전자,20210526,7200
57,A036010,아비코전자,20210525,7180
58,A036010,아비코전자,20210524,6970
59,A036010,아비코전자,20210521,7070
60,A036010,아비코전자,20210520,6960
61,A036010,아비코전자,20210518,7020
62,A036010,아비코전자,20210517,6990
63,A036010,아비코전자,20210514,7000
64,A036010,아비코전자,20210513,6970
65,A036010,아비코전자,20210512,6960
66,A036010,아비코전자,20210511,7220
67,A036010,아비코전자,20210510,7580
68,A036010,아비코전자,20210507,7570
69,A036010,아비코전자,20210506,7310
70,A036010,아비코전자,20210504,7460
71,A036010,아비코전자,20210503,7500
72,A036010,아비코전자,20210430,7680
73,A036010,아비코전자,20210429,7800
74,A036010,아비코전자,20210428,7600
75,A036010,아비코전자,20210427,7920
76,A036010,아비코전자,20210426,8070
77,A036010,아비코전자,20210423,8260
78,A036010,아비코전자,20210422,8110
79,A036010,아비코전자,20210421,8100
80,A036010,아비코전자,20210420,8580
81,A036010,아비코전자,20210419,8720
82,A036010,아비코전자,20210416,8490
83,A036010,아비코전자,20210415,8350
84,A036010,아비코전자,20210414,8350
85,A036010,아비코전자,20210413,8410
86,A036010,아비코전자,20210412,8260
87,A036010,아비코전자,20210409,7900
88,A036010,아비코전자,20210408,7710
89,A036010,아비코전자,20210407,7250
90,A036010,아비코전자,20210406,6900
91,A036010,아비코전자,20210405,7050
92,A036010,아비코전자,20210402,7010
93,A036010,아비코전자,20210401,6780
94,A036010,아비코전자,20210331,6710
95,A036010,아비코전자,20210330,6840
96,A036010,아비코전자,20210329,6670
97,A036010,아비코전자,20210326,6680
98,A036010,아비코전자,20210325,6750
99,A036010,아비코전자,20210324,6840
100,A036010,아비코전자,20210323,6800
101,A036010,아비코전자,20210322,7030
102,A036010,아비코전자,20210319,7010
103,A036010,아비코전자,20210318,7000
104,A036010,아비코전자,20210317,7010
105,A036010,아비코전자,20210316,7150
106,A036010,아비코전자,20210315,6780
107,A036010,아비코전자,20210312,6780
108,A036010,아비코전자,20210311,6640
109,A036010,아비코전자,20210310,6560
110,A036010,아비코전자,20210309,6610
111,A036010,아비코전자,20210308,6680
112,A036010,아비코전자,20210305,6720
113,A036010,아비코전자,20210304,6680
114,A036010,아비코전자,20210303,6870
115,A036010,아비코전자,20210302,6900
116,A036010,아비코전자,20210226,6980
117,A036010,아비코전자,20210225,7470
118,A036010,아비코전자,20210224,7400
119,A036010,아비코전자,20210223,7680
120,A036010,아비코전자,20210222,7940
121,A036010,아비코전자,20210219,8240
122,A036010,아비코전자,20210218,8150
123,A036010,아비코전자,20210217,8500
124,A036010,아비코전자,20210216,8040
125,A036010,아비코전자,20210215,7700
126,A036010,아비코전자,20210210,7460
127,A036010,아비코전자,20210209,7440
128,A036010,아비코전자,20210208,7480
129,A036010,아비코전자,20210205,7640
130,A036010,아비코전자,20210204,7670
131,A036010,아비코전자,20210203,7560
132,A036010,아비코전자,20210202,7580
133,A036010,아비코전자,20210201,7500
134,A036010,아비코전자,20210129,7490
135,A036010,아비코전자,20210128,7850
136,A036010,아비코전자,20210127,8420
137,A036010,아비코전자,20210126,9060
138,A036010,아비코전자,20210125,8910
139,A036010,아비코전자,20210122,7980
140,A036010,아비코전자,20210121,8250
141,A036010,아비코전자,20210120,8440
142,A036010,아비코전자,20210119,7890
143,A036010,아비코전자,20210118,7800
144,A036010,아비코전자,20210115,8120
145,A036010,아비코전자,20210114,8140
146,A036010,아비코전자,20210113,8330
147,A036010,아비코전자,20210112,8090
148,A036010,아비코전자,20210111,8100
149,A036010,아비코전자,20210108,8140
150,A036010,아비코전자,20210107,8270
151,A036010,아비코전자,20210106,8270
152,A036010,아비코전자,20210105,8430
153,A036010,아비코전자,20210104,8570
154,A036010,아비코전자,20201230,8600
155,A036010,아비코전자,20201229,8460
156,A036010,아비코전자,20201228,7900
157,A036010,아비코전자,20201224,7990
158,A036010,아비코전자,20201223,7710
159,A036010,아비코전자,20201222,7520
160,A036010,아비코전자,20201221,7760
161,A036010,아비코전자,20201218,7760
162,A036010,아비코전자,20201217,7870
163,A036010,아비코전자,20201216,7650
164,A036010,아비코전자,20201215,7660
165,A036010,아비코전자,20201214,7610
166,A036010,아비코전자,20201211,7760
167,A036010,아비코전자,20201210,7590
168,A036010,아비코전자,20201209,7480
169,A036010,아비코전자,20201208,7510
170,A036010,아비코전자,20201207,7400
171,A036010,아비코전자,20201204,7260
172,A036010,아비코전자,20201203,7420
173,A036010,아비코전자,20201202,7460
174,A036010,아비코전자,20201201,7300
175,A036010,아비코전자,20201130,7490
176,A036010,아비코전자,20201127,7450
177,A036010,아비코전자,20201126,7040
178,A036010,아비코전자,20201125,7030
179,A036010,아비코전자,20201124,7230
180,A036010,아비코전자,20201123,6950
181,A036010,아비코전자,20201120,6950
182,A036010,아비코전자,20201119,6990
183,A036010,아비코전자,20201118,7040
184,A036010,아비코전자,20201117,7160
185,A036010,아비코전자,20201116,7270
186,A036010,아비코전자,20201113,7110
187,A036010,아비코전자,20201112,7090
188,A036010,아비코전자,20201111,7070
189,A036010,아비코전자,20201110,7100
190,A036010,아비코전자,20201109,7050
191,A036010,아비코전자,20201106,7170
192,A036010,아비코전자,20201105,7130
193,A036010,아비코전자,20201104,6990
194,A036010,아비코전자,20201103,6820
195,A036010,아비코전자,20201102,6590
196,A036010,아비코전자,20201030,6500
197,A036010,아비코전자,20201029,6380
198,A036010,아비코전자,20201028,6590
199,A036010,아비코전자,20201027,6330
200,A036010,아비코전자,20201026,6400
201,A036010,아비코전자,20201023,6720
202,A036010,아비코전자,20201022,6640
203,A036010,아비코전자,20201021,6950
204,A036010,아비코전자,20201020,6910
205,A036010,아비코전자,20201019,6770
206,A036010,아비코전자,20201016,7000
207,A036010,아비코전자,20201015,7290
208,A036010,아비코전자,20201014,7700
209,A036010,아비코전자,20201013,7960
210,A036010,아비코전자,20201012,7930
211,A036010,아비코전자,20201008,7770
212,A036010,아비코전자,20201007,6810
213,A036010,아비코전자,20201006,6260
214,A036010,아비코전자,20201005,6110
215,A036010,아비코전자,20200929,5880
216,A036010,아비코전자,20200928,5640
217,A036010,아비코전자,20200925,5450
218,A036010,아비코전자,20200924,5290
219,A036010,아비코전자,20200923,5500
220,A036010,아비코전자,20200922,5560
221,A036010,아비코전자,20200921,5760
222,A036010,아비코전자,20200918,5940
223,A036010,아비코전자,20200917,6110
224,A036010,아비코전자,20200916,6130
225,A036010,아비코전자,20200915,5740
226,A036010,아비코전자,20200914,5580
227,A036010,아비코전자,20200911,5470
228,A036010,아비코전자,20200910,5500
229,A036010,아비코전자,20200909,5450
230,A036010,아비코전자,20200908,5550
231,A036010,아비코전자,20200907,5550
232,A036010,아비코전자,20200904,5560
233,A036010,아비코전자,20200903,5710
234,A036010,아비코전자,20200902,5500
235,A036010,아비코전자,20200901,5430
236,A036010,아비코전자,20200831,5380
237,A036010,아비코전자,20200828,5400
238,A036010,아비코전자,20200827,5260
239,A036010,아비코전자,20200826,5310
240,A036010,아비코전자,20200825,5340
241,A036010,아비코전자,20200824,5050
242,A036010,아비코전자,20200821,4870
243,A036010,아비코전자,20200820,4920
244,A036010,아비코전자,20200819,5340
245,A036010,아비코전자,20200818,5270
246,A036010,아비코전자,20200814,5710
247,A036010,아비코전자,20200813,5560
248,A036010,아비코전자,20200812,5600
249,A036010,아비코전자,20200811,5960
250,A036010,아비코전자,20200810,5980
251,A036010,아비코전자,20200807,5880
252,A036010,아비코전자,20200806,6130
253,A036010,아비코전자,20200805,6140
254,A036010,아비코전자,20200804,6300
255,A036010,아비코전자,20200803,5970
256,A036010,아비코전자,20200731,6160
257,A036010,아비코전자,20200730,6330
258,A036010,아비코전자,20200729,5790
259,A036010,아비코전자,20200728,5850
260,A036010,아비코전자,20200727,5360
261,A036010,아비코전자,20200724,5300
262,A036010,아비코전자,20200723,5450
263,A036010,아비코전자,20200722,5700
264,A036010,아비코전자,20200721,5830
265,A036010,아비코전자,20200720,5600
266,A036010,아비코전자,20200717,5780
267,A036010,아비코전자,20200716,5600
268,A036010,아비코전자,20200715,5340
269,A036010,아비코전자,20200714,5130
270,A036010,아비코전자,20200713,4595
271,A036010,아비코전자,20200710,4210
272,A036010,아비코전자,20200709,3960
273,A036010,아비코전자,20200708,3915
274,A036010,아비코전자,20200707,3980
275,A036010,아비코전자,20200706,3990
276,A036010,아비코전자,20200703,3935
277,A036010,아비코전자,20200702,3900
278,A036010,아비코전자,20200701,3860
279,A036010,아비코전자,20200630,3900
280,A036010,아비코전자,20200629,3825
281,A036010,아비코전자,20200626,3945
282,A036010,아비코전자,20200625,3940
283,A036010,아비코전자,20200624,4050
284,A036010,아비코전자,20200623,3980
285,A036010,아비코전자,20200622,4000
286,A036010,아비코전자,20200619,4030
287,A036010,아비코전자,20200618,4045
288,A036010,아비코전자,20200617,4045
289,A036010,아비코전자,20200616,4020
290,A036010,아비코전자,20200615,3850
291,A036010,아비코전자,20200612,4195
292,A036010,아비코전자,20200611,4400
293,A036010,아비코전자,20200610,4600
294,A036010,아비코전자,20200609,4610
295,A036010,아비코전자,20200608,4640
296,A036010,아비코전자,20200605,4630
297,A036010,아비코전자,20200604,4640
298,A036010,아비코전자,20200603,4655
299,A036010,아비코전자,20200602,4695
300,A036010,아비코전자,20200601,4530
301,A036010,아비코전자,20200529,4405
302,A036010,아비코전자,20200528,4425
303,A036010,아비코전자,20200527,4520
304,A036010,아비코전자,20200526,4530
305,A036010,아비코전자,20200525,4550
306,A036010,아비코전자,20200522,4300
307,A036010,아비코전자,20200521,4530
308,A036010,아비코전자,20200520,4320
309,A036010,아비코전자,20200519,4320
310,A036010,아비코전자,20200518,4180
311,A036010,아비코전자,20200515,4220
312,A036010,아비코전자,20200514,4190
313,A036010,아비코전자,20200513,4345
314,A036010,아비코전자,20200512,4415
315,A036010,아비코전자,20200511,4405
316,A036010,아비코전자,20200508,4560
317,A036010,아비코전자,20200507,4475
318,A036010,아비코전자,20200506,4330
319,A036010,아비코전자,20200504,4275
320,A036010,아비코전자,20200429,4375
321,A036010,아비코전자,20200428,4310
322,A036010,아비코전자,20200427,4330
323,A036010,아비코전자,20200424,4225
324,A036010,아비코전자,20200423,4420
325,A036010,아비코전자,20200422,4380
326,A036010,아비코전자,20200421,4275
327,A036010,아비코전자,20200420,4470
328,A036010,아비코전자,20200417,4450
329,A036010,아비코전자,20200416,4350
330,A036010,아비코전자,20200414,4255
331,A036010,아비코전자,20200413,4175
332,A036010,아비코전자,20200410,4400
333,A036010,아비코전자,20200409,4400
334,A036010,아비코전자,20200408,4085
335,A036010,아비코전자,20200407,4015
336,A036010,아비코전자,20200406,3880
337,A036010,아비코전자,20200403,3665
338,A036010,아비코전자,20200402,3585
339,A036010,아비코전자,20200401,3620
340,A036010,아비코전자,20200331,3660
341,A036010,아비코전자,20200330,3515
342,A036010,아비코전자,20200327,3550
343,A036010,아비코전자,20200326,3620
344,A036010,아비코전자,20200325,3400
345,A036010,아비코전자,20200324,3270
346,A036010,아비코전자,20200323,3160
347,A036010,아비코전자,20200320,3345
348,A036010,아비코전자,20200319,3075
349,A036010,아비코전자,20200318,3900
350,A036010,아비코전자,20200317,4015
351,A036010,아비코전자,20200316,4110
352,A036010,아비코전자,20200313,4390
353,A036010,아비코전자,20200312,4645
354,A036010,아비코전자,20200311,5010
355,A036010,아비코전자,20200310,5310
356,A036010,아비코전자,20200309,5280
357,A036010,아비코전자,20200306,5730
358,A036010,아비코전자,20200305,5960
359,A036010,아비코전자,20200304,5950
360,A036010,아비코전자,20200303,5820
361,A036010,아비코전자,20200302,5960
362,A036010,아비코전자,20200228,5670
363,A036010,아비코전자,20200227,6060
364,A036010,아비코전자,20200226,6390
