,종목코드,종목명,날짜,종가
0,A002030,아세아,20210812,128500
1,A002030,아세아,20210811,127000
2,A002030,아세아,20210810,129000
3,A002030,아세아,20210809,129500
4,A002030,아세아,20210806,130500
5,A002030,아세아,20210805,130500
6,A002030,아세아,20210804,128000
7,A002030,아세아,20210803,128000
8,A002030,아세아,20210802,129500
9,A002030,아세아,20210730,129500
10,A002030,아세아,20210729,128500
11,A002030,아세아,20210728,126500
12,A002030,아세아,20210727,126000
13,A002030,아세아,20210726,124500
14,A002030,아세아,20210723,124500
15,A002030,아세아,20210722,125000
16,A002030,아세아,20210721,125000
17,A002030,아세아,20210720,125500
18,A002030,아세아,20210719,126000
19,A002030,아세아,20210716,127500
20,A002030,아세아,20210715,126500
21,A002030,아세아,20210714,127000
22,A002030,아세아,20210713,126500
23,A002030,아세아,20210712,126000
24,A002030,아세아,20210709,123500
25,A002030,아세아,20210708,126000
26,A002030,아세아,20210707,129500
27,A002030,아세아,20210706,129000
28,A002030,아세아,20210705,128000
29,A002030,아세아,20210702,130000
30,A002030,아세아,20210701,130500
31,A002030,아세아,20210630,130000
32,A002030,아세아,20210629,130000
33,A002030,아세아,20210628,130500
34,A002030,아세아,20210625,128500
35,A002030,아세아,20210624,129000
36,A002030,아세아,20210623,129000
37,A002030,아세아,20210622,128000
38,A002030,아세아,20210621,126500
39,A002030,아세아,20210618,129000
40,A002030,아세아,20210617,128500
41,A002030,아세아,20210616,133000
42,A002030,아세아,20210615,133000
43,A002030,아세아,20210614,132000
44,A002030,아세아,20210611,132000
45,A002030,아세아,20210610,133000
46,A002030,아세아,20210609,134000
47,A002030,아세아,20210608,136000
48,A002030,아세아,20210607,135500
49,A002030,아세아,20210604,136000
50,A002030,아세아,20210603,137500
51,A002030,아세아,20210602,138000
52,A002030,아세아,20210601,138500
53,A002030,아세아,20210531,139000
54,A002030,아세아,20210528,141000
55,A002030,아세아,20210527,138500
56,A002030,아세아,20210526,137500
57,A002030,아세아,20210525,137500
58,A002030,아세아,20210524,136000
59,A002030,아세아,20210521,137500
60,A002030,아세아,20210520,140000
61,A002030,아세아,20210518,141000
62,A002030,아세아,20210517,137500
63,A002030,아세아,20210514,137000
64,A002030,아세아,20210513,133000
65,A002030,아세아,20210512,137000
66,A002030,아세아,20210511,145500
67,A002030,아세아,20210510,136500
68,A002030,아세아,20210507,133000
69,A002030,아세아,20210506,130000
70,A002030,아세아,20210504,127500
71,A002030,아세아,20210503,128000
72,A002030,아세아,20210430,129000
73,A002030,아세아,20210429,130000
74,A002030,아세아,20210428,131000
75,A002030,아세아,20210427,133500
76,A002030,아세아,20210426,133000
77,A002030,아세아,20210423,131000
78,A002030,아세아,20210422,130000
79,A002030,아세아,20210421,129500
