,종목코드,종목명,날짜,종가
0,A002310,아세아제지,20210812,51400
1,A002310,아세아제지,20210811,51600
2,A002310,아세아제지,20210810,51000
3,A002310,아세아제지,20210809,52000
4,A002310,아세아제지,20210806,52500
5,A002310,아세아제지,20210805,53000
6,A002310,아세아제지,20210804,53500
7,A002310,아세아제지,20210803,53100
8,A002310,아세아제지,20210802,53200
9,A002310,아세아제지,20210730,54000
10,A002310,아세아제지,20210729,54500
11,A002310,아세아제지,20210728,54200
12,A002310,아세아제지,20210727,54500
13,A002310,아세아제지,20210726,53200
14,A002310,아세아제지,20210723,53200
15,A002310,아세아제지,20210722,53900
16,A002310,아세아제지,20210721,53600
17,A002310,아세아제지,20210720,54800
18,A002310,아세아제지,20210719,56300
19,A002310,아세아제지,20210716,57200
20,A002310,아세아제지,20210715,52700
21,A002310,아세아제지,20210714,53400
22,A002310,아세아제지,20210713,53600
23,A002310,아세아제지,20210712,53600
24,A002310,아세아제지,20210709,53800
25,A002310,아세아제지,20210708,54200
26,A002310,아세아제지,20210707,56000
27,A002310,아세아제지,20210706,54300
28,A002310,아세아제지,20210705,54700
29,A002310,아세아제지,20210702,55400
30,A002310,아세아제지,20210701,55500
31,A002310,아세아제지,20210630,55700
32,A002310,아세아제지,20210629,55600
33,A002310,아세아제지,20210628,55600
34,A002310,아세아제지,20210625,54100
35,A002310,아세아제지,20210624,54300
36,A002310,아세아제지,20210623,54500
37,A002310,아세아제지,20210622,53100
38,A002310,아세아제지,20210621,52900
39,A002310,아세아제지,20210618,54300
40,A002310,아세아제지,20210617,54400
41,A002310,아세아제지,20210616,54600
42,A002310,아세아제지,20210615,54800
43,A002310,아세아제지,20210614,55200
44,A002310,아세아제지,20210611,54000
45,A002310,아세아제지,20210610,54600
46,A002310,아세아제지,20210609,54300
47,A002310,아세아제지,20210608,55400
48,A002310,아세아제지,20210607,55500
49,A002310,아세아제지,20210604,55600
50,A002310,아세아제지,20210603,56000
51,A002310,아세아제지,20210602,56500
52,A002310,아세아제지,20210601,56600
53,A002310,아세아제지,20210531,56600
54,A002310,아세아제지,20210528,56800
55,A002310,아세아제지,20210527,57500
56,A002310,아세아제지,20210526,57500
