,종목코드,종목명,날짜,종가
0,A054800,아이디스홀딩스,20210812,13950
1,A054800,아이디스홀딩스,20210811,13950
2,A054800,아이디스홀딩스,20210810,13900
3,A054800,아이디스홀딩스,20210809,14100
4,A054800,아이디스홀딩스,20210806,14100
5,A054800,아이디스홀딩스,20210805,14200
6,A054800,아이디스홀딩스,20210804,14100
7,A054800,아이디스홀딩스,20210803,14100
8,A054800,아이디스홀딩스,20210802,14000
9,A054800,아이디스홀딩스,20210730,14000
10,A054800,아이디스홀딩스,20210729,13700
11,A054800,아이디스홀딩스,20210728,13600
12,A054800,아이디스홀딩스,20210727,13800
13,A054800,아이디스홀딩스,20210726,13950
14,A054800,아이디스홀딩스,20210723,14050
15,A054800,아이디스홀딩스,20210722,14000
16,A054800,아이디스홀딩스,20210721,13800
17,A054800,아이디스홀딩스,20210720,13800
18,A054800,아이디스홀딩스,20210719,14100
19,A054800,아이디스홀딩스,20210716,14100
20,A054800,아이디스홀딩스,20210715,14050
21,A054800,아이디스홀딩스,20210714,14000
22,A054800,아이디스홀딩스,20210713,13950
23,A054800,아이디스홀딩스,20210712,13950
24,A054800,아이디스홀딩스,20210709,13750
25,A054800,아이디스홀딩스,20210708,13750
26,A054800,아이디스홀딩스,20210707,14300
27,A054800,아이디스홀딩스,20210706,14300
28,A054800,아이디스홀딩스,20210705,14200
29,A054800,아이디스홀딩스,20210702,14250
30,A054800,아이디스홀딩스,20210701,14350
31,A054800,아이디스홀딩스,20210630,14500
32,A054800,아이디스홀딩스,20210629,14700
33,A054800,아이디스홀딩스,20210628,14500
34,A054800,아이디스홀딩스,20210625,14350
35,A054800,아이디스홀딩스,20210624,14600
36,A054800,아이디스홀딩스,20210623,14400
37,A054800,아이디스홀딩스,20210622,14500
38,A054800,아이디스홀딩스,20210621,14650
39,A054800,아이디스홀딩스,20210618,14500
40,A054800,아이디스홀딩스,20210617,14550
41,A054800,아이디스홀딩스,20210616,14400
42,A054800,아이디스홀딩스,20210615,14700
43,A054800,아이디스홀딩스,20210614,14850
44,A054800,아이디스홀딩스,20210611,14200
45,A054800,아이디스홀딩스,20210610,14100
46,A054800,아이디스홀딩스,20210609,13900
47,A054800,아이디스홀딩스,20210608,13850
48,A054800,아이디스홀딩스,20210607,13750
49,A054800,아이디스홀딩스,20210604,13750
50,A054800,아이디스홀딩스,20210603,13850
51,A054800,아이디스홀딩스,20210602,13400
52,A054800,아이디스홀딩스,20210601,13700
53,A054800,아이디스홀딩스,20210531,13700
54,A054800,아이디스홀딩스,20210528,13650
55,A054800,아이디스홀딩스,20210527,13700
56,A054800,아이디스홀딩스,20210526,13800
57,A054800,아이디스홀딩스,20210525,13600
58,A054800,아이디스홀딩스,20210524,13550
59,A054800,아이디스홀딩스,20210521,13350
60,A054800,아이디스홀딩스,20210520,13700
61,A054800,아이디스홀딩스,20210518,13700
62,A054800,아이디스홀딩스,20210517,13650
63,A054800,아이디스홀딩스,20210514,13750
64,A054800,아이디스홀딩스,20210513,13650
65,A054800,아이디스홀딩스,20210512,13900
66,A054800,아이디스홀딩스,20210511,14000
67,A054800,아이디스홀딩스,20210510,13900
68,A054800,아이디스홀딩스,20210507,13700
69,A054800,아이디스홀딩스,20210506,13500
70,A054800,아이디스홀딩스,20210504,13600
71,A054800,아이디스홀딩스,20210503,13450
72,A054800,아이디스홀딩스,20210430,13300
73,A054800,아이디스홀딩스,20210429,13300
74,A054800,아이디스홀딩스,20210428,13400
75,A054800,아이디스홀딩스,20210427,14000
76,A054800,아이디스홀딩스,20210426,13850
77,A054800,아이디스홀딩스,20210423,14050
78,A054800,아이디스홀딩스,20210422,14200
79,A054800,아이디스홀딩스,20210421,14300
80,A054800,아이디스홀딩스,20210420,13850
81,A054800,아이디스홀딩스,20210419,13300
82,A054800,아이디스홀딩스,20210416,13550
83,A054800,아이디스홀딩스,20210415,13700
84,A054800,아이디스홀딩스,20210414,13350
85,A054800,아이디스홀딩스,20210413,13150
86,A054800,아이디스홀딩스,20210412,13100
87,A054800,아이디스홀딩스,20210409,13200
88,A054800,아이디스홀딩스,20210408,13150
89,A054800,아이디스홀딩스,20210407,13150
90,A054800,아이디스홀딩스,20210406,13050
91,A054800,아이디스홀딩스,20210405,13000
