,종목코드,종목명,날짜,종가
0,A293290,아이엔오기술,20210812,2000
1,A293290,아이엔오기술,20210811,2000
2,A293290,아이엔오기술,20210810,1745
3,A293290,아이엔오기술,20210809,1500
4,A293290,아이엔오기술,20210806,1225
5,A293290,아이엔오기술,20210805,1750
6,A293290,아이엔오기술,20210804,1700
7,A293290,아이엔오기술,20210803,1400
8,A293290,아이엔오기술,20210802,1150
9,A293290,아이엔오기술,20210730,1180
10,A293290,아이엔오기술,20210729,1585
11,A293290,아이엔오기술,20210728,1350
12,A293290,아이엔오기술,20210727,1055
13,A293290,아이엔오기술,20210726,1500
14,A293290,아이엔오기술,20210723,1300
15,A293290,아이엔오기술,20210722,1150
16,A293290,아이엔오기술,20210721,1100
17,A293290,아이엔오기술,20210720,1255
18,A293290,아이엔오기술,20210719,1380
19,A293290,아이엔오기술,20210716,1195
20,A293290,아이엔오기술,20210715,1265
21,A293290,아이엔오기술,20210714,1220
22,A293290,아이엔오기술,20210713,1270
23,A293290,아이엔오기술,20210712,1395
24,A293290,아이엔오기술,20210709,1400
25,A293290,아이엔오기술,20210708,1100
26,A293290,아이엔오기술,20210707,1120
27,A293290,아이엔오기술,20210706,1370
28,A293290,아이엔오기술,20210705,1185
29,A293290,아이엔오기술,20210702,1255
30,A293290,아이엔오기술,20210701,1145
31,A293290,아이엔오기술,20210630,1130
32,A293290,아이엔오기술,20210629,1205
33,A293290,아이엔오기술,20210628,1180
34,A293290,아이엔오기술,20210625,1515
35,A293290,아이엔오기술,20210624,1500
36,A293290,아이엔오기술,20210623,1295
37,A293290,아이엔오기술,20210622,1850
38,A293290,아이엔오기술,20210621,1425
39,A293290,아이엔오기술,20210618,1190
40,A293290,아이엔오기술,20210617,1700
41,A293290,아이엔오기술,20210616,2000
42,A293290,아이엔오기술,20210615,1655
43,A293290,아이엔오기술,20210614,1220
44,A293290,아이엔오기술,20210611,1280
45,A293290,아이엔오기술,20210610,1300
46,A293290,아이엔오기술,20210609,1475
47,A293290,아이엔오기술,20210608,1400
48,A293290,아이엔오기술,20210607,1210
49,A293290,아이엔오기술,20210604,1195
50,A293290,아이엔오기술,20210603,1470
51,A293290,아이엔오기술,20210602,1515
52,A293290,아이엔오기술,20210601,1360
53,A293290,아이엔오기술,20210531,1600
54,A293290,아이엔오기술,20210528,1500
55,A293290,아이엔오기술,20210527,1990
