,종목코드,종목명,날짜,종가
0,A032080,아즈텍WB,20210812,5850
1,A032080,아즈텍WB,20210811,5220
2,A032080,아즈텍WB,20210810,5140
3,A032080,아즈텍WB,20210809,5800
4,A032080,아즈텍WB,20210806,6090
5,A032080,아즈텍WB,20210805,5800
6,A032080,아즈텍WB,20210804,4465
7,A032080,아즈텍WB,20210803,4345
8,A032080,아즈텍WB,20210802,4345
9,A032080,아즈텍WB,20210730,4545
10,A032080,아즈텍WB,20210729,3975
11,A032080,아즈텍WB,20210728,4025
12,A032080,아즈텍WB,20210727,4175
13,A032080,아즈텍WB,20210726,4280
14,A032080,아즈텍WB,20210723,4535
15,A032080,아즈텍WB,20210722,4405
16,A032080,아즈텍WB,20210721,3390
17,A032080,아즈텍WB,20210720,3100
18,A032080,아즈텍WB,20210719,2930
19,A032080,아즈텍WB,20210716,2980
20,A032080,아즈텍WB,20210715,3000
21,A032080,아즈텍WB,20210714,3025
22,A032080,아즈텍WB,20210713,3025
23,A032080,아즈텍WB,20210712,3055
24,A032080,아즈텍WB,20210709,3005
25,A032080,아즈텍WB,20210708,2980
26,A032080,아즈텍WB,20210707,3160
27,A032080,아즈텍WB,20210706,3100
28,A032080,아즈텍WB,20210705,3390
29,A032080,아즈텍WB,20210702,2840
30,A032080,아즈텍WB,20210701,2860
31,A032080,아즈텍WB,20210630,2800
32,A032080,아즈텍WB,20210629,2825
33,A032080,아즈텍WB,20210628,2845
34,A032080,아즈텍WB,20210625,2770
35,A032080,아즈텍WB,20210624,2750
36,A032080,아즈텍WB,20210623,2765
37,A032080,아즈텍WB,20210622,2845
38,A032080,아즈텍WB,20210621,2845
39,A032080,아즈텍WB,20210618,2915
40,A032080,아즈텍WB,20210617,2930
41,A032080,아즈텍WB,20210616,2920
42,A032080,아즈텍WB,20210615,2900
43,A032080,아즈텍WB,20210614,2860
44,A032080,아즈텍WB,20210611,2875
45,A032080,아즈텍WB,20210610,2975
46,A032080,아즈텍WB,20210609,2955
47,A032080,아즈텍WB,20210608,3060
48,A032080,아즈텍WB,20210607,3070
49,A032080,아즈텍WB,20210604,3160
50,A032080,아즈텍WB,20210603,3120
51,A032080,아즈텍WB,20210602,3015
52,A032080,아즈텍WB,20210601,2950
53,A032080,아즈텍WB,20210531,2950
54,A032080,아즈텍WB,20210528,2895
55,A032080,아즈텍WB,20210527,2865
56,A032080,아즈텍WB,20210526,2860
57,A032080,아즈텍WB,20210525,2940
58,A032080,아즈텍WB,20210524,2760
59,A032080,아즈텍WB,20210521,2740
60,A032080,아즈텍WB,20210520,2975
61,A032080,아즈텍WB,20210518,2905
62,A032080,아즈텍WB,20210517,2890
63,A032080,아즈텍WB,20210514,2915
64,A032080,아즈텍WB,20210513,2720
65,A032080,아즈텍WB,20210512,2825
66,A032080,아즈텍WB,20210511,2855
67,A032080,아즈텍WB,20210510,2915
68,A032080,아즈텍WB,20210507,2690
69,A032080,아즈텍WB,20210506,2635
70,A032080,아즈텍WB,20210504,2610
71,A032080,아즈텍WB,20210503,2605
72,A032080,아즈텍WB,20210430,2715
73,A032080,아즈텍WB,20210429,2865
74,A032080,아즈텍WB,20210428,2855
75,A032080,아즈텍WB,20210427,2925
76,A032080,아즈텍WB,20210426,3025
77,A032080,아즈텍WB,20210423,3025
78,A032080,아즈텍WB,20210422,3080
79,A032080,아즈텍WB,20210421,2970
80,A032080,아즈텍WB,20210420,3085
81,A032080,아즈텍WB,20210419,3225
82,A032080,아즈텍WB,20210416,3000
83,A032080,아즈텍WB,20210415,2715
84,A032080,아즈텍WB,20210414,2655
85,A032080,아즈텍WB,20210413,2685
86,A032080,아즈텍WB,20210412,2820
87,A032080,아즈텍WB,20210409,2815
88,A032080,아즈텍WB,20210408,2860
89,A032080,아즈텍WB,20210407,2700
90,A032080,아즈텍WB,20210406,2670
91,A032080,아즈텍WB,20210405,2580
92,A032080,아즈텍WB,20210402,2560
93,A032080,아즈텍WB,20210401,2540
94,A032080,아즈텍WB,20210331,2575
95,A032080,아즈텍WB,20210330,2540
96,A032080,아즈텍WB,20210329,2490
97,A032080,아즈텍WB,20210326,2470
98,A032080,아즈텍WB,20210325,2485
99,A032080,아즈텍WB,20210324,2525
100,A032080,아즈텍WB,20210323,2405
101,A032080,아즈텍WB,20210322,2510
102,A032080,아즈텍WB,20210319,2590
103,A032080,아즈텍WB,20210318,2550
104,A032080,아즈텍WB,20210317,2570
105,A032080,아즈텍WB,20210316,2575
106,A032080,아즈텍WB,20210315,2520
107,A032080,아즈텍WB,20210312,2555
108,A032080,아즈텍WB,20210311,2430
109,A032080,아즈텍WB,20210310,2415
110,A032080,아즈텍WB,20210309,2540
111,A032080,아즈텍WB,20210308,2520
112,A032080,아즈텍WB,20210305,2600
113,A032080,아즈텍WB,20210304,2480
114,A032080,아즈텍WB,20210303,2315
115,A032080,아즈텍WB,20210302,2290
116,A032080,아즈텍WB,20210226,2335
117,A032080,아즈텍WB,20210225,2410
118,A032080,아즈텍WB,20210224,2370
119,A032080,아즈텍WB,20210223,2390
120,A032080,아즈텍WB,20210222,2400
121,A032080,아즈텍WB,20210219,2360
122,A032080,아즈텍WB,20210218,2485
123,A032080,아즈텍WB,20210217,2425
124,A032080,아즈텍WB,20210216,2355
125,A032080,아즈텍WB,20210215,2280
126,A032080,아즈텍WB,20210210,2270
127,A032080,아즈텍WB,20210209,2260
128,A032080,아즈텍WB,20210208,2345
129,A032080,아즈텍WB,20210205,2390
130,A032080,아즈텍WB,20210204,2350
131,A032080,아즈텍WB,20210203,2325
132,A032080,아즈텍WB,20210202,2320
133,A032080,아즈텍WB,20210201,2200
134,A032080,아즈텍WB,20210129,2120
135,A032080,아즈텍WB,20210128,2290
136,A032080,아즈텍WB,20210127,2305
137,A032080,아즈텍WB,20210126,2305
138,A032080,아즈텍WB,20210125,2340
139,A032080,아즈텍WB,20210122,2365
140,A032080,아즈텍WB,20210121,2430
141,A032080,아즈텍WB,20210120,2415
142,A032080,아즈텍WB,20210119,2270
143,A032080,아즈텍WB,20210118,2410
144,A032080,아즈텍WB,20210115,2480
145,A032080,아즈텍WB,20210114,2375
146,A032080,아즈텍WB,20210113,2160
147,A032080,아즈텍WB,20210112,2130
148,A032080,아즈텍WB,20210111,1950
149,A032080,아즈텍WB,20210108,2010
150,A032080,아즈텍WB,20210107,1975
151,A032080,아즈텍WB,20210106,1895
152,A032080,아즈텍WB,20210105,1825
153,A032080,아즈텍WB,20210104,1810
154,A032080,아즈텍WB,20201230,1830
155,A032080,아즈텍WB,20201229,1790
156,A032080,아즈텍WB,20201228,1765
157,A032080,아즈텍WB,20201224,1845
158,A032080,아즈텍WB,20201223,1825
159,A032080,아즈텍WB,20201222,1885
160,A032080,아즈텍WB,20201221,1945
161,A032080,아즈텍WB,20201218,1980
162,A032080,아즈텍WB,20201217,1840
163,A032080,아즈텍WB,20201216,1865
164,A032080,아즈텍WB,20201215,1825
165,A032080,아즈텍WB,20201214,1855
166,A032080,아즈텍WB,20201211,1890
167,A032080,아즈텍WB,20201210,1855
168,A032080,아즈텍WB,20201209,1830
169,A032080,아즈텍WB,20201208,1840
170,A032080,아즈텍WB,20201207,1885
171,A032080,아즈텍WB,20201204,1770
172,A032080,아즈텍WB,20201203,1765
173,A032080,아즈텍WB,20201202,1785
174,A032080,아즈텍WB,20201201,1780
175,A032080,아즈텍WB,20201130,1755
176,A032080,아즈텍WB,20201127,1770
177,A032080,아즈텍WB,20201126,1730
178,A032080,아즈텍WB,20201125,1760
179,A032080,아즈텍WB,20201124,1740
180,A032080,아즈텍WB,20201123,1750
181,A032080,아즈텍WB,20201120,1740
182,A032080,아즈텍WB,20201119,1730
183,A032080,아즈텍WB,20201118,1720
184,A032080,아즈텍WB,20201117,1720
185,A032080,아즈텍WB,20201116,1735
186,A032080,아즈텍WB,20201113,1755
187,A032080,아즈텍WB,20201112,1750
188,A032080,아즈텍WB,20201111,1755
189,A032080,아즈텍WB,20201110,1660
190,A032080,아즈텍WB,20201109,1680
191,A032080,아즈텍WB,20201106,1625
192,A032080,아즈텍WB,20201105,1625
193,A032080,아즈텍WB,20201104,1585
194,A032080,아즈텍WB,20201103,1620
195,A032080,아즈텍WB,20201102,1615
196,A032080,아즈텍WB,20201030,1595
197,A032080,아즈텍WB,20201029,1625
198,A032080,아즈텍WB,20201028,1635
199,A032080,아즈텍WB,20201027,1595
200,A032080,아즈텍WB,20201026,1580
201,A032080,아즈텍WB,20201023,1650
202,A032080,아즈텍WB,20201022,1655
203,A032080,아즈텍WB,20201021,1650
204,A032080,아즈텍WB,20201020,1665
205,A032080,아즈텍WB,20201019,1675
206,A032080,아즈텍WB,20201016,1705
207,A032080,아즈텍WB,20201015,1670
208,A032080,아즈텍WB,20201014,1700
209,A032080,아즈텍WB,20201013,1675
210,A032080,아즈텍WB,20201012,1660
211,A032080,아즈텍WB,20201008,1650
212,A032080,아즈텍WB,20201007,1640
213,A032080,아즈텍WB,20201006,1650
214,A032080,아즈텍WB,20201005,1660
215,A032080,아즈텍WB,20200929,1640
216,A032080,아즈텍WB,20200928,1585
217,A032080,아즈텍WB,20200925,1570
218,A032080,아즈텍WB,20200924,1550
219,A032080,아즈텍WB,20200923,1610
220,A032080,아즈텍WB,20200922,1605
221,A032080,아즈텍WB,20200921,1650
222,A032080,아즈텍WB,20200918,1695
223,A032080,아즈텍WB,20200917,1740
224,A032080,아즈텍WB,20200916,1655
225,A032080,아즈텍WB,20200915,1675
226,A032080,아즈텍WB,20200914,1645
227,A032080,아즈텍WB,20200911,1595
228,A032080,아즈텍WB,20200910,1585
229,A032080,아즈텍WB,20200909,1590
230,A032080,아즈텍WB,20200908,1615
231,A032080,아즈텍WB,20200907,1630
232,A032080,아즈텍WB,20200904,1640
233,A032080,아즈텍WB,20200903,1625
234,A032080,아즈텍WB,20200902,1625
235,A032080,아즈텍WB,20200901,1640
236,A032080,아즈텍WB,20200831,1655
237,A032080,아즈텍WB,20200828,1590
238,A032080,아즈텍WB,20200827,1600
