,종목코드,종목명,날짜,종가
0,A059120,아진엑스텍,20210812,11050
1,A059120,아진엑스텍,20210811,10950
2,A059120,아진엑스텍,20210810,11200
3,A059120,아진엑스텍,20210809,11850
4,A059120,아진엑스텍,20210806,12450
5,A059120,아진엑스텍,20210805,12450
6,A059120,아진엑스텍,20210804,11800
7,A059120,아진엑스텍,20210803,10150
8,A059120,아진엑스텍,20210802,9880
9,A059120,아진엑스텍,20210730,9800
10,A059120,아진엑스텍,20210729,9970
11,A059120,아진엑스텍,20210728,9940
12,A059120,아진엑스텍,20210727,10250
13,A059120,아진엑스텍,20210726,10700
14,A059120,아진엑스텍,20210723,10200
15,A059120,아진엑스텍,20210722,10200
16,A059120,아진엑스텍,20210721,10950
17,A059120,아진엑스텍,20210720,10900
18,A059120,아진엑스텍,20210719,10800
19,A059120,아진엑스텍,20210716,11200
20,A059120,아진엑스텍,20210715,11200
21,A059120,아진엑스텍,20210714,11750
22,A059120,아진엑스텍,20210713,13150
23,A059120,아진엑스텍,20210712,12850
24,A059120,아진엑스텍,20210709,12150
25,A059120,아진엑스텍,20210708,11850
26,A059120,아진엑스텍,20210707,11550
27,A059120,아진엑스텍,20210706,11900
28,A059120,아진엑스텍,20210705,11450
29,A059120,아진엑스텍,20210702,11100
30,A059120,아진엑스텍,20210701,11750
31,A059120,아진엑스텍,20210630,11700
32,A059120,아진엑스텍,20210629,11700
33,A059120,아진엑스텍,20210628,11500
34,A059120,아진엑스텍,20210625,8880
35,A059120,아진엑스텍,20210624,8250
36,A059120,아진엑스텍,20210623,8250
37,A059120,아진엑스텍,20210622,8220
38,A059120,아진엑스텍,20210621,7850
39,A059120,아진엑스텍,20210618,7920
40,A059120,아진엑스텍,20210617,7900
41,A059120,아진엑스텍,20210616,7900
42,A059120,아진엑스텍,20210615,7910
43,A059120,아진엑스텍,20210614,7880
44,A059120,아진엑스텍,20210611,7900
45,A059120,아진엑스텍,20210610,7830
46,A059120,아진엑스텍,20210609,8040
47,A059120,아진엑스텍,20210608,8130
48,A059120,아진엑스텍,20210607,8100
49,A059120,아진엑스텍,20210604,8130
50,A059120,아진엑스텍,20210603,8150
51,A059120,아진엑스텍,20210602,8150
52,A059120,아진엑스텍,20210601,8130
53,A059120,아진엑스텍,20210531,8230
54,A059120,아진엑스텍,20210528,8150
55,A059120,아진엑스텍,20210527,8160
56,A059120,아진엑스텍,20210526,8170
57,A059120,아진엑스텍,20210525,8070
58,A059120,아진엑스텍,20210524,8010
59,A059120,아진엑스텍,20210521,8180
60,A059120,아진엑스텍,20210520,8260
61,A059120,아진엑스텍,20210518,7760
62,A059120,아진엑스텍,20210517,7750
63,A059120,아진엑스텍,20210514,7730
64,A059120,아진엑스텍,20210513,7650
65,A059120,아진엑스텍,20210512,7350
66,A059120,아진엑스텍,20210511,7400
67,A059120,아진엑스텍,20210510,7370
68,A059120,아진엑스텍,20210507,7070
69,A059120,아진엑스텍,20210506,7020
70,A059120,아진엑스텍,20210504,6900
71,A059120,아진엑스텍,20210503,7060
72,A059120,아진엑스텍,20210430,7080
73,A059120,아진엑스텍,20210429,7120
74,A059120,아진엑스텍,20210428,7190
75,A059120,아진엑스텍,20210427,7470
76,A059120,아진엑스텍,20210426,7420
77,A059120,아진엑스텍,20210423,7410
78,A059120,아진엑스텍,20210422,7420
79,A059120,아진엑스텍,20210421,7420
80,A059120,아진엑스텍,20210420,7520
81,A059120,아진엑스텍,20210419,7450
82,A059120,아진엑스텍,20210416,7460
83,A059120,아진엑스텍,20210415,7400
84,A059120,아진엑스텍,20210414,7340
85,A059120,아진엑스텍,20210413,7420
86,A059120,아진엑스텍,20210412,7160
87,A059120,아진엑스텍,20210409,7170
88,A059120,아진엑스텍,20210408,7060
89,A059120,아진엑스텍,20210407,7130
90,A059120,아진엑스텍,20210406,7130
91,A059120,아진엑스텍,20210405,7170
92,A059120,아진엑스텍,20210402,7100
93,A059120,아진엑스텍,20210401,7050
94,A059120,아진엑스텍,20210331,7170
95,A059120,아진엑스텍,20210330,7170
96,A059120,아진엑스텍,20210329,7180
97,A059120,아진엑스텍,20210326,7140
98,A059120,아진엑스텍,20210325,7330
99,A059120,아진엑스텍,20210324,7250
100,A059120,아진엑스텍,20210323,7450
101,A059120,아진엑스텍,20210322,7460
102,A059120,아진엑스텍,20210319,7600
103,A059120,아진엑스텍,20210318,7580
104,A059120,아진엑스텍,20210317,7570
105,A059120,아진엑스텍,20210316,7680
106,A059120,아진엑스텍,20210315,7650
107,A059120,아진엑스텍,20210312,7640
