,종목코드,종목명,날짜,종가
0,A011400,아진카인텍,20210812,4815
1,A011400,아진카인텍,20210811,5340
2,A011400,아진카인텍,20210810,4635
3,A011400,아진카인텍,20210809,4185
4,A011400,아진카인텍,20210806,5630
5,A011400,아진카인텍,20210805,5540
6,A011400,아진카인텍,20210804,4950
7,A011400,아진카인텍,20210803,4950
8,A011400,아진카인텍,20210802,4615
9,A011400,아진카인텍,20210730,4640
10,A011400,아진카인텍,20210729,4595
11,A011400,아진카인텍,20210728,5040
12,A011400,아진카인텍,20210727,5840
13,A011400,아진카인텍,20210726,5040
14,A011400,아진카인텍,20210723,5760
15,A011400,아진카인텍,20210722,6490
16,A011400,아진카인텍,20210721,6780
17,A011400,아진카인텍,20210720,6450
18,A011400,아진카인텍,20210719,6510
19,A011400,아진카인텍,20210716,6480
20,A011400,아진카인텍,20210715,6690
21,A011400,아진카인텍,20210714,6460
22,A011400,아진카인텍,20210713,6600
23,A011400,아진카인텍,20210712,6700
24,A011400,아진카인텍,20210709,6720
25,A011400,아진카인텍,20210708,7480
26,A011400,아진카인텍,20210707,8040
27,A011400,아진카인텍,20210706,7130
28,A011400,아진카인텍,20210705,8410
29,A011400,아진카인텍,20210702,8620
30,A011400,아진카인텍,20210701,9580
31,A011400,아진카인텍,20210630,10000
32,A011400,아진카인텍,20210629,7930
33,A011400,아진카인텍,20210628,6110
34,A011400,아진카인텍,20210625,4705
35,A011400,아진카인텍,20210624,3620
36,A011400,아진카인텍,20210623,2785
37,A011400,아진카인텍,20210622,2145
38,A011400,아진카인텍,20210621,1650
