,辆格内靛,辆格疙,朝楼,辆啊
0,A001780,舅风内,20210812,4675
1,A001780,舅风内,20210811,4665
2,A001780,舅风内,20210810,4710
3,A001780,舅风内,20210809,4790
4,A001780,舅风内,20210806,4850
5,A001780,舅风内,20210805,4830
6,A001780,舅风内,20210804,4720
7,A001780,舅风内,20210803,4650
8,A001780,舅风内,20210802,4740
9,A001780,舅风内,20210730,4760
10,A001780,舅风内,20210729,4855
11,A001780,舅风内,20210728,4870
12,A001780,舅风内,20210727,4960
13,A001780,舅风内,20210726,4915
14,A001780,舅风内,20210723,4920
15,A001780,舅风内,20210722,4910
16,A001780,舅风内,20210721,4900
17,A001780,舅风内,20210720,4940
18,A001780,舅风内,20210719,4995
19,A001780,舅风内,20210716,5100
20,A001780,舅风内,20210715,5170
21,A001780,舅风内,20210714,5160
22,A001780,舅风内,20210713,5190
23,A001780,舅风内,20210712,4990
24,A001780,舅风内,20210709,4900
25,A001780,舅风内,20210708,4930
26,A001780,舅风内,20210707,5010
27,A001780,舅风内,20210706,5050
28,A001780,舅风内,20210705,5040
29,A001780,舅风内,20210702,5060
30,A001780,舅风内,20210701,5040
31,A001780,舅风内,20210630,5090
32,A001780,舅风内,20210629,5130
33,A001780,舅风内,20210628,5100
34,A001780,舅风内,20210625,5140
35,A001780,舅风内,20210624,5040
36,A001780,舅风内,20210623,5060
37,A001780,舅风内,20210622,5080
38,A001780,舅风内,20210621,5040
39,A001780,舅风内,20210618,5120
40,A001780,舅风内,20210617,5200
41,A001780,舅风内,20210616,5240
42,A001780,舅风内,20210615,5180
43,A001780,舅风内,20210614,5180
44,A001780,舅风内,20210611,5280
45,A001780,舅风内,20210610,5300
46,A001780,舅风内,20210609,5530
47,A001780,舅风内,20210608,5320
48,A001780,舅风内,20210607,5350
49,A001780,舅风内,20210604,5830
50,A001780,舅风内,20210603,5320
51,A001780,舅风内,20210602,5210
52,A001780,舅风内,20210601,5400
53,A001780,舅风内,20210531,5320
54,A001780,舅风内,20210528,5030
55,A001780,舅风内,20210527,4840
56,A001780,舅风内,20210526,4820
57,A001780,舅风内,20210525,4840
58,A001780,舅风内,20210524,4810
59,A001780,舅风内,20210521,4820
60,A001780,舅风内,20210520,4890
61,A001780,舅风内,20210518,4970
62,A001780,舅风内,20210517,5010
63,A001780,舅风内,20210514,5000
64,A001780,舅风内,20210513,4995
65,A001780,舅风内,20210512,5110
66,A001780,舅风内,20210511,5450
67,A001780,舅风内,20210510,5260
68,A001780,舅风内,20210507,5120
69,A001780,舅风内,20210506,4835
70,A001780,舅风内,20210504,4750
71,A001780,舅风内,20210503,4805
72,A001780,舅风内,20210430,4900
73,A001780,舅风内,20210429,4975
74,A001780,舅风内,20210428,4975
75,A001780,舅风内,20210427,5030
76,A001780,舅风内,20210426,4890
77,A001780,舅风内,20210423,4905
78,A001780,舅风内,20210422,4965
79,A001780,舅风内,20210421,4970
80,A001780,舅风内,20210420,5060
81,A001780,舅风内,20210419,5040
82,A001780,舅风内,20210416,5110
83,A001780,舅风内,20210415,4965
84,A001780,舅风内,20210414,4975
85,A001780,舅风内,20210413,5050
86,A001780,舅风内,20210412,5100
87,A001780,舅风内,20210409,5050
88,A001780,舅风内,20210408,5040
89,A001780,舅风内,20210407,5090
90,A001780,舅风内,20210406,5210
91,A001780,舅风内,20210405,5410
92,A001780,舅风内,20210402,5040
93,A001780,舅风内,20210401,4945
94,A001780,舅风内,20210331,4595
95,A001780,舅风内,20210330,4630
96,A001780,舅风内,20210329,4625
97,A001780,舅风内,20210326,4695
98,A001780,舅风内,20210325,4700
99,A001780,舅风内,20210324,4700
100,A001780,舅风内,20210323,4690
101,A001780,舅风内,20210322,4820
102,A001780,舅风内,20210319,4840
103,A001780,舅风内,20210318,4860
104,A001780,舅风内,20210317,4875
105,A001780,舅风内,20210316,4970
106,A001780,舅风内,20210315,4890
107,A001780,舅风内,20210312,4835
108,A001780,舅风内,20210311,4830
109,A001780,舅风内,20210310,4755
110,A001780,舅风内,20210309,4825
111,A001780,舅风内,20210308,4820
112,A001780,舅风内,20210305,4665
113,A001780,舅风内,20210304,4745
114,A001780,舅风内,20210303,4685
115,A001780,舅风内,20210302,4480
116,A001780,舅风内,20210226,4540
117,A001780,舅风内,20210225,4655
118,A001780,舅风内,20210224,4515
119,A001780,舅风内,20210223,4755
120,A001780,舅风内,20210222,4820
121,A001780,舅风内,20210219,4915
122,A001780,舅风内,20210218,5000
123,A001780,舅风内,20210217,4995
124,A001780,舅风内,20210216,5010
