,종목코드,종목명,날짜,종가
0,A291650,압타머사이언스,20210812,25500
1,A291650,압타머사이언스,20210811,24800
2,A291650,압타머사이언스,20210810,24450
3,A291650,압타머사이언스,20210809,23350
4,A291650,압타머사이언스,20210806,23350
5,A291650,압타머사이언스,20210805,23600
6,A291650,압타머사이언스,20210804,23700
7,A291650,압타머사이언스,20210803,23850
8,A291650,압타머사이언스,20210802,23400
9,A291650,압타머사이언스,20210730,23350
10,A291650,압타머사이언스,20210729,22750
11,A291650,압타머사이언스,20210728,22000
12,A291650,압타머사이언스,20210727,22400
13,A291650,압타머사이언스,20210726,22750
14,A291650,압타머사이언스,20210723,23350
15,A291650,압타머사이언스,20210722,23000
16,A291650,압타머사이언스,20210721,22100
17,A291650,압타머사이언스,20210720,22300
18,A291650,압타머사이언스,20210719,23050
19,A291650,압타머사이언스,20210716,22950
20,A291650,압타머사이언스,20210715,23750
21,A291650,압타머사이언스,20210714,24600
22,A291650,압타머사이언스,20210713,24000
23,A291650,압타머사이언스,20210712,24100
24,A291650,압타머사이언스,20210709,23800
25,A291650,압타머사이언스,20210708,22900
26,A291650,압타머사이언스,20210707,22850
27,A291650,압타머사이언스,20210706,22700
28,A291650,압타머사이언스,20210705,22800
29,A291650,압타머사이언스,20210702,22100
30,A291650,압타머사이언스,20210701,22550
31,A291650,압타머사이언스,20210630,21550
32,A291650,압타머사이언스,20210629,21650
33,A291650,압타머사이언스,20210628,21550
34,A291650,압타머사이언스,20210625,21750
35,A291650,압타머사이언스,20210624,22000
36,A291650,압타머사이언스,20210623,21950
37,A291650,압타머사이언스,20210622,21500
38,A291650,압타머사이언스,20210621,21100
39,A291650,압타머사이언스,20210618,21100
40,A291650,압타머사이언스,20210617,20850
41,A291650,압타머사이언스,20210616,20850
42,A291650,압타머사이언스,20210615,20700
43,A291650,압타머사이언스,20210614,20950
44,A291650,압타머사이언스,20210611,20900
45,A291650,압타머사이언스,20210610,20650
46,A291650,압타머사이언스,20210609,20500
47,A291650,압타머사이언스,20210608,20600
48,A291650,압타머사이언스,20210607,20500
49,A291650,압타머사이언스,20210604,21000
50,A291650,압타머사이언스,20210603,20800
51,A291650,압타머사이언스,20210602,20100
52,A291650,압타머사이언스,20210601,20300
53,A291650,압타머사이언스,20210531,20550
54,A291650,압타머사이언스,20210528,20650
55,A291650,압타머사이언스,20210527,20350
56,A291650,압타머사이언스,20210526,20100
57,A291650,압타머사이언스,20210525,19850
58,A291650,압타머사이언스,20210524,19850
59,A291650,압타머사이언스,20210521,19950
60,A291650,압타머사이언스,20210520,20250
61,A291650,압타머사이언스,20210518,19900
62,A291650,압타머사이언스,20210517,19900
63,A291650,압타머사이언스,20210514,20150
64,A291650,압타머사이언스,20210513,20200
65,A291650,압타머사이언스,20210512,20400
66,A291650,압타머사이언스,20210511,21050
67,A291650,압타머사이언스,20210510,21300
68,A291650,압타머사이언스,20210507,21100
69,A291650,압타머사이언스,20210506,21050
