,종목코드,종목명,날짜,종가
0,A205500,액션스퀘어,20210812,5230
1,A205500,액션스퀘어,20210811,5250
2,A205500,액션스퀘어,20210810,5530
3,A205500,액션스퀘어,20210809,5650
4,A205500,액션스퀘어,20210806,5630
5,A205500,액션스퀘어,20210805,5730
6,A205500,액션스퀘어,20210804,5610
7,A205500,액션스퀘어,20210803,5570
8,A205500,액션스퀘어,20210802,5910
9,A205500,액션스퀘어,20210730,6060
10,A205500,액션스퀘어,20210729,6300
11,A205500,액션스퀘어,20210728,6310
12,A205500,액션스퀘어,20210727,6530
13,A205500,액션스퀘어,20210726,6590
14,A205500,액션스퀘어,20210723,6350
15,A205500,액션스퀘어,20210722,6370
16,A205500,액션스퀘어,20210721,6150
17,A205500,액션스퀘어,20210720,6570
18,A205500,액션스퀘어,20210719,6750
19,A205500,액션스퀘어,20210716,6680
20,A205500,액션스퀘어,20210715,7200
21,A205500,액션스퀘어,20210714,5950
22,A205500,액션스퀘어,20210713,5710
23,A205500,액션스퀘어,20210712,5790
24,A205500,액션스퀘어,20210709,6410
25,A205500,액션스퀘어,20210708,6500
26,A205500,액션스퀘어,20210707,6090
27,A205500,액션스퀘어,20210706,6280
28,A205500,액션스퀘어,20210705,5680
29,A205500,액션스퀘어,20210702,5190
30,A205500,액션스퀘어,20210701,5050
31,A205500,액션스퀘어,20210630,5120
32,A205500,액션스퀘어,20210629,4860
33,A205500,액션스퀘어,20210628,4745
34,A205500,액션스퀘어,20210625,4640
35,A205500,액션스퀘어,20210624,4760
36,A205500,액션스퀘어,20210623,4865
37,A205500,액션스퀘어,20210622,4770
38,A205500,액션스퀘어,20210621,4610
39,A205500,액션스퀘어,20210618,4745
40,A205500,액션스퀘어,20210617,5260
41,A205500,액션스퀘어,20210616,5300
42,A205500,액션스퀘어,20210615,5340
43,A205500,액션스퀘어,20210614,6510
44,A205500,액션스퀘어,20210611,7200
45,A205500,액션스퀘어,20210610,7140
46,A205500,액션스퀘어,20210609,7560
47,A205500,액션스퀘어,20210608,8000
48,A205500,액션스퀘어,20210607,7070
49,A205500,액션스퀘어,20210604,7240
50,A205500,액션스퀘어,20210603,6120
51,A205500,액션스퀘어,20210602,5710
52,A205500,액션스퀘어,20210601,5700
53,A205500,액션스퀘어,20210531,5480
54,A205500,액션스퀘어,20210528,6340
55,A205500,액션스퀘어,20210527,6070
56,A205500,액션스퀘어,20210526,5800
57,A205500,액션스퀘어,20210525,5200
58,A205500,액션스퀘어,20210524,5200
59,A205500,액션스퀘어,20210521,4865
60,A205500,액션스퀘어,20210520,4150
61,A205500,액션스퀘어,20210518,4210
62,A205500,액션스퀘어,20210517,3800
63,A205500,액션스퀘어,20210514,4085
64,A205500,액션스퀘어,20210513,3650
65,A205500,액션스퀘어,20210512,3770
66,A205500,액션스퀘어,20210511,3435
67,A205500,액션스퀘어,20210510,3255
68,A205500,액션스퀘어,20210507,3390
69,A205500,액션스퀘어,20210506,4000
70,A205500,액션스퀘어,20210504,3880
