,辆格内靛,辆格疙,朝楼,辆啊
0,A255440,具胶,20210812,16000
1,A255440,具胶,20210811,16100
2,A255440,具胶,20210810,16450
3,A255440,具胶,20210809,16800
4,A255440,具胶,20210806,16600
5,A255440,具胶,20210805,16650
6,A255440,具胶,20210804,16300
7,A255440,具胶,20210803,16100
8,A255440,具胶,20210802,16000
9,A255440,具胶,20210730,16000
10,A255440,具胶,20210729,16350
11,A255440,具胶,20210728,16550
12,A255440,具胶,20210727,17050
13,A255440,具胶,20210726,16950
14,A255440,具胶,20210723,16900
15,A255440,具胶,20210722,17000
16,A255440,具胶,20210721,17000
17,A255440,具胶,20210720,16950
18,A255440,具胶,20210719,17250
19,A255440,具胶,20210716,17900
20,A255440,具胶,20210715,17950
21,A255440,具胶,20210714,17250
22,A255440,具胶,20210713,17100
23,A255440,具胶,20210712,16800
24,A255440,具胶,20210709,16800
25,A255440,具胶,20210708,17200
26,A255440,具胶,20210707,17500
27,A255440,具胶,20210706,18400
28,A255440,具胶,20210705,18550
29,A255440,具胶,20210702,18900
30,A255440,具胶,20210701,18200
31,A255440,具胶,20210630,18350
32,A255440,具胶,20210629,18150
33,A255440,具胶,20210628,18650
34,A255440,具胶,20210625,18650
35,A255440,具胶,20210624,19900
36,A255440,具胶,20210623,20000
37,A255440,具胶,20210622,20150
38,A255440,具胶,20210621,19600
39,A255440,具胶,20210618,17550
40,A255440,具胶,20210617,17200
41,A255440,具胶,20210616,16700
42,A255440,具胶,20210615,17050
43,A255440,具胶,20210614,16900
44,A255440,具胶,20210611,17050
45,A255440,具胶,20210610,17000
46,A255440,具胶,20210609,16700
47,A255440,具胶,20210608,17100
48,A255440,具胶,20210607,17350
49,A255440,具胶,20210604,17650
50,A255440,具胶,20210603,17100
51,A255440,具胶,20210602,17250
52,A255440,具胶,20210601,16250
53,A255440,具胶,20210531,16000
54,A255440,具胶,20210528,16100
55,A255440,具胶,20210527,16050
56,A255440,具胶,20210526,16500
57,A255440,具胶,20210525,16650
58,A255440,具胶,20210524,15800
59,A255440,具胶,20210521,16250
60,A255440,具胶,20210520,15450
61,A255440,具胶,20210518,15900
62,A255440,具胶,20210517,15500
63,A255440,具胶,20210514,15100
64,A255440,具胶,20210513,14700
65,A255440,具胶,20210512,15000
66,A255440,具胶,20210511,15250
67,A255440,具胶,20210510,15700
68,A255440,具胶,20210507,15750
69,A255440,具胶,20210506,15800
70,A255440,具胶,20210504,15950
71,A255440,具胶,20210503,16900
72,A255440,具胶,20210430,17700
73,A255440,具胶,20210429,18600
74,A255440,具胶,20210428,17800
75,A255440,具胶,20210427,17000
76,A255440,具胶,20210426,17200
77,A255440,具胶,20210423,16500
78,A255440,具胶,20210422,16200
