,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A011090,¿¡³Ø½º,20210812,2875
1,A011090,¿¡³Ø½º,20210811,2850
2,A011090,¿¡³Ø½º,20210810,2850
3,A011090,¿¡³Ø½º,20210809,2900
4,A011090,¿¡³Ø½º,20210806,2990
5,A011090,¿¡³Ø½º,20210805,3030
6,A011090,¿¡³Ø½º,20210804,3085
7,A011090,¿¡³Ø½º,20210803,3050
8,A011090,¿¡³Ø½º,20210802,3070
9,A011090,¿¡³Ø½º,20210730,3010
10,A011090,¿¡³Ø½º,20210729,2990
11,A011090,¿¡³Ø½º,20210728,2985
12,A011090,¿¡³Ø½º,20210727,3000
13,A011090,¿¡³Ø½º,20210726,2750
14,A011090,¿¡³Ø½º,20210723,2820
15,A011090,¿¡³Ø½º,20210722,2825
16,A011090,¿¡³Ø½º,20210721,2820
17,A011090,¿¡³Ø½º,20210720,2885
18,A011090,¿¡³Ø½º,20210719,2985
19,A011090,¿¡³Ø½º,20210716,3075
20,A011090,¿¡³Ø½º,20210715,3080
21,A011090,¿¡³Ø½º,20210714,2985
22,A011090,¿¡³Ø½º,20210713,3050
23,A011090,¿¡³Ø½º,20210712,2995
24,A011090,¿¡³Ø½º,20210709,3045
25,A011090,¿¡³Ø½º,20210708,3060
26,A011090,¿¡³Ø½º,20210707,3200
27,A011090,¿¡³Ø½º,20210706,3310
28,A011090,¿¡³Ø½º,20210705,3130
29,A011090,¿¡³Ø½º,20210702,3330
30,A011090,¿¡³Ø½º,20210701,3260
31,A011090,¿¡³Ø½º,20210630,3400
32,A011090,¿¡³Ø½º,20210629,3140
33,A011090,¿¡³Ø½º,20210628,3130
34,A011090,¿¡³Ø½º,20210625,2980
35,A011090,¿¡³Ø½º,20210624,2860
36,A011090,¿¡³Ø½º,20210623,2820
37,A011090,¿¡³Ø½º,20210622,2890
38,A011090,¿¡³Ø½º,20210621,3150
39,A011090,¿¡³Ø½º,20210618,3270
40,A011090,¿¡³Ø½º,20210617,3290
41,A011090,¿¡³Ø½º,20210616,3315
42,A011090,¿¡³Ø½º,20210615,3200
43,A011090,¿¡³Ø½º,20210614,3100
44,A011090,¿¡³Ø½º,20210611,3170
45,A011090,¿¡³Ø½º,20210610,3120
46,A011090,¿¡³Ø½º,20210609,3325
47,A011090,¿¡³Ø½º,20210608,3270
48,A011090,¿¡³Ø½º,20210607,3455
49,A011090,¿¡³Ø½º,20210604,3420
50,A011090,¿¡³Ø½º,20210603,3385
51,A011090,¿¡³Ø½º,20210602,3240
52,A011090,¿¡³Ø½º,20210601,2630
53,A011090,¿¡³Ø½º,20210531,2340
54,A011090,¿¡³Ø½º,20210528,2375
55,A011090,¿¡³Ø½º,20210527,2460
56,A011090,¿¡³Ø½º,20210526,2385
57,A011090,¿¡³Ø½º,20210525,2325
58,A011090,¿¡³Ø½º,20210524,2250
59,A011090,¿¡³Ø½º,20210521,2300
60,A011090,¿¡³Ø½º,20210520,2340
61,A011090,¿¡³Ø½º,20210518,2465
62,A011090,¿¡³Ø½º,20210517,2295
63,A011090,¿¡³Ø½º,20210514,2240
64,A011090,¿¡³Ø½º,20210513,2205
65,A011090,¿¡³Ø½º,20210512,2265
