,종목코드,종목명,날짜,종가
0,A095910,에스에너지,20210812,4495
1,A095910,에스에너지,20210811,4425
2,A095910,에스에너지,20210810,4420
3,A095910,에스에너지,20210809,4575
4,A095910,에스에너지,20210806,4610
5,A095910,에스에너지,20210805,4715
6,A095910,에스에너지,20210804,4740
7,A095910,에스에너지,20210803,4735
8,A095910,에스에너지,20210802,4775
9,A095910,에스에너지,20210730,4800
10,A095910,에스에너지,20210729,4890
11,A095910,에스에너지,20210728,4615
12,A095910,에스에너지,20210727,4635
13,A095910,에스에너지,20210726,4670
14,A095910,에스에너지,20210723,4810
15,A095910,에스에너지,20210722,4700
16,A095910,에스에너지,20210721,4595
17,A095910,에스에너지,20210720,4560
18,A095910,에스에너지,20210719,4660
19,A095910,에스에너지,20210716,4580
20,A095910,에스에너지,20210715,4655
21,A095910,에스에너지,20210714,4735
22,A095910,에스에너지,20210713,4760
23,A095910,에스에너지,20210712,4720
24,A095910,에스에너지,20210709,4675
25,A095910,에스에너지,20210708,4570
26,A095910,에스에너지,20210707,4530
27,A095910,에스에너지,20210706,4635
28,A095910,에스에너지,20210705,4760
29,A095910,에스에너지,20210702,4750
30,A095910,에스에너지,20210701,4745
31,A095910,에스에너지,20210630,4800
32,A095910,에스에너지,20210629,4820
33,A095910,에스에너지,20210628,4870
34,A095910,에스에너지,20210625,4880
35,A095910,에스에너지,20210624,4780
36,A095910,에스에너지,20210623,4820
37,A095910,에스에너지,20210622,4870
38,A095910,에스에너지,20210621,4955
39,A095910,에스에너지,20210618,5030
40,A095910,에스에너지,20210617,4935
41,A095910,에스에너지,20210616,4825
42,A095910,에스에너지,20210615,4755
43,A095910,에스에너지,20210614,4783
44,A095910,에스에너지,20210611,4802
45,A095910,에스에너지,20210610,4684
46,A095910,에스에너지,20210609,4712
47,A095910,에스에너지,20210608,4745
48,A095910,에스에너지,20210607,4773
49,A095910,에스에너지,20210604,4783
50,A095910,에스에너지,20210603,4783
51,A095910,에스에너지,20210602,4575
52,A095910,에스에너지,20210601,4547
53,A095910,에스에너지,20210531,4613
54,A095910,에스에너지,20210528,4547
55,A095910,에스에너지,20210527,4528
56,A095910,에스에너지,20210526,4457
57,A095910,에스에너지,20210525,4372
58,A095910,에스에너지,20210524,4321
59,A095910,에스에너지,20210521,4415
60,A095910,에스에너지,20210520,4410
61,A095910,에스에너지,20210518,4387
62,A095910,에스에너지,20210517,4363
63,A095910,에스에너지,20210514,4533
64,A095910,에스에너지,20210513,4561
65,A095910,에스에너지,20210512,4585
66,A095910,에스에너지,20210511,4755
67,A095910,에스에너지,20210510,4839
68,A095910,에스에너지,20210507,4821
69,A095910,에스에너지,20210506,4792
70,A095910,에스에너지,20210504,4849
71,A095910,에스에너지,20210503,5613
72,A095910,에스에너지,20210430,5679
73,A095910,에스에너지,20210429,5717
74,A095910,에스에너지,20210428,5726
75,A095910,에스에너지,20210427,5839
76,A095910,에스에너지,20210426,6000
77,A095910,에스에너지,20210423,6000
78,A095910,에스에너지,20210422,6009
79,A095910,에스에너지,20210421,5906
80,A095910,에스에너지,20210420,6028
81,A095910,에스에너지,20210419,6009
82,A095910,에스에너지,20210416,5858
83,A095910,에스에너지,20210415,5755
84,A095910,에스에너지,20210414,5839
85,A095910,에스에너지,20210413,5679
86,A095910,에스에너지,20210412,5622
87,A095910,에스에너지,20210409,5622
88,A095910,에스에너지,20210408,5594
89,A095910,에스에너지,20210407,5651
90,A095910,에스에너지,20210406,5651
91,A095910,에스에너지,20210405,5717
92,A095910,에스에너지,20210402,5717
93,A095910,에스에너지,20210401,5773
94,A095910,에스에너지,20210331,5830
95,A095910,에스에너지,20210330,5755
96,A095910,에스에너지,20210329,5792
97,A095910,에스에너지,20210326,5745
98,A095910,에스에너지,20210325,5745
99,A095910,에스에너지,20210324,5613
100,A095910,에스에너지,20210323,5660
101,A095910,에스에너지,20210322,5745
102,A095910,에스에너지,20210319,5783
103,A095910,에스에너지,20210318,5783
104,A095910,에스에너지,20210317,5736
105,A095910,에스에너지,20210316,5736
106,A095910,에스에너지,20210315,5689
107,A095910,에스에너지,20210312,5660
108,A095910,에스에너지,20210311,5424
109,A095910,에스에너지,20210310,5358
110,A095910,에스에너지,20210309,5377
111,A095910,에스에너지,20210308,5538
112,A095910,에스에너지,20210305,5679
113,A095910,에스에너지,20210304,5764
114,A095910,에스에너지,20210303,5896
115,A095910,에스에너지,20210302,5689
116,A095910,에스에너지,20210226,5585
117,A095910,에스에너지,20210225,5849
118,A095910,에스에너지,20210224,5707
119,A095910,에스에너지,20210223,6170
120,A095910,에스에너지,20210222,6415
121,A095910,에스에너지,20210219,6594
122,A095910,에스에너지,20210218,6613
123,A095910,에스에너지,20210217,6651
124,A095910,에스에너지,20210216,6679
125,A095910,에스에너지,20210215,6707
126,A095910,에스에너지,20210210,6632
127,A095910,에스에너지,20210209,6670
128,A095910,에스에너지,20210208,6679
129,A095910,에스에너지,20210205,6679
130,A095910,에스에너지,20210204,6566
131,A095910,에스에너지,20210203,6670
132,A095910,에스에너지,20210202,6632
133,A095910,에스에너지,20210201,6604
134,A095910,에스에너지,20210129,6613
135,A095910,에스에너지,20210128,7047
136,A095910,에스에너지,20210127,7226
137,A095910,에스에너지,20210126,7236
138,A095910,에스에너지,20210125,7377
139,A095910,에스에너지,20210122,7406
140,A095910,에스에너지,20210121,7415
141,A095910,에스에너지,20210120,7594
142,A095910,에스에너지,20210119,7547
143,A095910,에스에너지,20210118,7264
144,A095910,에스에너지,20210115,7330
145,A095910,에스에너지,20210114,7462
146,A095910,에스에너지,20210113,7434
147,A095910,에스에너지,20210112,7255
148,A095910,에스에너지,20210111,7406
149,A095910,에스에너지,20210108,7689
150,A095910,에스에너지,20210107,7764
151,A095910,에스에너지,20210106,7566
152,A095910,에스에너지,20210105,7764
153,A095910,에스에너지,20210104,7604
154,A095910,에스에너지,20201230,7472
155,A095910,에스에너지,20201229,7330
156,A095910,에스에너지,20201228,7189
157,A095910,에스에너지,20201224,7198
158,A095910,에스에너지,20201223,7217
159,A095910,에스에너지,20201222,7245
160,A095910,에스에너지,20201221,7453
161,A095910,에스에너지,20201218,7443
162,A095910,에스에너지,20201217,7519
163,A095910,에스에너지,20201216,7604
164,A095910,에스에너지,20201215,7396
165,A095910,에스에너지,20201214,7424
166,A095910,에스에너지,20201211,7566
167,A095910,에스에너지,20201210,7594
168,A095910,에스에너지,20201209,7453
169,A095910,에스에너지,20201208,7340
170,A095910,에스에너지,20201207,7377
171,A095910,에스에너지,20201204,7424
172,A095910,에스에너지,20201203,7566
173,A095910,에스에너지,20201202,7613
174,A095910,에스에너지,20201201,7623
175,A095910,에스에너지,20201130,7623
176,A095910,에스에너지,20201127,7623
177,A095910,에스에너지,20201126,7641
178,A095910,에스에너지,20201125,7698
179,A095910,에스에너지,20201124,7821
180,A095910,에스에너지,20201123,7575
181,A095910,에스에너지,20201120,7632
182,A095910,에스에너지,20201119,7585
183,A095910,에스에너지,20201118,7679
184,A095910,에스에너지,20201117,7604
185,A095910,에스에너지,20201116,7736
186,A095910,에스에너지,20201113,7821
187,A095910,에스에너지,20201112,8009
188,A095910,에스에너지,20201111,8075
189,A095910,에스에너지,20201110,8425
190,A095910,에스에너지,20201109,8453
191,A095910,에스에너지,20201106,7623
192,A095910,에스에너지,20201105,7462
193,A095910,에스에너지,20201104,6972
194,A095910,에스에너지,20201103,7575
195,A095910,에스에너지,20201102,7377
196,A095910,에스에너지,20201030,7198
197,A095910,에스에너지,20201029,7670
198,A095910,에스에너지,20201028,7858
199,A095910,에스에너지,20201027,7406
200,A095910,에스에너지,20201026,7434
201,A095910,에스에너지,20201023,7802
202,A095910,에스에너지,20201022,7670
203,A095910,에스에너지,20201021,7557
204,A095910,에스에너지,20201020,7321
205,A095910,에스에너지,20201019,7236
206,A095910,에스에너지,20201016,7547
207,A095910,에스에너지,20201015,7877
208,A095910,에스에너지,20201014,8292
209,A095910,에스에너지,20201013,8292
210,A095910,에스에너지,20201012,8387
211,A095910,에스에너지,20201008,8264
212,A095910,에스에너지,20201007,7745
213,A095910,에스에너지,20201006,7726
214,A095910,에스에너지,20201005,7736
215,A095910,에스에너지,20200929,7207
216,A095910,에스에너지,20200928,7141
217,A095910,에스에너지,20200925,6689
218,A095910,에스에너지,20200924,6840
219,A095910,에스에너지,20200923,7292
220,A095910,에스에너지,20200922,7358
221,A095910,에스에너지,20200921,7953
222,A095910,에스에너지,20200918,8198
223,A095910,에스에너지,20200917,8208
224,A095910,에스에너지,20200916,8547
225,A095910,에스에너지,20200915,8585
226,A095910,에스에너지,20200914,8443
227,A095910,에스에너지,20200911,8406
228,A095910,에스에너지,20200910,8670
229,A095910,에스에너지,20200909,8792
230,A095910,에스에너지,20200908,7774
231,A095910,에스에너지,20200907,7830
232,A095910,에스에너지,20200904,7047
233,A095910,에스에너지,20200903,6415
234,A095910,에스에너지,20200902,6273
235,A095910,에스에너지,20200901,6132
236,A095910,에스에너지,20200831,6132
237,A095910,에스에너지,20200828,5679
238,A095910,에스에너지,20200827,5556
239,A095910,에스에너지,20200826,5755
240,A095910,에스에너지,20200825,5849
241,A095910,에스에너지,20200824,5802
242,A095910,에스에너지,20200821,5689
243,A095910,에스에너지,20200820,5519
244,A095910,에스에너지,20200819,5830
245,A095910,에스에너지,20200818,5641
246,A095910,에스에너지,20200814,6151
247,A095910,에스에너지,20200813,6358
248,A095910,에스에너지,20200812,6434
249,A095910,에스에너지,20200811,6651
250,A095910,에스에너지,20200810,6679
251,A095910,에스에너지,20200807,6424
252,A095910,에스에너지,20200806,6434
253,A095910,에스에너지,20200805,6415
254,A095910,에스에너지,20200804,6321
255,A095910,에스에너지,20200803,6038
256,A095910,에스에너지,20200731,6170
257,A095910,에스에너지,20200730,6340
258,A095910,에스에너지,20200729,6387
259,A095910,에스에너지,20200728,6255
260,A095910,에스에너지,20200727,6311
261,A095910,에스에너지,20200724,5943
262,A095910,에스에너지,20200723,5962
263,A095910,에스에너지,20200722,6245
264,A095910,에스에너지,20200721,5915
265,A095910,에스에너지,20200720,5575
266,A095910,에스에너지,20200717,5292
267,A095910,에스에너지,20200716,5377
268,A095910,에스에너지,20200715,5481
269,A095910,에스에너지,20200714,5500
270,A095910,에스에너지,20200713,5821
271,A095910,에스에너지,20200710,5773
272,A095910,에스에너지,20200709,5924
273,A095910,에스에너지,20200708,5509
274,A095910,에스에너지,20200707,5594
275,A095910,에스에너지,20200706,5641
276,A095910,에스에너지,20200703,5670
277,A095910,에스에너지,20200702,5660
278,A095910,에스에너지,20200701,5604
279,A095910,에스에너지,20200630,5839
280,A095910,에스에너지,20200629,5896
281,A095910,에스에너지,20200626,5755
282,A095910,에스에너지,20200625,5547
283,A095910,에스에너지,20200624,5481
284,A095910,에스에너지,20200623,5651
285,A095910,에스에너지,20200622,5207
286,A095910,에스에너지,20200619,5179
287,A095910,에스에너지,20200618,5085
288,A095910,에스에너지,20200617,5056
289,A095910,에스에너지,20200616,5028
290,A095910,에스에너지,20200615,4773
291,A095910,에스에너지,20200612,5283
292,A095910,에스에너지,20200611,5085
293,A095910,에스에너지,20200610,4703
294,A095910,에스에너지,20200609,4651
295,A095910,에스에너지,20200608,4764
296,A095910,에스에너지,20200605,5056
297,A095910,에스에너지,20200604,4575
298,A095910,에스에너지,20200603,4646
299,A095910,에스에너지,20200602,4792
300,A095910,에스에너지,20200601,4849
301,A095910,에스에너지,20200529,4608
302,A095910,에스에너지,20200528,4717
303,A095910,에스에너지,20200527,5094
304,A095910,에스에너지,20200526,4726
305,A095910,에스에너지,20200525,4599
306,A095910,에스에너지,20200522,4302
307,A095910,에스에너지,20200521,4047
308,A095910,에스에너지,20200520,3825
309,A095910,에스에너지,20200519,3731
310,A095910,에스에너지,20200518,3438
311,A095910,에스에너지,20200515,3179
312,A095910,에스에너지,20200514,3170
