,종목코드,종목명,날짜,종가
0,A031330,에스에이엠티,20210812,5680
1,A031330,에스에이엠티,20210811,5620
2,A031330,에스에이엠티,20210810,5670
3,A031330,에스에이엠티,20210809,5890
4,A031330,에스에이엠티,20210806,5890
5,A031330,에스에이엠티,20210805,5640
6,A031330,에스에이엠티,20210804,4345
7,A031330,에스에이엠티,20210803,4105
8,A031330,에스에이엠티,20210802,4165
9,A031330,에스에이엠티,20210730,4220
10,A031330,에스에이엠티,20210729,4240
11,A031330,에스에이엠티,20210728,4270
12,A031330,에스에이엠티,20210727,4505
13,A031330,에스에이엠티,20210726,4320
14,A031330,에스에이엠티,20210723,4315
15,A031330,에스에이엠티,20210722,4235
16,A031330,에스에이엠티,20210721,4215
17,A031330,에스에이엠티,20210720,4190
18,A031330,에스에이엠티,20210719,4240
19,A031330,에스에이엠티,20210716,4210
20,A031330,에스에이엠티,20210715,4270
21,A031330,에스에이엠티,20210714,4175
22,A031330,에스에이엠티,20210713,4120
23,A031330,에스에이엠티,20210712,4125
24,A031330,에스에이엠티,20210709,4130
25,A031330,에스에이엠티,20210708,4115
26,A031330,에스에이엠티,20210707,4310
27,A031330,에스에이엠티,20210706,4130
28,A031330,에스에이엠티,20210705,4120
29,A031330,에스에이엠티,20210702,4095
30,A031330,에스에이엠티,20210701,4145
31,A031330,에스에이엠티,20210630,4265
32,A031330,에스에이엠티,20210629,4115
33,A031330,에스에이엠티,20210628,4115
34,A031330,에스에이엠티,20210625,4050
35,A031330,에스에이엠티,20210624,3940
36,A031330,에스에이엠티,20210623,4005
37,A031330,에스에이엠티,20210622,4065
38,A031330,에스에이엠티,20210621,4120
39,A031330,에스에이엠티,20210618,4085
40,A031330,에스에이엠티,20210617,4050
41,A031330,에스에이엠티,20210616,4065
42,A031330,에스에이엠티,20210615,4165
43,A031330,에스에이엠티,20210614,4100
44,A031330,에스에이엠티,20210611,3630
45,A031330,에스에이엠티,20210610,3570
46,A031330,에스에이엠티,20210609,3505
47,A031330,에스에이엠티,20210608,3520
48,A031330,에스에이엠티,20210607,3580
49,A031330,에스에이엠티,20210604,3555
50,A031330,에스에이엠티,20210603,3650
51,A031330,에스에이엠티,20210602,3660
52,A031330,에스에이엠티,20210601,3715
53,A031330,에스에이엠티,20210531,3685
54,A031330,에스에이엠티,20210528,3640
55,A031330,에스에이엠티,20210527,3620
56,A031330,에스에이엠티,20210526,3530
57,A031330,에스에이엠티,20210525,3525
58,A031330,에스에이엠티,20210524,3285
59,A031330,에스에이엠티,20210521,3530
60,A031330,에스에이엠티,20210520,3485
61,A031330,에스에이엠티,20210518,3470
62,A031330,에스에이엠티,20210517,2945
63,A031330,에스에이엠티,20210514,2955
64,A031330,에스에이엠티,20210513,2940
65,A031330,에스에이엠티,20210512,2980
66,A031330,에스에이엠티,20210511,3060
67,A031330,에스에이엠티,20210510,3070
68,A031330,에스에이엠티,20210507,3030
69,A031330,에스에이엠티,20210506,2975
70,A031330,에스에이엠티,20210504,2955
71,A031330,에스에이엠티,20210503,2955
72,A031330,에스에이엠티,20210430,2930
73,A031330,에스에이엠티,20210429,2920
74,A031330,에스에이엠티,20210428,2945
75,A031330,에스에이엠티,20210427,3015
76,A031330,에스에이엠티,20210426,3010
77,A031330,에스에이엠티,20210423,2985
78,A031330,에스에이엠티,20210422,3005
79,A031330,에스에이엠티,20210421,2995
80,A031330,에스에이엠티,20210420,3080
81,A031330,에스에이엠티,20210419,3120
82,A031330,에스에이엠티,20210416,2980
83,A031330,에스에이엠티,20210415,2955
84,A031330,에스에이엠티,20210414,3000
85,A031330,에스에이엠티,20210413,2905
86,A031330,에스에이엠티,20210412,2880
87,A031330,에스에이엠티,20210409,2905
88,A031330,에스에이엠티,20210408,2920
89,A031330,에스에이엠티,20210407,2925
90,A031330,에스에이엠티,20210406,2870
91,A031330,에스에이엠티,20210405,2920
92,A031330,에스에이엠티,20210402,2905
93,A031330,에스에이엠티,20210401,2780
94,A031330,에스에이엠티,20210331,2735
95,A031330,에스에이엠티,20210330,2760
96,A031330,에스에이엠티,20210329,2640
97,A031330,에스에이엠티,20210326,2660
98,A031330,에스에이엠티,20210325,2660
99,A031330,에스에이엠티,20210324,2665
100,A031330,에스에이엠티,20210323,2655
101,A031330,에스에이엠티,20210322,2685
102,A031330,에스에이엠티,20210319,2670
103,A031330,에스에이엠티,20210318,2630
104,A031330,에스에이엠티,20210317,2630
105,A031330,에스에이엠티,20210316,2635
106,A031330,에스에이엠티,20210315,2595
107,A031330,에스에이엠티,20210312,2580
108,A031330,에스에이엠티,20210311,2565
109,A031330,에스에이엠티,20210310,2500
110,A031330,에스에이엠티,20210309,2505
111,A031330,에스에이엠티,20210308,2580
112,A031330,에스에이엠티,20210305,2635
113,A031330,에스에이엠티,20210304,2650
114,A031330,에스에이엠티,20210303,2595
115,A031330,에스에이엠티,20210302,2610
116,A031330,에스에이엠티,20210226,2625
117,A031330,에스에이엠티,20210225,2630
118,A031330,에스에이엠티,20210224,2600
119,A031330,에스에이엠티,20210223,2685
120,A031330,에스에이엠티,20210222,2735
121,A031330,에스에이엠티,20210219,2750
122,A031330,에스에이엠티,20210218,2800
123,A031330,에스에이엠티,20210217,2845
124,A031330,에스에이엠티,20210216,2780
125,A031330,에스에이엠티,20210215,2750
126,A031330,에스에이엠티,20210210,2715
127,A031330,에스에이엠티,20210209,2650
128,A031330,에스에이엠티,20210208,2685
129,A031330,에스에이엠티,20210205,2600
130,A031330,에스에이엠티,20210204,2560
131,A031330,에스에이엠티,20210203,2615
132,A031330,에스에이엠티,20210202,2585
133,A031330,에스에이엠티,20210201,2545
134,A031330,에스에이엠티,20210129,2515
135,A031330,에스에이엠티,20210128,2705
136,A031330,에스에이엠티,20210127,2715
137,A031330,에스에이엠티,20210126,2905
138,A031330,에스에이엠티,20210125,2595
139,A031330,에스에이엠티,20210122,2460
140,A031330,에스에이엠티,20210121,2460
141,A031330,에스에이엠티,20210120,2400
142,A031330,에스에이엠티,20210119,2390
143,A031330,에스에이엠티,20210118,2370
144,A031330,에스에이엠티,20210115,2375
145,A031330,에스에이엠티,20210114,2365
146,A031330,에스에이엠티,20210113,2320
147,A031330,에스에이엠티,20210112,2340
148,A031330,에스에이엠티,20210111,2310
149,A031330,에스에이엠티,20210108,2405
150,A031330,에스에이엠티,20210107,2420
151,A031330,에스에이엠티,20210106,2415
152,A031330,에스에이엠티,20210105,2405
153,A031330,에스에이엠티,20210104,2385
154,A031330,에스에이엠티,20201230,2420
155,A031330,에스에이엠티,20201229,2445
156,A031330,에스에이엠티,20201228,2545
157,A031330,에스에이엠티,20201224,2560
158,A031330,에스에이엠티,20201223,2460
159,A031330,에스에이엠티,20201222,2435
160,A031330,에스에이엠티,20201221,2470
161,A031330,에스에이엠티,20201218,2485
162,A031330,에스에이엠티,20201217,2480
163,A031330,에스에이엠티,20201216,2495
164,A031330,에스에이엠티,20201215,2500
165,A031330,에스에이엠티,20201214,2495
166,A031330,에스에이엠티,20201211,2490
167,A031330,에스에이엠티,20201210,2430
168,A031330,에스에이엠티,20201209,2445
169,A031330,에스에이엠티,20201208,2355
170,A031330,에스에이엠티,20201207,2355
171,A031330,에스에이엠티,20201204,2365
172,A031330,에스에이엠티,20201203,2365
173,A031330,에스에이엠티,20201202,2360
174,A031330,에스에이엠티,20201201,2365
175,A031330,에스에이엠티,20201130,2375
176,A031330,에스에이엠티,20201127,2370
177,A031330,에스에이엠티,20201126,2340
178,A031330,에스에이엠티,20201125,2365
179,A031330,에스에이엠티,20201124,2410
180,A031330,에스에이엠티,20201123,2405
181,A031330,에스에이엠티,20201120,2375
182,A031330,에스에이엠티,20201119,2365
183,A031330,에스에이엠티,20201118,2365
184,A031330,에스에이엠티,20201117,2365
185,A031330,에스에이엠티,20201116,2430
186,A031330,에스에이엠티,20201113,2400
187,A031330,에스에이엠티,20201112,2380
188,A031330,에스에이엠티,20201111,2375
189,A031330,에스에이엠티,20201110,2360
190,A031330,에스에이엠티,20201109,2325
191,A031330,에스에이엠티,20201106,2285
192,A031330,에스에이엠티,20201105,2295
193,A031330,에스에이엠티,20201104,2265
194,A031330,에스에이엠티,20201103,2280
195,A031330,에스에이엠티,20201102,2230
196,A031330,에스에이엠티,20201030,2210
197,A031330,에스에이엠티,20201029,2305
198,A031330,에스에이엠티,20201028,2255
199,A031330,에스에이엠티,20201027,2205
200,A031330,에스에이엠티,20201026,2210
201,A031330,에스에이엠티,20201023,2285
202,A031330,에스에이엠티,20201022,2275
203,A031330,에스에이엠티,20201021,2285
204,A031330,에스에이엠티,20201020,2280
205,A031330,에스에이엠티,20201019,2260
206,A031330,에스에이엠티,20201016,2290
207,A031330,에스에이엠티,20201015,2350
208,A031330,에스에이엠티,20201014,2410
209,A031330,에스에이엠티,20201013,2420
210,A031330,에스에이엠티,20201012,2475
211,A031330,에스에이엠티,20201008,2265
212,A031330,에스에이엠티,20201007,2225
213,A031330,에스에이엠티,20201006,2250
214,A031330,에스에이엠티,20201005,2255
215,A031330,에스에이엠티,20200929,2275
216,A031330,에스에이엠티,20200928,2290
217,A031330,에스에이엠티,20200925,2235
218,A031330,에스에이엠티,20200924,2280
219,A031330,에스에이엠티,20200923,2210
220,A031330,에스에이엠티,20200922,2125
221,A031330,에스에이엠티,20200921,2165
222,A031330,에스에이엠티,20200918,2180
223,A031330,에스에이엠티,20200917,2120
224,A031330,에스에이엠티,20200916,2125
225,A031330,에스에이엠티,20200915,2140
226,A031330,에스에이엠티,20200914,2155
227,A031330,에스에이엠티,20200911,2145
228,A031330,에스에이엠티,20200910,2130
229,A031330,에스에이엠티,20200909,2095
230,A031330,에스에이엠티,20200908,2135
231,A031330,에스에이엠티,20200907,2100
232,A031330,에스에이엠티,20200904,2075
233,A031330,에스에이엠티,20200903,2095
234,A031330,에스에이엠티,20200902,2080
235,A031330,에스에이엠티,20200901,2075
236,A031330,에스에이엠티,20200831,2070
237,A031330,에스에이엠티,20200828,2065
238,A031330,에스에이엠티,20200827,2060
239,A031330,에스에이엠티,20200826,2085
240,A031330,에스에이엠티,20200825,2110
241,A031330,에스에이엠티,20200824,2055
242,A031330,에스에이엠티,20200821,2035
243,A031330,에스에이엠티,20200820,1985
244,A031330,에스에이엠티,20200819,2090
245,A031330,에스에이엠티,20200818,2060
246,A031330,에스에이엠티,20200814,2190
247,A031330,에스에이엠티,20200813,2220
248,A031330,에스에이엠티,20200812,2220
249,A031330,에스에이엠티,20200811,2200
250,A031330,에스에이엠티,20200810,2195
251,A031330,에스에이엠티,20200807,2240
252,A031330,에스에이엠티,20200806,2255
253,A031330,에스에이엠티,20200805,2200
254,A031330,에스에이엠티,20200804,2195
255,A031330,에스에이엠티,20200803,2175
256,A031330,에스에이엠티,20200731,2185
257,A031330,에스에이엠티,20200730,2260
258,A031330,에스에이엠티,20200729,2180
259,A031330,에스에이엠티,20200728,2225
260,A031330,에스에이엠티,20200727,2165
261,A031330,에스에이엠티,20200724,2105
262,A031330,에스에이엠티,20200723,2120
263,A031330,에스에이엠티,20200722,2150
264,A031330,에스에이엠티,20200721,2155
265,A031330,에스에이엠티,20200720,2165
266,A031330,에스에이엠티,20200717,2165
267,A031330,에스에이엠티,20200716,2170
268,A031330,에스에이엠티,20200715,2200
269,A031330,에스에이엠티,20200714,2110
270,A031330,에스에이엠티,20200713,2115
271,A031330,에스에이엠티,20200710,2085
272,A031330,에스에이엠티,20200709,2075
273,A031330,에스에이엠티,20200708,2060
274,A031330,에스에이엠티,20200707,2065
275,A031330,에스에이엠티,20200706,2095
276,A031330,에스에이엠티,20200703,2065
277,A031330,에스에이엠티,20200702,2065
278,A031330,에스에이엠티,20200701,2050
279,A031330,에스에이엠티,20200630,2085
280,A031330,에스에이엠티,20200629,2055
281,A031330,에스에이엠티,20200626,2070
282,A031330,에스에이엠티,20200625,2050
283,A031330,에스에이엠티,20200624,2055
284,A031330,에스에이엠티,20200623,2060
285,A031330,에스에이엠티,20200622,2055
286,A031330,에스에이엠티,20200619,2045
287,A031330,에스에이엠티,20200618,2010
288,A031330,에스에이엠티,20200617,2050
289,A031330,에스에이엠티,20200616,2050
290,A031330,에스에이엠티,20200615,1975
291,A031330,에스에이엠티,20200612,2075
292,A031330,에스에이엠티,20200611,2130
293,A031330,에스에이엠티,20200610,2160
294,A031330,에스에이엠티,20200609,2165
295,A031330,에스에이엠티,20200608,2160
296,A031330,에스에이엠티,20200605,2180
297,A031330,에스에이엠티,20200604,2150
298,A031330,에스에이엠티,20200603,2150
299,A031330,에스에이엠티,20200602,2140
300,A031330,에스에이엠티,20200601,2130
301,A031330,에스에이엠티,20200529,2085
302,A031330,에스에이엠티,20200528,2100
303,A031330,에스에이엠티,20200527,2160
304,A031330,에스에이엠티,20200526,2205
305,A031330,에스에이엠티,20200525,2095
306,A031330,에스에이엠티,20200522,2065
307,A031330,에스에이엠티,20200521,2125
308,A031330,에스에이엠티,20200520,2120
309,A031330,에스에이엠티,20200519,2115
310,A031330,에스에이엠티,20200518,2010
311,A031330,에스에이엠티,20200515,1960
312,A031330,에스에이엠티,20200514,1970
313,A031330,에스에이엠티,20200513,1985
314,A031330,에스에이엠티,20200512,1995
315,A031330,에스에이엠티,20200511,2015
316,A031330,에스에이엠티,20200508,2055
317,A031330,에스에이엠티,20200507,2045
318,A031330,에스에이엠티,20200506,2000
319,A031330,에스에이엠티,20200504,1975
320,A031330,에스에이엠티,20200429,1980
321,A031330,에스에이엠티,20200428,1980
322,A031330,에스에이엠티,20200427,1995
323,A031330,에스에이엠티,20200424,1940
324,A031330,에스에이엠티,20200423,1960
325,A031330,에스에이엠티,20200422,1950
326,A031330,에스에이엠티,20200421,1930
327,A031330,에스에이엠티,20200420,1980
328,A031330,에스에이엠티,20200417,1950
329,A031330,에스에이엠티,20200416,1935
330,A031330,에스에이엠티,20200414,1900
331,A031330,에스에이엠티,20200413,1825
332,A031330,에스에이엠티,20200410,1930
333,A031330,에스에이엠티,20200409,1955
334,A031330,에스에이엠티,20200408,1945
335,A031330,에스에이엠티,20200407,1965
336,A031330,에스에이엠티,20200406,1865
337,A031330,에스에이엠티,20200403,1815
338,A031330,에스에이엠티,20200402,1815
339,A031330,에스에이엠티,20200401,1770
