,종목코드,종목명,날짜,종가
0,A060540,에스에이티,20210812,3645
1,A060540,에스에이티,20210811,3710
2,A060540,에스에이티,20210810,3735
3,A060540,에스에이티,20210809,3660
4,A060540,에스에이티,20210806,3670
5,A060540,에스에이티,20210805,3555
6,A060540,에스에이티,20210804,3460
7,A060540,에스에이티,20210803,3475
8,A060540,에스에이티,20210802,3570
9,A060540,에스에이티,20210730,3435
10,A060540,에스에이티,20210729,3560
11,A060540,에스에이티,20210728,3490
12,A060540,에스에이티,20210727,3565
13,A060540,에스에이티,20210726,3710
14,A060540,에스에이티,20210723,3965
15,A060540,에스에이티,20210722,3850
16,A060540,에스에이티,20210721,3840
17,A060540,에스에이티,20210720,3960
18,A060540,에스에이티,20210719,3970
19,A060540,에스에이티,20210716,4140
20,A060540,에스에이티,20210715,4065
21,A060540,에스에이티,20210714,4215
22,A060540,에스에이티,20210713,3930
23,A060540,에스에이티,20210712,4045
24,A060540,에스에이티,20210709,4050
25,A060540,에스에이티,20210708,4235
26,A060540,에스에이티,20210707,3770
27,A060540,에스에이티,20210706,3795
28,A060540,에스에이티,20210705,3500
29,A060540,에스에이티,20210702,3470
30,A060540,에스에이티,20210701,3595
31,A060540,에스에이티,20210630,3600
32,A060540,에스에이티,20210629,3635
33,A060540,에스에이티,20210628,3605
34,A060540,에스에이티,20210625,3585
35,A060540,에스에이티,20210624,3565
36,A060540,에스에이티,20210623,3595
37,A060540,에스에이티,20210622,3715
38,A060540,에스에이티,20210621,3575
39,A060540,에스에이티,20210618,3520
40,A060540,에스에이티,20210617,3325
41,A060540,에스에이티,20210616,3240
42,A060540,에스에이티,20210615,3250
43,A060540,에스에이티,20210614,3165
44,A060540,에스에이티,20210611,3195
45,A060540,에스에이티,20210610,3205
46,A060540,에스에이티,20210609,3200
47,A060540,에스에이티,20210608,3360
48,A060540,에스에이티,20210607,3305
49,A060540,에스에이티,20210604,3145
50,A060540,에스에이티,20210603,3080
51,A060540,에스에이티,20210602,3070
52,A060540,에스에이티,20210601,2960
53,A060540,에스에이티,20210531,2975
54,A060540,에스에이티,20210528,2995
55,A060540,에스에이티,20210527,3015
56,A060540,에스에이티,20210526,3200
57,A060540,에스에이티,20210525,3055
58,A060540,에스에이티,20210524,2980
59,A060540,에스에이티,20210521,2970
60,A060540,에스에이티,20210520,3015
61,A060540,에스에이티,20210518,2960
62,A060540,에스에이티,20210517,2830
63,A060540,에스에이티,20210514,2875
64,A060540,에스에이티,20210513,2830
65,A060540,에스에이티,20210512,2860
66,A060540,에스에이티,20210511,2970
67,A060540,에스에이티,20210510,3020
68,A060540,에스에이티,20210507,3035
69,A060540,에스에이티,20210506,2980
70,A060540,에스에이티,20210504,3000
71,A060540,에스에이티,20210503,2885
72,A060540,에스에이티,20210430,2755
73,A060540,에스에이티,20210429,2790
74,A060540,에스에이티,20210428,2815
75,A060540,에스에이티,20210427,2950
76,A060540,에스에이티,20210426,2835
77,A060540,에스에이티,20210423,2855
78,A060540,에스에이티,20210422,2870
79,A060540,에스에이티,20210421,2750
80,A060540,에스에이티,20210420,2715
81,A060540,에스에이티,20210419,2720
82,A060540,에스에이티,20210416,2810
83,A060540,에스에이티,20210415,2870
84,A060540,에스에이티,20210414,2715
85,A060540,에스에이티,20210413,2690
86,A060540,에스에이티,20210412,2720
87,A060540,에스에이티,20210409,2655
88,A060540,에스에이티,20210408,2640
89,A060540,에스에이티,20210407,2660
90,A060540,에스에이티,20210406,2650
91,A060540,에스에이티,20210405,2645
92,A060540,에스에이티,20210402,2575
93,A060540,에스에이티,20210401,2515
94,A060540,에스에이티,20210331,2465
95,A060540,에스에이티,20210330,2480
96,A060540,에스에이티,20210329,2480
97,A060540,에스에이티,20210326,2435
98,A060540,에스에이티,20210325,2435
99,A060540,에스에이티,20210324,2470
100,A060540,에스에이티,20210323,2445
101,A060540,에스에이티,20210322,2445
102,A060540,에스에이티,20210319,2475
103,A060540,에스에이티,20210318,2460
104,A060540,에스에이티,20210317,2445
105,A060540,에스에이티,20210316,2455
106,A060540,에스에이티,20210315,2350
107,A060540,에스에이티,20210312,2365
108,A060540,에스에이티,20210311,2325
109,A060540,에스에이티,20210310,2315
110,A060540,에스에이티,20210309,2260
111,A060540,에스에이티,20210308,2360
112,A060540,에스에이티,20210305,2460
113,A060540,에스에이티,20210304,2500
114,A060540,에스에이티,20210303,2500
115,A060540,에스에이티,20210302,2465
116,A060540,에스에이티,20210226,2480
117,A060540,에스에이티,20210225,2555
118,A060540,에스에이티,20210224,2510
119,A060540,에스에이티,20210223,2625
120,A060540,에스에이티,20210222,2650
121,A060540,에스에이티,20210219,2650
122,A060540,에스에이티,20210218,2650
123,A060540,에스에이티,20210217,2655
124,A060540,에스에이티,20210216,2595
125,A060540,에스에이티,20210215,2540
126,A060540,에스에이티,20210210,2515
127,A060540,에스에이티,20210209,2525
128,A060540,에스에이티,20210208,2580
129,A060540,에스에이티,20210205,2590
130,A060540,에스에이티,20210204,2575
131,A060540,에스에이티,20210203,2575
132,A060540,에스에이티,20210202,2530
133,A060540,에스에이티,20210201,2470
134,A060540,에스에이티,20210129,2480
135,A060540,에스에이티,20210128,2640
136,A060540,에스에이티,20210127,2640
137,A060540,에스에이티,20210126,2635
138,A060540,에스에이티,20210125,2695
139,A060540,에스에이티,20210122,2740
140,A060540,에스에이티,20210121,2755
141,A060540,에스에이티,20210120,2650
142,A060540,에스에이티,20210119,2690
143,A060540,에스에이티,20210118,2690
144,A060540,에스에이티,20210115,2690
145,A060540,에스에이티,20210114,2710
146,A060540,에스에이티,20210113,2635
147,A060540,에스에이티,20210112,2635
148,A060540,에스에이티,20210111,2625
149,A060540,에스에이티,20210108,2635
150,A060540,에스에이티,20210107,2705
151,A060540,에스에이티,20210106,2670
152,A060540,에스에이티,20210105,2650
153,A060540,에스에이티,20210104,2615
154,A060540,에스에이티,20201230,2550
155,A060540,에스에이티,20201229,2550
156,A060540,에스에이티,20201228,2580
157,A060540,에스에이티,20201224,2535
158,A060540,에스에이티,20201223,2565
159,A060540,에스에이티,20201222,2465
160,A060540,에스에이티,20201221,2545
161,A060540,에스에이티,20201218,2515
162,A060540,에스에이티,20201217,2525
163,A060540,에스에이티,20201216,2425
164,A060540,에스에이티,20201215,2410
165,A060540,에스에이티,20201214,2430
166,A060540,에스에이티,20201211,2500
167,A060540,에스에이티,20201210,2505
168,A060540,에스에이티,20201209,2460
169,A060540,에스에이티,20201208,2430
170,A060540,에스에이티,20201207,2425
171,A060540,에스에이티,20201204,2500
172,A060540,에스에이티,20201203,2560
173,A060540,에스에이티,20201202,2565
174,A060540,에스에이티,20201201,2560
175,A060540,에스에이티,20201130,2570
176,A060540,에스에이티,20201127,2580
177,A060540,에스에이티,20201126,2525
178,A060540,에스에이티,20201125,2580
179,A060540,에스에이티,20201124,2690
180,A060540,에스에이티,20201123,2640
181,A060540,에스에이티,20201120,2685
182,A060540,에스에이티,20201119,2660
183,A060540,에스에이티,20201118,2680
184,A060540,에스에이티,20201117,2770
185,A060540,에스에이티,20201116,2725
186,A060540,에스에이티,20201113,2600
187,A060540,에스에이티,20201112,2610
188,A060540,에스에이티,20201111,2660
189,A060540,에스에이티,20201110,2665
190,A060540,에스에이티,20201109,2615
191,A060540,에스에이티,20201106,2605
192,A060540,에스에이티,20201105,2620
193,A060540,에스에이티,20201104,2550
194,A060540,에스에이티,20201103,2575
195,A060540,에스에이티,20201102,2650
196,A060540,에스에이티,20201030,2490
197,A060540,에스에이티,20201029,2470
198,A060540,에스에이티,20201028,2540
199,A060540,에스에이티,20201027,2445
200,A060540,에스에이티,20201026,2500
201,A060540,에스에이티,20201023,2640
202,A060540,에스에이티,20201022,2640
203,A060540,에스에이티,20201021,2715
204,A060540,에스에이티,20201020,2780
205,A060540,에스에이티,20201019,2750
206,A060540,에스에이티,20201016,2895
207,A060540,에스에이티,20201015,3015
208,A060540,에스에이티,20201014,3050
209,A060540,에스에이티,20201013,3190
210,A060540,에스에이티,20201012,3110
211,A060540,에스에이티,20201008,2395
212,A060540,에스에이티,20201007,2385
213,A060540,에스에이티,20201006,2370
214,A060540,에스에이티,20201005,2230
215,A060540,에스에이티,20200929,2245
216,A060540,에스에이티,20200928,2285
217,A060540,에스에이티,20200925,2250
218,A060540,에스에이티,20200924,2115
219,A060540,에스에이티,20200923,2130
220,A060540,에스에이티,20200922,2105
221,A060540,에스에이티,20200921,2170
222,A060540,에스에이티,20200918,2115
223,A060540,에스에이티,20200917,2100
224,A060540,에스에이티,20200916,2170
225,A060540,에스에이티,20200915,2155
226,A060540,에스에이티,20200914,2210
227,A060540,에스에이티,20200911,2150
228,A060540,에스에이티,20200910,2150
229,A060540,에스에이티,20200909,2175
230,A060540,에스에이티,20200908,2100
231,A060540,에스에이티,20200907,2060
232,A060540,에스에이티,20200904,2050
233,A060540,에스에이티,20200903,2055
234,A060540,에스에이티,20200902,2050
235,A060540,에스에이티,20200901,2050
236,A060540,에스에이티,20200831,1975
237,A060540,에스에이티,20200828,1950
238,A060540,에스에이티,20200827,1950
239,A060540,에스에이티,20200826,1925
240,A060540,에스에이티,20200825,1935
241,A060540,에스에이티,20200824,1845
242,A060540,에스에이티,20200821,1810
243,A060540,에스에이티,20200820,1815
244,A060540,에스에이티,20200819,1905
245,A060540,에스에이티,20200818,1935
246,A060540,에스에이티,20200814,2150
247,A060540,에스에이티,20200813,2030
248,A060540,에스에이티,20200812,1980
249,A060540,에스에이티,20200811,2000
250,A060540,에스에이티,20200810,2030
251,A060540,에스에이티,20200807,2005
252,A060540,에스에이티,20200806,2035
253,A060540,에스에이티,20200805,2000
254,A060540,에스에이티,20200804,2010
255,A060540,에스에이티,20200803,2000
256,A060540,에스에이티,20200731,1955
257,A060540,에스에이티,20200730,1960
258,A060540,에스에이티,20200729,1945
259,A060540,에스에이티,20200728,1930
260,A060540,에스에이티,20200727,1985
261,A060540,에스에이티,20200724,1990
262,A060540,에스에이티,20200723,1965
263,A060540,에스에이티,20200722,1990
264,A060540,에스에이티,20200721,2020
265,A060540,에스에이티,20200720,1995
266,A060540,에스에이티,20200717,1990
267,A060540,에스에이티,20200716,1820
268,A060540,에스에이티,20200715,1850
269,A060540,에스에이티,20200714,1815
270,A060540,에스에이티,20200713,1815
271,A060540,에스에이티,20200710,1815
272,A060540,에스에이티,20200709,1770
273,A060540,에스에이티,20200708,1800
274,A060540,에스에이티,20200707,1725
275,A060540,에스에이티,20200706,1720
276,A060540,에스에이티,20200703,1720
277,A060540,에스에이티,20200702,1665
278,A060540,에스에이티,20200701,1665
279,A060540,에스에이티,20200630,1655
280,A060540,에스에이티,20200629,1645
281,A060540,에스에이티,20200626,1655
282,A060540,에스에이티,20200625,1645
283,A060540,에스에이티,20200624,1700
284,A060540,에스에이티,20200623,1665
285,A060540,에스에이티,20200622,1720
286,A060540,에스에이티,20200619,1740
287,A060540,에스에이티,20200618,1720
288,A060540,에스에이티,20200617,1705
289,A060540,에스에이티,20200616,1745
290,A060540,에스에이티,20200615,1645
291,A060540,에스에이티,20200612,1755
292,A060540,에스에이티,20200611,1810
293,A060540,에스에이티,20200610,1855
294,A060540,에스에이티,20200609,1880
295,A060540,에스에이티,20200608,1895
296,A060540,에스에이티,20200605,1860
297,A060540,에스에이티,20200604,1845
298,A060540,에스에이티,20200603,1875
299,A060540,에스에이티,20200602,1885
300,A060540,에스에이티,20200601,1855
301,A060540,에스에이티,20200529,1825
302,A060540,에스에이티,20200528,1835
303,A060540,에스에이티,20200527,1905
304,A060540,에스에이티,20200526,1935
305,A060540,에스에이티,20200525,1860
306,A060540,에스에이티,20200522,1820
307,A060540,에스에이티,20200521,1845
308,A060540,에스에이티,20200520,1825
309,A060540,에스에이티,20200519,1775
310,A060540,에스에이티,20200518,1725
311,A060540,에스에이티,20200515,1800
312,A060540,에스에이티,20200514,1815
313,A060540,에스에이티,20200513,1830
314,A060540,에스에이티,20200512,1855
315,A060540,에스에이티,20200511,1870
316,A060540,에스에이티,20200508,1895
317,A060540,에스에이티,20200507,1880
318,A060540,에스에이티,20200506,1830
319,A060540,에스에이티,20200504,1805
320,A060540,에스에이티,20200429,1805
321,A060540,에스에이티,20200428,1805
322,A060540,에스에이티,20200427,1790
323,A060540,에스에이티,20200424,1760
324,A060540,에스에이티,20200423,1800
325,A060540,에스에이티,20200422,1795
326,A060540,에스에이티,20200421,1750
327,A060540,에스에이티,20200420,1815
328,A060540,에스에이티,20200417,1780
329,A060540,에스에이티,20200416,1750
330,A060540,에스에이티,20200414,1650
331,A060540,에스에이티,20200413,1605
332,A060540,에스에이티,20200410,1705
333,A060540,에스에이티,20200409,1700
334,A060540,에스에이티,20200408,1670
335,A060540,에스에이티,20200407,1625
336,A060540,에스에이티,20200406,1610
337,A060540,에스에이티,20200403,1545
338,A060540,에스에이티,20200402,1525
339,A060540,에스에이티,20200401,1465
340,A060540,에스에이티,20200331,1480
341,A060540,에스에이티,20200330,1470
342,A060540,에스에이티,20200327,1430
343,A060540,에스에이티,20200326,1395
344,A060540,에스에이티,20200325,1330
345,A060540,에스에이티,20200324,1240
346,A060540,에스에이티,20200323,1095
347,A060540,에스에이티,20200320,1185
348,A060540,에스에이티,20200319,1055
349,A060540,에스에이티,20200318,1310
350,A060540,에스에이티,20200317,1450
351,A060540,에스에이티,20200316,1460
352,A060540,에스에이티,20200313,1595
353,A060540,에스에이티,20200312,1750
354,A060540,에스에이티,20200311,1865
355,A060540,에스에이티,20200310,1950
356,A060540,에스에이티,20200309,1960
357,A060540,에스에이티,20200306,2145
