,종목코드,종목명,날짜,종가
0,A056190,에스에프에이,20210812,41100
1,A056190,에스에프에이,20210811,41250
2,A056190,에스에프에이,20210810,42150
3,A056190,에스에프에이,20210809,42400
4,A056190,에스에프에이,20210806,41800
5,A056190,에스에프에이,20210805,41900
6,A056190,에스에프에이,20210804,41750
7,A056190,에스에프에이,20210803,40950
8,A056190,에스에프에이,20210802,41150
9,A056190,에스에프에이,20210730,40600
10,A056190,에스에프에이,20210729,41150
11,A056190,에스에프에이,20210728,40900
12,A056190,에스에프에이,20210727,41050
13,A056190,에스에프에이,20210726,41050
14,A056190,에스에프에이,20210723,41800
15,A056190,에스에프에이,20210722,40900
16,A056190,에스에프에이,20210721,40200
17,A056190,에스에프에이,20210720,40450
18,A056190,에스에프에이,20210719,40650
19,A056190,에스에프에이,20210716,40950
20,A056190,에스에프에이,20210715,41450
21,A056190,에스에프에이,20210714,40800
22,A056190,에스에프에이,20210713,41050
23,A056190,에스에프에이,20210712,40750
24,A056190,에스에프에이,20210709,40700
25,A056190,에스에프에이,20210708,41250
26,A056190,에스에프에이,20210707,42050
27,A056190,에스에프에이,20210706,42200
28,A056190,에스에프에이,20210705,42350
29,A056190,에스에프에이,20210702,42350
30,A056190,에스에프에이,20210701,42350
31,A056190,에스에프에이,20210630,43300
32,A056190,에스에프에이,20210629,41800
33,A056190,에스에프에이,20210628,41400
34,A056190,에스에프에이,20210625,41150
35,A056190,에스에프에이,20210624,40900
36,A056190,에스에프에이,20210623,41050
37,A056190,에스에프에이,20210622,41350
38,A056190,에스에프에이,20210621,40850
39,A056190,에스에프에이,20210618,41150
40,A056190,에스에프에이,20210617,41100
41,A056190,에스에프에이,20210616,40750
42,A056190,에스에프에이,20210615,41300
43,A056190,에스에프에이,20210614,42000
44,A056190,에스에프에이,20210611,41950
45,A056190,에스에프에이,20210610,41600
46,A056190,에스에프에이,20210609,41150
47,A056190,에스에프에이,20210608,42200
48,A056190,에스에프에이,20210607,42850
49,A056190,에스에프에이,20210604,42300
50,A056190,에스에프에이,20210603,43200
51,A056190,에스에프에이,20210602,42600
52,A056190,에스에프에이,20210601,42600
53,A056190,에스에프에이,20210531,42400
54,A056190,에스에프에이,20210528,43150
55,A056190,에스에프에이,20210527,42900
56,A056190,에스에프에이,20210526,42800
57,A056190,에스에프에이,20210525,43850
58,A056190,에스에프에이,20210524,42600
59,A056190,에스에프에이,20210521,43200
60,A056190,에스에프에이,20210520,43550
61,A056190,에스에프에이,20210518,42650
62,A056190,에스에프에이,20210517,43100
63,A056190,에스에프에이,20210514,41900
64,A056190,에스에프에이,20210513,39650
65,A056190,에스에프에이,20210512,40250
66,A056190,에스에프에이,20210511,41550
67,A056190,에스에프에이,20210510,42650
68,A056190,에스에프에이,20210507,41550
69,A056190,에스에프에이,20210506,40700
70,A056190,에스에프에이,20210504,40800
71,A056190,에스에프에이,20210503,41650
72,A056190,에스에프에이,20210430,41900
73,A056190,에스에프에이,20210429,41100
74,A056190,에스에프에이,20210428,41900
75,A056190,에스에프에이,20210427,43150
76,A056190,에스에프에이,20210426,43400
77,A056190,에스에프에이,20210423,43350
78,A056190,에스에프에이,20210422,42450
79,A056190,에스에프에이,20210421,42350
80,A056190,에스에프에이,20210420,43050
81,A056190,에스에프에이,20210419,43850
82,A056190,에스에프에이,20210416,43750
83,A056190,에스에프에이,20210415,42350
84,A056190,에스에프에이,20210414,42050
85,A056190,에스에프에이,20210413,41750
86,A056190,에스에프에이,20210412,42350
87,A056190,에스에프에이,20210409,41550
88,A056190,에스에프에이,20210408,41500
89,A056190,에스에프에이,20210407,42000
90,A056190,에스에프에이,20210406,41150
91,A056190,에스에프에이,20210405,41450
92,A056190,에스에프에이,20210402,41300
93,A056190,에스에프에이,20210401,40300
94,A056190,에스에프에이,20210331,40550
95,A056190,에스에프에이,20210330,40750
96,A056190,에스에프에이,20210329,40000
97,A056190,에스에프에이,20210326,40600
98,A056190,에스에프에이,20210325,40700
99,A056190,에스에프에이,20210324,40200
100,A056190,에스에프에이,20210323,40150
101,A056190,에스에프에이,20210322,41000
102,A056190,에스에프에이,20210319,40750
103,A056190,에스에프에이,20210318,41500
104,A056190,에스에프에이,20210317,41600
105,A056190,에스에프에이,20210316,42150
106,A056190,에스에프에이,20210315,41050
107,A056190,에스에프에이,20210312,41700
108,A056190,에스에프에이,20210311,40800
109,A056190,에스에프에이,20210310,40200
110,A056190,에스에프에이,20210309,41700
111,A056190,에스에프에이,20210308,42750
112,A056190,에스에프에이,20210305,43650
113,A056190,에스에프에이,20210304,43800
114,A056190,에스에프에이,20210303,43550
115,A056190,에스에프에이,20210302,42850
116,A056190,에스에프에이,20210226,42450
117,A056190,에스에프에이,20210225,43800
118,A056190,에스에프에이,20210224,42800
119,A056190,에스에프에이,20210223,44400
120,A056190,에스에프에이,20210222,44650
121,A056190,에스에프에이,20210219,45700
122,A056190,에스에프에이,20210218,44700
123,A056190,에스에프에이,20210217,46650
124,A056190,에스에프에이,20210216,46200
125,A056190,에스에프에이,20210215,43050
126,A056190,에스에프에이,20210210,41300
127,A056190,에스에프에이,20210209,40900
128,A056190,에스에프에이,20210208,42050
129,A056190,에스에프에이,20210205,42500
130,A056190,에스에프에이,20210204,42500
131,A056190,에스에프에이,20210203,41250
132,A056190,에스에프에이,20210202,40800
133,A056190,에스에프에이,20210201,38650
134,A056190,에스에프에이,20210129,37800
135,A056190,에스에프에이,20210128,38500
136,A056190,에스에프에이,20210127,39700
137,A056190,에스에프에이,20210126,41150
138,A056190,에스에프에이,20210125,40500
139,A056190,에스에프에이,20210122,39100
140,A056190,에스에프에이,20210121,39850
141,A056190,에스에프에이,20210120,40000
142,A056190,에스에프에이,20210119,38650
143,A056190,에스에프에이,20210118,38000
144,A056190,에스에프에이,20210115,39050
145,A056190,에스에프에이,20210114,39150
146,A056190,에스에프에이,20210113,39600
147,A056190,에스에프에이,20210112,39550
148,A056190,에스에프에이,20210111,40300
149,A056190,에스에프에이,20210108,40200
150,A056190,에스에프에이,20210107,40050
151,A056190,에스에프에이,20210106,39800
152,A056190,에스에프에이,20210105,40300
153,A056190,에스에프에이,20210104,39500
154,A056190,에스에프에이,20201230,38600
155,A056190,에스에프에이,20201229,38450
156,A056190,에스에프에이,20201228,39450
157,A056190,에스에프에이,20201224,37950
158,A056190,에스에프에이,20201223,37700
159,A056190,에스에프에이,20201222,37500
160,A056190,에스에프에이,20201221,38150
161,A056190,에스에프에이,20201218,38600
162,A056190,에스에프에이,20201217,39050
163,A056190,에스에프에이,20201216,37750
164,A056190,에스에프에이,20201215,36400
165,A056190,에스에프에이,20201214,36000
166,A056190,에스에프에이,20201211,36700
167,A056190,에스에프에이,20201210,37450
168,A056190,에스에프에이,20201209,37200
169,A056190,에스에프에이,20201208,37150
170,A056190,에스에프에이,20201207,37150
171,A056190,에스에프에이,20201204,37500
172,A056190,에스에프에이,20201203,37300
173,A056190,에스에프에이,20201202,37400
174,A056190,에스에프에이,20201201,37350
175,A056190,에스에프에이,20201130,37500
176,A056190,에스에프에이,20201127,38300
177,A056190,에스에프에이,20201126,37900
178,A056190,에스에프에이,20201125,37500
179,A056190,에스에프에이,20201124,38400
180,A056190,에스에프에이,20201123,38250
181,A056190,에스에프에이,20201120,38250
182,A056190,에스에프에이,20201119,37900
183,A056190,에스에프에이,20201118,37400
184,A056190,에스에프에이,20201117,37950
185,A056190,에스에프에이,20201116,39150
186,A056190,에스에프에이,20201113,37450
187,A056190,에스에프에이,20201112,37550
188,A056190,에스에프에이,20201111,37750
189,A056190,에스에프에이,20201110,37500
190,A056190,에스에프에이,20201109,38300
191,A056190,에스에프에이,20201106,38100
192,A056190,에스에프에이,20201105,37850
193,A056190,에스에프에이,20201104,37800
194,A056190,에스에프에이,20201103,37100
195,A056190,에스에프에이,20201102,36650
196,A056190,에스에프에이,20201030,36300
197,A056190,에스에프에이,20201029,37900
198,A056190,에스에프에이,20201028,37500
199,A056190,에스에프에이,20201027,36500
200,A056190,에스에프에이,20201026,37050
201,A056190,에스에프에이,20201023,38850
202,A056190,에스에프에이,20201022,39850
203,A056190,에스에프에이,20201021,40250
204,A056190,에스에프에이,20201020,40500
205,A056190,에스에프에이,20201019,38600
206,A056190,에스에프에이,20201016,37600
207,A056190,에스에프에이,20201015,37350
208,A056190,에스에프에이,20201014,39050
209,A056190,에스에프에이,20201013,39950
210,A056190,에스에프에이,20201012,38100
211,A056190,에스에프에이,20201008,36950
212,A056190,에스에프에이,20201007,37400
213,A056190,에스에프에이,20201006,36900
214,A056190,에스에프에이,20201005,37700
215,A056190,에스에프에이,20200929,38200
216,A056190,에스에프에이,20200928,38150
217,A056190,에스에프에이,20200925,36600
218,A056190,에스에프에이,20200924,36650
219,A056190,에스에프에이,20200923,36950
220,A056190,에스에프에이,20200922,34600
221,A056190,에스에프에이,20200921,35750
222,A056190,에스에프에이,20200918,36050
223,A056190,에스에프에이,20200917,35400
224,A056190,에스에프에이,20200916,35500
225,A056190,에스에프에이,20200915,36500
226,A056190,에스에프에이,20200914,36050
227,A056190,에스에프에이,20200911,35950
228,A056190,에스에프에이,20200910,36250
229,A056190,에스에프에이,20200909,33200
230,A056190,에스에프에이,20200908,33450
231,A056190,에스에프에이,20200907,32700
232,A056190,에스에프에이,20200904,32200
233,A056190,에스에프에이,20200903,33250
234,A056190,에스에프에이,20200902,32650
235,A056190,에스에프에이,20200901,32700
236,A056190,에스에프에이,20200831,33150
237,A056190,에스에프에이,20200828,33100
238,A056190,에스에프에이,20200827,33150
239,A056190,에스에프에이,20200826,33750
240,A056190,에스에프에이,20200825,34200
241,A056190,에스에프에이,20200824,33600
242,A056190,에스에프에이,20200821,31550
243,A056190,에스에프에이,20200820,31050
244,A056190,에스에프에이,20200819,32950
245,A056190,에스에프에이,20200818,32900
246,A056190,에스에프에이,20200814,34450
247,A056190,에스에프에이,20200813,34800
248,A056190,에스에프에이,20200812,34500
249,A056190,에스에프에이,20200811,34250
250,A056190,에스에프에이,20200810,34550
251,A056190,에스에프에이,20200807,34900
252,A056190,에스에프에이,20200806,35450
253,A056190,에스에프에이,20200805,35300
254,A056190,에스에프에이,20200804,35250
255,A056190,에스에프에이,20200803,35650
256,A056190,에스에프에이,20200731,35200
257,A056190,에스에프에이,20200730,35850
258,A056190,에스에프에이,20200729,34750
259,A056190,에스에프에이,20200728,35100
260,A056190,에스에프에이,20200727,33950
261,A056190,에스에프에이,20200724,33650
262,A056190,에스에프에이,20200723,34000
263,A056190,에스에프에이,20200722,33900
264,A056190,에스에프에이,20200721,34350
265,A056190,에스에프에이,20200720,34750
266,A056190,에스에프에이,20200717,33750
267,A056190,에스에프에이,20200716,33600
268,A056190,에스에프에이,20200715,33900
269,A056190,에스에프에이,20200714,33400
270,A056190,에스에프에이,20200713,33250
271,A056190,에스에프에이,20200710,32850
272,A056190,에스에프에이,20200709,33750
273,A056190,에스에프에이,20200708,33400
274,A056190,에스에프에이,20200707,33450
275,A056190,에스에프에이,20200706,33900
276,A056190,에스에프에이,20200703,33000
277,A056190,에스에프에이,20200702,33000
278,A056190,에스에프에이,20200701,33000
279,A056190,에스에프에이,20200630,32700
280,A056190,에스에프에이,20200629,32750
281,A056190,에스에프에이,20200626,33900
282,A056190,에스에프에이,20200625,32950
283,A056190,에스에프에이,20200624,33900
284,A056190,에스에프에이,20200623,33450
285,A056190,에스에프에이,20200622,32700
286,A056190,에스에프에이,20200619,32650
287,A056190,에스에프에이,20200618,33900
288,A056190,에스에프에이,20200617,34000
289,A056190,에스에프에이,20200616,33600
290,A056190,에스에프에이,20200615,32200
291,A056190,에스에프에이,20200612,35000
292,A056190,에스에프에이,20200611,36150
293,A056190,에스에프에이,20200610,36750
294,A056190,에스에프에이,20200609,37000
295,A056190,에스에프에이,20200608,37650
296,A056190,에스에프에이,20200605,37400
297,A056190,에스에프에이,20200604,37000
298,A056190,에스에프에이,20200603,36700
299,A056190,에스에프에이,20200602,36850
300,A056190,에스에프에이,20200601,36500
301,A056190,에스에프에이,20200529,35400
302,A056190,에스에프에이,20200528,35700
303,A056190,에스에프에이,20200527,35800
304,A056190,에스에프에이,20200526,36700
305,A056190,에스에프에이,20200525,36000
306,A056190,에스에프에이,20200522,35750
307,A056190,에스에프에이,20200521,37600
308,A056190,에스에프에이,20200520,37350
309,A056190,에스에프에이,20200519,36600
310,A056190,에스에프에이,20200518,36350
311,A056190,에스에프에이,20200515,36100
312,A056190,에스에프에이,20200514,34600
313,A056190,에스에프에이,20200513,34800
314,A056190,에스에프에이,20200512,34800
315,A056190,에스에프에이,20200511,35500
316,A056190,에스에프에이,20200508,36700
317,A056190,에스에프에이,20200507,34800
318,A056190,에스에프에이,20200506,33600
319,A056190,에스에프에이,20200504,33750
320,A056190,에스에프에이,20200429,34950
321,A056190,에스에프에이,20200428,34550
322,A056190,에스에프에이,20200427,34750
323,A056190,에스에프에이,20200424,33350
324,A056190,에스에프에이,20200423,33450
325,A056190,에스에프에이,20200422,33850
326,A056190,에스에프에이,20200421,33350
327,A056190,에스에프에이,20200420,34450
328,A056190,에스에프에이,20200417,34300
329,A056190,에스에프에이,20200416,32600
330,A056190,에스에프에이,20200414,32150
331,A056190,에스에프에이,20200413,32000
