,종목코드,종목명,날짜,종가
0,A114290,에스코어,20210812,4095
1,A114290,에스코어,20210811,3545
2,A114290,에스코어,20210810,3815
3,A114290,에스코어,20210809,3110
4,A114290,에스코어,20210806,3800
5,A114290,에스코어,20210805,3600
6,A114290,에스코어,20210804,3410
7,A114290,에스코어,20210803,3215
8,A114290,에스코어,20210802,3095
9,A114290,에스코어,20210730,3275
10,A114290,에스코어,20210729,3395
11,A114290,에스코어,20210728,2820
12,A114290,에스코어,20210727,3085
13,A114290,에스코어,20210726,2990
14,A114290,에스코어,20210723,3090
15,A114290,에스코어,20210722,3090
16,A114290,에스코어,20210721,3090
17,A114290,에스코어,20210720,3120
18,A114290,에스코어,20210719,3050
19,A114290,에스코어,20210716,3160
20,A114290,에스코어,20210715,2980
21,A114290,에스코어,20210714,3065
22,A114290,에스코어,20210713,3075
23,A114290,에스코어,20210712,3000
24,A114290,에스코어,20210709,2995
25,A114290,에스코어,20210708,3100
26,A114290,에스코어,20210707,3070
27,A114290,에스코어,20210706,3185
28,A114290,에스코어,20210705,3320
29,A114290,에스코어,20210702,3280
30,A114290,에스코어,20210701,3500
31,A114290,에스코어,20210630,3090
32,A114290,에스코어,20210629,3200
33,A114290,에스코어,20210628,3100
34,A114290,에스코어,20210625,3120
35,A114290,에스코어,20210624,3155
36,A114290,에스코어,20210623,3255
37,A114290,에스코어,20210622,3135
38,A114290,에스코어,20210621,3205
39,A114290,에스코어,20210618,3405
40,A114290,에스코어,20210617,3295
41,A114290,에스코어,20210616,3210
42,A114290,에스코어,20210615,3175
43,A114290,에스코어,20210614,3150
44,A114290,에스코어,20210611,3145
45,A114290,에스코어,20210610,3105
46,A114290,에스코어,20210609,3195
47,A114290,에스코어,20210608,3265
48,A114290,에스코어,20210607,3130
49,A114290,에스코어,20210604,3280
50,A114290,에스코어,20210603,3195
51,A114290,에스코어,20210602,3165
52,A114290,에스코어,20210601,3190
53,A114290,에스코어,20210531,3210
54,A114290,에스코어,20210528,3155
55,A114290,에스코어,20210527,3410
56,A114290,에스코어,20210526,3185
57,A114290,에스코어,20210525,3600
58,A114290,에스코어,20210524,3130
59,A114290,에스코어,20210521,3325
60,A114290,에스코어,20210520,3105
61,A114290,에스코어,20210518,3215
62,A114290,에스코어,20210517,3355
63,A114290,에스코어,20210514,3200
64,A114290,에스코어,20210513,3365
65,A114290,에스코어,20210512,3445
66,A114290,에스코어,20210511,3495
67,A114290,에스코어,20210510,3500
68,A114290,에스코어,20210507,3500
69,A114290,에스코어,20210506,3175
70,A114290,에스코어,20210504,3600
71,A114290,에스코어,20210503,3295
72,A114290,에스코어,20210430,3210
73,A114290,에스코어,20210429,4000
74,A114290,에스코어,20210428,3445
75,A114290,에스코어,20210427,3495
76,A114290,에스코어,20210426,3390
77,A114290,에스코어,20210423,3045
78,A114290,에스코어,20210422,3340
79,A114290,에스코어,20210421,3645
80,A114290,에스코어,20210420,4000
81,A114290,에스코어,20210419,3495
82,A114290,에스코어,20210416,4250
83,A114290,에스코어,20210415,3300
84,A114290,에스코어,20210414,3325
85,A114290,에스코어,20210413,3290
86,A114290,에스코어,20210412,3395
87,A114290,에스코어,20210409,3600
88,A114290,에스코어,20210408,3795
89,A114290,에스코어,20210407,3500
90,A114290,에스코어,20210406,3480
91,A114290,에스코어,20210405,3500
92,A114290,에스코어,20210402,3150
93,A114290,에스코어,20210401,3100
94,A114290,에스코어,20210331,3660
95,A114290,에스코어,20210330,3600
96,A114290,에스코어,20210329,3505
97,A114290,에스코어,20210326,3500
98,A114290,에스코어,20210325,3690
99,A114290,에스코어,20210324,3695
100,A114290,에스코어,20210323,3990
101,A114290,에스코어,20210322,3675
102,A114290,에스코어,20210319,3515
103,A114290,에스코어,20210318,3300
104,A114290,에스코어,20210317,3765
105,A114290,에스코어,20210316,3470
106,A114290,에스코어,20210315,3675
107,A114290,에스코어,20210312,3750
108,A114290,에스코어,20210311,3595
109,A114290,에스코어,20210310,3560
110,A114290,에스코어,20210309,3745
111,A114290,에스코어,20210308,3540
112,A114290,에스코어,20210305,3420
113,A114290,에스코어,20210304,3890
114,A114290,에스코어,20210303,3690
115,A114290,에스코어,20210302,3755
116,A114290,에스코어,20210226,3695
117,A114290,에스코어,20210225,3785
118,A114290,에스코어,20210224,3845
119,A114290,에스코어,20210223,3780
120,A114290,에스코어,20210222,3890
121,A114290,에스코어,20210219,3850
122,A114290,에스코어,20210218,3990
123,A114290,에스코어,20210217,3880
124,A114290,에스코어,20210216,5000
125,A114290,에스코어,20210215,3900
126,A114290,에스코어,20210210,3990
127,A114290,에스코어,20210209,3990
128,A114290,에스코어,20210208,3895
129,A114290,에스코어,20210205,4000
130,A114290,에스코어,20210204,4000
131,A114290,에스코어,20210203,3880
132,A114290,에스코어,20210202,3990
133,A114290,에스코어,20210201,3895
134,A114290,에스코어,20210129,3895
135,A114290,에스코어,20210128,3895
136,A114290,에스코어,20210127,4000
137,A114290,에스코어,20210126,3895
138,A114290,에스코어,20210125,3900
139,A114290,에스코어,20210122,3800
140,A114290,에스코어,20210121,3950
141,A114290,에스코어,20210120,3995
142,A114290,에스코어,20210119,3595
143,A114290,에스코어,20210118,3665
144,A114290,에스코어,20210115,3500
145,A114290,에스코어,20210114,3410
146,A114290,에스코어,20210113,3945
147,A114290,에스코어,20210112,4095
148,A114290,에스코어,20210111,3850
149,A114290,에스코어,20210108,4000
150,A114290,에스코어,20210107,4000
151,A114290,에스코어,20210106,3950
152,A114290,에스코어,20210105,3900
153,A114290,에스코어,20210104,3990
154,A114290,에스코어,20201230,3990
155,A114290,에스코어,20201229,4000
156,A114290,에스코어,20201228,3900
157,A114290,에스코어,20201224,4000
158,A114290,에스코어,20201223,3800
159,A114290,에스코어,20201222,3800
160,A114290,에스코어,20201221,3795
161,A114290,에스코어,20201218,3795
162,A114290,에스코어,20201217,3705
163,A114290,에스코어,20201216,3800
164,A114290,에스코어,20201215,3800
165,A114290,에스코어,20201214,3800
166,A114290,에스코어,20201211,3490
167,A114290,에스코어,20201210,4000
168,A114290,에스코어,20201209,4100
169,A114290,에스코어,20201208,3800
170,A114290,에스코어,20201207,3800
171,A114290,에스코어,20201204,3775
172,A114290,에스코어,20201203,3800
173,A114290,에스코어,20201202,3700
174,A114290,에스코어,20201201,3645
175,A114290,에스코어,20201130,3605
176,A114290,에스코어,20201127,3780
177,A114290,에스코어,20201126,3800
178,A114290,에스코어,20201125,3715
179,A114290,에스코어,20201124,3715
180,A114290,에스코어,20201123,3620
181,A114290,에스코어,20201120,3700
182,A114290,에스코어,20201119,3600
183,A114290,에스코어,20201118,3505
184,A114290,에스코어,20201117,3500
185,A114290,에스코어,20201116,3600
186,A114290,에스코어,20201113,3500
187,A114290,에스코어,20201112,3400
188,A114290,에스코어,20201111,3300
189,A114290,에스코어,20201110,3555
190,A114290,에스코어,20201109,3485
191,A114290,에스코어,20201106,3600
192,A114290,에스코어,20201105,3555
193,A114290,에스코어,20201104,3555
194,A114290,에스코어,20201103,3560
195,A114290,에스코어,20201102,3500
196,A114290,에스코어,20201030,3500
197,A114290,에스코어,20201029,2950
198,A114290,에스코어,20201028,3475
199,A114290,에스코어,20201027,3055
200,A114290,에스코어,20201026,2900
201,A114290,에스코어,20201023,2835
202,A114290,에스코어,20201022,3000
203,A114290,에스코어,20201021,2995
204,A114290,에스코어,20201020,2870
205,A114290,에스코어,20201019,2865
206,A114290,에스코어,20201016,2855
207,A114290,에스코어,20201015,2880
208,A114290,에스코어,20201014,2865
209,A114290,에스코어,20201013,2865
210,A114290,에스코어,20201012,2865
211,A114290,에스코어,20201008,2925
212,A114290,에스코어,20201007,2825
213,A114290,에스코어,20201006,2890
214,A114290,에스코어,20201005,2890
215,A114290,에스코어,20200929,3200
216,A114290,에스코어,20200928,3285
217,A114290,에스코어,20200925,2970
218,A114290,에스코어,20200924,2800
219,A114290,에스코어,20200923,3080
220,A114290,에스코어,20200922,3020
221,A114290,에스코어,20200921,2900
222,A114290,에스코어,20200918,3010
223,A114290,에스코어,20200917,3000
224,A114290,에스코어,20200916,2870
225,A114290,에스코어,20200915,2800
226,A114290,에스코어,20200914,3000
227,A114290,에스코어,20200911,2800
228,A114290,에스코어,20200910,3300
229,A114290,에스코어,20200909,3300
230,A114290,에스코어,20200908,3300
231,A114290,에스코어,20200907,3200
232,A114290,에스코어,20200904,3300
233,A114290,에스코어,20200903,3000
234,A114290,에스코어,20200902,3000
235,A114290,에스코어,20200901,3000
236,A114290,에스코어,20200831,3000
237,A114290,에스코어,20200828,2900
238,A114290,에스코어,20200827,2900
239,A114290,에스코어,20200826,2900
240,A114290,에스코어,20200825,2900
241,A114290,에스코어,20200824,2900
242,A114290,에스코어,20200821,2950
243,A114290,에스코어,20200820,2885
244,A114290,에스코어,20200819,2880
245,A114290,에스코어,20200818,2870
246,A114290,에스코어,20200814,2880
247,A114290,에스코어,20200813,2870
248,A114290,에스코어,20200812,2800
249,A114290,에스코어,20200811,2880
250,A114290,에스코어,20200810,2870
251,A114290,에스코어,20200807,2815
252,A114290,에스코어,20200806,2850
253,A114290,에스코어,20200805,2865
254,A114290,에스코어,20200804,2855
255,A114290,에스코어,20200803,2865
256,A114290,에스코어,20200731,2800
257,A114290,에스코어,20200730,2880
258,A114290,에스코어,20200729,2855
259,A114290,에스코어,20200728,2880
260,A114290,에스코어,20200727,2850
261,A114290,에스코어,20200724,2800
262,A114290,에스코어,20200723,2860
263,A114290,에스코어,20200722,2860
264,A114290,에스코어,20200721,2860
265,A114290,에스코어,20200720,2800
266,A114290,에스코어,20200717,2800
267,A114290,에스코어,20200716,2865
268,A114290,에스코어,20200715,2865
269,A114290,에스코어,20200714,2870
270,A114290,에스코어,20200713,2870
