,종목코드,종목명,날짜,종가
0,A041910,에스텍파마,20210812,12150
1,A041910,에스텍파마,20210811,12150
2,A041910,에스텍파마,20210810,12200
3,A041910,에스텍파마,20210809,12400
4,A041910,에스텍파마,20210806,12400
5,A041910,에스텍파마,20210805,12350
6,A041910,에스텍파마,20210804,12200
7,A041910,에스텍파마,20210803,12100
8,A041910,에스텍파마,20210802,12100
9,A041910,에스텍파마,20210730,12050
10,A041910,에스텍파마,20210729,12200
11,A041910,에스텍파마,20210728,12050
12,A041910,에스텍파마,20210727,12250
13,A041910,에스텍파마,20210726,12250
14,A041910,에스텍파마,20210723,12450
15,A041910,에스텍파마,20210722,12300
16,A041910,에스텍파마,20210721,12350
17,A041910,에스텍파마,20210720,12400
18,A041910,에스텍파마,20210719,12800
19,A041910,에스텍파마,20210716,12850
20,A041910,에스텍파마,20210715,12900
21,A041910,에스텍파마,20210714,12850
22,A041910,에스텍파마,20210713,13150
23,A041910,에스텍파마,20210712,13050
24,A041910,에스텍파마,20210709,12900
25,A041910,에스텍파마,20210708,12900
26,A041910,에스텍파마,20210707,13350
27,A041910,에스텍파마,20210706,13050
28,A041910,에스텍파마,20210705,13350
29,A041910,에스텍파마,20210702,13200
30,A041910,에스텍파마,20210701,12800
31,A041910,에스텍파마,20210630,12600
32,A041910,에스텍파마,20210629,12500
33,A041910,에스텍파마,20210628,12550
34,A041910,에스텍파마,20210625,12650
35,A041910,에스텍파마,20210624,12750
36,A041910,에스텍파마,20210623,12850
37,A041910,에스텍파마,20210622,12900
38,A041910,에스텍파마,20210621,12450
39,A041910,에스텍파마,20210618,12650
40,A041910,에스텍파마,20210617,13000
41,A041910,에스텍파마,20210616,12900
42,A041910,에스텍파마,20210615,12750
43,A041910,에스텍파마,20210614,12900
44,A041910,에스텍파마,20210611,13050
45,A041910,에스텍파마,20210610,12550
46,A041910,에스텍파마,20210609,12700
47,A041910,에스텍파마,20210608,12300
48,A041910,에스텍파마,20210607,12200
49,A041910,에스텍파마,20210604,12050
50,A041910,에스텍파마,20210603,12200
51,A041910,에스텍파마,20210602,12300
52,A041910,에스텍파마,20210601,12350
53,A041910,에스텍파마,20210531,12200
54,A041910,에스텍파마,20210528,12150
55,A041910,에스텍파마,20210527,11850
56,A041910,에스텍파마,20210526,11800
57,A041910,에스텍파마,20210525,11950
58,A041910,에스텍파마,20210524,11750
59,A041910,에스텍파마,20210521,12100
60,A041910,에스텍파마,20210520,12200
61,A041910,에스텍파마,20210518,12400
62,A041910,에스텍파마,20210517,12500
63,A041910,에스텍파마,20210514,12500
64,A041910,에스텍파마,20210513,11850
65,A041910,에스텍파마,20210512,11900
66,A041910,에스텍파마,20210511,12100
67,A041910,에스텍파마,20210510,12250
68,A041910,에스텍파마,20210507,12200
69,A041910,에스텍파마,20210506,11800
70,A041910,에스텍파마,20210504,11550
71,A041910,에스텍파마,20210503,11550
72,A041910,에스텍파마,20210430,11550
73,A041910,에스텍파마,20210429,11750
74,A041910,에스텍파마,20210428,11750
75,A041910,에스텍파마,20210427,12250
76,A041910,에스텍파마,20210426,12550
77,A041910,에스텍파마,20210423,12400
78,A041910,에스텍파마,20210422,12250
79,A041910,에스텍파마,20210421,11900
80,A041910,에스텍파마,20210420,12150
81,A041910,에스텍파마,20210419,12350
82,A041910,에스텍파마,20210416,11900
83,A041910,에스텍파마,20210415,11750
84,A041910,에스텍파마,20210414,11900
85,A041910,에스텍파마,20210413,11900
86,A041910,에스텍파마,20210412,12000
87,A041910,에스텍파마,20210409,11300
88,A041910,에스텍파마,20210408,11250
89,A041910,에스텍파마,20210407,11000
90,A041910,에스텍파마,20210406,10900
91,A041910,에스텍파마,20210405,11000
92,A041910,에스텍파마,20210402,11050
93,A041910,에스텍파마,20210401,11000
94,A041910,에스텍파마,20210331,10950
95,A041910,에스텍파마,20210330,10950
96,A041910,에스텍파마,20210329,11050
97,A041910,에스텍파마,20210326,11050
98,A041910,에스텍파마,20210325,11000
99,A041910,에스텍파마,20210324,10900
100,A041910,에스텍파마,20210323,11000
101,A041910,에스텍파마,20210322,11100
102,A041910,에스텍파마,20210319,11200
103,A041910,에스텍파마,20210318,11100
104,A041910,에스텍파마,20210317,11000
105,A041910,에스텍파마,20210316,11050
106,A041910,에스텍파마,20210315,11000
107,A041910,에스텍파마,20210312,10900
108,A041910,에스텍파마,20210311,10700
109,A041910,에스텍파마,20210310,10400
110,A041910,에스텍파마,20210309,10600
111,A041910,에스텍파마,20210308,10650
112,A041910,에스텍파마,20210305,10700
113,A041910,에스텍파마,20210304,10950
114,A041910,에스텍파마,20210303,11000
115,A041910,에스텍파마,20210302,11000
116,A041910,에스텍파마,20210226,11000
117,A041910,에스텍파마,20210225,11450
118,A041910,에스텍파마,20210224,11300
119,A041910,에스텍파마,20210223,11650
120,A041910,에스텍파마,20210222,11900
121,A041910,에스텍파마,20210219,12100
122,A041910,에스텍파마,20210218,12300
123,A041910,에스텍파마,20210217,12300
124,A041910,에스텍파마,20210216,12100
125,A041910,에스텍파마,20210215,12150
126,A041910,에스텍파마,20210210,11900
127,A041910,에스텍파마,20210209,11600
128,A041910,에스텍파마,20210208,11700
129,A041910,에스텍파마,20210205,11600
130,A041910,에스텍파마,20210204,11750
131,A041910,에스텍파마,20210203,12000
132,A041910,에스텍파마,20210202,11750
133,A041910,에스텍파마,20210201,11700
134,A041910,에스텍파마,20210129,11550
135,A041910,에스텍파마,20210128,12100
136,A041910,에스텍파마,20210127,12700
137,A041910,에스텍파마,20210126,12800
138,A041910,에스텍파마,20210125,12500
139,A041910,에스텍파마,20210122,12350
140,A041910,에스텍파마,20210121,12450
141,A041910,에스텍파마,20210120,12200
142,A041910,에스텍파마,20210119,12100
143,A041910,에스텍파마,20210118,11700
144,A041910,에스텍파마,20210115,12200
145,A041910,에스텍파마,20210114,12400
146,A041910,에스텍파마,20210113,12350
147,A041910,에스텍파마,20210112,12250
148,A041910,에스텍파마,20210111,12300
149,A041910,에스텍파마,20210108,13100
150,A041910,에스텍파마,20210107,13550
151,A041910,에스텍파마,20210106,12800
152,A041910,에스텍파마,20210105,12450
153,A041910,에스텍파마,20210104,12700
154,A041910,에스텍파마,20201230,12650
155,A041910,에스텍파마,20201229,12600
156,A041910,에스텍파마,20201228,12450
157,A041910,에스텍파마,20201224,12500
158,A041910,에스텍파마,20201223,12650
159,A041910,에스텍파마,20201222,13000
160,A041910,에스텍파마,20201221,13700
161,A041910,에스텍파마,20201218,13100
162,A041910,에스텍파마,20201217,13100
163,A041910,에스텍파마,20201216,13200
164,A041910,에스텍파마,20201215,13150
165,A041910,에스텍파마,20201214,13400
166,A041910,에스텍파마,20201211,13050
167,A041910,에스텍파마,20201210,13050
168,A041910,에스텍파마,20201209,13300
169,A041910,에스텍파마,20201208,13350
170,A041910,에스텍파마,20201207,13800
171,A041910,에스텍파마,20201204,13250
172,A041910,에스텍파마,20201203,12750
173,A041910,에스텍파마,20201202,13000
174,A041910,에스텍파마,20201201,12950
175,A041910,에스텍파마,20201130,13000
176,A041910,에스텍파마,20201127,12450
177,A041910,에스텍파마,20201126,12300
178,A041910,에스텍파마,20201125,12150
179,A041910,에스텍파마,20201124,12250
180,A041910,에스텍파마,20201123,12400
181,A041910,에스텍파마,20201120,12500
182,A041910,에스텍파마,20201119,12350
183,A041910,에스텍파마,20201118,12200
184,A041910,에스텍파마,20201117,11600
185,A041910,에스텍파마,20201116,11850
186,A041910,에스텍파마,20201113,11850
187,A041910,에스텍파마,20201112,12000
188,A041910,에스텍파마,20201111,11850
189,A041910,에스텍파마,20201110,11850
190,A041910,에스텍파마,20201109,11750
191,A041910,에스텍파마,20201106,11550
192,A041910,에스텍파마,20201105,11550
193,A041910,에스텍파마,20201104,11000
194,A041910,에스텍파마,20201103,11100
195,A041910,에스텍파마,20201102,10700
196,A041910,에스텍파마,20201030,10400
197,A041910,에스텍파마,20201029,10850
198,A041910,에스텍파마,20201028,10850
199,A041910,에스텍파마,20201027,10450
200,A041910,에스텍파마,20201026,10300
201,A041910,에스텍파마,20201023,11100
202,A041910,에스텍파마,20201022,11450
203,A041910,에스텍파마,20201021,11750
204,A041910,에스텍파마,20201020,11400
205,A041910,에스텍파마,20201019,11700
206,A041910,에스텍파마,20201016,11850
207,A041910,에스텍파마,20201015,12250
208,A041910,에스텍파마,20201014,12500
209,A041910,에스텍파마,20201013,12750
210,A041910,에스텍파마,20201012,12950
211,A041910,에스텍파마,20201008,12900
212,A041910,에스텍파마,20201007,13100
213,A041910,에스텍파마,20201006,12750
214,A041910,에스텍파마,20201005,12750
215,A041910,에스텍파마,20200929,12400
216,A041910,에스텍파마,20200928,12350
217,A041910,에스텍파마,20200925,12250
218,A041910,에스텍파마,20200924,13150
219,A041910,에스텍파마,20200923,13300
220,A041910,에스텍파마,20200922,12550
221,A041910,에스텍파마,20200921,13100
222,A041910,에스텍파마,20200918,13600
223,A041910,에스텍파마,20200917,13900
224,A041910,에스텍파마,20200916,14550
225,A041910,에스텍파마,20200915,14800
226,A041910,에스텍파마,20200914,14450
227,A041910,에스텍파마,20200911,14350
