,종목코드,종목명,날짜,종가
0,A317830,에스피시스템스,20210812,7550
1,A317830,에스피시스템스,20210811,7600
2,A317830,에스피시스템스,20210810,7750
3,A317830,에스피시스템스,20210809,7900
4,A317830,에스피시스템스,20210806,7990
5,A317830,에스피시스템스,20210805,7910
6,A317830,에스피시스템스,20210804,7790
7,A317830,에스피시스템스,20210803,7680
8,A317830,에스피시스템스,20210802,7700
9,A317830,에스피시스템스,20210730,7830
10,A317830,에스피시스템스,20210729,7990
11,A317830,에스피시스템스,20210728,7990
12,A317830,에스피시스템스,20210727,8090
13,A317830,에스피시스템스,20210726,7960
14,A317830,에스피시스템스,20210723,8400
15,A317830,에스피시스템스,20210722,8230
16,A317830,에스피시스템스,20210721,8270
17,A317830,에스피시스템스,20210720,8350
18,A317830,에스피시스템스,20210719,8490
19,A317830,에스피시스템스,20210716,8560
20,A317830,에스피시스템스,20210715,8500
21,A317830,에스피시스템스,20210714,8690
22,A317830,에스피시스템스,20210713,8630
23,A317830,에스피시스템스,20210712,7930
24,A317830,에스피시스템스,20210709,7720
25,A317830,에스피시스템스,20210708,7770
26,A317830,에스피시스템스,20210707,7960
27,A317830,에스피시스템스,20210706,8120
28,A317830,에스피시스템스,20210705,7970
29,A317830,에스피시스템스,20210702,8050
30,A317830,에스피시스템스,20210701,7980
31,A317830,에스피시스템스,20210630,7740
32,A317830,에스피시스템스,20210629,8010
33,A317830,에스피시스템스,20210628,8130
34,A317830,에스피시스템스,20210625,7990
35,A317830,에스피시스템스,20210624,7800
36,A317830,에스피시스템스,20210623,7900
37,A317830,에스피시스템스,20210622,7630
38,A317830,에스피시스템스,20210621,7500
39,A317830,에스피시스템스,20210618,7690
40,A317830,에스피시스템스,20210617,7610
41,A317830,에스피시스템스,20210616,7590
42,A317830,에스피시스템스,20210615,7610
43,A317830,에스피시스템스,20210614,7600
44,A317830,에스피시스템스,20210611,7610
45,A317830,에스피시스템스,20210610,7520
46,A317830,에스피시스템스,20210609,7630
47,A317830,에스피시스템스,20210608,7600
48,A317830,에스피시스템스,20210607,7620
49,A317830,에스피시스템스,20210604,7600
50,A317830,에스피시스템스,20210603,7590
51,A317830,에스피시스템스,20210602,7560
52,A317830,에스피시스템스,20210601,7320
53,A317830,에스피시스템스,20210531,7350
54,A317830,에스피시스템스,20210528,7190
55,A317830,에스피시스템스,20210527,7230
56,A317830,에스피시스템스,20210526,7280
57,A317830,에스피시스템스,20210525,7250
58,A317830,에스피시스템스,20210524,7020
59,A317830,에스피시스템스,20210521,7400
60,A317830,에스피시스템스,20210520,7220
61,A317830,에스피시스템스,20210518,7420
62,A317830,에스피시스템스,20210517,7600
63,A317830,에스피시스템스,20210514,8010
64,A317830,에스피시스템스,20210513,7800
65,A317830,에스피시스템스,20210512,7700
66,A317830,에스피시스템스,20210511,7730
67,A317830,에스피시스템스,20210510,7690
68,A317830,에스피시스템스,20210507,7170
69,A317830,에스피시스템스,20210506,7420
70,A317830,에스피시스템스,20210504,6950
71,A317830,에스피시스템스,20210503,7040
72,A317830,에스피시스템스,20210430,7010
73,A317830,에스피시스템스,20210429,7100
74,A317830,에스피시스템스,20210428,7280
75,A317830,에스피시스템스,20210427,7380
76,A317830,에스피시스템스,20210426,7330
77,A317830,에스피시스템스,20210423,7470
78,A317830,에스피시스템스,20210422,7700
79,A317830,에스피시스템스,20210421,7410
80,A317830,에스피시스템스,20210420,7570
81,A317830,에스피시스템스,20210419,7660
82,A317830,에스피시스템스,20210416,7780
83,A317830,에스피시스템스,20210415,7920
84,A317830,에스피시스템스,20210414,7660
85,A317830,에스피시스템스,20210413,7480
86,A317830,에스피시스템스,20210412,7410
87,A317830,에스피시스템스,20210409,7200
88,A317830,에스피시스템스,20210408,7300
89,A317830,에스피시스템스,20210407,7300
90,A317830,에스피시스템스,20210406,7400
91,A317830,에스피시스템스,20210405,7480
92,A317830,에스피시스템스,20210402,7160
93,A317830,에스피시스템스,20210401,7180
94,A317830,에스피시스템스,20210331,7250
95,A317830,에스피시스템스,20210330,7230
96,A317830,에스피시스템스,20210329,7110
97,A317830,에스피시스템스,20210326,7210
98,A317830,에스피시스템스,20210325,7220
99,A317830,에스피시스템스,20210324,7180
100,A317830,에스피시스템스,20210323,7050
101,A317830,에스피시스템스,20210322,7180
102,A317830,에스피시스템스,20210319,6940
103,A317830,에스피시스템스,20210318,6780
104,A317830,에스피시스템스,20210317,6750
105,A317830,에스피시스템스,20210316,6730
106,A317830,에스피시스템스,20210315,6650
107,A317830,에스피시스템스,20210312,6690
108,A317830,에스피시스템스,20210311,6590
109,A317830,에스피시스템스,20210310,6310
110,A317830,에스피시스템스,20210309,6550
111,A317830,에스피시스템스,20210308,6650
112,A317830,에스피시스템스,20210305,6840
113,A317830,에스피시스템스,20210304,6990
114,A317830,에스피시스템스,20210303,7330
115,A317830,에스피시스템스,20210302,7320
116,A317830,에스피시스템스,20210226,7240
117,A317830,에스피시스템스,20210225,7450
118,A317830,에스피시스템스,20210224,7340
119,A317830,에스피시스템스,20210223,7210
120,A317830,에스피시스템스,20210222,7200
121,A317830,에스피시스템스,20210219,7410
122,A317830,에스피시스템스,20210218,7650
123,A317830,에스피시스템스,20210217,8030
124,A317830,에스피시스템스,20210216,7760
125,A317830,에스피시스템스,20210215,7720
126,A317830,에스피시스템스,20210210,7500
127,A317830,에스피시스템스,20210209,7690
128,A317830,에스피시스템스,20210208,7310
129,A317830,에스피시스템스,20210205,7410
130,A317830,에스피시스템스,20210204,7520
131,A317830,에스피시스템스,20210203,7640
132,A317830,에스피시스템스,20210202,7330
133,A317830,에스피시스템스,20210201,7270
134,A317830,에스피시스템스,20210129,7180
135,A317830,에스피시스템스,20210128,7470
136,A317830,에스피시스템스,20210127,7900
137,A317830,에스피시스템스,20210126,8160
138,A317830,에스피시스템스,20210125,8420
139,A317830,에스피시스템스,20210122,7180
140,A317830,에스피시스템스,20210121,7030
141,A317830,에스피시스템스,20210120,7250
142,A317830,에스피시스템스,20210119,6760
143,A317830,에스피시스템스,20210118,6530
144,A317830,에스피시스템스,20210115,6470
145,A317830,에스피시스템스,20210114,6580
146,A317830,에스피시스템스,20210113,6630
147,A317830,에스피시스템스,20210112,6430
148,A317830,에스피시스템스,20210111,6330
149,A317830,에스피시스템스,20210108,6570
150,A317830,에스피시스템스,20210107,6450
151,A317830,에스피시스템스,20210106,6410
152,A317830,에스피시스템스,20210105,6270
153,A317830,에스피시스템스,20210104,6250
154,A317830,에스피시스템스,20201230,6200
155,A317830,에스피시스템스,20201229,6120
156,A317830,에스피시스템스,20201228,6040
157,A317830,에스피시스템스,20201224,6350
158,A317830,에스피시스템스,20201223,5900
159,A317830,에스피시스템스,20201222,5900
160,A317830,에스피시스템스,20201221,6150
161,A317830,에스피시스템스,20201218,6200
162,A317830,에스피시스템스,20201217,6170
163,A317830,에스피시스템스,20201216,6190
164,A317830,에스피시스템스,20201215,6160
165,A317830,에스피시스템스,20201214,6280
166,A317830,에스피시스템스,20201211,5990
167,A317830,에스피시스템스,20201210,5880
168,A317830,에스피시스템스,20201209,5890
169,A317830,에스피시스템스,20201208,5820
170,A317830,에스피시스템스,20201207,5840
171,A317830,에스피시스템스,20201204,5870
172,A317830,에스피시스템스,20201203,5960
173,A317830,에스피시스템스,20201202,6050
174,A317830,에스피시스템스,20201201,6060
175,A317830,에스피시스템스,20201130,6070
176,A317830,에스피시스템스,20201127,6120
177,A317830,에스피시스템스,20201126,6290
178,A317830,에스피시스템스,20201125,6290
