,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,а╬╟║
0,A043340,©║╫Кеве╘,20210812,1440
1,A043340,©║╫Кеве╘,20210811,1450
2,A043340,©║╫Кеве╘,20210810,1445
3,A043340,©║╫Кеве╘,20210809,1465
4,A043340,©║╫Кеве╘,20210806,1510
5,A043340,©║╫Кеве╘,20210805,1555
6,A043340,©║╫Кеве╘,20210804,1585
7,A043340,©║╫Кеве╘,20210803,1555
8,A043340,©║╫Кеве╘,20210802,1565
9,A043340,©║╫Кеве╘,20210730,1605
10,A043340,©║╫Кеве╘,20210729,1640
11,A043340,©║╫Кеве╘,20210728,1695
12,A043340,©║╫Кеве╘,20210727,1695
13,A043340,©║╫Кеве╘,20210726,1855
14,A043340,©║╫Кеве╘,20210723,1930
15,A043340,©║╫Кеве╘,20210722,1930
16,A043340,©║╫Кеве╘,20210721,1990
17,A043340,©║╫Кеве╘,20210720,1985
18,A043340,©║╫Кеве╘,20210719,1940
19,A043340,©║╫Кеве╘,20210716,1495
20,A043340,©║╫Кеве╘,20210715,1410
21,A043340,©║╫Кеве╘,20210714,1385
22,A043340,©║╫Кеве╘,20210713,1395
23,A043340,©║╫Кеве╘,20210712,1360
24,A043340,©║╫Кеве╘,20210709,1300
25,A043340,©║╫Кеве╘,20210708,1310
26,A043340,©║╫Кеве╘,20210707,1345
27,A043340,©║╫Кеве╘,20210706,1305
28,A043340,©║╫Кеве╘,20210705,1300
29,A043340,©║╫Кеве╘,20210702,1315
30,A043340,©║╫Кеве╘,20210701,1350
31,A043340,©║╫Кеве╘,20210630,1350
32,A043340,©║╫Кеве╘,20210629,1345
33,A043340,©║╫Кеве╘,20210628,1350
34,A043340,©║╫Кеве╘,20210625,1375
35,A043340,©║╫Кеве╘,20210624,1375
36,A043340,©║╫Кеве╘,20210623,1340
37,A043340,©║╫Кеве╘,20210622,1365
38,A043340,©║╫Кеве╘,20210621,1375
39,A043340,©║╫Кеве╘,20210618,1400
40,A043340,©║╫Кеве╘,20210617,1400
41,A043340,©║╫Кеве╘,20210616,1365
42,A043340,©║╫Кеве╘,20210615,1375
43,A043340,©║╫Кеве╘,20210614,1355
44,A043340,©║╫Кеве╘,20210611,1375
45,A043340,©║╫Кеве╘,20210610,1380
46,A043340,©║╫Кеве╘,20210609,1385
47,A043340,©║╫Кеве╘,20210608,1395
48,A043340,©║╫Кеве╘,20210607,1390
49,A043340,©║╫Кеве╘,20210604,1405
50,A043340,©║╫Кеве╘,20210603,1430
51,A043340,©║╫Кеве╘,20210602,1405
52,A043340,©║╫Кеве╘,20210601,1415
53,A043340,©║╫Кеве╘,20210531,1480
54,A043340,©║╫Кеве╘,20210528,1365
