,辆格内靛,辆格疙,朝楼,辆啊
0,A140910,俊捞府明,20210812,11400
1,A140910,俊捞府明,20210811,11300
2,A140910,俊捞府明,20210810,11350
3,A140910,俊捞府明,20210809,11550
4,A140910,俊捞府明,20210806,11600
5,A140910,俊捞府明,20210805,11650
6,A140910,俊捞府明,20210804,11600
7,A140910,俊捞府明,20210803,11500
8,A140910,俊捞府明,20210802,11400
9,A140910,俊捞府明,20210730,11450
10,A140910,俊捞府明,20210729,11500
11,A140910,俊捞府明,20210728,11700
12,A140910,俊捞府明,20210727,11800
13,A140910,俊捞府明,20210726,11850
14,A140910,俊捞府明,20210723,11950
15,A140910,俊捞府明,20210722,11600
16,A140910,俊捞府明,20210721,11650
17,A140910,俊捞府明,20210720,12000
18,A140910,俊捞府明,20210719,11900
19,A140910,俊捞府明,20210716,12200
20,A140910,俊捞府明,20210715,12450
21,A140910,俊捞府明,20210714,12300
22,A140910,俊捞府明,20210713,12900
23,A140910,俊捞府明,20210712,13400
24,A140910,俊捞府明,20210709,13450
25,A140910,俊捞府明,20210708,13500
26,A140910,俊捞府明,20210707,14100
27,A140910,俊捞府明,20210706,14500
28,A140910,俊捞府明,20210705,14450
29,A140910,俊捞府明,20210702,14600
30,A140910,俊捞府明,20210701,14800
31,A140910,俊捞府明,20210630,15550
32,A140910,俊捞府明,20210629,15050
33,A140910,俊捞府明,20210628,15200
34,A140910,俊捞府明,20210625,14150
35,A140910,俊捞府明,20210624,13850
36,A140910,俊捞府明,20210623,13800
37,A140910,俊捞府明,20210622,14400
38,A140910,俊捞府明,20210621,14300
39,A140910,俊捞府明,20210618,14950
40,A140910,俊捞府明,20210617,15100
41,A140910,俊捞府明,20210616,15100
42,A140910,俊捞府明,20210615,14600
43,A140910,俊捞府明,20210614,14450
44,A140910,俊捞府明,20210611,14900
45,A140910,俊捞府明,20210610,15250
46,A140910,俊捞府明,20210609,15100
47,A140910,俊捞府明,20210608,15250
48,A140910,俊捞府明,20210607,16500
49,A140910,俊捞府明,20210604,16900
50,A140910,俊捞府明,20210603,16050
51,A140910,俊捞府明,20210602,15350
52,A140910,俊捞府明,20210601,14950
53,A140910,俊捞府明,20210531,15100
54,A140910,俊捞府明,20210528,15550
55,A140910,俊捞府明,20210527,14950
56,A140910,俊捞府明,20210526,15850
57,A140910,俊捞府明,20210525,15400
58,A140910,俊捞府明,20210524,15350
59,A140910,俊捞府明,20210521,17300
60,A140910,俊捞府明,20210520,18100
61,A140910,俊捞府明,20210518,17600
62,A140910,俊捞府明,20210517,18000
63,A140910,俊捞府明,20210514,15850
64,A140910,俊捞府明,20210513,13800
65,A140910,俊捞府明,20210512,15900
66,A140910,俊捞府明,20210511,12350
67,A140910,俊捞府明,20210510,11750
68,A140910,俊捞府明,20210507,11850
69,A140910,俊捞府明,20210506,11850
70,A140910,俊捞府明,20210504,10800
71,A140910,俊捞府明,20210503,10650
72,A140910,俊捞府明,20210430,10750
73,A140910,俊捞府明,20210429,11450
74,A140910,俊捞府明,20210428,11350
75,A140910,俊捞府明,20210427,11400
76,A140910,俊捞府明,20210426,11100
77,A140910,俊捞府明,20210423,9610
78,A140910,俊捞府明,20210422,9600
79,A140910,俊捞府明,20210421,9580
80,A140910,俊捞府明,20210420,9550
81,A140910,俊捞府明,20210419,9600
82,A140910,俊捞府明,20210416,9570
83,A140910,俊捞府明,20210415,9630
84,A140910,俊捞府明,20210414,9980
85,A140910,俊捞府明,20210413,9500
86,A140910,俊捞府明,20210412,10250
87,A140910,俊捞府明,20210409,7910
88,A140910,俊捞府明,20210408,7870
89,A140910,俊捞府明,20210407,7950
90,A140910,俊捞府明,20210406,7850
91,A140910,俊捞府明,20210405,7790
92,A140910,俊捞府明,20210402,7910
93,A140910,俊捞府明,20210401,8040
94,A140910,俊捞府明,20210331,7930
95,A140910,俊捞府明,20210330,7920
96,A140910,俊捞府明,20210329,7830
97,A140910,俊捞府明,20210326,7650
98,A140910,俊捞府明,20210325,7610
99,A140910,俊捞府明,20210324,7540
100,A140910,俊捞府明,20210323,7500
101,A140910,俊捞府明,20210322,7500
102,A140910,俊捞府明,20210319,7490
103,A140910,俊捞府明,20210318,7530
104,A140910,俊捞府明,20210317,7450
105,A140910,俊捞府明,20210316,7580
106,A140910,俊捞府明,20210315,7640
107,A140910,俊捞府明,20210312,7440
108,A140910,俊捞府明,20210311,7140
109,A140910,俊捞府明,20210310,7090
110,A140910,俊捞府明,20210309,7070
111,A140910,俊捞府明,20210308,7030
112,A140910,俊捞府明,20210305,6880
113,A140910,俊捞府明,20210304,6870
114,A140910,俊捞府明,20210303,6880
115,A140910,俊捞府明,20210302,6870
116,A140910,俊捞府明,20210226,6770
117,A140910,俊捞府明,20210225,6890
118,A140910,俊捞府明,20210224,6780
119,A140910,俊捞府明,20210223,6870
120,A140910,俊捞府明,20210222,6930
121,A140910,俊捞府明,20210219,6950
122,A140910,俊捞府明,20210218,6930
123,A140910,俊捞府明,20210217,6970
124,A140910,俊捞府明,20210216,6980
125,A140910,俊捞府明,20210215,6990
126,A140910,俊捞府明,20210210,6960
127,A140910,俊捞府明,20210209,6840
128,A140910,俊捞府明,20210208,6820
129,A140910,俊捞府明,20210205,6780
130,A140910,俊捞府明,20210204,6820
131,A140910,俊捞府明,20210203,6770
132,A140910,俊捞府明,20210202,6770
133,A140910,俊捞府明,20210201,6710
134,A140910,俊捞府明,20210129,6690
135,A140910,俊捞府明,20210128,6690
136,A140910,俊捞府明,20210127,6730
137,A140910,俊捞府明,20210126,6770
138,A140910,俊捞府明,20210125,6840
139,A140910,俊捞府明,20210122,6720
140,A140910,俊捞府明,20210121,6720
141,A140910,俊捞府明,20210120,6700
142,A140910,俊捞府明,20210119,6750
143,A140910,俊捞府明,20210118,6720
144,A140910,俊捞府明,20210115,6770
145,A140910,俊捞府明,20210114,6810
146,A140910,俊捞府明,20210113,6800
147,A140910,俊捞府明,20210112,6800
148,A140910,俊捞府明,20210111,6840
149,A140910,俊捞府明,20210108,6830
150,A140910,俊捞府明,20210107,6970
151,A140910,俊捞府明,20210106,6760
152,A140910,俊捞府明,20210105,6630
153,A140910,俊捞府明,20210104,6620
154,A140910,俊捞府明,20201230,6860
155,A140910,俊捞府明,20201229,7010
156,A140910,俊捞府明,20201228,7640
157,A140910,俊捞府明,20201224,7747
158,A140910,俊捞府明,20201223,7622
159,A140910,俊捞府明,20201222,7882
160,A140910,俊捞府明,20201221,7810
161,A140910,俊捞府明,20201218,7640
162,A140910,俊捞府明,20201217,7505
163,A140910,俊捞府明,20201216,7514
164,A140910,俊捞府明,20201215,7325
165,A140910,俊捞府明,20201214,7298
166,A140910,俊捞府明,20201211,7379
167,A140910,俊捞府明,20201210,7397
168,A140910,俊捞府明,20201209,7271
169,A140910,俊捞府明,20201208,7217
170,A140910,俊捞府明,20201207,7253
171,A140910,俊捞府明,20201204,7316
172,A140910,俊捞府明,20201203,7271
173,A140910,俊捞府明,20201202,7244
174,A140910,俊捞府明,20201201,7217
175,A140910,俊捞府明,20201130,7244
176,A140910,俊捞府明,20201127,7280
177,A140910,俊捞府明,20201126,7253
178,A140910,俊捞府明,20201125,7181
179,A140910,俊捞府明,20201124,7145
180,A140910,俊捞府明,20201123,7028
181,A140910,俊捞府明,20201120,7037
182,A140910,俊捞府明,20201119,7082
183,A140910,俊捞府明,20201118,7289
184,A140910,俊捞府明,20201117,7190
185,A140910,俊捞府明,20201116,7163
186,A140910,俊捞府明,20201113,7334
187,A140910,俊捞府明,20201112,7684
188,A140910,俊捞府明,20201111,7783
189,A140910,俊捞府明,20201110,7783
190,A140910,俊捞府明,20201109,7828
191,A140910,俊捞府明,20201106,7837
192,A140910,俊捞府明,20201105,7855
193,A140910,俊捞府明,20201104,7882
194,A140910,俊捞府明,20201103,7945
195,A140910,俊捞府明,20201102,8098
196,A140910,俊捞府明,20201030,8098
197,A140910,俊捞府明,20201029,8323
198,A140910,俊捞府明,20201028,8008
199,A140910,俊捞府明,20201027,7702
200,A140910,俊捞府明,20201026,7415
201,A140910,俊捞府明,20201023,7433
202,A140910,俊捞府明,20201022,7388
203,A140910,俊捞府明,20201021,7415
204,A140910,俊捞府明,20201020,7370
205,A140910,俊捞府明,20201019,7361
206,A140910,俊捞府明,20201016,7406
207,A140910,俊捞府明,20201015,7379
208,A140910,俊捞府明,20201014,7640
209,A140910,俊捞府明,20201013,7460
210,A140910,俊捞府明,20201012,7253
211,A140910,俊捞府明,20201008,7046
212,A140910,俊捞府明,20201007,7109
213,A140910,俊捞府明,20201006,7064
214,A140910,俊捞府明,20201005,6785
