,종목코드,종목명,날짜,종가
0,A312610,에이에프더블류,20210812,7310
1,A312610,에이에프더블류,20210811,7040
2,A312610,에이에프더블류,20210810,7390
3,A312610,에이에프더블류,20210809,7300
4,A312610,에이에프더블류,20210806,7400
5,A312610,에이에프더블류,20210805,7550
6,A312610,에이에프더블류,20210804,7610
7,A312610,에이에프더블류,20210803,7580
8,A312610,에이에프더블류,20210802,7570
9,A312610,에이에프더블류,20210730,7650
10,A312610,에이에프더블류,20210729,7790
11,A312610,에이에프더블류,20210728,7700
12,A312610,에이에프더블류,20210727,8090
13,A312610,에이에프더블류,20210726,8210
14,A312610,에이에프더블류,20210723,8320
15,A312610,에이에프더블류,20210722,8350
16,A312610,에이에프더블류,20210721,8320
17,A312610,에이에프더블류,20210720,8490
18,A312610,에이에프더블류,20210719,8670
19,A312610,에이에프더블류,20210716,8760
20,A312610,에이에프더블류,20210715,8970
21,A312610,에이에프더블류,20210714,9070
22,A312610,에이에프더블류,20210713,8650
23,A312610,에이에프더블류,20210712,8560
24,A312610,에이에프더블류,20210709,8570
25,A312610,에이에프더블류,20210708,8830
26,A312610,에이에프더블류,20210707,8600
27,A312610,에이에프더블류,20210706,8600
28,A312610,에이에프더블류,20210705,8810
29,A312610,에이에프더블류,20210702,8850
30,A312610,에이에프더블류,20210701,8750
31,A312610,에이에프더블류,20210630,8740
32,A312610,에이에프더블류,20210629,8590
33,A312610,에이에프더블류,20210628,8610
34,A312610,에이에프더블류,20210625,8320
35,A312610,에이에프더블류,20210624,8240
36,A312610,에이에프더블류,20210623,8500
37,A312610,에이에프더블류,20210622,8720
38,A312610,에이에프더블류,20210621,8700
39,A312610,에이에프더블류,20210618,8870
40,A312610,에이에프더블류,20210617,8980
41,A312610,에이에프더블류,20210616,8980
42,A312610,에이에프더블류,20210615,8990
43,A312610,에이에프더블류,20210614,9010
44,A312610,에이에프더블류,20210611,9020
45,A312610,에이에프더블류,20210610,8980
46,A312610,에이에프더블류,20210609,8980
47,A312610,에이에프더블류,20210608,9050
48,A312610,에이에프더블류,20210607,9200
49,A312610,에이에프더블류,20210604,9120
50,A312610,에이에프더블류,20210603,9120
51,A312610,에이에프더블류,20210602,9110
52,A312610,에이에프더블류,20210601,9270
53,A312610,에이에프더블류,20210531,9250
54,A312610,에이에프더블류,20210528,9210
55,A312610,에이에프더블류,20210527,9010
56,A312610,에이에프더블류,20210526,9000
57,A312610,에이에프더블류,20210525,9000
58,A312610,에이에프더블류,20210524,9100
59,A312610,에이에프더블류,20210521,9450
60,A312610,에이에프더블류,20210520,9700
61,A312610,에이에프더블류,20210518,9650
62,A312610,에이에프더블류,20210517,9610
63,A312610,에이에프더블류,20210514,10050
64,A312610,에이에프더블류,20210513,9600
65,A312610,에이에프더블류,20210512,9850
66,A312610,에이에프더블류,20210511,10150
67,A312610,에이에프더블류,20210510,10200
68,A312610,에이에프더블류,20210507,10000
69,A312610,에이에프더블류,20210506,9980
70,A312610,에이에프더블류,20210504,10250
71,A312610,에이에프더블류,20210503,10000
72,A312610,에이에프더블류,20210430,10350
73,A312610,에이에프더블류,20210429,10150
74,A312610,에이에프더블류,20210428,10200
75,A312610,에이에프더블류,20210427,10800
76,A312610,에이에프더블류,20210426,10900
77,A312610,에이에프더블류,20210423,11050
78,A312610,에이에프더블류,20210422,11400
79,A312610,에이에프더블류,20210421,11150
80,A312610,에이에프더블류,20210420,11200
81,A312610,에이에프더블류,20210419,10450
82,A312610,에이에프더블류,20210416,10200
83,A312610,에이에프더블류,20210415,9640
