,종목코드,종목명,날짜,종가
0,A073540,에프알텍,20210812,4390
1,A073540,에프알텍,20210811,4385
2,A073540,에프알텍,20210810,4415
3,A073540,에프알텍,20210809,4535
4,A073540,에프알텍,20210806,4540
5,A073540,에프알텍,20210805,4580
6,A073540,에프알텍,20210804,4515
7,A073540,에프알텍,20210803,4455
8,A073540,에프알텍,20210802,4470
9,A073540,에프알텍,20210730,4565
10,A073540,에프알텍,20210729,4595
11,A073540,에프알텍,20210728,4515
12,A073540,에프알텍,20210727,4510
13,A073540,에프알텍,20210726,4570
14,A073540,에프알텍,20210723,4635
15,A073540,에프알텍,20210722,4575
16,A073540,에프알텍,20210721,4530
17,A073540,에프알텍,20210720,4610
18,A073540,에프알텍,20210719,4690
19,A073540,에프알텍,20210716,4730
20,A073540,에프알텍,20210715,4720
21,A073540,에프알텍,20210714,4620
22,A073540,에프알텍,20210713,4665
23,A073540,에프알텍,20210712,4585
24,A073540,에프알텍,20210709,4505
25,A073540,에프알텍,20210708,4650
26,A073540,에프알텍,20210707,4830
27,A073540,에프알텍,20210706,4920
28,A073540,에프알텍,20210705,4870
29,A073540,에프알텍,20210702,4885
30,A073540,에프알텍,20210701,4970
31,A073540,에프알텍,20210630,4970
32,A073540,에프알텍,20210629,4975
33,A073540,에프알텍,20210628,4860
34,A073540,에프알텍,20210625,4735
35,A073540,에프알텍,20210624,4650
36,A073540,에프알텍,20210623,4680
37,A073540,에프알텍,20210622,4775
38,A073540,에프알텍,20210621,4770
39,A073540,에프알텍,20210618,4875
40,A073540,에프알텍,20210617,4675
41,A073540,에프알텍,20210616,4540
42,A073540,에프알텍,20210615,4515
43,A073540,에프알텍,20210614,4600
44,A073540,에프알텍,20210611,4695
45,A073540,에프알텍,20210610,4445
46,A073540,에프알텍,20210609,4440
47,A073540,에프알텍,20210608,4540
48,A073540,에프알텍,20210607,4575
49,A073540,에프알텍,20210604,4735
50,A073540,에프알텍,20210603,4760
51,A073540,에프알텍,20210602,4670
52,A073540,에프알텍,20210601,4705
53,A073540,에프알텍,20210531,4700
54,A073540,에프알텍,20210528,4540
55,A073540,에프알텍,20210527,4390
56,A073540,에프알텍,20210526,4410
57,A073540,에프알텍,20210525,4385
58,A073540,에프알텍,20210524,4175
59,A073540,에프알텍,20210521,4275
