,辆格内靛,辆格疙,朝楼,辆啊
0,A092870,竣矫能,20210812,15350
1,A092870,竣矫能,20210811,15200
2,A092870,竣矫能,20210810,16450
3,A092870,竣矫能,20210809,16350
4,A092870,竣矫能,20210806,16250
5,A092870,竣矫能,20210805,16200
6,A092870,竣矫能,20210804,14950
7,A092870,竣矫能,20210803,14900
8,A092870,竣矫能,20210802,14750
9,A092870,竣矫能,20210730,14600
10,A092870,竣矫能,20210729,15000
11,A092870,竣矫能,20210728,14900
12,A092870,竣矫能,20210727,15150
13,A092870,竣矫能,20210726,14750
14,A092870,竣矫能,20210723,14950
15,A092870,竣矫能,20210722,15200
16,A092870,竣矫能,20210721,14350
17,A092870,竣矫能,20210720,14400
18,A092870,竣矫能,20210719,14500
19,A092870,竣矫能,20210716,14750
20,A092870,竣矫能,20210715,14700
21,A092870,竣矫能,20210714,14800
22,A092870,竣矫能,20210713,14550
23,A092870,竣矫能,20210712,13850
24,A092870,竣矫能,20210709,13650
25,A092870,竣矫能,20210708,14000
26,A092870,竣矫能,20210707,14200
27,A092870,竣矫能,20210706,13900
28,A092870,竣矫能,20210705,13500
29,A092870,竣矫能,20210702,13550
30,A092870,竣矫能,20210701,13650
31,A092870,竣矫能,20210630,13300
32,A092870,竣矫能,20210629,13300
33,A092870,竣矫能,20210628,13450
34,A092870,竣矫能,20210625,13400
35,A092870,竣矫能,20210624,13100
36,A092870,竣矫能,20210623,13200
37,A092870,竣矫能,20210622,13300
38,A092870,竣矫能,20210621,13400
39,A092870,竣矫能,20210618,13700
40,A092870,竣矫能,20210617,13700
41,A092870,竣矫能,20210616,13800
42,A092870,竣矫能,20210615,13550
43,A092870,竣矫能,20210614,13550
44,A092870,竣矫能,20210611,13700
45,A092870,竣矫能,20210610,13350
46,A092870,竣矫能,20210609,13250
47,A092870,竣矫能,20210608,13500
48,A092870,竣矫能,20210607,13700
49,A092870,竣矫能,20210604,13750
50,A092870,竣矫能,20210603,14050
51,A092870,竣矫能,20210602,13800
52,A092870,竣矫能,20210601,13800
53,A092870,竣矫能,20210531,13350
54,A092870,竣矫能,20210528,13250
55,A092870,竣矫能,20210527,13000
56,A092870,竣矫能,20210526,13000
57,A092870,竣矫能,20210525,13250
58,A092870,竣矫能,20210524,13200
59,A092870,竣矫能,20210521,13550
60,A092870,竣矫能,20210520,13750
61,A092870,竣矫能,20210518,13700
62,A092870,竣矫能,20210517,13650
63,A092870,竣矫能,20210514,14050
