,종목코드,종목명,날짜,종가
0,A317870,엔바이오니아,20210812,10800
1,A317870,엔바이오니아,20210811,10800
2,A317870,엔바이오니아,20210810,10100
3,A317870,엔바이오니아,20210809,10300
4,A317870,엔바이오니아,20210806,10450
5,A317870,엔바이오니아,20210805,10350
6,A317870,엔바이오니아,20210804,9900
7,A317870,엔바이오니아,20210803,9600
8,A317870,엔바이오니아,20210802,9640
9,A317870,엔바이오니아,20210730,9650
10,A317870,엔바이오니아,20210729,9730
11,A317870,엔바이오니아,20210728,9700
12,A317870,엔바이오니아,20210727,9840
13,A317870,엔바이오니아,20210726,9910
14,A317870,엔바이오니아,20210723,10200
15,A317870,엔바이오니아,20210722,10250
16,A317870,엔바이오니아,20210721,10050
17,A317870,엔바이오니아,20210720,10000
18,A317870,엔바이오니아,20210719,10050
19,A317870,엔바이오니아,20210716,10250
20,A317870,엔바이오니아,20210715,10500
21,A317870,엔바이오니아,20210714,10200
22,A317870,엔바이오니아,20210713,10200
23,A317870,엔바이오니아,20210712,10250
24,A317870,엔바이오니아,20210709,10350
25,A317870,엔바이오니아,20210708,10200
26,A317870,엔바이오니아,20210707,10600
27,A317870,엔바이오니아,20210706,10500
28,A317870,엔바이오니아,20210705,10650
29,A317870,엔바이오니아,20210702,10400
30,A317870,엔바이오니아,20210701,10350
31,A317870,엔바이오니아,20210630,10550
32,A317870,엔바이오니아,20210629,10550
33,A317870,엔바이오니아,20210628,10750
34,A317870,엔바이오니아,20210625,10700
35,A317870,엔바이오니아,20210624,10550
36,A317870,엔바이오니아,20210623,10400
37,A317870,엔바이오니아,20210622,10700
38,A317870,엔바이오니아,20210621,10800
39,A317870,엔바이오니아,20210618,10650
40,A317870,엔바이오니아,20210617,11100
41,A317870,엔바이오니아,20210616,11100
42,A317870,엔바이오니아,20210615,10800
43,A317870,엔바이오니아,20210614,10700
44,A317870,엔바이오니아,20210611,10950
45,A317870,엔바이오니아,20210610,10900
46,A317870,엔바이오니아,20210609,11300
47,A317870,엔바이오니아,20210608,11300
48,A317870,엔바이오니아,20210607,11550
49,A317870,엔바이오니아,20210604,11550
50,A317870,엔바이오니아,20210603,11550
51,A317870,엔바이오니아,20210602,11100
52,A317870,엔바이오니아,20210601,11250
53,A317870,엔바이오니아,20210531,11350
54,A317870,엔바이오니아,20210528,11650
55,A317870,엔바이오니아,20210527,11700
56,A317870,엔바이오니아,20210526,11950
57,A317870,엔바이오니아,20210525,11850
58,A317870,엔바이오니아,20210524,11800
59,A317870,엔바이오니아,20210521,12300
60,A317870,엔바이오니아,20210520,12450
61,A317870,엔바이오니아,20210518,12200
62,A317870,엔바이오니아,20210517,12400
63,A317870,엔바이오니아,20210514,12600
64,A317870,엔바이오니아,20210513,12600
65,A317870,엔바이오니아,20210512,12250
66,A317870,엔바이오니아,20210511,12100
67,A317870,엔바이오니아,20210510,11300
68,A317870,엔바이오니아,20210507,10800
69,A317870,엔바이오니아,20210506,10200
70,A317870,엔바이오니아,20210504,10200
71,A317870,엔바이오니아,20210503,10200
72,A317870,엔바이오니아,20210430,10550
73,A317870,엔바이오니아,20210429,10100
74,A317870,엔바이오니아,20210428,10050
75,A317870,엔바이오니아,20210427,10550
76,A317870,엔바이오니아,20210426,10250
77,A317870,엔바이오니아,20210423,10250
78,A317870,엔바이오니아,20210422,10400
79,A317870,엔바이오니아,20210421,10550
80,A317870,엔바이오니아,20210420,9860
81,A317870,엔바이오니아,20210419,9850
82,A317870,엔바이오니아,20210416,9990
83,A317870,엔바이오니아,20210415,10050
84,A317870,엔바이오니아,20210414,10200
85,A317870,엔바이오니아,20210413,10250
86,A317870,엔바이오니아,20210412,10000
87,A317870,엔바이오니아,20210409,10400
88,A317870,엔바이오니아,20210408,10350
89,A317870,엔바이오니아,20210407,10050
90,A317870,엔바이오니아,20210406,9980
91,A317870,엔바이오니아,20210405,10200
92,A317870,엔바이오니아,20210402,9700
93,A317870,엔바이오니아,20210401,9650
94,A317870,엔바이오니아,20210331,9600
95,A317870,엔바이오니아,20210330,9470
96,A317870,엔바이오니아,20210329,9410
97,A317870,엔바이오니아,20210326,9140
98,A317870,엔바이오니아,20210325,9150
99,A317870,엔바이오니아,20210324,9320
100,A317870,엔바이오니아,20210323,9030
101,A317870,엔바이오니아,20210322,8950
102,A317870,엔바이오니아,20210319,8970
103,A317870,엔바이오니아,20210318,9050
104,A317870,엔바이오니아,20210317,9020
105,A317870,엔바이오니아,20210316,9150
106,A317870,엔바이오니아,20210315,9180
107,A317870,엔바이오니아,20210312,8820
108,A317870,엔바이오니아,20210311,8790
109,A317870,엔바이오니아,20210310,8120
110,A317870,엔바이오니아,20210309,8580
111,A317870,엔바이오니아,20210308,8790
112,A317870,엔바이오니아,20210305,8980
113,A317870,엔바이오니아,20210304,8950
114,A317870,엔바이오니아,20210303,8930
115,A317870,엔바이오니아,20210302,8800
116,A317870,엔바이오니아,20210226,8690
117,A317870,엔바이오니아,20210225,9130
118,A317870,엔바이오니아,20210224,8880
119,A317870,엔바이오니아,20210223,9520
120,A317870,엔바이오니아,20210222,9430
121,A317870,엔바이오니아,20210219,9770
122,A317870,엔바이오니아,20210218,10200
123,A317870,엔바이오니아,20210217,10600
124,A317870,엔바이오니아,20210216,10700
125,A317870,엔바이오니아,20210215,10950
126,A317870,엔바이오니아,20210210,10950
127,A317870,엔바이오니아,20210209,10850
128,A317870,엔바이오니아,20210208,10800
129,A317870,엔바이오니아,20210205,11100
130,A317870,엔바이오니아,20210204,11250
131,A317870,엔바이오니아,20210203,11150
132,A317870,엔바이오니아,20210202,11150
133,A317870,엔바이오니아,20210201,10150
134,A317870,엔바이오니아,20210129,10050
135,A317870,엔바이오니아,20210128,10800
136,A317870,엔바이오니아,20210127,11000
137,A317870,엔바이오니아,20210126,10700
138,A317870,엔바이오니아,20210125,11150
139,A317870,엔바이오니아,20210122,10100
140,A317870,엔바이오니아,20210121,9410
141,A317870,엔바이오니아,20210120,9410
142,A317870,엔바이오니아,20210119,9400
