,종목코드,종목명,날짜,종가
0,A236810,엔비티,20210812,25050
1,A236810,엔비티,20210811,24600
2,A236810,엔비티,20210810,24950
3,A236810,엔비티,20210809,25550
4,A236810,엔비티,20210806,25750
5,A236810,엔비티,20210805,25700
6,A236810,엔비티,20210804,25400
7,A236810,엔비티,20210803,24800
8,A236810,엔비티,20210802,25450
9,A236810,엔비티,20210730,25900
10,A236810,엔비티,20210729,26300
11,A236810,엔비티,20210728,26350
12,A236810,엔비티,20210727,26700
13,A236810,엔비티,20210726,27300
14,A236810,엔비티,20210723,26200
15,A236810,엔비티,20210722,26150
16,A236810,엔비티,20210721,26600
17,A236810,엔비티,20210720,27850
18,A236810,엔비티,20210719,28800
19,A236810,엔비티,20210716,28050
20,A236810,엔비티,20210715,27700
21,A236810,엔비티,20210714,26750
22,A236810,엔비티,20210713,27300
23,A236810,엔비티,20210712,26950
24,A236810,엔비티,20210709,27300
25,A236810,엔비티,20210708,26650
26,A236810,엔비티,20210707,27500
27,A236810,엔비티,20210706,28400
28,A236810,엔비티,20210705,28600
29,A236810,엔비티,20210702,29400
30,A236810,엔비티,20210701,30150
31,A236810,엔비티,20210630,29900
32,A236810,엔비티,20210629,28750
33,A236810,엔비티,20210628,29150
34,A236810,엔비티,20210625,28700
35,A236810,엔비티,20210624,29800
36,A236810,엔비티,20210623,30300
37,A236810,엔비티,20210622,28100
38,A236810,엔비티,20210621,27800
39,A236810,엔비티,20210618,27900
40,A236810,엔비티,20210617,26650
41,A236810,엔비티,20210616,25600
42,A236810,엔비티,20210615,25000
43,A236810,엔비티,20210614,24550
44,A236810,엔비티,20210611,25200
45,A236810,엔비티,20210610,24900
46,A236810,엔비티,20210609,24200
47,A236810,엔비티,20210608,24800
48,A236810,엔비티,20210607,24450
49,A236810,엔비티,20210604,24400
50,A236810,엔비티,20210603,24950
51,A236810,엔비티,20210602,25000
52,A236810,엔비티,20210601,24400
53,A236810,엔비티,20210531,23750
54,A236810,엔비티,20210528,23900
55,A236810,엔비티,20210527,24000
56,A236810,엔비티,20210526,24400
57,A236810,엔비티,20210525,23050
58,A236810,엔비티,20210524,22700
59,A236810,엔비티,20210521,23650
60,A236810,엔비티,20210520,24100
61,A236810,엔비티,20210518,24400
62,A236810,엔비티,20210517,23700
63,A236810,엔비티,20210514,24650
64,A236810,엔비티,20210513,24450
65,A236810,엔비티,20210512,24900
66,A236810,엔비티,20210511,26000
67,A236810,엔비티,20210510,27450
68,A236810,엔비티,20210507,27850
69,A236810,엔비티,20210506,29200
70,A236810,엔비티,20210504,28850
71,A236810,엔비티,20210503,26800
72,A236810,엔비티,20210430,27800
73,A236810,엔비티,20210429,28000
74,A236810,엔비티,20210428,27800
75,A236810,엔비티,20210427,30250
76,A236810,엔비티,20210426,29000
77,A236810,엔비티,20210423,28350
78,A236810,엔비티,20210422,28250
79,A236810,엔비티,20210421,27800
80,A236810,엔비티,20210420,25150
81,A236810,엔비티,20210419,25550
82,A236810,엔비티,20210416,25600
83,A236810,엔비티,20210415,24800
84,A236810,엔비티,20210414,25600
85,A236810,엔비티,20210413,25600
86,A236810,엔비티,20210412,26300
87,A236810,엔비티,20210409,28500
88,A236810,엔비티,20210408,29050
89,A236810,엔비티,20210407,25950
90,A236810,엔비티,20210406,24600
91,A236810,엔비티,20210405,22850
92,A236810,엔비티,20210402,23050
93,A236810,엔비티,20210401,23600
94,A236810,엔비티,20210331,24250
95,A236810,엔비티,20210330,24450
96,A236810,엔비티,20210329,21700
97,A236810,엔비티,20210326,21950
98,A236810,엔비티,20210325,22200
99,A236810,엔비티,20210324,22400
100,A236810,엔비티,20210323,23150
101,A236810,엔비티,20210322,23400
102,A236810,엔비티,20210319,23650
103,A236810,엔비티,20210318,23450
104,A236810,엔비티,20210317,22700
105,A236810,엔비티,20210316,21550
106,A236810,엔비티,20210315,21600
107,A236810,엔비티,20210312,22700
108,A236810,엔비티,20210311,22900
109,A236810,엔비티,20210310,23500
110,A236810,엔비티,20210309,25100
111,A236810,엔비티,20210308,25800
112,A236810,엔비티,20210305,25850
113,A236810,엔비티,20210304,21300
114,A236810,엔비티,20210303,22000
115,A236810,엔비티,20210302,19300
116,A236810,엔비티,20210226,19200
117,A236810,엔비티,20210225,20000
118,A236810,엔비티,20210224,20200
119,A236810,엔비티,20210223,21450
120,A236810,엔비티,20210222,21600
121,A236810,엔비티,20210219,23550
122,A236810,엔비티,20210218,23650
123,A236810,엔비티,20210217,25700
124,A236810,엔비티,20210216,27600
125,A236810,엔비티,20210215,26850
126,A236810,엔비티,20210210,26000
127,A236810,엔비티,20210209,25000
128,A236810,엔비티,20210208,24000
129,A236810,엔비티,20210205,23000
130,A236810,엔비티,20210204,24150
131,A236810,엔비티,20210203,25600
132,A236810,엔비티,20210202,25350
133,A236810,엔비티,20210201,26500
134,A236810,엔비티,20210129,28100
135,A236810,엔비티,20210128,33000
136,A236810,엔비티,20210127,32400
137,A236810,엔비티,20210126,32100
138,A236810,엔비티,20210125,34800
139,A236810,엔비티,20210122,38550
140,A236810,엔비티,20210121,36500
