,종목코드,종목명,날짜,종가
0,A031860,엔에스엔,20210812,1225
1,A031860,엔에스엔,20210811,1240
2,A031860,엔에스엔,20210810,1265
3,A031860,엔에스엔,20210809,1285
4,A031860,엔에스엔,20210806,1300
5,A031860,엔에스엔,20210805,1310
6,A031860,엔에스엔,20210804,1310
7,A031860,엔에스엔,20210803,1315
8,A031860,엔에스엔,20210802,1290
9,A031860,엔에스엔,20210730,1330
10,A031860,엔에스엔,20210729,1340
11,A031860,엔에스엔,20210728,1380
12,A031860,엔에스엔,20210727,1390
13,A031860,엔에스엔,20210726,1390
14,A031860,엔에스엔,20210723,1380
15,A031860,엔에스엔,20210722,1415
16,A031860,엔에스엔,20210721,1430
17,A031860,엔에스엔,20210720,1415
18,A031860,엔에스엔,20210719,1400
19,A031860,엔에스엔,20210716,1455
20,A031860,엔에스엔,20210715,1420
21,A031860,엔에스엔,20210714,1300
22,A031860,엔에스엔,20210713,1330
23,A031860,엔에스엔,20210712,1320
24,A031860,엔에스엔,20210709,1290
25,A031860,엔에스엔,20210708,1305
26,A031860,엔에스엔,20210707,1305
27,A031860,엔에스엔,20210706,1295
28,A031860,엔에스엔,20210705,1290
29,A031860,엔에스엔,20210702,1330
30,A031860,엔에스엔,20210701,1290
31,A031860,엔에스엔,20210630,1280
32,A031860,엔에스엔,20210629,1295
33,A031860,엔에스엔,20210628,1320
34,A031860,엔에스엔,20210625,1310
35,A031860,엔에스엔,20210624,1300
36,A031860,엔에스엔,20210623,1315
37,A031860,엔에스엔,20210622,1295
38,A031860,엔에스엔,20210621,1300
39,A031860,엔에스엔,20210618,1335
40,A031860,엔에스엔,20210617,1330
41,A031860,엔에스엔,20210616,1335
42,A031860,엔에스엔,20210615,1355
43,A031860,엔에스엔,20210614,1370
44,A031860,엔에스엔,20210611,1390
45,A031860,엔에스엔,20210610,1375
46,A031860,엔에스엔,20210609,1375
47,A031860,엔에스엔,20210608,1395
48,A031860,엔에스엔,20210607,1380
49,A031860,엔에스엔,20210604,1375
50,A031860,엔에스엔,20210603,1405
51,A031860,엔에스엔,20210602,1405
52,A031860,엔에스엔,20210601,1435
53,A031860,엔에스엔,20210531,1405
54,A031860,엔에스엔,20210528,1400
55,A031860,엔에스엔,20210527,1375
56,A031860,엔에스엔,20210526,1380
57,A031860,엔에스엔,20210525,1360
58,A031860,엔에스엔,20210524,1345
59,A031860,엔에스엔,20210521,1415
60,A031860,엔에스엔,20210520,1390
61,A031860,엔에스엔,20210518,1270
