,종목코드,종목명,날짜,종가
0,A224760,엔에스컴퍼니,20210812,8190
1,A224760,엔에스컴퍼니,20210811,7690
2,A224760,엔에스컴퍼니,20210810,6980
3,A224760,엔에스컴퍼니,20210809,6990
4,A224760,엔에스컴퍼니,20210806,6960
5,A224760,엔에스컴퍼니,20210805,6970
6,A224760,엔에스컴퍼니,20210804,6980
7,A224760,엔에스컴퍼니,20210803,6990
8,A224760,엔에스컴퍼니,20210802,7990
9,A224760,엔에스컴퍼니,20210730,8030
10,A224760,엔에스컴퍼니,20210729,9100
11,A224760,엔에스컴퍼니,20210728,8500
12,A224760,엔에스컴퍼니,20210727,8400
13,A224760,엔에스컴퍼니,20210726,8000
14,A224760,엔에스컴퍼니,20210723,7480
15,A224760,엔에스컴퍼니,20210722,8790
16,A224760,엔에스컴퍼니,20210721,8240
17,A224760,엔에스컴퍼니,20210720,8190
18,A224760,엔에스컴퍼니,20210719,8120
19,A224760,엔에스컴퍼니,20210716,7950
20,A224760,엔에스컴퍼니,20210715,7350
21,A224760,엔에스컴퍼니,20210714,6400
22,A224760,엔에스컴퍼니,20210713,6910
23,A224760,엔에스컴퍼니,20210712,6540
24,A224760,엔에스컴퍼니,20210709,6350
25,A224760,엔에스컴퍼니,20210708,7400
26,A224760,엔에스컴퍼니,20210707,6450
27,A224760,엔에스컴퍼니,20210706,5610
28,A224760,엔에스컴퍼니,20210705,4885
29,A224760,엔에스컴퍼니,20210702,5650
30,A224760,엔에스컴퍼니,20210701,6630
31,A224760,엔에스컴퍼니,20210630,6440
32,A224760,엔에스컴퍼니,20210629,7570
33,A224760,엔에스컴퍼니,20210628,8900
34,A224760,엔에스컴퍼니,20210625,8900
35,A224760,엔에스컴퍼니,20210624,8900
36,A224760,엔에스컴퍼니,20210623,8900
37,A224760,엔에스컴퍼니,20210622,8900
38,A224760,엔에스컴퍼니,20210621,8900
39,A224760,엔에스컴퍼니,20210618,8900
40,A224760,엔에스컴퍼니,20210617,8900
41,A224760,엔에스컴퍼니,20210616,8900
42,A224760,엔에스컴퍼니,20210615,8900
43,A224760,엔에스컴퍼니,20210614,8900
44,A224760,엔에스컴퍼니,20210611,8900
45,A224760,엔에스컴퍼니,20210610,8900
46,A224760,엔에스컴퍼니,20210609,8900
47,A224760,엔에스컴퍼니,20210608,8900
48,A224760,엔에스컴퍼니,20210607,8900
49,A224760,엔에스컴퍼니,20210604,8900
50,A224760,엔에스컴퍼니,20210603,8900
51,A224760,엔에스컴퍼니,20210602,8900
52,A224760,엔에스컴퍼니,20210601,8900
53,A224760,엔에스컴퍼니,20210531,8900
54,A224760,엔에스컴퍼니,20210528,8900
55,A224760,엔에스컴퍼니,20210527,8900
56,A224760,엔에스컴퍼니,20210526,8900
57,A224760,엔에스컴퍼니,20210525,8900
58,A224760,엔에스컴퍼니,20210524,8900
59,A224760,엔에스컴퍼니,20210521,8900
60,A224760,엔에스컴퍼니,20210520,8900
61,A224760,엔에스컴퍼니,20210518,8900
62,A224760,엔에스컴퍼니,20210517,8900
63,A224760,엔에스컴퍼니,20210514,8900
64,A224760,엔에스컴퍼니,20210513,8900
65,A224760,엔에스컴퍼니,20210512,8900
66,A224760,엔에스컴퍼니,20210511,8900
67,A224760,엔에스컴퍼니,20210510,8900
68,A224760,엔에스컴퍼니,20210507,8900
69,A224760,엔에스컴퍼니,20210506,8900
70,A224760,엔에스컴퍼니,20210504,8900
71,A224760,엔에스컴퍼니,20210503,8900
72,A224760,엔에스컴퍼니,20210430,8900
73,A224760,엔에스컴퍼니,20210429,8900
74,A224760,엔에스컴퍼니,20210428,8900
75,A224760,엔에스컴퍼니,20210427,8900
76,A224760,엔에스컴퍼니,20210426,8900
77,A224760,엔에스컴퍼니,20210423,8900
78,A224760,엔에스컴퍼니,20210422,8900
79,A224760,엔에스컴퍼니,20210421,8900
80,A224760,엔에스컴퍼니,20210420,8900
81,A224760,엔에스컴퍼니,20210419,8900
82,A224760,엔에스컴퍼니,20210416,8900
83,A224760,엔에스컴퍼니,20210415,8900
84,A224760,엔에스컴퍼니,20210414,8900
85,A224760,엔에스컴퍼니,20210413,8900
86,A224760,엔에스컴퍼니,20210412,8900
87,A224760,엔에스컴퍼니,20210409,8900
88,A224760,엔에스컴퍼니,20210408,8900
89,A224760,엔에스컴퍼니,20210407,8900
90,A224760,엔에스컴퍼니,20210406,8900
91,A224760,엔에스컴퍼니,20210405,8900
92,A224760,엔에스컴퍼니,20210402,8900
93,A224760,엔에스컴퍼니,20210401,8900
94,A224760,엔에스컴퍼니,20210331,8900
95,A224760,엔에스컴퍼니,20210330,8900
96,A224760,엔에스컴퍼니,20210329,8900
97,A224760,엔에스컴퍼니,20210326,8900
98,A224760,엔에스컴퍼니,20210325,8900
99,A224760,엔에스컴퍼니,20210324,8900
100,A224760,엔에스컴퍼니,20210323,8900
101,A224760,엔에스컴퍼니,20210322,8900
102,A224760,엔에스컴퍼니,20210319,8900
103,A224760,엔에스컴퍼니,20210318,8900
104,A224760,엔에스컴퍼니,20210317,8900
105,A224760,엔에스컴퍼니,20210316,8900
106,A224760,엔에스컴퍼니,20210315,8900
107,A224760,엔에스컴퍼니,20210312,8900
108,A224760,엔에스컴퍼니,20210311,8900
109,A224760,엔에스컴퍼니,20210310,8900
110,A224760,엔에스컴퍼니,20210309,8900
111,A224760,엔에스컴퍼니,20210308,8900
112,A224760,엔에스컴퍼니,20210305,8900
113,A224760,엔에스컴퍼니,20210304,8900
114,A224760,엔에스컴퍼니,20210303,8900
115,A224760,엔에스컴퍼니,20210302,8900
116,A224760,엔에스컴퍼니,20210226,8900
117,A224760,엔에스컴퍼니,20210225,8900
118,A224760,엔에스컴퍼니,20210224,8900
119,A224760,엔에스컴퍼니,20210223,8900
120,A224760,엔에스컴퍼니,20210222,8900
121,A224760,엔에스컴퍼니,20210219,8900
122,A224760,엔에스컴퍼니,20210218,8900
123,A224760,엔에스컴퍼니,20210217,8900
124,A224760,엔에스컴퍼니,20210216,8900
125,A224760,엔에스컴퍼니,20210215,8900
126,A224760,엔에스컴퍼니,20210210,8900
127,A224760,엔에스컴퍼니,20210209,8900
128,A224760,엔에스컴퍼니,20210208,8900
129,A224760,엔에스컴퍼니,20210205,8900
130,A224760,엔에스컴퍼니,20210204,8900
131,A224760,엔에스컴퍼니,20210203,8900
132,A224760,엔에스컴퍼니,20210202,8900
133,A224760,엔에스컴퍼니,20210201,8900
134,A224760,엔에스컴퍼니,20210129,10447
135,A224760,엔에스컴퍼니,20210128,9087
136,A224760,엔에스컴퍼니,20210127,10203
137,A224760,엔에스컴퍼니,20210126,8881
138,A224760,엔에스컴퍼니,20210125,9134
139,A224760,엔에스컴퍼니,20210122,10710
140,A224760,엔에스컴퍼니,20210121,9322
141,A224760,엔에스컴퍼니,20210120,8112
142,A224760,엔에스컴퍼니,20210119,8102
143,A224760,엔에스컴퍼니,20210118,9434
144,A224760,엔에스컴퍼니,20210115,10803
145,A224760,엔에스컴퍼니,20210114,9397
146,A224760,엔에스컴퍼니,20210113,9378
147,A224760,엔에스컴퍼니,20210112,8168
148,A224760,엔에스컴퍼니,20210111,9453
149,A224760,엔에스컴퍼니,20210108,9434
150,A224760,엔에스컴퍼니,20210107,10897
151,A224760,엔에스컴퍼니,20210106,9490
152,A224760,엔에스컴퍼니,20210105,10559
153,A224760,엔에스컴퍼니,20210104,12416
154,A224760,엔에스컴퍼니,20201230,10803
155,A224760,엔에스컴퍼니,20201229,9397
156,A224760,엔에스컴퍼니,20201228,11010
157,A224760,엔에스컴퍼니,20201224,9584
158,A224760,엔에스컴퍼니,20201223,9584
159,A224760,엔에스컴퍼니,20201222,10991
160,A224760,엔에스컴퍼니,20201221,10634
161,A224760,엔에스컴퍼니,20201218,12285
162,A224760,엔에스컴퍼니,20201217,14255
163,A224760,엔에스컴퍼니,20201216,16768
164,A224760,엔에스컴퍼니,20201215,17256
165,A224760,엔에스컴퍼니,20201214,16768
166,A224760,엔에스컴퍼니,20201211,17256
167,A224760,엔에스컴퍼니,20201210,17030
168,A224760,엔에스컴퍼니,20201209,17274
169,A224760,엔에스컴퍼니,20201208,17293
170,A224760,엔에스컴퍼니,20201207,16805
171,A224760,엔에스컴퍼니,20201204,17293
172,A224760,엔에스컴퍼니,20201203,17800
173,A224760,엔에스컴퍼니,20201202,17406
174,A224760,엔에스컴퍼니,20201201,17387
175,A224760,엔에스컴퍼니,20201130,17950
176,A224760,엔에스컴퍼니,20201127,17837
177,A224760,엔에스컴퍼니,20201126,17331
178,A224760,엔에스컴퍼니,20201125,16880
179,A224760,엔에스컴퍼니,20201124,17368
180,A224760,엔에스컴퍼니,20201123,16824
181,A224760,엔에스컴퍼니,20201120,16374
182,A224760,엔에스컴퍼니,20201119,15943
183,A224760,엔에스컴퍼니,20201118,17556
184,A224760,엔에스컴퍼니,20201117,17556
185,A224760,엔에스컴퍼니,20201116,17068
186,A224760,엔에스컴퍼니,20201113,20069
187,A224760,엔에스컴퍼니,20201112,17593
188,A224760,엔에스컴퍼니,20201111,17087
189,A224760,엔에스컴퍼니,20201110,17593
190,A224760,엔에스컴퍼니,20201109,17593
191,A224760,엔에스컴퍼니,20201106,17106
192,A224760,엔에스컴퍼니,20201105,14911
193,A224760,엔에스컴퍼니,20201104,12998
194,A224760,엔에스컴퍼니,20201103,13335
195,A224760,엔에스컴퍼니,20201102,12960
196,A224760,엔에스컴퍼니,20201030,13335
197,A224760,엔에스컴퍼니,20201029,15230
198,A224760,엔에스컴퍼니,20201028,17893
199,A224760,엔에스컴퍼니,20201027,15567
200,A224760,엔에스컴퍼니,20201026,16862
201,A224760,엔에스컴퍼니,20201023,17593
202,A224760,엔에스컴퍼니,20201022,15305
203,A224760,엔에스컴퍼니,20201021,15755
204,A224760,엔에스컴퍼니,20201020,18531
205,A224760,엔에스컴퍼니,20201019,18531
206,A224760,엔에스컴퍼니,20201016,18456
207,A224760,엔에스컴퍼니,20201015,18362
208,A224760,엔에스컴퍼니,20201014,19225
209,A224760,엔에스컴퍼니,20201013,18175
210,A224760,엔에스컴퍼니,20201012,18343
211,A224760,엔에스컴퍼니,20201008,17818
212,A224760,엔에스컴퍼니,20201007,17818
213,A224760,엔에스컴퍼니,20201006,18550
214,A224760,엔에스컴퍼니,20201005,16899
215,A224760,엔에스컴퍼니,20200929,14742
216,A224760,엔에스컴퍼니,20200928,15174
217,A224760,엔에스컴퍼니,20200925,13260
218,A224760,엔에스컴퍼니,20200924,11535
219,A224760,엔에스컴퍼니,20200923,11872
220,A224760,엔에스컴퍼니,20200922,12210
221,A224760,엔에스컴퍼니,20200921,13429
222,A224760,엔에스컴퍼니,20200918,13823
223,A224760,엔에스컴퍼니,20200917,12022
224,A224760,엔에스컴퍼니,20200916,10466
225,A224760,엔에스컴퍼니,20200915,11704
226,A224760,엔에스컴퍼니,20200914,11985
227,A224760,엔에스컴퍼니,20200911,10428
228,A224760,엔에스컴퍼니,20200910,11929
229,A224760,엔에스컴퍼니,20200909,13804
230,A224760,엔에스컴퍼니,20200908,16111
231,A224760,엔에스컴퍼니,20200907,16843
232,A224760,엔에스컴퍼니,20200904,16862
233,A224760,엔에스컴퍼니,20200903,16880
234,A224760,엔에스컴퍼니,20200902,15924
235,A224760,엔에스컴퍼니,20200901,15943
236,A224760,엔에스컴퍼니,20200831,15943
237,A224760,엔에스컴퍼니,20200828,16880
238,A224760,엔에스컴퍼니,20200827,17331
239,A224760,엔에스컴퍼니,20200826,17349
240,A224760,엔에스컴퍼니,20200825,17368
241,A224760,엔에스컴퍼니,20200824,16899
242,A224760,엔에스컴퍼니,20200821,17818
243,A224760,엔에스컴퍼니,20200820,18212
244,A224760,엔에스컴퍼니,20200819,18325
245,A224760,엔에스컴퍼니,20200818,16130
246,A224760,엔에스컴퍼니,20200814,14386
247,A224760,엔에스컴퍼니,20200813,16862
248,A224760,엔에스컴퍼니,20200812,14667
249,A224760,엔에스컴퍼니,20200811,15099
250,A224760,엔에스컴퍼니,20200810,15099
251,A224760,엔에스컴퍼니,20200807,13317
252,A224760,엔에스컴퍼니,20200806,12360
253,A224760,엔에스컴퍼니,20200805,12716
254,A224760,엔에스컴퍼니,20200804,11066
255,A224760,엔에스컴퍼니,20200803,10710
256,A224760,엔에스컴퍼니,20200731,9547
257,A224760,엔에스컴퍼니,20200730,9547
258,A224760,엔에스컴퍼니,20200729,9284
259,A224760,엔에스컴퍼니,20200728,10897
260,A224760,엔에스컴퍼니,20200727,9490
261,A224760,엔에스컴퍼니,20200724,11141
262,A224760,엔에스컴퍼니,20200723,9697
263,A224760,엔에스컴퍼니,20200722,9359
264,A224760,엔에스컴퍼니,20200721,9359
265,A224760,엔에스컴퍼니,20200720,8637
266,A224760,엔에스컴퍼니,20200717,10053
267,A224760,엔에스컴퍼니,20200716,9678
268,A224760,엔에스컴퍼니,20200715,9678
269,A224760,엔에스컴퍼니,20200714,10991
270,A224760,엔에스컴퍼니,20200713,10597
271,A224760,엔에스컴퍼니,20200710,9959
272,A224760,엔에스컴퍼니,20200709,9678
273,A224760,엔에스컴퍼니,20200708,10766
274,A224760,엔에스컴퍼니,20200707,12548
275,A224760,엔에스컴퍼니,20200706,11722
276,A224760,엔에스컴퍼니,20200703,13110
277,A224760,엔에스컴퍼니,20200702,11722
278,A224760,엔에스컴퍼니,20200701,12079
279,A224760,엔에스컴퍼니,20200630,12923
280,A224760,엔에스컴퍼니,20200629,13335
281,A224760,엔에스컴퍼니,20200626,12398
282,A224760,엔에스컴퍼니,20200625,14573
283,A224760,엔에스컴퍼니,20200624,12679
284,A224760,엔에스컴퍼니,20200623,11028
285,A224760,엔에스컴퍼니,20200622,9603
286,A224760,엔에스컴퍼니,20200619,8356
287,A224760,엔에스컴퍼니,20200618,9565
288,A224760,엔에스컴퍼니,20200617,11178
289,A224760,엔에스컴퍼니,20200616,13110
290,A224760,엔에스컴퍼니,20200615,13673
291,A224760,엔에스컴퍼니,20200612,13711
292,A224760,엔에스컴퍼니,20200611,13804
293,A224760,엔에스컴퍼니,20200610,16224
294,A224760,엔에스컴퍼니,20200609,19037
295,A224760,엔에스컴퍼니,20200608,18550
296,A224760,엔에스컴퍼니,20200605,16224
297,A224760,엔에스컴퍼니,20200604,14217
298,A224760,엔에스컴퍼니,20200603,13129
299,A224760,엔에스컴퍼니,20200602,13429
300,A224760,엔에스컴퍼니,20200601,15793
301,A224760,엔에스컴퍼니,20200529,18569
302,A224760,엔에스컴퍼니,20200528,21757
303,A224760,엔에스컴퍼니,20200527,25508
304,A224760,엔에스컴퍼니,20200526,30010
305,A224760,엔에스컴퍼니,20200525,34512
306,A224760,엔에스컴퍼니,20200522,34512
307,A224760,엔에스컴퍼니,20200521,35543
308,A224760,엔에스컴퍼니,20200520,35543
309,A224760,엔에스컴퍼니,20200519,35543
310,A224760,엔에스컴퍼니,20200518,35543
311,A224760,엔에스컴퍼니,20200515,39295
312,A224760,엔에스컴퍼니,20200514,43140
313,A224760,엔에스컴퍼니,20200513,43140
314,A224760,엔에스컴퍼니,20200512,43140
315,A224760,엔에스컴퍼니,20200511,48673
316,A224760,엔에스컴퍼니,20200508,52424
317,A224760,엔에스컴퍼니,20200507,52424
318,A224760,엔에스컴퍼니,20200506,57207
319,A224760,엔에스컴퍼니,20200504,63678
320,A224760,엔에스컴퍼니,20200429,71181
321,A224760,엔에스컴퍼니,20200428,71181
322,A224760,엔에스컴퍼니,20200427,78683
323,A224760,엔에스컴퍼니,20200424,89937
324,A224760,엔에스컴퍼니,20200423,89937
325,A224760,엔에스컴퍼니,20200422,89937
326,A224760,엔에스컴퍼니,20200421,99222
327,A224760,엔에스컴퍼니,20200420,114227
328,A224760,엔에스컴퍼니,20200417,114227
329,A224760,엔에스컴퍼니,20200416,127357
330,A224760,엔에스컴퍼니,20200414,127357
331,A224760,엔에스컴퍼니,20200413,127357
332,A224760,엔에스컴퍼니,20200410,131108
333,A224760,엔에스컴퍼니,20200409,145551
334,A224760,엔에스컴퍼니,20200408,145551
335,A224760,엔에스컴퍼니,20200407,149865
336,A224760,엔에스컴퍼니,20200406,157367
337,A224760,엔에스컴퍼니,20200403,157367
338,A224760,엔에스컴퍼니,20200402,157367
339,A224760,엔에스컴퍼니,20200401,157367
340,A224760,엔에스컴퍼니,20200331,157367
341,A224760,엔에스컴퍼니,20200330,157367
342,A224760,엔에스컴퍼니,20200327,157367
343,A224760,엔에스컴퍼니,20200326,157367
344,A224760,엔에스컴퍼니,20200325,157367
345,A224760,엔에스컴퍼니,20200324,157367
346,A224760,엔에스컴퍼니,20200323,157367
347,A224760,엔에스컴퍼니,20200320,157367
348,A224760,엔에스컴퍼니,20200319,157367
349,A224760,엔에스컴퍼니,20200318,157367
350,A224760,엔에스컴퍼니,20200317,157367
351,A224760,엔에스컴퍼니,20200316,157367
352,A224760,엔에스컴퍼니,20200313,157367
353,A224760,엔에스컴퍼니,20200312,157367
354,A224760,엔에스컴퍼니,20200311,157367
355,A224760,엔에스컴퍼니,20200310,157367
356,A224760,엔에스컴퍼니,20200309,157367
357,A224760,엔에스컴퍼니,20200306,157367
358,A224760,엔에스컴퍼니,20200305,157367
359,A224760,엔에스컴퍼니,20200304,157367
360,A224760,엔에스컴퍼니,20200303,157367
361,A224760,엔에스컴퍼니,20200302,157367
362,A224760,엔에스컴퍼니,20200228,157367
363,A224760,엔에스컴퍼니,20200227,157367
364,A224760,엔에스컴퍼니,20200226,157367
