,종목코드,종목명,날짜,종가
0,A068420,엔터미디어,20210812,2110
1,A068420,엔터미디어,20210811,2120
2,A068420,엔터미디어,20210810,1875
3,A068420,엔터미디어,20210809,2500
4,A068420,엔터미디어,20210806,2600
5,A068420,엔터미디어,20210805,2000
6,A068420,엔터미디어,20210804,2000
7,A068420,엔터미디어,20210803,2000
8,A068420,엔터미디어,20210802,2505
9,A068420,엔터미디어,20210730,2020
10,A068420,엔터미디어,20210729,2030
11,A068420,엔터미디어,20210728,2030
12,A068420,엔터미디어,20210727,2015
13,A068420,엔터미디어,20210726,2015
14,A068420,엔터미디어,20210723,2000
15,A068420,엔터미디어,20210722,2795
16,A068420,엔터미디어,20210721,2495
17,A068420,엔터미디어,20210720,2305
18,A068420,엔터미디어,20210719,2000
19,A068420,엔터미디어,20210716,1995
20,A068420,엔터미디어,20210715,2015
21,A068420,엔터미디어,20210714,2010
22,A068420,엔터미디어,20210713,2000
23,A068420,엔터미디어,20210712,2370
24,A068420,엔터미디어,20210709,2190
25,A068420,엔터미디어,20210708,2170
26,A068420,엔터미디어,20210707,2000
27,A068420,엔터미디어,20210706,2090
28,A068420,엔터미디어,20210705,2120
29,A068420,엔터미디어,20210702,2170
30,A068420,엔터미디어,20210701,3095
31,A068420,엔터미디어,20210630,2390
32,A068420,엔터미디어,20210629,2000
33,A068420,엔터미디어,20210628,2190
34,A068420,엔터미디어,20210625,1970
35,A068420,엔터미디어,20210624,1960
36,A068420,엔터미디어,20210623,2795
37,A068420,엔터미디어,20210622,2195
38,A068420,엔터미디어,20210621,2195
39,A068420,엔터미디어,20210618,2200
40,A068420,엔터미디어,20210617,2105
41,A068420,엔터미디어,20210616,2070
42,A068420,엔터미디어,20210615,2220
43,A068420,엔터미디어,20210614,2075
44,A068420,엔터미디어,20210611,2290
45,A068420,엔터미디어,20210610,2590
46,A068420,엔터미디어,20210609,1995
47,A068420,엔터미디어,20210608,1705
48,A068420,엔터미디어,20210607,2055
49,A068420,엔터미디어,20210604,2110
50,A068420,엔터미디어,20210603,1970
51,A068420,엔터미디어,20210602,2705
52,A068420,엔터미디어,20210601,2725
53,A068420,엔터미디어,20210531,2130
54,A068420,엔터미디어,20210528,2320
55,A068420,엔터미디어,20210527,1820
56,A068420,엔터미디어,20210526,2595
57,A068420,엔터미디어,20210525,2020
58,A068420,엔터미디어,20210524,2885
59,A068420,엔터미디어,20210521,2225
60,A068420,엔터미디어,20210520,2230
61,A068420,엔터미디어,20210518,1695
62,A068420,엔터미디어,20210517,1800
63,A068420,엔터미디어,20210514,1960
64,A068420,엔터미디어,20210513,2000
65,A068420,엔터미디어,20210512,1890
66,A068420,엔터미디어,20210511,1920
67,A068420,엔터미디어,20210510,1920
68,A068420,엔터미디어,20210507,1600
69,A068420,엔터미디어,20210506,1320
70,A068420,엔터미디어,20210504,1600
71,A068420,엔터미디어,20210503,1550
72,A068420,엔터미디어,20210430,1490
73,A068420,엔터미디어,20210429,1480
74,A068420,엔터미디어,20210428,1505
75,A068420,엔터미디어,20210427,1315
76,A068420,엔터미디어,20210426,1480
77,A068420,엔터미디어,20210423,1480
78,A068420,엔터미디어,20210422,1195
79,A068420,엔터미디어,20210421,1410
80,A068420,엔터미디어,20210420,1480
81,A068420,엔터미디어,20210419,1215
82,A068420,엔터미디어,20210416,1435
83,A068420,엔터미디어,20210415,1450
84,A068420,엔터미디어,20210414,1205
85,A068420,엔터미디어,20210413,1205
86,A068420,엔터미디어,20210412,1235
87,A068420,엔터미디어,20210409,1295
88,A068420,엔터미디어,20210408,1400
89,A068420,엔터미디어,20210407,1300
90,A068420,엔터미디어,20210406,1000
91,A068420,엔터미디어,20210405,1175
92,A068420,엔터미디어,20210402,1235
93,A068420,엔터미디어,20210401,1020
94,A068420,엔터미디어,20210331,1300
95,A068420,엔터미디어,20210330,1400
96,A068420,엔터미디어,20210329,1520
97,A068420,엔터미디어,20210326,2170
98,A068420,엔터미디어,20210325,2550
99,A068420,엔터미디어,20210324,2015
100,A068420,엔터미디어,20210323,1550
101,A068420,엔터미디어,20210322,1370
102,A068420,엔터미디어,20210319,1330
103,A068420,엔터미디어,20210318,1435
104,A068420,엔터미디어,20210317,1425
105,A068420,엔터미디어,20210316,1460
106,A068420,엔터미디어,20210315,2085
107,A068420,엔터미디어,20210312,1820
108,A068420,엔터미디어,20210311,1525
109,A068420,엔터미디어,20210310,1645
110,A068420,엔터미디어,20210309,2350
111,A068420,엔터미디어,20210308,1820
112,A068420,엔터미디어,20210305,1600
113,A068420,엔터미디어,20210304,1365
114,A068420,엔터미디어,20210303,1365
115,A068420,엔터미디어,20210302,1830
116,A068420,엔터미디어,20210226,1495
117,A068420,엔터미디어,20210225,1450
118,A068420,엔터미디어,20210224,1440
119,A068420,엔터미디어,20210223,1655
120,A068420,엔터미디어,20210222,1820
121,A068420,엔터미디어,20210219,2595
122,A068420,엔터미디어,20210218,2000
123,A068420,엔터미디어,20210217,1655
124,A068420,엔터미디어,20210216,1435
125,A068420,엔터미디어,20210215,1400
126,A068420,엔터미디어,20210210,1830
127,A068420,엔터미디어,20210209,2610
128,A068420,엔터미디어,20210208,2015
129,A068420,엔터미디어,20210205,1600
130,A068420,엔터미디어,20210204,1785
131,A068420,엔터미디어,20210203,2550
132,A068420,엔터미디어,20210202,3000
133,A068420,엔터미디어,20210201,2095
134,A068420,엔터미디어,20210129,2020
135,A068420,엔터미디어,20210128,1850
136,A068420,엔터미디어,20210127,1700
137,A068420,엔터미디어,20210126,1710
138,A068420,엔터미디어,20210125,1440
139,A068420,엔터미디어,20210122,1330
140,A068420,엔터미디어,20210121,1700
141,A068420,엔터미디어,20210120,2390
142,A068420,엔터미디어,20210119,1850
143,A068420,엔터미디어,20210118,1855
144,A068420,엔터미디어,20210115,1855
145,A068420,엔터미디어,20210114,1855
146,A068420,엔터미디어,20210113,1850
147,A068420,엔터미디어,20210112,2755
148,A068420,엔터미디어,20210111,2140
149,A068420,엔터미디어,20210108,2010
150,A068420,엔터미디어,20210107,1950
151,A068420,엔터미디어,20210106,1835
152,A068420,엔터미디어,20210105,1420
153,A068420,엔터미디어,20210104,1645
154,A068420,엔터미디어,20201230,1625
155,A068420,엔터미디어,20201229,1800
156,A068420,엔터미디어,20201228,1800
157,A068420,엔터미디어,20201224,2000
158,A068420,엔터미디어,20201223,1895
159,A068420,엔터미디어,20201222,3000
160,A068420,엔터미디어,20201221,2400
161,A068420,엔터미디어,20201218,2535
162,A068420,엔터미디어,20201217,2535
163,A068420,엔터미디어,20201216,2125
164,A068420,엔터미디어,20201215,1640
165,A068420,엔터미디어,20201214,1685
166,A068420,엔터미디어,20201211,1830
167,A068420,엔터미디어,20201210,2100
168,A068420,엔터미디어,20201209,2155
169,A068420,엔터미디어,20201208,1665
170,A068420,엔터미디어,20201207,1700
171,A068420,엔터미디어,20201204,2000
172,A068420,엔터미디어,20201203,2225
173,A068420,엔터미디어,20201202,1720
174,A068420,엔터미디어,20201201,1795
175,A068420,엔터미디어,20201130,2200
176,A068420,엔터미디어,20201127,1880
177,A068420,엔터미디어,20201126,1600
178,A068420,엔터미디어,20201125,1600
179,A068420,엔터미디어,20201124,2150
180,A068420,엔터미디어,20201123,1755
181,A068420,엔터미디어,20201120,1895
182,A068420,엔터미디어,20201119,1650
183,A068420,엔터미디어,20201118,1605
184,A068420,엔터미디어,20201117,1840
185,A068420,엔터미디어,20201116,1600
