,종목코드,종목명,날짜,종가
0,A048830,엔피케이,20210812,2560
1,A048830,엔피케이,20210811,2540
2,A048830,엔피케이,20210810,2625
3,A048830,엔피케이,20210809,2645
4,A048830,엔피케이,20210806,2735
5,A048830,엔피케이,20210805,2610
6,A048830,엔피케이,20210804,2620
7,A048830,엔피케이,20210803,2570
8,A048830,엔피케이,20210802,2955
9,A048830,엔피케이,20210730,2925
10,A048830,엔피케이,20210729,2915
11,A048830,엔피케이,20210728,3085
12,A048830,엔피케이,20210727,2985
13,A048830,엔피케이,20210726,3000
14,A048830,엔피케이,20210723,3235
15,A048830,엔피케이,20210722,3185
16,A048830,엔피케이,20210721,2870
17,A048830,엔피케이,20210720,2795
18,A048830,엔피케이,20210719,3010
19,A048830,엔피케이,20210716,3065
20,A048830,엔피케이,20210715,3085
21,A048830,엔피케이,20210714,2375
22,A048830,엔피케이,20210713,2340
23,A048830,엔피케이,20210712,2270
24,A048830,엔피케이,20210709,2240
25,A048830,엔피케이,20210708,2350
26,A048830,엔피케이,20210707,2420
27,A048830,엔피케이,20210706,2455
28,A048830,엔피케이,20210705,2475
29,A048830,엔피케이,20210702,2580
30,A048830,엔피케이,20210701,2445
31,A048830,엔피케이,20210630,2420
32,A048830,엔피케이,20210629,2430
33,A048830,엔피케이,20210628,2440
34,A048830,엔피케이,20210625,2430
35,A048830,엔피케이,20210624,2420
36,A048830,엔피케이,20210623,2375
37,A048830,엔피케이,20210622,2400
38,A048830,엔피케이,20210621,2360
39,A048830,엔피케이,20210618,2435
40,A048830,엔피케이,20210617,2445
41,A048830,엔피케이,20210616,2380
42,A048830,엔피케이,20210615,2385
43,A048830,엔피케이,20210614,2370
44,A048830,엔피케이,20210611,2335
45,A048830,엔피케이,20210610,2315
46,A048830,엔피케이,20210609,2290
47,A048830,엔피케이,20210608,2285
48,A048830,엔피케이,20210607,2320
49,A048830,엔피케이,20210604,2305
50,A048830,엔피케이,20210603,2270
51,A048830,엔피케이,20210602,2290
52,A048830,엔피케이,20210601,2250
53,A048830,엔피케이,20210531,2245
54,A048830,엔피케이,20210528,2195
55,A048830,엔피케이,20210527,2170
56,A048830,엔피케이,20210526,2150
57,A048830,엔피케이,20210525,2090
58,A048830,엔피케이,20210524,2050
