,종목코드,종목명,날짜,종가
0,A015360,예스코홀딩스,20210812,36950
1,A015360,예스코홀딩스,20210811,36850
2,A015360,예스코홀딩스,20210810,36950
3,A015360,예스코홀딩스,20210809,37150
4,A015360,예스코홀딩스,20210806,37150
5,A015360,예스코홀딩스,20210805,37500
6,A015360,예스코홀딩스,20210804,37450
7,A015360,예스코홀딩스,20210803,37550
8,A015360,예스코홀딩스,20210802,37550
9,A015360,예스코홀딩스,20210730,37350
10,A015360,예스코홀딩스,20210729,37450
11,A015360,예스코홀딩스,20210728,37600
12,A015360,예스코홀딩스,20210727,37650
13,A015360,예스코홀딩스,20210726,37500
14,A015360,예스코홀딩스,20210723,37600
15,A015360,예스코홀딩스,20210722,37650
16,A015360,예스코홀딩스,20210721,37100
17,A015360,예스코홀딩스,20210720,37300
18,A015360,예스코홀딩스,20210719,37500
19,A015360,예스코홀딩스,20210716,37500
20,A015360,예스코홀딩스,20210715,37850
21,A015360,예스코홀딩스,20210714,37500
22,A015360,예스코홀딩스,20210713,37550
23,A015360,예스코홀딩스,20210712,37450
24,A015360,예스코홀딩스,20210709,37750
25,A015360,예스코홀딩스,20210708,37850
26,A015360,예스코홀딩스,20210707,37800
27,A015360,예스코홀딩스,20210706,37800
28,A015360,예스코홀딩스,20210705,37450
29,A015360,예스코홀딩스,20210702,37500
30,A015360,예스코홀딩스,20210701,37550
31,A015360,예스코홀딩스,20210630,38250
32,A015360,예스코홀딩스,20210629,38300
33,A015360,예스코홀딩스,20210628,38700
34,A015360,예스코홀딩스,20210625,38200
35,A015360,예스코홀딩스,20210624,38100
36,A015360,예스코홀딩스,20210623,38300
37,A015360,예스코홀딩스,20210622,38600
38,A015360,예스코홀딩스,20210621,38900
39,A015360,예스코홀딩스,20210618,39100
40,A015360,예스코홀딩스,20210617,39400
41,A015360,예스코홀딩스,20210616,39550
42,A015360,예스코홀딩스,20210615,40200
43,A015360,예스코홀딩스,20210614,40050
44,A015360,예스코홀딩스,20210611,40450
45,A015360,예스코홀딩스,20210610,40050
