,종목코드,종목명,날짜,종가
0,A900300,오가닉티코스메틱,20210812,804
1,A900300,오가닉티코스메틱,20210811,798
2,A900300,오가닉티코스메틱,20210810,812
3,A900300,오가닉티코스메틱,20210809,811
4,A900300,오가닉티코스메틱,20210806,843
5,A900300,오가닉티코스메틱,20210805,847
6,A900300,오가닉티코스메틱,20210804,842
7,A900300,오가닉티코스메틱,20210803,811
8,A900300,오가닉티코스메틱,20210802,809
9,A900300,오가닉티코스메틱,20210730,790
10,A900300,오가닉티코스메틱,20210729,816
11,A900300,오가닉티코스메틱,20210728,830
12,A900300,오가닉티코스메틱,20210727,855
13,A900300,오가닉티코스메틱,20210726,850
14,A900300,오가닉티코스메틱,20210723,864
15,A900300,오가닉티코스메틱,20210722,864
16,A900300,오가닉티코스메틱,20210721,869
17,A900300,오가닉티코스메틱,20210720,889
18,A900300,오가닉티코스메틱,20210719,880
19,A900300,오가닉티코스메틱,20210716,897
20,A900300,오가닉티코스메틱,20210715,914
21,A900300,오가닉티코스메틱,20210714,909
22,A900300,오가닉티코스메틱,20210713,911
23,A900300,오가닉티코스메틱,20210712,887
24,A900300,오가닉티코스메틱,20210709,863
25,A900300,오가닉티코스메틱,20210708,889
26,A900300,오가닉티코스메틱,20210707,910
27,A900300,오가닉티코스메틱,20210706,916
28,A900300,오가닉티코스메틱,20210705,916
29,A900300,오가닉티코스메틱,20210702,903
30,A900300,오가닉티코스메틱,20210701,907
31,A900300,오가닉티코스메틱,20210630,931
32,A900300,오가닉티코스메틱,20210629,900
33,A900300,오가닉티코스메틱,20210628,885
34,A900300,오가닉티코스메틱,20210625,878
35,A900300,오가닉티코스메틱,20210624,884
36,A900300,오가닉티코스메틱,20210623,901
37,A900300,오가닉티코스메틱,20210622,914
38,A900300,오가닉티코스메틱,20210621,901
39,A900300,오가닉티코스메틱,20210618,919
40,A900300,오가닉티코스메틱,20210617,939
41,A900300,오가닉티코스메틱,20210616,950
42,A900300,오가닉티코스메틱,20210615,915
43,A900300,오가닉티코스메틱,20210614,909
44,A900300,오가닉티코스메틱,20210611,890
45,A900300,오가닉티코스메틱,20210610,900
46,A900300,오가닉티코스메틱,20210609,885
47,A900300,오가닉티코스메틱,20210608,891
48,A900300,오가닉티코스메틱,20210607,916
49,A900300,오가닉티코스메틱,20210604,923
50,A900300,오가닉티코스메틱,20210603,940
51,A900300,오가닉티코스메틱,20210602,906
52,A900300,오가닉티코스메틱,20210601,1065
53,A900300,오가닉티코스메틱,20210531,822
54,A900300,오가닉티코스메틱,20210528,820
55,A900300,오가닉티코스메틱,20210527,754
56,A900300,오가닉티코스메틱,20210526,742
57,A900300,오가닉티코스메틱,20210525,720
58,A900300,오가닉티코스메틱,20210524,715
59,A900300,오가닉티코스메틱,20210521,723
60,A900300,오가닉티코스메틱,20210520,728
61,A900300,오가닉티코스메틱,20210518,713
62,A900300,오가닉티코스메틱,20210517,727
63,A900300,오가닉티코스메틱,20210514,709
64,A900300,오가닉티코스메틱,20210513,701
65,A900300,오가닉티코스메틱,20210512,718
66,A900300,오가닉티코스메틱,20210511,729
67,A900300,오가닉티코스메틱,20210510,737
68,A900300,오가닉티코스메틱,20210507,735
69,A900300,오가닉티코스메틱,20210506,726
70,A900300,오가닉티코스메틱,20210504,724
71,A900300,오가닉티코스메틱,20210503,708
72,A900300,오가닉티코스메틱,20210430,712
73,A900300,오가닉티코스메틱,20210429,717
74,A900300,오가닉티코스메틱,20210428,709
75,A900300,오가닉티코스메틱,20210427,710
76,A900300,오가닉티코스메틱,20210426,727
77,A900300,오가닉티코스메틱,20210423,726
78,A900300,오가닉티코스메틱,20210422,737
79,A900300,오가닉티코스메틱,20210421,737
80,A900300,오가닉티코스메틱,20210420,705
81,A900300,오가닉티코스메틱,20210419,722
82,A900300,오가닉티코스메틱,20210416,731
83,A900300,오가닉티코스메틱,20210415,628
84,A900300,오가닉티코스메틱,20210414,638
85,A900300,오가닉티코스메틱,20210413,632
86,A900300,오가닉티코스메틱,20210412,624
87,A900300,오가닉티코스메틱,20210409,616
88,A900300,오가닉티코스메틱,20210408,614
89,A900300,오가닉티코스메틱,20210407,617
90,A900300,오가닉티코스메틱,20210406,607
91,A900300,오가닉티코스메틱,20210405,612
92,A900300,오가닉티코스메틱,20210402,603
93,A900300,오가닉티코스메틱,20210401,606
94,A900300,오가닉티코스메틱,20210331,609
95,A900300,오가닉티코스메틱,20210330,607
96,A900300,오가닉티코스메틱,20210329,605
97,A900300,오가닉티코스메틱,20210326,608
98,A900300,오가닉티코스메틱,20210325,609
99,A900300,오가닉티코스메틱,20210324,605
100,A900300,오가닉티코스메틱,20210323,609
101,A900300,오가닉티코스메틱,20210322,648
102,A900300,오가닉티코스메틱,20210319,651
103,A900300,오가닉티코스메틱,20210318,660
104,A900300,오가닉티코스메틱,20210317,671
105,A900300,오가닉티코스메틱,20210316,663
106,A900300,오가닉티코스메틱,20210315,652
107,A900300,오가닉티코스메틱,20210312,647
108,A900300,오가닉티코스메틱,20210311,642
109,A900300,오가닉티코스메틱,20210310,651
110,A900300,오가닉티코스메틱,20210309,686
111,A900300,오가닉티코스메틱,20210308,701
112,A900300,오가닉티코스메틱,20210305,706
113,A900300,오가닉티코스메틱,20210304,713
114,A900300,오가닉티코스메틱,20210303,710
115,A900300,오가닉티코스메틱,20210302,721
116,A900300,오가닉티코스메틱,20210226,705
117,A900300,오가닉티코스메틱,20210225,724
118,A900300,오가닉티코스메틱,20210224,734
119,A900300,오가닉티코스메틱,20210223,755
120,A900300,오가닉티코스메틱,20210222,703
121,A900300,오가닉티코스메틱,20210219,702
122,A900300,오가닉티코스메틱,20210218,720
123,A900300,오가닉티코스메틱,20210217,747
124,A900300,오가닉티코스메틱,20210216,703
125,A900300,오가닉티코스메틱,20210215,680
126,A900300,오가닉티코스메틱,20210210,657
127,A900300,오가닉티코스메틱,20210209,666
128,A900300,오가닉티코스메틱,20210208,685
129,A900300,오가닉티코스메틱,20210205,678
130,A900300,오가닉티코스메틱,20210204,673
131,A900300,오가닉티코스메틱,20210203,645
132,A900300,오가닉티코스메틱,20210202,648
133,A900300,오가닉티코스메틱,20210201,630
134,A900300,오가닉티코스메틱,20210129,650
135,A900300,오가닉티코스메틱,20210128,683
136,A900300,오가닉티코스메틱,20210127,739
137,A900300,오가닉티코스메틱,20210126,626
138,A900300,오가닉티코스메틱,20210125,620
139,A900300,오가닉티코스메틱,20210122,631
140,A900300,오가닉티코스메틱,20210121,612
141,A900300,오가닉티코스메틱,20210120,614
