,종목코드,종목명,날짜,종가
0,A002630,오리엔트바이오,20210812,1185
1,A002630,오리엔트바이오,20210811,1175
2,A002630,오리엔트바이오,20210810,1185
3,A002630,오리엔트바이오,20210809,1240
4,A002630,오리엔트바이오,20210806,1250
5,A002630,오리엔트바이오,20210805,1265
6,A002630,오리엔트바이오,20210804,1245
7,A002630,오리엔트바이오,20210803,1250
8,A002630,오리엔트바이오,20210802,1260
9,A002630,오리엔트바이오,20210730,1270
10,A002630,오리엔트바이오,20210729,1290
11,A002630,오리엔트바이오,20210728,1275
12,A002630,오리엔트바이오,20210727,1270
13,A002630,오리엔트바이오,20210726,1260
14,A002630,오리엔트바이오,20210723,1290
15,A002630,오리엔트바이오,20210722,1290
16,A002630,오리엔트바이오,20210721,1250
17,A002630,오리엔트바이오,20210720,1290
18,A002630,오리엔트바이오,20210719,1300
19,A002630,오리엔트바이오,20210716,1315
20,A002630,오리엔트바이오,20210715,1295
21,A002630,오리엔트바이오,20210714,1320
22,A002630,오리엔트바이오,20210713,1320
23,A002630,오리엔트바이오,20210712,1335
24,A002630,오리엔트바이오,20210709,1390
25,A002630,오리엔트바이오,20210708,1300
26,A002630,오리엔트바이오,20210707,1340
27,A002630,오리엔트바이오,20210706,1380
28,A002630,오리엔트바이오,20210705,1410
29,A002630,오리엔트바이오,20210702,1485
30,A002630,오리엔트바이오,20210701,1500
31,A002630,오리엔트바이오,20210630,1525
32,A002630,오리엔트바이오,20210629,1645
33,A002630,오리엔트바이오,20210628,1645
34,A002630,오리엔트바이오,20210625,1680
35,A002630,오리엔트바이오,20210624,1650
36,A002630,오리엔트바이오,20210623,1575
37,A002630,오리엔트바이오,20210622,1650
38,A002630,오리엔트바이오,20210621,1870
39,A002630,오리엔트바이오,20210618,1700
40,A002630,오리엔트바이오,20210617,1705
41,A002630,오리엔트바이오,20210616,1685
42,A002630,오리엔트바이오,20210615,1680
43,A002630,오리엔트바이오,20210614,1665
44,A002630,오리엔트바이오,20210611,1700
45,A002630,오리엔트바이오,20210610,1720
46,A002630,오리엔트바이오,20210609,1700
47,A002630,오리엔트바이오,20210608,1685
48,A002630,오리엔트바이오,20210607,1685
49,A002630,오리엔트바이오,20210604,1730
50,A002630,오리엔트바이오,20210603,1700
51,A002630,오리엔트바이오,20210602,1690
52,A002630,오리엔트바이오,20210601,1705
53,A002630,오리엔트바이오,20210531,1655
54,A002630,오리엔트바이오,20210528,1690
55,A002630,오리엔트바이오,20210527,1725
56,A002630,오리엔트바이오,20210526,1665
57,A002630,오리엔트바이오,20210525,1650
58,A002630,오리엔트바이오,20210524,1620
59,A002630,오리엔트바이오,20210521,1700
60,A002630,오리엔트바이오,20210520,1670
61,A002630,오리엔트바이오,20210518,1630
62,A002630,오리엔트바이오,20210517,1670
63,A002630,오리엔트바이오,20210514,1655
64,A002630,오리엔트바이오,20210513,1520
65,A002630,오리엔트바이오,20210512,1535
66,A002630,오리엔트바이오,20210511,1560
