,종목코드,종목명,날짜,종가
0,A052420,오성첨단소재,20210812,3220
1,A052420,오성첨단소재,20210811,3230
2,A052420,오성첨단소재,20210810,3255
3,A052420,오성첨단소재,20210809,3320
4,A052420,오성첨단소재,20210806,3355
5,A052420,오성첨단소재,20210805,3385
6,A052420,오성첨단소재,20210804,3320
7,A052420,오성첨단소재,20210803,3245
8,A052420,오성첨단소재,20210802,3245
9,A052420,오성첨단소재,20210730,3280
10,A052420,오성첨단소재,20210729,3380
11,A052420,오성첨단소재,20210728,3375
12,A052420,오성첨단소재,20210727,3395
13,A052420,오성첨단소재,20210726,3390
14,A052420,오성첨단소재,20210723,3500
15,A052420,오성첨단소재,20210722,3510
16,A052420,오성첨단소재,20210721,3485
17,A052420,오성첨단소재,20210720,3550
18,A052420,오성첨단소재,20210719,3585
19,A052420,오성첨단소재,20210716,3600
20,A052420,오성첨단소재,20210715,3630
21,A052420,오성첨단소재,20210714,3590
22,A052420,오성첨단소재,20210713,3610
23,A052420,오성첨단소재,20210712,3595
24,A052420,오성첨단소재,20210709,3575
25,A052420,오성첨단소재,20210708,3685
26,A052420,오성첨단소재,20210707,3700
27,A052420,오성첨단소재,20210706,3740
28,A052420,오성첨단소재,20210705,3660
29,A052420,오성첨단소재,20210702,3705
30,A052420,오성첨단소재,20210701,3740
31,A052420,오성첨단소재,20210630,3705
32,A052420,오성첨단소재,20210629,3675
33,A052420,오성첨단소재,20210628,3630
34,A052420,오성첨단소재,20210625,3635
35,A052420,오성첨단소재,20210624,3615
36,A052420,오성첨단소재,20210623,3625
37,A052420,오성첨단소재,20210622,3675
38,A052420,오성첨단소재,20210621,3705
39,A052420,오성첨단소재,20210618,3775
40,A052420,오성첨단소재,20210617,3755
41,A052420,오성첨단소재,20210616,3755
42,A052420,오성첨단소재,20210615,3750
43,A052420,오성첨단소재,20210614,3780
44,A052420,오성첨단소재,20210611,3650
45,A052420,오성첨단소재,20210610,3650
46,A052420,오성첨단소재,20210609,3665
47,A052420,오성첨단소재,20210608,3730
48,A052420,오성첨단소재,20210607,3715
49,A052420,오성첨단소재,20210604,3745
50,A052420,오성첨단소재,20210603,3755
51,A052420,오성첨단소재,20210602,3740
52,A052420,오성첨단소재,20210601,3715
53,A052420,오성첨단소재,20210531,3710
54,A052420,오성첨단소재,20210528,3670
55,A052420,오성첨단소재,20210527,3650
56,A052420,오성첨단소재,20210526,3640
57,A052420,오성첨단소재,20210525,3605
58,A052420,오성첨단소재,20210524,3575
59,A052420,오성첨단소재,20210521,3690
60,A052420,오성첨단소재,20210520,3770
61,A052420,오성첨단소재,20210518,3825
62,A052420,오성첨단소재,20210517,3815
63,A052420,오성첨단소재,20210514,3840
64,A052420,오성첨단소재,20210513,3840
65,A052420,오성첨단소재,20210512,3985
66,A052420,오성첨단소재,20210511,4060
67,A052420,오성첨단소재,20210510,4020
68,A052420,오성첨단소재,20210507,4005
69,A052420,오성첨단소재,20210506,4025
70,A052420,오성첨단소재,20210504,4025
71,A052420,오성첨단소재,20210503,4025
72,A052420,오성첨단소재,20210430,3990
